symbol,event_date,action,magnitude,mag_label,cluster_status,category,stock_ret_1d,bench_ret_1d,abnormal_ret_1d,stock_ret_5d,bench_ret_5d,abnormal_ret_5d,stock_ret_21d,bench_ret_21d,abnormal_ret_21d,stock_ret_63d,bench_ret_63d,abnormal_ret_63d
CCL.L,2012-02-07,downgrade,2,small,single,downgrade,-0.001514,0.003325,-0.00484,-0.030301,0.002762,-0.033063,-0.018195,-0.002757,-0.015438,-0.000881,-0.056498,0.055617
0Q16.L,2012-02-13,downgrade,2,small,single,downgrade,0.0,-0.001307,0.001307,0.0,0.004802,-0.004802,0.000914,0.007722,-0.006808,0.000914,-0.083836,0.08475
0Q16.L,2012-02-14,downgrade,2,small,single,downgrade,0.0,-0.001151,0.001151,0.0,0.004139,-0.004139,0.000914,0.008241,-0.007327,0.000914,-0.093986,0.0949
0KXS.L,2012-03-20,upgrade,2,small,single,upgrade_single,-0.012077,-0.007858,-0.004219,0.01225,-0.01408,0.02633,-0.076259,-0.038422,-0.037838,0.192029,-0.074899,0.266928
BNC.L,2012-03-20,upgrade,2,small,single,upgrade_single,-0.006766,-0.007858,0.001093,-0.062779,-0.01408,-0.048698,-0.261342,-0.038422,-0.22292,-0.25531,-0.074899,-0.180411
0KXS.L,2012-03-21,upgrade,2,small,single,upgrade_single,0.010129,0.001581,0.008549,0.018337,-0.017726,0.036063,-0.062522,-0.023293,-0.039229,0.220224,-0.068203,0.288426
IBM.L,2012-04-03,downgrade,2,small,single,downgrade,-0.017116,0.003489,-0.020605,-0.019744,-0.009113,-0.01063,-0.033596,-0.026162,-0.007434,-0.090041,-0.013402,-0.076639
IBM.L,2012-04-04,downgrade,2,small,single,downgrade,-0.012798,-0.022384,0.009587,-0.002106,-0.010027,0.007921,-0.017091,-0.033828,0.016737,-0.061234,-0.010413,-0.050822
0Q16.L,2012-04-10,upgrade,2,small,single,upgrade_single,0.0,0.013438,-0.013438,0.0,0.019619,-0.019619,0.0,-0.01051,0.01051,0.000913,-0.004701,0.005614
0Q16.L,2012-04-11,upgrade,2,small,single,upgrade_single,0.0,-0.010274,0.010274,0.0,0.00597,-0.00597,0.0,-0.042893,0.042893,0.000913,-0.007763,0.008676
