symbol,event_date,action,magnitude,mag_label,cluster_status,category,stock_ret_1d,bench_ret_1d,abnormal_ret_1d,stock_ret_5d,bench_ret_5d,abnormal_ret_5d,stock_ret_21d,bench_ret_21d,abnormal_ret_21d,stock_ret_63d,bench_ret_63d,abnormal_ret_63d
MMM.SW,2012-02-08,downgrade,2,small,single,downgrade,0.0,0.003356,-0.003356,0.007384,-0.008949,0.016333,-0.010299,0.008389,-0.018689,0.023125,-0.024049,0.047174
MMM.SW,2012-02-09,downgrade,2,small,single,downgrade,0.0,-0.01505,0.01505,0.007384,0.000557,0.006827,-0.010299,0.006132,-0.016431,0.023125,-0.0301,0.053225
BAX.SW,2012-02-15,downgrade,2,small,single,downgrade,0.0,0.01298,-0.01298,0.0,0.025395,-0.025395,0.00756,0.042325,-0.034766,0.086539,-0.05079,0.137329
BAX.SW,2012-02-23,upgrade,2,small,single,upgrade_single,0.0,0.005504,-0.005504,0.0,-0.003302,0.003302,0.00756,0.009356,-0.001797,0.086539,-0.078701,0.16524
LLY.SW,2012-03-01,upgrade,2,small,single,upgrade_single,0.0,-0.008283,0.008283,0.0,0.001104,-0.001104,0.027038,0.020431,0.006607,0.156348,-0.093319,0.249667
LLY.SW,2012-03-02,upgrade,2,small,single,upgrade_single,0.0,0.000557,-0.000557,0.0,0.003898,-0.003898,0.027038,0.042316,-0.015279,0.156348,-0.098552,0.2549
NOVN.SW,2012-03-05,downgrade,2,small,single,downgrade,-0.014855,-0.028381,0.013526,0.007971,0.004452,0.003519,0.017029,0.027824,-0.010795,-0.006159,-0.10128,0.09512
RIGN.SW,2012-03-15,upgrade,2,small,single,upgrade_single,0.048638,0.004897,0.043742,-0.011673,-0.007073,-0.0046,-0.14105,-0.023395,-0.117655,-0.213619,-0.083787,-0.129832
RIGN.SW,2012-03-16,upgrade,2,small,single,upgrade_single,-0.018553,0.006497,-0.02505,-0.054731,-0.007038,-0.047693,-0.171614,-0.012453,-0.159161,-0.230056,-0.084461,-0.145594
ABT.SW,2012-03-18,upgrade,2,small,single,upgrade_single,0.0,-0.006455,0.006455,0.192553,0.001076,0.191477,0.083293,-0.026358,0.109651,0.192553,-0.093599,0.286151
ABT.SW,2012-03-19,upgrade,2,small,single,upgrade_single,0.0,-0.006455,0.006455,0.192553,0.001076,0.191477,0.083293,-0.026358,0.109651,0.192553,-0.093599,0.286151
PMI.SW,2012-04-02,downgrade,2,small,single,downgrade,-0.03521,-0.013355,-0.021855,-0.015808,-0.061432,0.045623,-0.02012,-0.023504,0.003385,-0.007665,-0.068376,0.060711
PMI.SW,2012-04-03,downgrade,2,small,single,downgrade,0.0,-0.018408,0.018408,0.020109,-0.039524,0.059633,0.015641,-0.019491,0.035132,0.02855,-0.046021,0.074571
CAT.SW,2012-04-15,upgrade,2,small,single,upgrade_single,0.0,0.016156,-0.016156,0.005191,0.010028,-0.004837,-0.008809,-0.060167,0.051358,-0.124272,-0.047354,-0.076919
CAT.SW,2012-04-16,upgrade,2,small,single,upgrade_single,0.0,0.016156,-0.016156,0.005191,0.010028,-0.004837,-0.008809,-0.060167,0.051358,-0.124272,-0.047354,-0.076919
INGA.SW,2012-04-17,upgrade,2,small,single,upgrade_single,0.0,-0.007675,0.007675,0.0,-0.006031,0.006031,0.0,-0.077851,0.077851,0.0,-0.057018,0.057018
RIGN.SW,2012-05-02,upgrade,2,small,clustered,upgrade_clustered,0.024491,-0.0093,0.033791,-0.056199,-0.045405,-0.010795,-0.150448,-0.114333,-0.036116,None,None,None
RIGN.SW,2012-05-03,upgrade,2,small,clustered,upgrade_clustered,-0.05571,-0.009387,-0.046323,-0.072145,-0.039205,-0.03294,-0.189541,-0.108228,-0.081314,0.005336,-0.033683,0.039019
PEP.SW,2012-05-06,upgrade,2,small,single,upgrade_single,0.0,-0.011725,0.011725,0.0,-0.048576,0.048576,0.087066,-0.072585,0.159651,0.221943,0.005025,0.216918
PEP.SW,2012-05-07,upgrade,2,small,single,upgrade_single,0.0,-0.011725,0.011725,0.0,-0.048576,0.048576,0.087066,-0.072585,0.159651,0.221943,0.005025,0.216918
RIGN.SW,2012-05-15,upgrade,2,small,clustered,upgrade_clustered,0.009246,-0.002964,0.01221,0.006569,0.0,0.006569,-0.016545,-0.001778,-0.014767,0.145256,0.066983,0.078273
ABBN.SW,2012-06-21,downgrade,2,small,single,downgrade,-0.012658,0.007697,-0.020355,-0.037001,-0.00296,-0.034041,0.003895,0.0,0.003895,0.167478,0.124926,0.042552
GT.SW,2012-06-21,upgrade,2,small,single,upgrade_single,0.0,0.007697,-0.007697,0.0,-0.00296,0.00296,-0.089202,0.0,-0.089202,0.032864,0.124926,-0.092062
GT.SW,2012-06-22,upgrade,2,small,single,upgrade_single,0.0,-0.018214,0.018214,0.0,0.021152,-0.021152,-0.089202,-0.015864,-0.073338,0.032864,0.120447,-0.087582
MMM.SW,2012-07-15,upgrade,2,small,single,upgrade_single,0.0,0.005848,-0.005848,-0.010225,-0.012281,0.002055,-0.008492,0.052632,-0.061124,0.011785,0.121637,-0.109852
