symbol,event_date,action,magnitude,mag_label,cluster_status,category,stock_ret_1d,bench_ret_1d,abnormal_ret_1d,stock_ret_5d,bench_ret_5d,abnormal_ret_5d,stock_ret_21d,bench_ret_21d,abnormal_ret_21d,stock_ret_63d,bench_ret_63d,abnormal_ret_63d
SVM.TO,2012-02-12,downgrade,2,small,single,downgrade,-0.008157,-0.003802,-0.004354,0.042414,0.021863,0.020551,-0.042414,0.006654,-0.049068,-0.205546,-0.073669,-0.131877
SVM.TO,2012-02-13,downgrade,2,small,single,downgrade,-0.008157,-0.003802,-0.004354,0.042414,0.021863,0.020551,-0.042414,0.006654,-0.049068,-0.205546,-0.073669,-0.131877
SLF.TO,2012-02-16,downgrade,2,small,single,downgrade,-0.005973,-0.003756,-0.002217,0.019625,0.014554,0.005071,0.127133,0.00939,0.117743,0.038396,-0.112676,0.151072
SU.TO,2012-02-16,upgrade,2,small,single,upgrade_single,-0.002791,-0.003756,0.000965,0.08,0.014554,0.065446,-0.02,0.00939,-0.02939,-0.193023,-0.112676,-0.080347
SLF.TO,2012-02-17,downgrade,2,small,single,downgrade,0.034335,0.013195,0.02114,0.041202,0.016494,0.024708,0.133047,0.005184,0.127863,0.024893,-0.114986,0.139879
SU.TO,2012-02-17,upgrade,2,small,single,upgrade_single,0.017724,0.013195,0.004529,0.059235,0.016494,0.042741,-0.028918,0.005184,-0.034102,-0.194963,-0.114986,-0.079977
ENB.TO,2012-02-20,upgrade,2,small,single,upgrade_single,0.002133,0.004186,-0.002053,0.004267,0.012093,-0.007826,-0.034133,-0.006977,-0.027157,None,None,None
ENB-PFA.TO,2012-02-20,upgrade,2,small,single,upgrade_single,0.002451,0.004186,-0.001735,0.004412,0.012093,-0.007681,-0.033824,-0.006977,-0.026847,None,None,None
CM.TO,2012-02-22,downgrade,2,small,single,downgrade,-0.001523,0.004169,-0.005691,-0.005076,0.005095,-0.010171,0.005584,-0.026401,0.031985,-0.075127,-0.116721,0.041594
BMO.TO,2012-02-22,upgrade,2,small,single,upgrade_single,-0.002142,0.004169,-0.006311,-0.003672,0.005095,-0.008767,0.009486,-0.026401,0.035887,-0.041004,-0.116721,0.075717
CM.TO,2012-02-23,downgrade,2,small,single,downgrade,-0.006101,-0.003229,-0.002872,0.000508,0.01107,-0.010562,0.013218,-0.021679,0.034897,-0.069141,-0.112546,0.043405
BMO.TO,2012-02-23,upgrade,2,small,single,upgrade_single,-0.001227,-0.003229,0.002002,-0.0046,0.01107,-0.01567,0.019319,-0.021679,0.040998,-0.024839,-0.112546,0.087707
CNQ.TO,2012-02-28,downgrade,2,small,single,downgrade,-0.020465,-0.002757,-0.017708,-0.059535,-0.040901,-0.018634,-0.12186,-0.025276,-0.096585,-0.143256,-0.110754,-0.032502
CNQ.TO,2012-02-29,downgrade,2,small,single,downgrade,0.018993,0.010138,0.008855,-0.042735,-0.035484,-0.007251,-0.11301,-0.024885,-0.088126,-0.184236,-0.129493,-0.054742
MG.TO,2012-03-28,downgrade,2,small,single,downgrade,-0.016656,-0.002357,-0.014299,-0.040359,-0.017445,-0.022914,-0.090967,0.002829,-0.093796,-0.160154,-0.102782,-0.057372
MG.TO,2012-03-29,downgrade,2,small,single,downgrade,-0.000651,0.001418,-0.002069,-0.022801,-0.020794,-0.002007,-0.089902,0.002363,-0.092265,-0.147231,-0.10586,-0.041371
BIP-UN.TO,2012-04-01,downgrade,2,small,single,downgrade,0.0,-0.014863,0.014863,-0.048558,-0.06131,0.012751,-0.016692,-0.018579,0.001887,None,None,None
BIP-UN.TO,2012-04-02,downgrade,2,small,single,downgrade,0.0,-0.014863,0.014863,-0.048558,-0.06131,0.012751,-0.016692,-0.018579,0.001887,None,None,None
STN.TO,2012-04-03,downgrade,2,small,single,downgrade,-0.015957,-0.017445,0.001487,-0.017477,-0.039604,0.022127,0.014438,-0.024045,0.038483,-0.074468,-0.054691,-0.019777
STN.TO,2012-04-04,downgrade,2,small,single,downgrade,-0.005405,-0.005758,0.000353,-0.005405,0.003359,-0.008764,0.010039,-0.027351,0.03739,-0.048649,-0.041747,-0.006902
CLS.TO,2012-04-16,downgrade,2,small,single,downgrade,-0.016611,0.019512,-0.036123,-0.074197,0.005854,-0.080051,-0.165006,-0.063415,-0.101591,-0.178295,-0.052683,-0.125612
CLS.TO,2012-04-17,downgrade,2,small,single,downgrade,-0.025901,-0.001914,-0.023987,-0.003378,-0.011005,0.007626,-0.152027,-0.088038,-0.063989,-0.173423,-0.065072,-0.108352
RY.TO,2012-04-22,upgrade,2,small,single,upgrade_single,0.000593,0.002425,-0.001831,0.010386,0.028613,-0.018227,-0.076558,-0.07517,-0.001388,-0.088131,-0.058681,-0.02945
SU.TO,2012-04-22,upgrade,2,small,single,upgrade_single,0.001024,0.002425,-0.001401,0.051689,0.028613,0.023076,-0.088025,-0.07517,-0.012855,-0.018424,-0.058681,0.040257
RY.TO,2012-04-23,upgrade,2,small,single,upgrade_single,0.000593,0.002425,-0.001831,0.010386,0.028613,-0.018227,-0.076558,-0.07517,-0.001388,-0.088131,-0.058681,-0.02945
SU.TO,2012-04-23,upgrade,2,small,single,upgrade_single,0.001024,0.002425,-0.001401,0.051689,0.028613,0.023076,-0.088025,-0.07517,-0.012855,-0.018424,-0.058681,0.040257
AEM.TO,2012-04-26,upgrade,2,small,single,upgrade_single,0.096529,0.011893,0.084636,0.076283,-0.015224,0.091507,0.163413,-0.091342,0.254754,0.214027,-0.062797,0.276825
AEM.TO,2012-04-27,upgrade,2,small,single,upgrade_single,0.020442,-0.002821,0.023263,-0.014507,-0.047015,0.032507,0.019782,-0.090268,0.11005,0.128256,-0.059709,0.187964
EDR.TO,2012-04-29,upgrade,2,small,single,upgrade_single,-0.019608,0.005658,-0.025266,-0.110022,-0.041018,-0.069003,0.0,-0.109382,0.109382,-0.108932,-0.054691,-0.054241
EDR.TO,2012-04-30,upgrade,2,small,single,upgrade_single,-0.019608,0.005658,-0.025266,-0.110022,-0.041018,-0.069003,0.0,-0.109382,0.109382,-0.108932,-0.054691,-0.054241
OTEX.TO,2012-05-03,downgrade,2,small,single,downgrade,0.0,-0.020773,0.020773,0.013252,-0.038647,0.051899,-0.028542,-0.104348,0.075806,-0.079511,-0.056522,-0.022989
GIL.TO,2012-05-03,upgrade,2,small,single,upgrade_single,-0.006573,-0.020773,0.0142,-0.030986,-0.038647,0.007661,-0.084507,-0.104348,0.019841,0.074178,-0.056522,0.1307
GIL.TO,2012-05-04,downgrade,2,small,single,downgrade,-0.019849,0.003453,-0.023302,-0.028355,-0.01924,-0.009115,-0.035917,-0.071041,0.035124,0.135161,-0.018254,0.153414
OTEX.TO,2012-05-04,downgrade,2,small,single,downgrade,-0.022426,0.003453,-0.025879,-0.002039,-0.01924,0.017202,-0.026504,-0.071041,0.044537,-0.035678,-0.018254,-0.017424
SLF.TO,2012-05-10,upgrade,2,small,single,upgrade_single,0.033411,-0.001005,0.034416,-0.05439,-0.050251,-0.004139,-0.037296,-0.056784,0.019488,-0.025641,0.025628,-0.051269
SLF.TO,2012-05-11,upgrade,2,small,single,upgrade_single,-0.018045,-0.019618,0.001573,-0.102256,-0.055332,-0.046924,-0.051128,-0.040241,-0.010886,-0.042105,0.031187,-0.073292
NDM.TO,2012-05-22,downgrade,2,small,single,downgrade,-0.038462,0.008915,-0.047376,0.057692,-0.009439,0.067131,-0.042308,-0.006817,-0.035491,-0.092308,0.099109,-0.191416
