symbol,event_date,streak_length,category,stock_ret_1d,bench_ret_1d,abnormal_ret_1d,stock_ret_5d,bench_ret_5d,abnormal_ret_5d,stock_ret_21d,bench_ret_21d,abnormal_ret_21d,stock_ret_63d,bench_ret_63d,abnormal_ret_63d
M&M.NS,2000-05-10,2,streak_2,-0.000855,-0.007785,0.00693,-0.027086,-0.026384,-0.000702,-0.04169,-0.08564,0.04395,-0.033422,-0.161332,0.12791
M&MFIN.NS,2000-05-10,2,streak_2,0.003874,-0.007785,0.01166,0.014944,-0.026384,0.041328,-0.02034,-0.08564,0.0653,-0.045109,-0.161332,0.116224
L&TFH.NS,2000-08-07,2,streak_2,-0.001031,-0.007785,0.006755,-0.001031,-0.026384,0.025353,-0.027835,-0.08564,0.057805,-0.115464,-0.161332,0.045868
M&M.NS,2000-08-09,3,streak_3,-0.000855,-0.007785,0.00693,-0.027086,-0.026384,-0.000702,-0.04169,-0.08564,0.04395,-0.033422,-0.161332,0.12791
M&MFIN.NS,2000-08-09,3,streak_3,0.003874,-0.007785,0.01166,0.014944,-0.026384,0.041328,-0.02034,-0.08564,0.0653,-0.045109,-0.161332,0.116224
M&M.NS,2000-11-08,4,streak_4,-0.000855,-0.007785,0.00693,-0.027086,-0.026384,-0.000702,-0.04169,-0.08564,0.04395,-0.033422,-0.161332,0.12791
M&MFIN.NS,2000-11-08,4,streak_4,0.003874,-0.007785,0.01166,0.014944,-0.026384,0.041328,-0.02034,-0.08564,0.0653,-0.045109,-0.161332,0.116224
L&TFH.NS,2000-11-09,3,streak_3,-0.001031,-0.007785,0.006755,-0.001031,-0.026384,0.025353,-0.027835,-0.08564,0.057805,-0.115464,-0.161332,0.045868
L&TFH.NS,2001-02-15,4,streak_4,-0.001031,-0.007785,0.006755,-0.001031,-0.026384,0.025353,-0.027835,-0.08564,0.057805,-0.115464,-0.161332,0.045868
M&M.NS,2001-02-27,5,streak_5plus,-0.000855,-0.007785,0.00693,-0.027086,-0.026384,-0.000702,-0.04169,-0.08564,0.04395,-0.033422,-0.161332,0.12791
M&MFIN.NS,2001-02-27,5,streak_5plus,0.003874,-0.007785,0.01166,0.014944,-0.026384,0.041328,-0.02034,-0.08564,0.0653,-0.045109,-0.161332,0.116224
L&TFH.NS,2001-05-03,5,streak_5plus,-0.001031,-0.007785,0.006755,-0.001031,-0.026384,0.025353,-0.027835,-0.08564,0.057805,-0.115464,-0.161332,0.045868
M&M.NS,2001-05-16,6,streak_5plus,-0.000855,-0.007785,0.00693,-0.027086,-0.026384,-0.000702,-0.04169,-0.08564,0.04395,-0.033422,-0.161332,0.12791
M&MFIN.NS,2001-05-16,6,streak_5plus,0.003874,-0.007785,0.01166,0.014944,-0.026384,0.041328,-0.02034,-0.08564,0.0653,-0.045109,-0.161332,0.116224
M&M.NS,2001-08-15,7,streak_5plus,-0.000855,-0.007785,0.00693,-0.027086,-0.026384,-0.000702,-0.04169,-0.08564,0.04395,-0.033422,-0.161332,0.12791
M&MFIN.NS,2001-08-15,7,streak_5plus,0.003874,-0.007785,0.01166,0.014944,-0.026384,0.041328,-0.02034,-0.08564,0.0653,-0.045109,-0.161332,0.116224
J&KBANK.NS,2001-10-31,2,streak_2,0.009952,-0.007785,0.017737,-0.014524,-0.026384,0.01186,-0.003228,-0.08564,0.082413,0.092792,-0.161332,0.254124
M&M.NS,2001-11-14,8,streak_5plus,-0.000855,-0.007785,0.00693,-0.027086,-0.026384,-0.000702,-0.04169,-0.08564,0.04395,-0.033422,-0.161332,0.12791
M&MFIN.NS,2001-11-14,8,streak_5plus,0.003874,-0.007785,0.01166,0.014944,-0.026384,0.041328,-0.02034,-0.08564,0.0653,-0.045109,-0.161332,0.116224
J&KBANK.NS,2002-01-17,3,streak_3,0.009952,-0.007785,0.017737,-0.014524,-0.026384,0.01186,-0.003228,-0.08564,0.082413,0.092792,-0.161332,0.254124
M&M.NS,2002-02-26,9,streak_5plus,-0.000855,-0.007785,0.00693,-0.027086,-0.026384,-0.000702,-0.04169,-0.08564,0.04395,-0.033422,-0.161332,0.12791
M&MFIN.NS,2002-02-26,9,streak_5plus,0.003874,-0.007785,0.01166,0.014944,-0.026384,0.041328,-0.02034,-0.08564,0.0653,-0.045109,-0.161332,0.116224
J&KBANK.NS,2002-04-18,4,streak_4,0.009952,-0.007785,0.017737,-0.014524,-0.026384,0.01186,-0.003228,-0.08564,0.082413,0.092792,-0.161332,0.254124
M&M.NS,2002-05-15,10,streak_5plus,-0.000855,-0.007785,0.00693,-0.027086,-0.026384,-0.000702,-0.04169,-0.08564,0.04395,-0.033422,-0.161332,0.12791
M&MFIN.NS,2002-05-15,10,streak_5plus,0.003874,-0.007785,0.01166,0.014944,-0.026384,0.041328,-0.02034,-0.08564,0.0653,-0.045109,-0.161332,0.116224
L&TFH.NS,2002-08-08,2,streak_2,-0.001031,-0.007785,0.006755,-0.001031,-0.026384,0.025353,-0.027835,-0.08564,0.057805,-0.115464,-0.161332,0.045868
M&M.NS,2002-08-14,11,streak_5plus,-0.000855,-0.007785,0.00693,-0.027086,-0.026384,-0.000702,-0.04169,-0.08564,0.04395,-0.033422,-0.161332,0.12791
M&MFIN.NS,2002-08-14,11,streak_5plus,0.003874,-0.007785,0.01166,0.014944,-0.026384,0.041328,-0.02034,-0.08564,0.0653,-0.045109,-0.161332,0.116224
M&M.NS,2003-08-13,2,streak_2,-0.000855,-0.007785,0.00693,-0.027086,-0.026384,-0.000702,-0.04169,-0.08564,0.04395,-0.033422,-0.161332,0.12791
M&MFIN.NS,2003-08-13,2,streak_2,0.003874,-0.007785,0.01166,0.014944,-0.026384,0.041328,-0.02034,-0.08564,0.0653,-0.045109,-0.161332,0.116224
M&M.NS,2003-11-12,3,streak_3,-0.000855,-0.007785,0.00693,-0.027086,-0.026384,-0.000702,-0.04169,-0.08564,0.04395,-0.033422,-0.161332,0.12791
M&MFIN.NS,2003-11-12,3,streak_3,0.003874,-0.007785,0.01166,0.014944,-0.026384,0.041328,-0.02034,-0.08564,0.0653,-0.045109,-0.161332,0.116224
M&M.NS,2004-02-24,4,streak_4,-0.000855,-0.007785,0.00693,-0.027086,-0.026384,-0.000702,-0.04169,-0.08564,0.04395,-0.033422,-0.161332,0.12791
M&MFIN.NS,2004-02-24,4,streak_4,0.003874,-0.007785,0.01166,0.014944,-0.026384,0.041328,-0.02034,-0.08564,0.0653,-0.045109,-0.161332,0.116224
L&TFH.NS,2004-04-29,2,streak_2,-0.001031,-0.007785,0.006755,-0.001031,-0.026384,0.025353,-0.027835,-0.08564,0.057805,-0.115464,-0.161332,0.045868
M&M.NS,2004-05-12,5,streak_5plus,-0.000855,-0.007785,0.00693,-0.027086,-0.026384,-0.000702,-0.04169,-0.08564,0.04395,-0.033422,-0.161332,0.12791
M&MFIN.NS,2004-05-12,5,streak_5plus,0.003874,-0.007785,0.01166,0.014944,-0.026384,0.041328,-0.02034,-0.08564,0.0653,-0.045109,-0.161332,0.116224
L&TFH.NS,2005-02-10,2,streak_2,-0.001031,-0.007785,0.006755,-0.001031,-0.026384,0.025353,-0.027835,-0.08564,0.057805,-0.115464,-0.161332,0.045868
M&M.NS,2006-02-21,2,streak_2,-0.000855,-0.007785,0.00693,-0.027086,-0.026384,-0.000702,-0.04169,-0.08564,0.04395,-0.033422,-0.161332,0.12791
M&MFIN.NS,2006-02-21,2,streak_2,0.003874,-0.007785,0.01166,0.014944,-0.026384,0.041328,-0.02034,-0.08564,0.0653,-0.045109,-0.161332,0.116224
J&KBANK.NS,2006-04-24,2,streak_2,0.009952,-0.007785,0.017737,-0.014524,-0.026384,0.01186,-0.003228,-0.08564,0.082413,0.092792,-0.161332,0.254124
J&KBANK.NS,2006-07-24,3,streak_3,0.009952,-0.007785,0.017737,-0.014524,-0.026384,0.01186,-0.003228,-0.08564,0.082413,0.092792,-0.161332,0.254124
M&M.NS,2006-08-09,3,streak_3,-0.000855,-0.007785,0.00693,-0.027086,-0.026384,-0.000702,-0.04169,-0.08564,0.04395,-0.033422,-0.161332,0.12791
M&MFIN.NS,2006-08-09,3,streak_3,0.003874,-0.007785,0.01166,0.014944,-0.026384,0.041328,-0.02034,-0.08564,0.0653,-0.045109,-0.161332,0.116224
L&TFH.NS,2006-10-31,2,streak_2,-0.001031,-0.007785,0.006755,-0.001031,-0.026384,0.025353,-0.027835,-0.08564,0.057805,-0.115464,-0.161332,0.045868
J&KBANK.NS,2006-11-01,4,streak_4,0.009952,-0.007785,0.017737,-0.014524,-0.026384,0.01186,-0.003228,-0.08564,0.082413,0.092792,-0.161332,0.254124
J&KBANK.NS,2007-01-22,5,streak_5plus,0.009952,-0.007785,0.017737,-0.014524,-0.026384,0.01186,-0.003228,-0.08564,0.082413,0.092792,-0.161332,0.254124
J&KBANK.NS,2007-04-23,6,streak_5plus,0.009952,-0.007785,0.017737,-0.014524,-0.026384,0.01186,-0.003228,-0.08564,0.082413,0.092792,-0.161332,0.254124
J&KBANK.NS,2007-07-23,7,streak_5plus,0.009952,-0.007785,0.017737,-0.014524,-0.026384,0.01186,-0.003228,-0.08564,0.082413,0.092792,-0.161332,0.254124
L&TFH.NS,2007-07-30,2,streak_2,-0.001031,-0.007785,0.006755,-0.001031,-0.026384,0.025353,-0.027835,-0.08564,0.057805,-0.115464,-0.161332,0.045868
J&KBANK.NS,2007-11-05,8,streak_5plus,0.009952,-0.007785,0.017737,-0.014524,-0.026384,0.01186,-0.003228,-0.08564,0.082413,0.092792,-0.161332,0.254124
M&M.NS,2007-11-14,2,streak_2,-0.000855,-0.007785,0.00693,-0.027086,-0.026384,-0.000702,-0.04169,-0.08564,0.04395,-0.033422,-0.161332,0.12791
M&MFIN.NS,2007-11-14,2,streak_2,0.003874,-0.007785,0.01166,0.014944,-0.026384,0.041328,-0.02034,-0.08564,0.0653,-0.045109,-0.161332,0.116224
J&KBANK.NS,2008-01-21,9,streak_5plus,0.009952,-0.007785,0.017737,-0.014524,-0.026384,0.01186,-0.003228,-0.08564,0.082413,0.092792,-0.161332,0.254124
M&M.NS,2008-02-26,3,streak_3,-0.000855,-0.007785,0.00693,-0.027086,-0.026384,-0.000702,-0.04169,-0.08564,0.04395,-0.033422,-0.161332,0.12791
M&MFIN.NS,2008-02-26,3,streak_3,0.003874,-0.007785,0.01166,0.014944,-0.026384,0.041328,-0.02034,-0.08564,0.0653,-0.045109,-0.161332,0.116224
J&KBANK.NS,2008-04-21,10,streak_5plus,0.009952,-0.007785,0.017737,-0.014524,-0.026384,0.01186,-0.003228,-0.08564,0.082413,0.092792,-0.161332,0.254124
J&KBANK.NS,2008-07-21,11,streak_5plus,0.009952,-0.007785,0.017737,-0.014524,-0.026384,0.01186,-0.003228,-0.08564,0.082413,0.092792,-0.161332,0.254124
M&M.NS,2008-08-13,4,streak_4,-0.000855,-0.007785,0.00693,-0.027086,-0.026384,-0.000702,-0.04169,-0.08564,0.04395,-0.033422,-0.161332,0.12791
M&MFIN.NS,2008-08-13,4,streak_4,0.003874,-0.007785,0.01166,0.014944,-0.026384,0.041328,-0.02034,-0.08564,0.0653,-0.045109,-0.161332,0.116224
M&M.NS,2008-11-12,5,streak_5plus,-0.000855,-0.007785,0.00693,-0.027086,-0.026384,-0.000702,-0.04169,-0.08564,0.04395,-0.033422,-0.161332,0.12791
M&MFIN.NS,2008-11-12,5,streak_5plus,0.003874,-0.007785,0.01166,0.014944,-0.026384,0.041328,-0.02034,-0.08564,0.0653,-0.045109,-0.161332,0.116224
M&M.NS,2009-02-24,6,streak_5plus,-0.000855,-0.007785,0.00693,-0.027086,-0.026384,-0.000702,-0.04169,-0.08564,0.04395,-0.033422,-0.161332,0.12791
