symbol,event_date,streak_length,category,stock_ret_1d,bench_ret_1d,abnormal_ret_1d,stock_ret_5d,bench_ret_5d,abnormal_ret_5d,stock_ret_21d,bench_ret_21d,abnormal_ret_21d,stock_ret_63d,bench_ret_63d,abnormal_ret_63d
0967.HK,2013-12-30,2,streak_2,0.004577,0.006392,-0.001815,0.132723,-0.008523,0.141246,0.826087,-0.06321,0.889297,0.729977,-0.010653,0.740631
1070.HK,2014-10-23,2,streak_2,0.071429,0.0,0.071429,0.027473,0.006,0.021473,0.115385,0.024,0.091385,0.21978,0.031333,0.188447
1177.HK,2014-11-10,2,streak_2,0.061224,0.005281,0.055944,0.096939,0.020462,0.076477,-0.010204,-0.030363,0.020159,-0.035714,0.023102,-0.058817
0551.HK,2014-11-13,2,streak_2,0.035073,0.014839,0.020235,0.052202,-0.028387,0.080589,0.050571,-0.067097,0.117668,0.131321,0.003871,0.12745
0386.HK,2014-11-28,2,streak_2,-0.036011,-0.025474,-0.010538,0.038781,-0.009144,0.047926,-0.022161,-0.044415,0.022255,0.01385,0.018942,-0.005091
0347.HK,2015-03-31,2,streak_2,-0.003502,0.014725,-0.018227,0.098074,0.056338,0.041736,0.1331,0.085147,0.047953,-0.056263,0.042254,-0.098517
2600.HK,2015-04-28,2,streak_2,-0.044807,-0.004676,-0.040131,-0.052953,-0.007013,-0.04594,-0.14053,-0.00526,-0.135269,-0.490835,-0.068381,-0.422454
0551.HK,2015-05-14,3,streak_3,-0.027496,0.025565,-0.053061,-0.049204,0.020214,-0.069418,-0.097685,-0.01962,-0.078065,-0.055716,-0.086207,0.030491
0778.HK,2015-07-27,2,streak_2,0.007212,0.01723,-0.010019,0.040865,0.00702,0.033846,-0.069712,-0.128271,0.058559,-0.002404,-0.022336,0.019932
1070.HK,2015-08-12,3,streak_3,0.047794,0.0,0.047794,0.047794,-0.039037,0.086831,-0.029412,-0.076773,0.047361,-0.044118,-0.0527,0.008582
0700.HK,2015-08-12,2,streak_2,0.068189,0.0,0.068189,0.034767,-0.039037,0.073804,-0.055677,-0.076773,0.021096,0.114881,-0.0527,0.167581
0762.HK,2015-08-21,2,streak_2,-0.019608,-0.061922,0.042314,-0.044818,0.000712,-0.04553,-0.053221,0.009253,-0.062474,-0.082633,0.047687,-0.13032
1177.HK,2015-08-25,3,streak_3,0.052133,0.016837,0.035295,0.085308,-0.010981,0.096289,0.227488,0.016837,0.210651,0.28436,0.086384,0.197977
