symbol,event_date,streak_length,category,stock_ret_1d,bench_ret_1d,abnormal_ret_1d,stock_ret_5d,bench_ret_5d,abnormal_ret_5d,stock_ret_21d,bench_ret_21d,abnormal_ret_21d,stock_ret_63d,bench_ret_63d,abnormal_ret_63d
9433.T,2014-04-30,2,streak_2,0.031416,0.012548,0.018868,0.008994,0.000818,0.008176,0.112257,0.045008,0.067249,0.132105,0.106656,0.025449
4704.T,2014-05-14,2,streak_2,0.001516,-0.009949,0.011465,-0.034846,-0.006453,-0.028393,0.015154,0.052433,-0.03728,0.080304,0.068567,0.011737
9433.T,2014-07-29,3,streak_3,-0.003559,0.00074,-0.004299,-0.03121,-0.02886,-0.002349,-0.025063,-0.026394,0.001331,0.122536,-0.073261,0.195797
7732.T,2014-07-31,2,streak_2,0.05082,-0.000751,0.051571,-0.047456,-0.023267,-0.024189,0.020162,-0.016512,0.036675,0.036602,-0.050038,0.08664
6592.T,2014-11-04,2,streak_2,0.016894,-0.00508,0.021974,-0.007391,-0.00762,0.000229,0.069695,-0.006604,0.076299,0.032454,0.0,0.032454
9435.T,2014-11-10,2,streak_2,0.059155,0.005922,0.053233,0.104225,-0.006952,0.111177,0.06338,-0.018795,0.082175,None,None,None
4704.T,2014-11-12,3,streak_3,-0.012034,0.008747,-0.020781,-0.049468,0.0,-0.049468,-0.057489,-0.026499,-0.03099,-0.063833,0.028557,-0.09239
8725.T,2014-11-19,2,streak_2,0.007395,-0.010291,0.017686,0.059995,-0.000772,0.060766,0.113163,-0.007718,0.120881,0.248351,0.056856,0.191495
9678.T,2014-12-10,2,streak_2,-0.097913,0.002624,-0.100537,-0.203655,-0.008922,-0.194734,None,None,None,-0.078329,0.09735,-0.175679
9948.T,2015-01-07,2,streak_2,-0.056644,0.012087,-0.068731,-0.046455,0.004566,-0.051021,0.010596,0.048617,-0.038021,0.165661,0.162772,0.002889
6506.T,2015-01-22,2,streak_2,0.056561,-0.003633,0.060193,0.018848,0.016347,0.002502,0.088209,0.065906,0.022304,0.148007,0.152828,-0.004821
4185.T,2015-01-26,2,streak_2,-0.042543,0.001545,-0.044088,-0.02805,0.001545,-0.029595,0.014025,0.060247,-0.046222,-0.041608,0.145726,-0.187334
2413.T,2015-01-27,2,streak_2,0.079238,-0.001542,0.080781,0.054654,-0.001542,0.056197,0.185794,0.068123,0.117671,0.077205,0.147558,-0.070353
4684.T,2015-01-27,2,streak_2,0.003881,-0.001542,0.005424,0.059427,-0.001542,0.06097,0.140835,0.068123,0.072711,0.350506,0.147558,0.202948
8316.T,2015-01-27,2,streak_2,-0.021343,-0.001542,-0.0198,-0.061867,-0.001542,-0.060325,0.12743,0.068123,0.059306,0.337148,0.147558,0.18959
4901.T,2015-01-28,2,streak_2,0.038836,0.008496,0.03034,0.034669,0.005149,0.029519,0.074692,0.065396,0.009295,None,None,None
7974.T,2015-01-28,2,streak_2,-0.086583,0.008496,-0.095079,-0.078049,0.005149,-0.083199,0.039025,0.065396,-0.026372,None,None,None
9507.T,2015-01-28,2,streak_2,0.029055,0.008496,0.020559,0.058119,0.005149,0.05297,0.089304,0.065396,0.023907,None,None,None
6954.T,2015-01-28,2,streak_2,-0.033838,0.008496,-0.042335,-0.025918,0.005149,-0.031067,0.101272,0.065396,0.035875,None,None,None
8591.T,2015-01-29,2,streak_2,-0.034951,-0.017105,-0.017846,0.005289,0.005106,0.000183,0.179673,0.059229,0.120444,0.336539,0.100077,0.236462
8604.T,2015-01-29,2,streak_2,0.01455,-0.017105,0.031655,0.000496,0.005106,-0.00461,0.166478,0.059229,0.107249,0.258858,0.100077,0.158781
9505.T,2015-01-29,2,streak_2,0.056922,-0.017105,0.074027,0.039845,0.005106,0.034739,0.01138,0.059229,-0.047849,0.139483,0.100077,0.039407
9506.T,2015-01-29,2,streak_2,0.02684,-0.017105,0.043945,0.023393,0.005106,0.018287,-0.038545,0.059229,-0.097774,0.044812,0.100077,-0.055265
9064.T,2015-01-29,2,streak_2,0.02684,-0.017105,0.043945,0.011503,0.005106,0.006397,0.089915,0.059229,0.030686,0.035651,0.100077,-0.064426
6701.T,2015-01-29,2,streak_2,-0.074792,-0.017105,-0.057687,-0.102496,0.005106,-0.107601,-0.002773,0.059229,-0.062002,0.126213,0.100077,0.026137
4063.T,2015-01-29,2,streak_2,-0.004438,-0.017105,0.012667,-0.005329,0.005106,-0.010435,0.046809,0.059229,-0.01242,-0.061235,0.100077,-0.161311
2327.T,2015-01-29,2,streak_2,-0.027711,-0.017105,-0.010606,0.047655,0.005106,0.042549,0.155801,0.059229,0.096572,0.370479,0.100077,0.270402
6971.T,2015-01-29,2,streak_2,-0.026283,-0.017105,-0.009178,-0.016405,0.005106,-0.021511,0.1178,0.059229,0.058571,0.179129,0.100077,0.079052
7276.T,2015-01-29,2,streak_2,0.076605,-0.017105,0.09371,-0.015317,0.005106,-0.020423,0.065463,0.059229,0.006234,0.17866,0.100077,0.078583
6645.T,2015-01-29,2,streak_2,-0.060275,-0.017105,-0.04317,-0.05237,0.005106,-0.057476,0.035575,0.059229,-0.023654,0.098825,0.100077,-0.001252
4307.T,2015-01-29,2,streak_2,0.030735,-0.017105,0.04784,0.02562,0.005106,0.020514,0.07427,0.059229,0.015041,0.225785,0.100077,0.125709
6857.T,2015-01-29,2,streak_2,0.093267,-0.017105,0.110372,0.07158,0.005106,0.066475,0.15111,0.059229,0.091881,0.030752,0.100077,-0.069325
2875.T,2015-01-30,2,streak_2,-0.041916,0.01039,-0.052305,-0.051497,0.014026,-0.065523,0.023953,0.072208,-0.048255,0.004314,0.133247,-0.128933
7741.T,2015-01-30,2,streak_2,0.014677,0.01039,0.004287,-0.021743,0.014026,-0.035769,0.058382,0.072208,-0.013825,0.022918,0.133247,-0.110328
9104.T,2015-01-30,2,streak_2,0.020006,0.01039,0.009616,0.01751,0.014026,0.003484,0.09501,0.072208,0.022802,0.034806,0.133247,-0.09844
9021.T,2015-01-30,2,streak_2,0.050672,0.01039,0.040283,0.038829,0.014026,0.024803,0.121258,0.072208,0.049051,0.131676,0.133247,-0.001571
6103.T,2015-01-30,2,streak_2,0.076011,0.01039,0.065622,0.108589,0.014026,0.094563,0.126356,0.072208,0.054148,0.301272,0.133247,0.168026
4005.T,2015-01-30,2,streak_2,0.087629,0.01039,0.07724,0.094015,0.014026,0.079989,0.235052,0.072208,0.162844,0.436441,0.133247,0.303194
9508.T,2015-01-30,2,streak_2,-0.048992,0.01039,-0.059382,-0.064738,0.014026,-0.078764,-0.097106,0.072208,-0.169314,0.10674,0.133247,-0.026506
9433.T,2015-01-30,5,streak_5plus,-0.036936,0.01039,-0.047326,-0.078306,0.014026,-0.092332,-0.019477,0.072208,-0.091685,0.047876,0.133247,-0.085371
8697.T,2015-01-30,2,streak_2,-0.029955,0.01039,-0.040345,0.033193,0.014026,0.019167,0.187293,0.072208,0.115085,0.266689,0.133247,0.133442
9513.T,2015-01-30,2,streak_2,0.080046,0.01039,0.069657,0.015082,0.014026,0.001056,-0.097447,0.072208,-0.169655,-0.058921,0.133247,-0.192168
9107.T,2015-01-30,2,streak_2,0.008824,0.01039,-0.001566,-0.038237,0.014026,-0.052263,0.061767,0.072208,-0.01044,-0.063372,0.133247,-0.196619
9022.T,2015-01-30,2,streak_2,-0.007137,0.01039,-0.017527,-0.033219,0.014026,-0.047245,0.095472,0.072208,0.023264,0.050376,0.133247,-0.082871
8308.T,2015-01-30,2,streak_2,-0.011384,0.01039,-0.021773,0.057095,0.014026,0.043069,0.092455,0.072208,0.020247,0.117035,0.133247,-0.016212
