symbol,event_date,streak_length,category,stock_ret_1d,bench_ret_1d,abnormal_ret_1d,stock_ret_5d,bench_ret_5d,abnormal_ret_5d,stock_ret_21d,bench_ret_21d,abnormal_ret_21d,stock_ret_63d,bench_ret_63d,abnormal_ret_63d
114090.KS,2013-05-03,2,streak_2,0.041543,-0.006141,0.047685,0.038576,-0.027107,0.065683,0.074184,-0.009106,0.083291,-0.07341,-0.03579,-0.03762
005930.KS,2014-04-28,2,streak_2,-0.020173,0.00409,-0.024263,None,None,None,0.032421,0.036813,-0.004393,-0.021245,0.052396,-0.073641
000100.KS,2014-10-28,2,streak_2,-0.00831,0.009845,-0.018155,-0.047091,-0.018224,-0.028867,-0.036011,-0.01571,-0.020301,-0.059713,-0.014244,-0.045469
000660.KS,2015-01-28,2,streak_2,-0.036585,-0.00212,-0.034465,-0.038618,0.003817,-0.042434,-0.052845,-0.007422,-0.045424,-0.046748,0.08609,-0.132838
029780.KS,2015-01-29,2,streak_2,-0.002611,-0.022524,0.019913,0.011749,0.0017,0.010049,-0.010444,0.002337,-0.012782,0.073107,0.074586,-0.001479
017670.KS,2015-01-29,2,streak_2,0.017606,-0.022524,0.04013,-0.021127,0.0017,-0.022827,0.0,0.002337,-0.002337,0.010563,0.074586,-0.064022
138930.KS,2015-02-04,2,streak_2,-0.048109,-0.004225,-0.043884,0.010309,-0.038868,0.049177,-0.013746,-0.00845,-0.005296,0.120276,0.053866,0.06641
181710.KS,2015-02-04,2,streak_2,-0.059602,-0.004225,-0.055378,-0.019867,-0.038868,0.019,-0.066225,-0.00845,-0.057776,-0.161589,0.053866,-0.215455
039490.KS,2015-02-05,2,streak_2,-0.005111,-0.015274,0.010163,-0.018739,-0.025456,0.006717,0.117547,-0.01188,0.129426,0.248722,0.047094,0.201628
071320.KS,2015-02-06,2,streak_2,-0.013436,-0.000646,-0.01279,-0.026871,-0.002154,-0.024717,0.071017,-0.021112,0.092129,0.276392,0.068074,0.208317
036570.KS,2015-02-10,2,streak_2,-0.02331,-0.011944,-0.011366,None,None,None,-0.179487,-0.002172,-0.177316,-0.048951,0.063844,-0.112795
051600.KS,2015-02-11,2,streak_2,0.011148,0.00967,0.001478,None,None,None,0.00223,-0.004615,0.006845,0.059086,0.083516,-0.024431
051900.KS,2015-04-21,2,streak_2,-0.041801,0.007876,-0.049676,-0.066452,0.022839,-0.089291,-0.045016,-0.025005,-0.020011,-0.210075,-0.142351,-0.067724
000660.KS,2015-04-23,3,streak_3,0.030567,-0.004422,0.03499,0.007642,-0.027687,0.035329,0.04476,-0.048452,0.093212,-0.148472,-0.181504,0.033032
000270.KS,2015-04-24,2,streak_2,0.023669,0.000386,0.023282,None,None,None,-0.061144,-0.060255,-0.000889,-0.175542,-0.192545,0.017003
