symbol,event_date,streak_length,category,stock_ret_1d,bench_ret_1d,abnormal_ret_1d,stock_ret_5d,bench_ret_5d,abnormal_ret_5d,stock_ret_21d,bench_ret_21d,abnormal_ret_21d,stock_ret_63d,bench_ret_63d,abnormal_ret_63d
GAZ.L,2009-03-30,2,streak_2,0.0,0.033333,-0.033333,0.0,0.097222,-0.097222,0.0,0.141667,-0.141667,0.0,0.333333,-0.333333
GAZ.L,2009-06-29,3,streak_3,0.0,-0.005556,0.005556,0.0,-0.046528,0.046528,0.0,0.05,-0.05,0.428689,0.164583,0.264105
GAZ.L,2009-09-29,4,streak_4,0.0,-0.000595,0.000595,0.340218,-0.012485,0.352703,0.437177,0.00654,0.430637,0.578313,0.055886,0.522428
GAZ.L,2009-12-30,5,streak_5plus,0.011817,-0.006711,0.018528,0.045421,0.016219,0.029202,-0.091581,-0.048658,-0.042923,-0.001108,0.016779,-0.017887
GAZ.L,2010-12-30,2,streak_2,-0.00858,0.01032,-0.0189,0.007626,0.006708,0.000918,0.049094,0.021156,0.027938,0.193994,0.04128,0.152714
LKOD.L,2011-09-29,2,streak_2,-0.01834,-0.031465,0.013125,-0.053282,0.01373,-0.067012,0.142857,0.137872,0.004986,0.021236,0.072654,-0.051419
SBER.L,2011-12-30,2,streak_2,0.056451,0.029787,0.026664,0.061492,0.007447,0.054045,0.252016,0.049468,0.202548,0.308468,0.094681,0.213787
SBER.L,2012-03-30,3,streak_3,0.010903,0.022355,-0.011451,None,None,None,0.032179,0.022355,0.009824,-0.146467,-0.036264,-0.110203
GAZ.L,2012-06-29,2,streak_2,0.003921,0.014433,-0.010512,0.006536,0.003093,0.003443,-0.001743,0.008763,-0.010506,0.070588,0.068041,0.002547
BQAD.L,2012-06-29,2,streak_2,0.008264,0.014433,-0.006169,-0.008264,0.003093,-0.011357,-0.008264,0.008763,-0.017027,-0.024793,0.068041,-0.092834
