symbol,event_date,streak_length,category,stock_ret_1d,bench_ret_1d,abnormal_ret_1d,stock_ret_5d,bench_ret_5d,abnormal_ret_5d,stock_ret_21d,bench_ret_21d,abnormal_ret_21d,stock_ret_63d,bench_ret_63d,abnormal_ret_63d
AKAST.OL,2014-11-06,2,streak_2,0.00962,0.0008,0.00882,-0.01191,0.004264,-0.016175,-0.20568,0.02452,-0.230201,-0.171324,0.005064,-0.176388
MING.OL,2015-02-04,2,streak_2,0.031447,0.01398,0.017466,0.013572,-0.002374,0.015946,0.099636,0.012398,0.087238,0.293942,0.055394,0.238548
DNB.OL,2015-02-05,2,streak_2,0.026312,-0.015088,0.0414,0.019584,0.004943,0.014642,0.092839,0.002341,0.090498,0.200478,0.036941,0.163538
KOG.OL,2015-02-06,2,streak_2,0.007576,-0.003962,0.011538,0.048951,0.023772,0.025179,0.090326,-0.007132,0.097458,0.132867,0.078183,0.054684
NHY.OL,2015-02-11,2,streak_2,0.035013,0.021417,0.013595,0.004645,0.029878,-0.025234,-0.059664,-0.004231,-0.055434,-0.167203,0.078794,-0.245997
STB.OL,2015-02-11,2,streak_2,-0.009454,0.021417,-0.030871,0.0,0.029878,-0.029878,0.113445,-0.004231,0.117676,0.110294,0.078794,0.0315
AFG.OL,2015-02-13,2,streak_2,0.016706,0.002838,0.013868,0.011267,0.0129,-0.001633,0.0946,-0.01806,0.11266,0.173271,0.068885,0.104386
BAKKA.OL,2015-02-24,2,streak_2,0.052792,0.000759,0.052033,0.074468,-0.009866,0.084334,0.06519,-0.006324,0.071514,0.291473,0.015178,0.276295
YAR.OL,2015-04-24,2,streak_2,-0.017079,0.008451,-0.02553,None,None,None,-0.000133,-0.002486,0.002352,0.093222,-0.021626,0.114848
SRBNK.OL,2015-04-28,2,streak_2,-0.008814,-0.008391,-0.000423,0.009081,-0.01925,0.028331,0.0,0.002962,-0.002962,-0.136218,-0.023198,-0.11302
MING.OL,2015-05-08,3,streak_3,0.014744,-0.00392,0.018664,0.000259,0.014944,-0.014685,-0.003621,-0.034787,0.031166,-0.110191,-0.022293,-0.087898
SALM.OL,2015-05-20,2,streak_2,0.008233,0.005828,0.002405,0.016467,-0.013113,0.02958,0.006838,-0.030597,0.037435,0.229556,-0.057552,0.287108
DNB.OL,2015-07-10,4,streak_4,0.017292,0.000502,0.01679,0.03151,0.010289,0.021222,-0.014987,0.012296,-0.027283,-0.092993,-0.053701,-0.039292
TEL.OL,2015-07-22,2,streak_2,0.011905,-0.003255,0.01516,0.018567,-0.006259,0.024826,-0.059524,-0.050075,-0.009449,-0.06007,-0.057837,-0.002233
EQNR.OL,2015-07-28,2,streak_2,0.039346,0.002779,0.036567,0.032567,0.006822,0.025745,-0.098365,-0.065184,-0.033181,0.073375,-0.041182,0.114557
MING.OL,2015-08-12,4,streak_4,0.003972,-0.003032,0.007003,-0.01617,-0.019454,0.003284,-0.064681,-0.063416,-0.001265,-0.153191,-0.066953,-0.086238
VEI.OL,2015-08-13,2,streak_2,0.002562,0.002281,0.000281,0.010888,-0.03852,0.049408,0.06234,-0.070705,0.133044,0.135781,-0.059554,0.195335
AFG.OL,2015-08-21,4,streak_4,-0.018782,-0.026401,0.007619,0.009312,0.003502,0.00581,0.018624,-0.043642,0.062266,0.210227,0.007543,0.202684
SALM.OL,2015-08-25,3,streak_3,-0.023866,0.017042,-0.040908,-0.027843,-0.007971,-0.019872,0.04363,-0.030511,0.074141,0.134866,0.012919,0.121947
NHY.OL,2015-10-21,2,streak_2,-0.036945,0.009618,-0.046563,-0.013979,0.011488,-0.025467,0.039441,-0.000802,0.040242,-0.10684,-0.10179,-0.00505
DNB.OL,2015-10-22,5,streak_5plus,-0.005428,0.008732,-0.014161,-0.041718,-0.002646,-0.039072,0.001861,-0.017465,0.019326,-0.117556,-0.12199,0.004434
TEL.OL,2015-10-28,3,streak_3,-0.010729,-0.00449,-0.006239,-0.03102,-0.00317,-0.027851,-0.056793,-0.017961,-0.038832,-0.13656,-0.09588,-0.04068
XXL.OL,2015-10-28,2,streak_2,0.002847,-0.00449,0.007337,0.031251,-0.00317,0.034421,0.076704,-0.017961,0.094665,0.036929,-0.09588,0.132808
SALM.OL,2015-11-12,4,streak_4,-0.017463,-0.00821,-0.009253,-0.017463,0.023536,-0.040999,-0.041803,-0.023536,-0.018267,0.125409,-0.097427,0.222837
DNB.OL,2016-02-04,6,streak_5plus,0.014893,-0.014506,0.029398,-0.094094,-0.056838,-0.037255,0.008969,0.024867,-0.015897,None,None,None
NHY.OL,2016-02-17,3,streak_3,-0.008236,-0.00594,-0.002296,0.007752,-0.022572,0.030324,0.063469,0.059103,0.004366,None,None,None
SALM.OL,2016-02-19,5,streak_5plus,0.040494,0.005079,0.035415,0.057926,-0.006573,0.064499,0.150717,0.059755,0.090962,0.286908,0.051389,0.235518
XXL.OL,2016-02-19,3,streak_3,0.049718,0.005079,0.044639,0.055247,-0.006573,0.06182,0.080106,0.059755,0.020351,0.116014,0.051389,0.064625
NAS.OL,2016-04-21,2,streak_2,0.009396,-0.001918,0.011314,0.064066,0.001096,0.062969,-0.006549,-0.026857,0.020307,-0.196185,-0.034804,-0.161381
SRBNK.OL,2016-04-27,2,streak_2,0.033995,-0.004903,0.038899,0.02903,-0.030782,0.059812,0.078686,-0.002724,0.08141,0.039343,-0.029147,0.06849
STB.OL,2016-04-27,2,streak_2,0.006387,-0.004903,0.011291,-0.003992,-0.030782,0.02679,0.036327,-0.002724,0.039051,-0.05988,-0.029147,-0.030733
GJF.OL,2016-04-28,2,streak_2,-0.00153,-0.002737,0.001207,None,None,None,0.03178,-0.000548,0.032327,0.012947,-0.02409,0.037037
AKSO.OL,2016-04-28,2,streak_2,-0.030631,-0.002737,-0.027893,None,None,None,-0.062162,-0.000548,-0.061615,0.122523,-0.02409,0.146612
DNB.OL,2016-04-28,7,streak_5plus,-0.023684,-0.002737,-0.020947,None,None,None,0.020898,-0.000548,0.021445,-0.122136,-0.02409,-0.098046
BAKKA.OL,2016-05-10,2,streak_2,0.006772,-0.005306,0.012077,None,None,None,0.052006,0.016755,0.035251,0.034864,0.00754,0.027325
