symbol,event_date,streak_length,category,stock_ret_1d,bench_ret_1d,abnormal_ret_1d,stock_ret_5d,bench_ret_5d,abnormal_ret_5d,stock_ret_21d,bench_ret_21d,abnormal_ret_21d,stock_ret_63d,bench_ret_63d,abnormal_ret_63d
CPFE3.SA,2014-08-18,2,streak_2,0.000909,0.017456,-0.016546,0.077273,0.020477,0.056796,-0.025455,-0.020141,-0.005314,-0.13,-0.21618,0.08618
TRPL4.SA,2014-10-30,2,streak_2,0.036281,0.011408,0.024873,0.024943,-0.055468,0.080411,0.072562,-0.061762,0.134325,0.070295,-0.178206,0.248501
EZTC3.SA,2014-11-10,2,streak_2,0.036403,-0.001244,0.037646,0.047109,-0.041045,0.088154,0.117773,-0.082504,0.200277,-0.184154,-0.172056,-0.012098
B3SA3.SA,2014-11-14,2,streak_2,-0.011952,-0.009422,-0.00253,0.075697,0.119058,-0.043361,-0.103586,-0.138758,0.035172,-0.015936,-0.087794,0.071858
COGN3.SA,2014-11-14,2,streak_2,-0.022801,-0.009422,-0.013379,0.058632,0.119058,-0.060426,-0.059935,-0.138758,0.078823,-0.3557,-0.087794,-0.267906
BBDC4.SA,2015-01-29,2,streak_2,-0.030233,-0.04707,0.016837,0.025581,-0.013844,0.039425,0.072093,-0.041532,0.113625,0.117442,0.005999,0.111443
ITUB4.SA,2015-02-02,2,streak_2,0.027685,0.028243,-0.000558,0.060908,0.004308,0.0566,0.089701,-0.041647,0.131348,0.169435,0.041168,0.128267
SANB11.SA,2015-02-03,2,streak_2,0.030928,-0.013035,0.043963,-0.001289,-0.051676,0.050387,0.091495,-0.081006,0.1725,0.323454,0.025605,0.297848
ABCB4.SA,2015-02-04,2,streak_2,0.019324,0.008019,0.011305,0.048309,-0.058019,0.106328,0.028986,-0.093396,0.122382,0.091787,0.031132,0.060655
CVCB3.SA,2015-02-06,2,streak_2,0.020906,0.012548,0.008358,0.038327,0.01834,0.019988,-0.031359,-0.114865,0.083506,0.235984,0.080598,0.155385
ITSA4.SA,2015-02-10,2,streak_2,-0.015504,-0.019637,0.004133,0.046512,0.045655,0.000856,0.0,-0.102602,0.102602,0.116279,0.079038,0.037241
BBSE3.SA,2015-02-10,2,streak_2,0.002724,-0.019637,0.02236,0.005901,0.045655,-0.039754,-0.016341,-0.102602,0.086261,0.218339,0.079038,0.139301
BBAS3.SA,2015-02-11,2,streak_2,0.051497,0.039559,0.011938,0.107784,0.054582,0.053203,-0.02994,-0.116675,0.086735,0.20479,0.088132,0.116658
USIM3.SA,2015-02-18,2,streak_2,-0.086983,-0.011268,-0.075716,-0.24306,-0.007042,-0.236018,-0.028994,-0.146009,0.117015,-0.102406,0.004225,-0.106631
BRFS3.SA,2015-02-26,2,streak_2,-0.038516,0.013321,-0.051836,-0.049596,-0.060894,0.011299,-0.055751,-0.132731,0.07698,-0.033591,-0.050428,0.016837
RADL3.SA,2015-02-26,2,streak_2,0.013793,0.013321,0.000472,-0.004598,-0.060894,0.056297,-0.009195,-0.132731,0.123535,0.310345,-0.050428,0.360773
ENBR3.SA,2015-03-02,2,streak_2,-0.006928,-0.007703,0.000775,-0.045035,-0.108329,0.063295,0.191686,-0.090997,0.282682,0.275355,-0.058257,0.333612
LEVE3.SA,2015-03-17,2,streak_2,-0.014013,0.028899,-0.042911,-0.035669,0.055071,-0.09074,-0.019108,0.158124,-0.177233,0.058599,0.110142,-0.051543
CGAS5.SA,2015-03-18,2,streak_2,0.027341,-0.036036,0.063377,0.091135,0.009539,0.081596,0.177299,0.101749,0.07555,0.077879,0.082141,-0.004262
ENAT3.SA,2015-03-18,2,streak_2,0.003289,-0.036036,0.039325,0.041118,0.009539,0.031579,0.190789,0.101749,0.08904,0.296599,0.082141,0.214458
EZTC3.SA,2015-03-19,3,streak_3,0.024719,0.04398,-0.019261,0.060674,0.024739,0.035935,0.078652,0.141836,-0.063184,0.033708,0.142936,-0.109228
COGN3.SA,2015-03-19,3,streak_3,0.019355,0.04398,-0.024625,-0.016129,0.024739,-0.040868,0.025806,0.141836,-0.11603,0.213978,0.142936,0.071043
TGMA3.SA,2015-03-26,2,streak_2,0.027741,-0.021996,0.049737,0.151915,0.073498,0.078418,0.155878,0.188841,-0.032963,-0.054161,0.072425,-0.126586
SEER3.SA,2015-03-31,2,streak_2,0.032755,0.028072,0.004683,0.05106,0.092691,-0.041631,0.157033,0.154661,0.002372,0.147399,0.064089,0.08331
SANB11.SA,2015-04-28,3,streak_3,0.008273,-0.012173,0.020446,0.062048,-0.006763,0.06881,0.003102,-0.10009,0.103193,0.008273,-0.211452,0.219725
