symbol,event_date,streak_length,category,stock_ret_1d,bench_ret_1d,abnormal_ret_1d,stock_ret_5d,bench_ret_5d,abnormal_ret_5d,stock_ret_21d,bench_ret_21d,abnormal_ret_21d,stock_ret_63d,bench_ret_63d,abnormal_ret_63d
F&D.BK,2000-04-17,2,streak_2,0.0,0.026472,-0.026472,-0.076319,0.052608,-0.128927,-0.076319,0.031296,-0.107614,-0.15376,0.066629,-0.220389
F&D.BK,2000-07-19,3,streak_3,0.0,0.013889,-0.013889,0.091512,-0.018024,0.109536,0.091512,0.01092,0.080592,0.091512,-0.090649,0.182161
F&D.BK,2000-10-18,4,streak_4,0.0,0.037683,-0.037683,0.0,0.015331,-0.015331,-0.042527,0.023288,-0.065816,0.020656,0.001287,0.019369
F&D.BK,2001-07-18,2,streak_2,0.01908,0.008753,0.010327,0.039282,-0.015832,0.055114,0.462402,-0.019565,0.481967,0.538721,-0.092032,0.630753
F&D.BK,2002-04-17,2,streak_2,0.0,-0.004369,0.004369,-0.037377,-0.031399,-0.005977,-0.25,-0.023072,-0.226928,-0.300071,-0.193857,-0.106214
F&D.BK,2002-07-17,3,streak_3,0.0,-0.032515,0.032515,0.0,-0.066384,0.066384,0.0,0.030313,-0.030313,0.0267,-0.01812,0.04482
F&D.BK,2002-10-16,4,streak_4,0.0,0.019975,-0.019975,-0.008755,0.042249,-0.051003,0.0,0.048436,-0.048436,0.0,0.068411,-0.068411
F&D.BK,2003-01-21,5,streak_5plus,0.0,-0.01211,0.01211,0.138132,-0.038376,0.176509,0.0,-0.055262,0.055262,0.085117,0.02746,0.057656
F&D.BK,2003-04-16,6,streak_5plus,0.017929,0.014948,0.002981,0.026446,0.035223,-0.008778,0.052891,0.075086,-0.022195,0.228149,0.120275,0.107874
F&D.BK,2003-07-16,7,streak_5plus,0.0,-0.014212,0.014212,0.0,-0.006804,0.006804,0.035766,-0.006199,0.041965,0.143066,0.057605,0.085461
F&D.BK,2003-10-16,8,streak_5plus,0.056555,-0.010994,0.067549,0.006427,-0.01956,0.025987,0.025386,0.000428,0.024957,0.006427,0.088806,-0.08238
F&D.BK,2004-01-22,9,streak_5plus,0.0,-0.003262,0.003262,0.0,-0.011482,0.011482,-0.058514,-0.001827,-0.056687,-0.056347,-0.001305,-0.055042
F&D.BK,2004-04-21,10,streak_5plus,0.0,0.014043,-0.014043,0.067913,0.001325,0.066589,-0.060696,-0.027027,-0.033669,-0.040354,-0.021198,-0.019157
F&D.BK,2004-07-20,11,streak_5plus,-0.014017,-0.018385,0.004368,0.015043,-0.016787,0.031829,0.0,-0.014388,0.014388,-0.014017,0.00453,-0.018547
F&D.BK,2004-10-19,12,streak_5plus,0.0,-0.002006,0.002006,0.0,0.007222,-0.007222,0.0,0.07396,-0.07396,None,None,None
F&D.BK,2005-01-20,13,streak_5plus,0.045237,-0.00613,0.051367,None,None,None,0.037882,0.024643,0.013238,None,None,None
L&E.BK,2005-02-10,2,streak_2,-0.005136,0.008592,-0.013728,0.005108,0.004051,0.001057,0.076923,0.011661,0.065262,0.142849,-0.027863,0.170712
L&E.BK,2006-10-31,2,streak_2,0.0,-0.00683,0.00683,0.067665,0.005899,0.061766,0.180439,0.01987,0.16057,0.263147,0.056711,0.206436
F&D.BK,2010-01-28,4,streak_4,0.0,-0.010894,0.010894,0.0,-0.019706,0.019706,None,None,None,0.055269,0.117748,-0.062479
F&D.BK,2010-04-27,5,streak_5plus,0.0,0.007596,-0.007596,0.0,-0.008043,0.008043,None,None,None,None,None,None
F&D.BK,2010-10-26,7,streak_5plus,-0.00438,-0.002869,-0.00151,0.0,0.006291,-0.006291,0.003893,0.012471,-0.008578,None,None,None
F&D.BK,2011-07-26,2,streak_2,0.016379,-0.020436,0.036814,0.05687,-0.058789,0.115659,None,None,None,None,None,None
F&D.BK,2012-10-30,3,streak_3,0.0,0.01041,-0.01041,-0.036082,-0.011567,-0.024516,0.08634,0.005605,0.080735,0.582796,0.077498,0.505298
F&D.BK,2013-01-29,4,streak_4,0.004458,-0.003979,0.008437,-0.004458,0.00257,-0.007028,-0.103951,0.0063,-0.110251,-0.131104,0.064572,-0.195677
S&J.BK,2014-04-29,3,streak_3,-0.005863,0.002986,-0.008849,None,None,None,-0.027638,0.024602,-0.052241,0.0,0.054008,-0.054008
F&D.BK,2014-10-24,2,streak_2,-0.008686,-0.001352,-0.007334,0.0,0.026613,-0.026613,-0.043051,0.055132,-0.098184,-0.111782,0.0378,-0.149582
SIRI.BK,2014-11-14,2,streak_2,0.0,0.00065,-0.00065,-0.010003,0.011941,-0.021944,-0.139999,-0.030975,-0.109024,0.0,0.034521,-0.034521
SCC.BK,2015-01-28,2,streak_2,0.008333,0.009239,-0.000905,0.020848,0.019557,0.001291,0.091697,0.052553,0.039144,0.13204,0.056812,0.075228
F&D.BK,2015-01-29,3,streak_3,-0.004398,-0.012602,0.008204,0.014072,0.020448,-0.006376,0.174582,0.049516,0.125067,0.28496,0.036617,0.248344
KTC.BK,2015-02-17,2,streak_2,0.077441,0.000114,0.077327,0.158249,0.008115,0.150134,0.188552,0.001657,0.186895,0.301347,0.018744,0.282603
M.BK,2015-02-24,2,streak_2,0.025891,-0.00085,0.026741,0.047424,-0.003288,0.050712,-0.004102,-0.024262,0.02016,-0.043579,-0.000794,-0.042785
SPALI.BK,2015-02-25,2,streak_2,-0.003882,-0.001191,-0.002691,None,None,None,-0.083851,-0.025757,-0.058094,-0.208851,0.009531,-0.218382
CPN.BK,2015-02-26,2,streak_2,-0.016775,-0.003408,-0.013367,-0.03355,-0.004374,-0.029176,-0.027868,-0.022323,-0.005545,-0.012987,0.0096,-0.022587
SIRI.BK,2015-03-02,3,streak_3,-0.028856,-0.004135,-0.024721,0.0,-0.017161,0.017161,-0.054406,-0.021919,-0.032488,None,None,None
TISCO.BK,2015-04-17,2,streak_2,0.011,0.00914,0.00186,0.021999,0.017762,0.004237,0.044476,0.024717,0.019759,0.021521,0.026729,-0.005208
SCC.BK,2015-04-29,3,streak_3,0.003721,-0.010048,0.013768,0.011188,-0.012035,0.023223,-0.014935,0.002668,-0.017603,-0.037312,0.00579,-0.043102
MC.BK,2015-05-14,2,streak_2,0.007837,0.00107,0.006767,0.103448,0.006083,0.097365,0.208464,-0.014589,0.223053,0.064263,-0.011942,0.076205
SAWAD.BK,2015-05-14,2,streak_2,0.0259,0.00107,0.02483,0.070237,0.006083,0.064154,0.044776,-0.014589,0.059365,-0.0259,-0.011942,-0.013958
CENTEL.BK,2015-05-15,2,streak_2,0.022031,0.003095,0.018936,0.073116,0.002588,0.070528,0.094828,-0.010297,0.105125,0.073116,-0.009397,0.082513
CPN.BK,2015-05-16,3,streak_3,0.011513,-0.00028,0.011794,-0.011513,-0.011219,-0.000294,0.069079,-0.01178,0.080859,0.034539,-0.006956,0.041495
DELTA.BK,2015-07-27,2,streak_2,-0.012177,0.012253,-0.024429,0.00761,0.014496,-0.006886,-0.004566,-0.094397,0.089831,None,None,None
IRPC.BK,2015-08-04,2,streak_2,0.006579,0.003295,0.003284,-0.029605,-0.003352,-0.026253,-0.131579,-0.066701,-0.064878,-0.009868,0.010056,-0.019925
TTW.BK,2015-08-10,2,streak_2,-0.009302,-0.008983,-0.00032,0.009302,0.000113,0.009189,0.0,-0.074911,0.074911,-0.026357,0.002712,-0.029068
SAWAD.BK,2015-08-10,3,streak_3,0.00676,-0.008983,0.015742,0.0,0.000113,-0.000113,-0.019378,-0.074911,0.055533,0.132041,0.002712,0.12933
TU.BK,2015-08-13,2,streak_2,-0.015773,0.003649,-0.019421,-0.048107,-0.022462,-0.025646,0.02918,-0.060658,0.089838,-0.036278,0.000741,-0.037019
AOT.BK,2015-08-14,2,streak_2,0.014041,0.005567,0.008474,-0.063573,-0.055382,-0.008191,-0.042512,-0.052371,0.00986,0.084633,-0.016813,0.101447
PTT.BK,2015-08-14,2,streak_2,-0.016857,0.005567,-0.022424,-0.122893,-0.055382,-0.067511,-0.163132,-0.052371,-0.110761,-0.041327,-0.016813,-0.024513
SAMART.BK,2015-08-14,2,streak_2,-0.004934,0.005567,-0.010501,0.0,-0.055382,0.055382,0.046053,-0.052371,0.098424,0.000548,-0.016813,0.017362
DELTA.BK,2015-10-26,3,streak_3,-0.023876,-0.001944,-0.021933,-0.018258,0.01635,-0.034609,-0.023876,0.011319,-0.035196,-0.081461,-0.085753,0.004293
LPN.BK,2015-11-05,2,streak_2,-0.017588,-0.000507,-0.017081,-0.006281,-0.025284,0.019003,None,None,None,-0.204774,-0.112456,-0.092318
MAJOR.BK,2015-11-06,2,streak_2,-0.015902,-0.009353,-0.006549,0.015902,-0.03572,0.051622,0.008178,-0.014705,0.022883,-0.087233,-0.11195,0.024717
BCP.BK,2015-11-09,2,streak_2,-0.014417,0.002332,-0.016749,0.02796,-0.01183,0.039789,-0.063346,-0.013138,-0.050209,-0.176059,-0.104305,-0.071754
THCOM.BK,2015-11-10,2,streak_2,0.034884,-0.003972,0.038856,0.026163,-0.014809,0.040972,None,None,None,-0.034884,-0.118021,0.083137
BEC.BK,2015-11-12,2,streak_2,-0.03197,-0.011208,-0.020762,-0.040149,0.018141,-0.05829,0.056134,-0.009475,0.065609,-0.047955,-0.067999,0.020044
CPF.BK,2015-11-12,2,streak_2,0.036111,-0.011208,0.047319,0.128472,0.018141,0.110331,-0.102778,-0.009475,-0.093303,-0.030556,-0.067999,0.037444
PTT.BK,2015-11-12,3,streak_3,-0.02439,-0.011208,-0.013182,-0.049348,0.018141,-0.067489,-0.208168,-0.009475,-0.198693,-0.15882,-0.067999,-0.090821
SAMART.BK,2015-11-12,3,streak_3,0.0,-0.011208,0.011208,-0.004932,0.018141,-0.023072,-0.224658,-0.009475,-0.215183,-0.134795,-0.067999,-0.066795
AOT.BK,2015-11-27,3,streak_3,0.016234,-0.004122,0.020356,0.052309,0.000282,0.052026,0.161616,-0.004405,0.166021,0.340909,-0.049017,0.389926
TISCO.BK,2016-01-11,2,streak_2,0.02439,0.008083,0.016307,0.018293,-0.021066,0.039358,0.042683,-0.035579,0.078262,0.134146,0.077404,0.056743
KKP.BK,2016-01-18,2,streak_2,0.0,-0.012824,0.012824,0.006694,0.011385,-0.004691,0.139547,0.021394,0.118153,0.185891,0.121857,0.064034
BAY.BK,2016-01-20,2,streak_2,0.0,0.005576,-0.005576,0.033869,0.013371,0.020498,0.033869,0.034218,-0.000349,0.142857,0.137571,0.005287
THCOM.BK,2016-02-10,3,streak_3,0.08793,-0.013017,0.100947,0.08793,0.036764,0.051166,0.068815,0.094355,-0.02554,0.063353,0.120325,-0.056972
TASCO.BK,2016-02-17,3,streak_3,-0.027601,-0.004147,-0.023453,-0.009908,0.001647,-0.011555,-0.019108,0.060868,-0.079977,-0.002831,0.067516,-0.070347
DELTA.BK,2016-02-18,4,streak_4,0.009404,-0.000429,0.009833,0.023511,0.018006,0.005505,0.148903,0.069512,0.07939,-0.130094,0.072268,-0.202363
GFPT.BK,2016-02-23,2,streak_2,0.035522,0.004588,0.030934,0.089343,0.030095,0.059248,0.066738,0.062087,0.004651,0.103337,0.072547,0.03079
SC.BK,2016-02-23,2,streak_2,0.041916,0.004588,0.037328,0.023952,0.030095,-0.006143,0.041916,0.062087,-0.020171,0.041916,0.072547,-0.030631
CPALL.BK,2016-03-01,2,streak_2,0.033368,0.004513,0.028855,0.022333,0.001485,0.020849,0.022333,0.042755,-0.020422,0.133736,0.064667,0.069069
KKP.BK,2016-04-18,3,streak_3,0.035056,0.003132,0.031924,0.011685,-0.00302,0.014706,0.02427,-0.020976,0.045245,None,None,None
KBANK.BK,2016-04-20,2,streak_2,0.031031,-0.005403,0.036434,0.00619,-0.003621,0.009811,-0.012461,-0.028131,0.015669,0.130396,0.038603,0.091793
F&D.BK,2016-04-28,2,streak_2,0.0,-0.005416,0.005416,None,None,None,-0.025828,0.013427,-0.039256,0.025267,0.050381,-0.025114
IVL.BK,2016-05-10,3,streak_3,0.062092,-0.009376,0.071468,0.097572,-0.017293,0.114865,0.159197,0.017405,0.141792,0.26564,0.052103,0.213537
CPALL.BK,2016-05-11,3,streak_3,0.015861,0.000283,0.015578,0.037091,-0.007708,0.044799,0.02123,0.017286,0.003944,0.158858,0.059397,0.099461
MEGA.BK,2016-05-12,2,streak_2,-0.01746,-0.008726,-0.008735,-0.02381,-0.011445,-0.012364,0.018254,0.009179,0.009075,0.101587,0.064026,0.037561
SVI.BK,2016-05-13,2,streak_2,-0.018587,0.009889,-0.028476,None,None,None,0.007435,0.016005,-0.00857,None,None,None
BDMS.BK,2016-05-13,2,streak_2,-0.012371,0.009889,-0.02226,None,None,None,0.008763,0.016005,-0.007242,None,None,None
LH.BK,2016-05-13,2,streak_2,-0.004464,0.009889,-0.014353,None,None,None,0.049107,0.016005,0.033103,None,None,None
PTT.BK,2016-05-13,5,streak_5plus,0.023182,0.009889,0.013294,None,None,None,0.056902,0.016005,0.040897,None,None,None
MINT.BK,2016-05-13,2,streak_2,-0.006275,0.009889,-0.016164,None,None,None,-0.006275,0.016005,-0.02228,None,None,None
KTB.BK,2016-07-21,2,streak_2,0.012017,0.004468,0.007549,0.036052,0.002315,0.033737,0.124464,0.010498,0.113966,0.024034,-0.004199,0.028234
SCC.BK,2016-07-27,2,streak_2,-0.003889,0.001183,-0.005072,0.003889,-0.001559,0.005448,0.020757,0.005485,0.015272,0.008904,-0.005861,0.014765
