symbol,event_date,streak_length,category,stock_ret_1d,bench_ret_1d,abnormal_ret_1d,stock_ret_5d,bench_ret_5d,abnormal_ret_5d,stock_ret_21d,bench_ret_21d,abnormal_ret_21d,stock_ret_63d,bench_ret_63d,abnormal_ret_63d
300224.SZ,2014-10-16,2,streak_2,0.093264,0.011431,0.081834,0.059585,0.018358,0.041227,0.099741,0.069969,0.029772,0.023316,0.130932,-0.107616
600664.SS,2014-10-16,2,streak_2,-0.051661,0.011431,-0.063091,-0.092251,0.018358,-0.110609,0.0123,0.069969,-0.057669,0.067651,0.130932,-0.063281
002271.SZ,2014-10-21,2,streak_2,-0.03423,-0.00375,-0.030479,0.02445,0.022503,0.001947,0.007335,0.006137,0.001198,0.393643,0.156495,0.237148
002697.SZ,2014-10-22,2,streak_2,-0.032738,0.00616,-0.038898,-0.002976,0.030116,-0.033093,0.0,0.00616,-0.00616,0.10119,0.157769,-0.056578
000333.SZ,2014-10-23,2,streak_2,-0.013859,0.003742,-0.017601,-0.007463,0.02483,-0.032293,0.073561,0.036735,0.036826,0.517058,0.15034,0.366717
600369.SS,2014-10-24,2,streak_2,0.0,-0.013894,0.013894,0.0,0.033548,-0.033548,0.0,0.035581,-0.035581,0.772627,0.124026,0.648601
600535.SS,2014-10-24,2,streak_2,0.002605,-0.013894,0.016499,0.0165,0.033548,-0.017048,-0.015632,0.035581,-0.051213,0.137647,0.124026,0.013621
002550.SZ,2014-10-24,2,streak_2,0.03299,-0.013894,0.046883,0.074227,0.033548,0.040679,-0.016495,0.035581,-0.052076,-0.018557,0.124026,-0.142582
000100.SZ,2014-10-24,2,streak_2,0.004608,-0.013894,0.018502,0.073733,0.033548,0.040185,0.096774,0.035581,0.061193,0.341014,0.124026,0.216988
002390.SZ,2014-10-24,2,streak_2,0.019911,-0.013894,0.033805,-0.065265,0.033548,-0.098813,-0.15708,0.035581,-0.192661,-0.03208,0.124026,-0.156105
601899.SS,2014-10-25,2,streak_2,0.025126,0.030584,-0.005459,0.095477,0.037801,0.057677,0.160804,0.041581,0.119223,0.542714,0.119244,0.42347
002267.SZ,2014-10-27,2,streak_2,0.030464,0.030584,-0.000121,0.082119,0.037801,0.044319,0.099338,0.041581,0.057757,0.076821,0.119244,-0.042423
