symbol,event_date,streak_length,category,stock_ret_1d,bench_ret_1d,abnormal_ret_1d,stock_ret_5d,bench_ret_5d,abnormal_ret_5d,stock_ret_21d,bench_ret_21d,abnormal_ret_21d,stock_ret_63d,bench_ret_63d,abnormal_ret_63d
UIS.SW,2000-04-13,2,streak_2,-0.121687,-0.032227,-0.08946,-0.040964,-0.051758,0.010794,-0.008434,-0.008789,0.000355,-0.460241,0.023438,-0.483678
LOGN.SW,2000-04-27,2,streak_2,0.034529,0.008342,0.026187,0.018184,0.012513,0.005671,-0.132726,0.07195,-0.204675,0.099985,0.109489,-0.009504
LOGN.SW,2000-10-24,3,streak_3,0.046076,0.0,0.046076,0.055674,0.051255,0.004418,-0.024939,0.025105,-0.050043,-0.976018,0.120293,-1.096311
UIS.SW,2001-01-18,2,streak_2,-0.027451,-0.014665,-0.012786,-0.019608,-0.018332,-0.001276,0.176471,-0.058662,0.235132,-0.137255,-0.124656,-0.012599
LOGN.SW,2001-01-23,4,streak_4,0.11335,-0.019391,0.132741,0.146096,0.0,0.146096,-0.020151,-0.068329,0.048178,0.104534,-0.130194,0.234728
UIS.SW,2001-04-16,3,streak_3,-0.146341,0.006459,-0.1528,-0.207317,0.003229,-0.210546,-0.138211,0.027987,-0.166198,-0.034553,-0.074273,0.039721
LOGN.SW,2001-04-27,5,streak_5plus,0.071669,0.002151,0.069518,0.040314,0.023656,0.016658,0.111982,0.006452,0.10553,0.022396,-0.089247,0.111644
LOGN.SW,2001-07-24,6,streak_5plus,-0.024417,-0.002361,-0.022056,0.015538,0.015348,0.00019,0.952275,0.027155,0.925121,0.967814,-0.028335,0.996149
LOGN.SW,2002-05-15,2,streak_2,-0.00138,-0.005365,0.003985,-0.032425,0.0,-0.032425,-0.197999,-0.099785,-0.098214,-0.369438,-0.135193,-0.234245
LOGN.SW,2002-07-23,3,streak_3,-0.118839,0.056358,-0.175198,0.005067,0.128613,-0.123546,-0.157992,0.153179,-0.311171,-0.21649,0.040462,-0.256953
LOGN.SW,2002-10-22,4,streak_4,0.017491,-0.01532,0.032811,-0.077805,-0.022284,-0.05552,0.095899,0.045961,0.049938,3.125452,0.018106,3.107346
LOGN.SW,2003-01-21,5,streak_5plus,0.067423,-0.027926,0.095348,0.05041,-0.067819,0.118229,0.047889,-0.082447,0.130336,-0.464083,-0.030585,-0.433498
LOGN.SW,2003-04-23,6,streak_5plus,-0.002251,-0.013495,0.011244,0.018571,0.008097,0.010473,0.038829,0.047233,-0.008404,-0.19471,0.067476,-0.262187
LOGN.SW,2003-07-22,7,streak_5plus,-0.019863,0.001266,-0.021129,-0.040411,0.013924,-0.054335,0.065753,0.04557,0.020184,0.147945,0.111392,0.036553
LOGN.SW,2003-10-21,8,streak_5plus,0.104432,-0.007955,0.112387,0.109897,-0.002273,0.11217,0.164542,0.003409,0.161133,0.295082,0.160227,0.134855
LOGN.SW,2004-01-19,9,streak_5plus,-0.038839,0.020937,-0.059776,-0.022321,0.020937,-0.043259,0.020982,0.033898,-0.012916,-0.507143,-0.013958,-0.493185
UIS.SW,2004-04-15,2,streak_2,-0.047493,0.006048,-0.053542,-0.068602,-0.004032,-0.064569,None,None,None,-0.313984,0.001008,-0.314992
LOGN.SW,2004-04-15,10,streak_5plus,0.018173,0.006048,0.012125,0.023299,-0.004032,0.027331,-0.048462,-0.009073,-0.03939,-0.102516,0.001008,-0.103524
UIS.SW,2004-07-15,3,streak_3,-0.026217,-0.00201,-0.024207,-0.026217,0.0,-0.026217,-0.093633,-0.030151,-0.063482,0.033708,0.003015,0.030693
LOGN.SW,2004-07-22,11,streak_5plus,0.00787,-0.003015,0.010885,-0.003443,-0.026131,0.022687,-0.009346,-0.020101,0.010755,0.104771,0.007035,0.097736
UIS.SW,2005-10-18,2,streak_2,-0.046154,0.000832,-0.046986,-0.203846,0.013311,-0.217157,-0.096154,0.028286,-0.12444,0.016667,0.135607,-0.118941
LOGN.SW,2005-10-19,2,streak_2,0.045214,-0.0133,0.058514,0.041104,0.0133,0.027804,0.179096,0.040731,0.138364,0.154433,0.122195,0.032239
LOGN.SW,2006-07-19,2,streak_2,0.129688,0.001422,0.128266,0.134139,0.030583,0.103555,0.197711,0.076814,0.120898,0.254291,0.100284,0.154007
LOGN.SW,2006-10-18,3,streak_3,0.10828,0.015474,0.092806,0.11171,0.023211,0.088499,0.258697,0.052224,0.206472,0.251347,0.099291,0.152057
LOGN.SW,2007-01-17,4,streak_4,0.018082,-0.002919,0.021001,-0.009827,0.002335,-0.012162,0.006682,0.027437,-0.020755,-0.040881,0.063047,-0.103928
UIS.SW,2007-04-25,2,streak_2,0.009524,-0.002147,0.011671,-0.101905,-0.007515,-0.09439,None,None,None,None,None,None
LOGN.SW,2010-01-20,2,streak_2,-0.026968,-0.011229,-0.015739,-0.053936,-0.018091,-0.035845,-0.110058,-0.033687,-0.076371,-0.029155,0.02121,-0.050365
UIS.SW,2010-02-04,3,streak_3,0.185484,-0.016021,0.201505,0.156452,0.011348,0.145103,0.306452,0.074766,0.231685,-0.06129,-0.036716,-0.024575
LOGN.SW,2010-04-28,3,streak_3,-0.025057,0.018734,-0.043791,-0.079727,-0.05168,-0.028047,-0.110099,-0.087855,-0.022243,-0.111617,-0.016796,-0.094821
