symbol,event_date,streak_length,category,stock_ret_1d,bench_ret_1d,abnormal_ret_1d,stock_ret_5d,bench_ret_5d,abnormal_ret_5d,stock_ret_21d,bench_ret_21d,abnormal_ret_21d,stock_ret_63d,bench_ret_63d,abnormal_ret_63d
HUSQ-B.ST,2014-07-16,2,streak_2,-0.00998,-0.015188,0.005208,-0.005489,-0.005786,0.000297,-0.08009,-0.041707,-0.038383,-0.16517,-0.124397,-0.040772
AXFO.ST,2014-10-22,2,streak_2,-0.006407,0.013628,-0.020034,0.058656,0.017443,0.041213,0.035023,0.039793,-0.00477,0.143793,0.01499,0.128802
HUSQ-B.ST,2014-10-22,3,streak_3,0.01543,0.013628,0.001802,0.031657,0.017443,0.014214,0.026869,0.039793,-0.012924,0.03751,0.01499,0.02252
VOLV-B.ST,2014-10-24,2,streak_2,-0.015496,-0.005356,-0.010139,0.018043,0.017408,0.000635,-0.021439,0.038565,-0.060004,0.123541,0.013658,0.109882
ALFA.ST,2014-10-28,2,streak_2,-0.003309,-0.010602,0.007293,0.011995,-0.008216,0.020212,0.007363,0.035781,-0.028418,0.00273,0.00159,0.00114
MEKO.ST,2014-11-12,2,streak_2,0.028119,0.004264,0.023855,0.053345,0.021055,0.03229,0.075859,-0.023188,0.099047,0.213562,0.033049,0.180513
SYSR.ST,2014-11-27,2,streak_2,-0.009874,-0.000516,-0.009359,0.023788,-0.001031,0.02482,0.009425,-0.039969,0.049395,0.060144,0.009283,0.05086
ERIC-B.ST,2015-01-27,2,streak_2,0.002079,-0.019287,0.021366,0.032848,0.015324,0.017525,0.090229,0.039894,0.050334,0.001663,0.070542,-0.068878
ELUX-B.ST,2015-01-28,2,streak_2,0.016913,0.01805,-0.001136,0.05231,0.021282,0.031028,0.095319,0.061692,0.033627,0.068439,0.082435,-0.013997
HM-B.ST,2015-01-28,2,streak_2,0.00328,0.01805,-0.014769,0.011293,0.021282,-0.00999,0.084954,0.061692,0.023262,0.028911,0.082435,-0.053524
GETI-B.ST,2015-01-28,2,streak_2,-0.00439,0.01805,-0.02244,0.048001,0.021282,0.026719,0.117837,0.061692,0.056146,0.006296,0.082435,-0.076139
SKF-B.ST,2015-01-28,2,streak_2,-0.007681,0.01805,-0.025731,-0.002068,0.021282,-0.02335,0.076957,0.061692,0.015265,0.074077,0.082435,-0.008359
INTRUM.ST,2015-01-29,2,streak_2,0.011009,-0.016936,0.027944,0.071556,0.0172,0.054355,0.087988,0.044456,0.043531,0.240732,0.060598,0.180134
TELIA.ST,2015-01-29,2,streak_2,-0.019895,-0.016936,-0.002959,0.00488,0.0172,-0.01232,0.01464,0.044456,-0.029817,0.05518,0.060598,-0.005418
TEL2-B.ST,2015-01-30,2,streak_2,-0.008685,0.011575,-0.020259,0.049142,0.019112,0.03003,0.033044,0.053567,-0.020523,None,None,None
SCA-B.ST,2015-01-30,2,streak_2,0.041234,0.011575,0.029659,0.003749,0.019112,-0.015363,0.016148,0.053567,-0.037419,None,None,None
ALFA.ST,2015-02-03,3,streak_3,-0.026783,-0.013531,-0.013252,-0.020444,-0.008847,-0.011596,0.015293,0.017955,-0.002662,0.016244,0.034088,-0.017844
MTG-B.ST,2015-02-04,2,streak_2,-0.002679,0.01398,-0.016659,0.051339,-0.002374,0.053713,0.200893,0.012398,0.188495,0.207143,0.055394,0.151748
FABG.ST,2015-02-04,2,streak_2,0.020445,0.01398,0.006465,0.034075,-0.002374,0.036449,0.008632,0.012398,-0.003765,0.07224,0.055394,0.016846
LOOMIS.ST,2015-02-04,2,streak_2,0.030749,0.01398,0.016768,0.080167,-0.002374,0.082541,0.050571,0.012398,0.038173,0.003514,0.055394,-0.05188
SECU-B.ST,2015-02-05,2,streak_2,0.041018,-0.015088,0.056106,0.091133,0.004943,0.086191,0.061989,0.002341,0.059648,0.088512,0.036941,0.051571
ASSA-B.ST,2015-02-05,2,streak_2,0.006928,-0.015088,0.022016,0.059833,0.004943,0.05489,0.056841,0.002341,0.0545,0.045268,0.036941,0.008328
BILI-A.ST,2015-02-06,2,streak_2,0.023474,-0.003962,0.027436,0.052686,0.023772,0.028915,0.103547,-0.007132,0.110679,0.274909,0.078183,0.196726
HUSQ-B.ST,2015-02-06,4,streak_4,0.048005,-0.003962,0.051967,0.099166,0.023772,0.075394,0.037413,-0.007132,0.044544,0.009691,0.078183,-0.068492
HOLM-B.ST,2015-02-09,2,streak_2,-0.038483,0.010077,-0.04856,-0.047543,0.030761,-0.078304,-0.041472,-0.002652,-0.03882,-0.106669,0.078229,-0.184898
SSAB-A.ST,2015-02-10,2,streak_2,-0.018312,-0.007088,-0.011223,0.15498,0.023891,0.131089,0.030817,-0.004201,0.035018,0.150514,0.063796,0.086717
SWEC-B.ST,2015-02-12,2,streak_2,0.009468,0.003365,0.006103,0.029862,0.021227,0.008635,0.0,-0.012167,0.012167,None,None,None
WIHL.ST,2015-02-12,2,streak_2,-0.003273,0.003365,-0.006639,0.005728,0.021227,-0.015499,-0.046645,-0.012167,-0.034478,None,None,None
ADDT-B.ST,2015-02-12,2,streak_2,-0.025713,0.003365,-0.029078,0.012455,0.021227,-0.008772,-0.023303,-0.012167,-0.011136,None,None,None
INDT.ST,2015-02-16,2,streak_2,0.002069,0.003344,-0.001275,0.051729,0.01698,0.03475,0.087201,0.001801,0.0854,0.17381,0.059429,0.114381
SOBI.ST,2015-02-19,2,streak_2,-0.00371,0.012837,-0.016547,-0.014308,0.010526,-0.024835,-0.036566,0.011553,-0.048119,0.45204,0.057253,0.394787
CLAS-B.ST,2015-03-11,2,streak_2,0.003869,0.008508,-0.004639,0.021024,0.035363,-0.014339,0.10267,0.053975,0.048695,0.193989,0.073385,0.120605
HM-B.ST,2015-03-24,3,streak_3,-0.004359,-0.006324,0.001965,0.010081,-0.027321,0.037402,0.0,0.013661,-0.013661,0.019253,0.031875,-0.012621
SKF-B.ST,2015-04-17,3,streak_3,0.01303,0.002027,0.011003,0.043977,0.019513,0.024463,-0.014998,0.043588,-0.058587,-0.152155,0.020274,-0.172428
AZA.ST,2015-04-20,2,streak_2,0.03703,0.008093,0.028937,0.046755,0.02605,0.020706,0.017954,0.037936,-0.019982,-0.019263,0.020738,-0.040002
TEL2-B.ST,2015-04-21,3,streak_3,0.008731,-0.000251,0.008981,0.003318,0.016558,-0.01324,-0.115942,0.033116,-0.149058,-0.150864,0.009282,-0.160147
TELIA.ST,2015-04-21,3,streak_3,0.00367,-0.000251,0.003921,0.025688,0.016558,0.00913,0.025688,0.033116,-0.007428,0.036697,0.009282,0.027415
HUSQ-B.ST,2015-04-21,5,streak_5plus,-0.000872,-0.000251,-0.000621,-0.011985,0.016558,-0.028543,0.022881,0.033116,-0.010235,0.006973,0.009282,-0.002309
ALIV-SDB.ST,2015-04-22,2,streak_2,-0.016241,0.005521,-0.021762,-0.043027,0.008281,-0.051308,0.047627,0.039398,0.008229,-0.111724,0.002258,-0.113983
AAK.ST,2015-04-22,2,streak_2,0.027466,0.005521,0.021945,0.008583,0.008281,0.000302,0.042652,0.039398,0.003254,0.092566,0.002258,0.090307
MTG-B.ST,2015-04-22,3,streak_3,0.024991,0.005521,0.01947,0.015435,0.008281,0.007154,0.134963,0.039398,0.095566,0.040993,0.002258,0.038735
BEIJ-B.ST,2015-04-23,2,streak_2,0.008667,0.003993,0.004674,-0.008667,0.00025,-0.008916,0.068667,0.02296,0.045707,0.077333,-0.006489,0.083822
ALFA.ST,2015-04-23,4,streak_4,0.01358,0.003993,0.009587,-0.035864,0.00025,-0.036114,0.017332,0.02296,-0.005628,-0.01238,-0.006489,-0.005891
ELUX-B.ST,2015-04-24,3,streak_3,0.009484,0.008451,0.001032,None,None,None,-0.01026,-0.002486,-0.007774,-0.033498,-0.021626,-0.011872
SSAB-A.ST,2015-04-27,3,streak_3,0.006056,-0.001232,0.007288,0.001136,-0.00419,0.005326,-0.034065,0.002218,-0.036283,-0.230886,-0.03722,-0.193666
INDT.ST,2015-04-29,3,streak_3,0.011815,-0.002489,0.014304,-0.0181,-0.004231,-0.013869,0.008296,0.000498,0.007798,0.029663,-0.012195,0.041858
WIHL.ST,2015-04-29,3,streak_3,0.035284,-0.002489,0.037773,-0.031842,-0.004231,-0.027611,-0.081756,0.000498,-0.082253,-0.028399,-0.012195,-0.016204
BILI-A.ST,2015-04-29,3,streak_3,0.064494,-0.002489,0.066983,0.116594,-0.004231,0.120825,0.204269,0.000498,0.203771,0.243746,-0.012195,0.255941
ITAB.ST,2015-05-04,2,streak_2,0.038191,-0.016337,0.054528,0.054271,0.006436,0.047836,0.078392,0.005446,0.072946,0.073032,-0.011634,0.084665
SOBI.ST,2015-05-06,3,streak_3,-0.000738,-0.003749,0.003011,0.033973,0.019745,0.014228,-0.029542,-0.010997,-0.018545,-0.116691,0.002749,-0.119441
LOOMIS.ST,2015-05-06,3,streak_3,0.015868,-0.003749,0.019617,-0.00394,0.019745,-0.023685,-0.023802,-0.010997,-0.012804,-0.08968,0.002749,-0.09243
SWEC-B.ST,2015-05-07,3,streak_3,0.002419,0.024084,-0.021666,None,None,None,0.03801,-0.008028,0.046038,0.040083,0.004767,0.035316
SECU-B.ST,2015-05-08,3,streak_3,0.010394,-0.00392,0.014314,-0.020789,0.014944,-0.035732,-0.038872,-0.034787,-0.004085,-0.002563,-0.022293,0.01973
CLAS-B.ST,2015-06-10,3,streak_3,0.0,0.001734,-0.001734,-0.025494,-0.019074,-0.006421,-0.025494,-0.012881,-0.012613,-0.035001,-0.089671,0.05467
HM-B.ST,2015-06-25,4,streak_4,0.010952,0.002226,0.008726,-0.012158,-0.033383,0.021224,0.018238,-0.034125,0.052362,-0.09425,-0.127844,0.033593
WIHL.ST,2015-07-06,4,streak_4,0.047665,-0.000786,0.048451,0.134241,0.044264,0.089977,0.11284,0.04374,0.0691,0.052529,-0.05055,0.103079
ITAB.ST,2015-07-09,3,streak_3,0.025682,0.041558,-0.015876,0.112681,0.055149,0.057532,0.025682,0.043126,-0.017444,0.138363,-0.023262,0.161625
SEB-A.ST,2015-07-14,2,streak_2,-0.003787,-0.004725,0.000939,-0.016628,0.000497,-0.017126,-0.065361,-0.015668,-0.049693,-0.135496,-0.065407,-0.070089
