symbol,event_date,streak_length,category,stock_ret_1d,bench_ret_1d,abnormal_ret_1d,stock_ret_5d,bench_ret_5d,abnormal_ret_5d,stock_ret_21d,bench_ret_21d,abnormal_ret_21d,stock_ret_63d,bench_ret_63d,abnormal_ret_63d
8107.TWO,2012-11-01,2,streak_2,0.003356,-0.008894,0.01225,-0.013423,-0.033551,0.020128,0.151007,-0.009687,0.160693,0.287472,0.054421,0.233051
2724.TWO,2012-11-14,2,streak_2,0.0,-0.001758,0.001758,-0.049282,0.025814,-0.075097,-0.130718,0.045337,-0.176054,None,None,None
3026.TW,2014-08-08,2,streak_2,0.035667,0.002887,0.032779,0.031,0.012868,0.018132,0.044,0.031511,0.012489,-0.027,0.056243,-0.083243
3211.TWO,2014-10-29,2,streak_2,0.005459,0.006399,-0.00094,0.006823,0.021391,-0.014568,0.0,0.045889,-0.045889,-0.015011,0.01231,-0.027321
5371.TWO,2014-10-30,2,streak_2,0.006505,0.011445,-0.00494,-0.004451,0.018954,-0.023404,-0.048613,0.032033,-0.080647,-0.003423,0.018348,-0.021772
4966.TWO,2014-10-30,2,streak_2,-0.013731,0.011445,-0.025176,-0.030852,0.018954,-0.049806,0.051362,0.032033,0.019329,0.063355,0.018348,0.045007
8086.TWO,2014-11-06,2,streak_2,0.03385,0.000891,0.032958,0.027325,0.005111,0.022214,0.16721,0.016996,0.150214,0.433116,0.012837,0.420279
6261.TWO,2014-11-06,2,streak_2,0.01005,0.000891,0.009159,0.011845,0.005111,0.006734,0.046662,0.016996,0.029665,0.076813,0.012837,0.063976
5287.TWO,2014-11-10,2,streak_2,-0.016797,0.001006,-0.017804,-0.057835,0.001953,-0.059789,0.088212,-0.004025,0.092236,-0.050292,0.020065,-0.070357
4107.TWO,2014-11-11,2,streak_2,-0.0013,-0.001064,-0.000235,-0.049716,0.006682,-0.056397,-0.022583,5.9e-05,-0.022642,-0.072299,0.028855,-0.101154
2542.TW,2014-11-11,2,streak_2,0.018349,-0.001064,0.019413,0.009174,0.006682,0.002493,0.196483,5.9e-05,0.196424,0.213303,0.028855,0.184447
2207.TW,2014-11-11,2,streak_2,-0.050816,-0.001064,-0.049751,-0.029029,0.006682,-0.035711,-0.017615,5.9e-05,-0.017674,-0.001014,0.028855,-0.029869
8044.TWO,2014-11-11,2,streak_2,0.013514,-0.001064,0.014578,0.050676,0.006682,0.043994,0.199324,5.9e-05,0.199265,0.244932,0.028855,0.216077
6609.TWO,2014-11-11,2,streak_2,-0.036872,-0.001064,-0.035808,-0.069692,0.006682,-0.076374,0.047407,5.9e-05,0.047348,0.024311,0.028855,-0.004544
4971.TWO,2014-11-12,2,streak_2,-0.003127,0.001125,-0.004252,-0.047113,0.006156,-0.053269,0.078174,-0.015094,0.093268,0.20492,0.034213,0.170706
1909.TW,2014-11-12,2,streak_2,0.003378,0.001125,0.002254,-0.013513,0.006156,-0.019669,-0.033784,-0.015094,-0.01869,-0.141892,0.034213,-0.176105
2357.TW,2014-11-12,2,streak_2,-0.007811,0.001125,-0.008936,0.032845,0.006156,0.026689,0.084512,-0.015094,0.099607,0.015686,0.034213,-0.018527
8046.TW,2014-11-12,2,streak_2,0.00491,0.001125,0.003785,-0.042881,0.006156,-0.049037,-0.003928,-0.015094,0.011166,0.054992,0.034213,0.020778
2609.TW,2014-11-13,2,streak_2,0.013793,0.000237,0.013557,-0.035862,0.006799,-0.042662,0.021379,-0.022941,0.04432,None,None,None
2354.TW,2014-11-13,2,streak_2,-0.009612,0.000237,-0.009848,0.032218,0.006799,0.025418,0.039338,-0.022941,0.062279,None,None,None
2606.TW,2014-11-13,2,streak_2,-0.008718,0.000237,-0.008955,-0.000969,0.006799,-0.007768,0.0,-0.022941,0.022941,None,None,None
2317.TW,2014-11-13,2,streak_2,-0.012167,0.000237,-0.012403,-0.013193,0.006799,-0.019992,-0.105101,-0.022941,-0.08216,None,None,None
2615.TW,2014-11-14,2,streak_2,-0.02168,0.00065,-0.02233,0.084011,0.011941,0.07207,0.216802,-0.030975,0.247777,None,None,None
4162.TWO,2014-11-14,2,streak_2,-0.025195,0.00065,-0.025846,0.039899,0.011941,0.027958,0.184791,-0.030975,0.215766,None,None,None
3022.TW,2014-11-14,2,streak_2,-0.006244,0.00065,-0.006894,-0.01571,0.011941,-0.027651,0.017925,-0.030975,0.0489,None,None,None
1402.TW,2014-11-14,2,streak_2,-0.003173,0.00065,-0.003823,-0.006875,0.011941,-0.018815,-0.035431,-0.030975,-0.004456,None,None,None
3484.TWO,2014-11-25,2,streak_2,0.029006,0.002565,0.026441,0.119829,0.003731,0.116098,0.100808,0.01195,0.088859,None,None,None
2498.TW,2015-01-07,2,streak_2,0.013889,0.017745,-0.003856,0.034722,-0.007181,0.041903,0.100695,0.015964,0.08473,-0.0625,0.037151,-0.099651
2880.TW,2015-01-09,2,streak_2,-0.006143,-0.007818,0.001676,-0.012285,-0.012815,0.00053,0.019656,0.012521,0.007135,0.045455,0.028276,0.017179
