symbol,event_date,streak_length,category,stock_ret_1d,bench_ret_1d,abnormal_ret_1d,stock_ret_5d,bench_ret_5d,abnormal_ret_5d,stock_ret_21d,bench_ret_21d,abnormal_ret_21d,stock_ret_63d,bench_ret_63d,abnormal_ret_63d
AGF-B.TO,2000-03-28,2,streak_2,0.008197,-0.023913,0.03211,-0.096311,-0.076087,-0.020225,0.020492,-0.056522,0.077014,0.25,0.019565,0.230435
FTT.TO,2000-04-11,2,streak_2,-0.008357,-0.003421,-0.004936,-0.030641,-0.037628,0.006988,0.016713,-0.017104,0.033817,-0.008357,0.127708,-0.136065
CLS.TO,2000-04-20,2,streak_2,0.004788,-0.02907,0.033858,0.093023,0.019767,0.073256,None,None,None,0.396717,0.2,0.196717
CNR.TO,2000-04-25,2,streak_2,-0.02079,0.028136,-0.048926,-0.049896,0.010551,-0.060447,-0.047817,0.010551,-0.058368,-0.029106,0.223916,-0.253022
WFG.TO,2000-04-26,2,streak_2,0.037736,-0.010262,0.047998,0.09136,-0.027366,0.118726,-0.106256,0.006842,-0.113098,-0.086395,0.190422,-0.276817
ACO-Y.TO,2000-04-27,2,streak_2,0.015038,0.010369,0.004669,-0.007519,-0.006912,-0.000606,-0.017544,-0.010369,-0.007175,0.102757,0.182028,-0.079271
ACO-X.TO,2000-04-27,2,streak_2,0.0,0.010369,-0.010369,-0.044118,-0.006912,-0.037205,-0.04902,-0.010369,-0.038651,0.112745,0.182028,-0.069283
T.TO,2000-05-03,2,streak_2,0.040123,0.010551,0.029572,0.080247,-0.007034,0.087281,0.070988,0.096131,-0.025144,0.197531,0.171161,0.02637
EMA.TO,2000-05-03,2,streak_2,0.021978,0.010551,0.011427,0.032967,-0.007034,0.040001,0.102564,0.096131,0.006433,0.098901,0.171161,-0.07226
LNR.TO,2000-05-04,2,streak_2,0.052868,0.017401,0.035467,0.07649,0.0,0.07649,0.12036,0.070766,0.049594,0.123735,0.150812,-0.027078
RY.TO,2000-05-18,2,streak_2,0.005291,-0.011198,0.016489,0.010582,-0.011198,0.02178,-0.015873,0.073908,-0.089781,0.148148,0.179171,-0.031023
TD.TO,2000-05-18,2,streak_2,-0.012312,-0.011198,-0.001114,-0.032832,-0.011198,-0.021634,0.012312,0.073908,-0.061596,0.065663,0.179171,-0.113508
ESI.TO,2000-05-25,2,streak_2,0.002941,-0.02718,0.030121,-0.019608,0.05889,-0.078498,-0.022112,0.075878,-0.09799,0.039804,0.193658,-0.153854
NA.TO,2000-05-25,2,streak_2,-0.011111,-0.02718,0.016069,0.05,0.05889,-0.00889,0.038889,0.075878,-0.036989,0.030556,0.193658,-0.163102
BMO.TO,2000-05-31,2,streak_2,0.018904,0.030682,-0.011778,0.02552,0.048864,-0.023344,0.038752,0.079545,-0.040793,0.023629,0.202273,-0.178643
CM.TO,2000-06-01,2,streak_2,0.047337,0.030871,0.016466,0.022189,0.017641,0.004549,-0.028107,0.067255,-0.095361,0.065089,0.175303,-0.110214
BNS.TO,2000-06-01,2,streak_2,0.006772,0.030871,-0.024099,-0.03386,0.017641,-0.051501,-0.038375,0.067255,-0.105629,0.038375,0.175303,-0.136928
TCL-B.TO,2000-06-08,2,streak_2,0.0,-0.00325,0.00325,0.061224,0.039003,0.022221,0.068027,0.058505,0.009522,0.136054,0.15493,-0.018875
TCL-A.TO,2000-06-08,2,streak_2,-0.006309,-0.00325,-0.003059,0.050473,0.039003,0.01147,0.0347,0.058505,-0.023805,0.078864,0.15493,-0.076065
AGF-B.TO,2000-06-22,3,streak_3,0.079767,-0.012513,0.09228,0.134241,-0.009385,0.143626,0.128405,0.072993,0.055412,0.307393,0.074035,0.233358
CIX.TO,2000-07-12,2,streak_2,0.057944,0.013145,0.044799,-0.013084,0.013145,-0.026229,0.013084,0.043478,-0.030394,0.145794,0.029323,0.116472
SU.TO,2000-07-20,2,streak_2,-0.013793,0.011765,-0.025558,-0.055172,0.005882,-0.061055,-0.043678,0.026471,-0.070149,0.052874,-0.051961,0.104834
CNR.TO,2000-07-24,3,streak_3,-0.008493,0.014577,-0.02307,0.067941,-0.033042,0.100982,0.042463,0.026239,0.016224,-0.04034,-0.018465,-0.021875
ENB.TO,2000-07-26,2,streak_2,-0.019011,-0.017241,-0.00177,0.007605,-0.043103,0.050708,0.079848,0.009579,0.070269,0.148289,-0.028736,0.177025
IGM.TO,2000-07-27,2,streak_2,0.04014,-0.038986,0.079126,0.073298,-0.033138,0.106437,0.033159,0.035088,-0.001929,0.095986,-0.092593,0.188579
T.TO,2000-07-27,3,streak_3,-0.02,-0.038986,0.018986,-0.0225,-0.033138,0.010638,-0.15,0.035088,-0.185088,-0.11,-0.092593,-0.017407
TRP.TO,2000-07-28,2,streak_2,-0.007937,0.009128,-0.017064,0.121693,0.016227,0.105466,0.240741,0.077079,0.163662,0.261905,-0.063895,0.325799
BLDP.TO,2000-08-01,2,streak_2,-0.085017,0.028836,-0.113853,0.088448,0.059732,0.028716,0.109798,0.097837,0.011961,0.190621,-0.065911,0.256533
LNR.TO,2000-08-02,3,streak_3,0.052687,-0.007007,0.059694,0.105374,0.036036,0.069338,0.074816,0.079079,-0.004263,0.11275,-0.056056,0.168806
CNQ.TO,2000-08-10,2,streak_2,0.006757,-0.005814,0.012571,0.054054,0.020349,0.033705,0.114865,0.021318,0.093547,0.0,-0.109496,0.109496
EMA.TO,2000-08-15,3,streak_3,-0.012461,0.002882,-0.015343,0.0,0.014409,-0.014409,0.003115,0.035543,-0.032427,0.05919,-0.15562,0.21481
IAG.TO,2000-08-15,2,streak_2,0.064857,0.002882,0.061975,0.098039,0.014409,0.08363,0.279035,0.035543,0.243492,0.3454,-0.15562,0.501019
ONEX.TO,2000-08-16,2,streak_2,0.0,0.008621,-0.008621,0.039839,0.005747,0.034092,0.081916,0.039272,0.042644,-0.055058,-0.150383,0.095325
TD.TO,2000-08-17,3,streak_3,0.007702,-0.005698,0.0134,0.008986,0.00095,0.008036,0.12837,0.008547,0.119823,0.003851,-0.165242,0.169093
RY.TO,2000-08-22,3,streak_3,-0.001167,-0.005682,0.004515,-0.012835,0.001894,-0.014729,0.080513,-0.024621,0.105135,0.120187,-0.193182,0.313369
NA.TO,2000-08-31,3,streak_3,0.020833,0.013915,0.006919,0.005208,-0.029685,0.034893,0.036458,-0.051948,0.088406,0.023438,-0.22449,0.247927
CM.TO,2000-09-07,3,streak_3,0.01511,-0.018762,0.033872,0.104396,0.011257,0.093139,0.10989,-0.033771,0.143661,0.016484,-0.152908,0.169392
EMP-A.TO,2000-09-07,2,streak_2,-0.023622,-0.018762,-0.00486,0.020997,0.011257,0.00974,-0.010499,-0.033771,0.023272,-0.073491,-0.152908,0.079417
