symbol,event_date,streak_length,category,stock_ret_1d,bench_ret_1d,abnormal_ret_1d,stock_ret_5d,bench_ret_5d,abnormal_ret_5d,stock_ret_21d,bench_ret_21d,abnormal_ret_21d,stock_ret_63d,bench_ret_63d,abnormal_ret_63d
CTX.DE,2008-01-23,4,streak_4,0.0,0.031954,-0.031954,0.108173,0.044526,0.063647,0.108173,0.046097,0.062076,-0.067308,0.111577,-0.178885
CTX.DE,2008-04-23,5,streak_5plus,0.0,-0.008954,0.008954,0.0,-0.00754,0.00754,0.109279,0.027804,0.081475,-0.079381,-0.065033,-0.014348
CTX.DE,2008-07-23,6,streak_5plus,0.0,-0.023185,0.023185,0.0,-0.014617,0.014617,0.0,-0.083165,0.083165,-0.084547,-0.403226,0.318679
CTX.DE,2008-10-22,7,streak_5plus,0.0,0.002727,-0.002727,0.110703,0.075455,0.035249,0.110703,-0.13,0.240703,0.12477,-0.084545,0.209316
CTX.DE,2009-01-28,8,streak_5plus,0.0,-0.045822,0.045822,0.0,-0.049416,0.049416,0.0,-0.185984,0.185984,0.0,0.034142,-0.034142
CTX.DE,2009-04-29,9,streak_5plus,0.0,0.009557,-0.009557,0.0,0.059948,-0.059948,0.0,0.128584,-0.128584,0.0,0.18245,-0.18245
CTX.DE,2009-07-22,10,streak_5plus,0.0,0.026178,-0.026178,0.0,0.017951,-0.017951,0.0,0.046372,-0.046372,0.0,0.197457,-0.197457
CTX.DE,2009-10-21,11,streak_5plus,0.0,0.011271,-0.011271,0.0,-0.076393,0.076393,0.540511,-0.019411,0.559923,0.602501,-0.093926,0.696427
CTX.DE,2010-01-27,12,streak_5plus,0.0,-0.018569,0.018569,-0.025042,-0.005502,-0.01954,0.094247,-0.044017,0.138263,0.226565,0.011004,0.215561
CTX.DE,2011-01-26,2,streak_2,0.0,0.006173,-0.006173,0.022585,0.012346,0.010239,0.020493,0.008418,0.012076,0.063153,0.122334,-0.059181
CTX.DE,2011-04-27,3,streak_3,0.062156,0.008,0.054156,0.132966,-0.0075,0.140466,0.140834,-0.0825,0.223334,0.184697,-0.063,0.247697
CTX.DE,2011-07-27,4,streak_4,0.0,-0.013874,0.013874,0.0,-0.072038,0.072038,0.0,-0.229456,0.229456,0.0,-0.193703,0.193703
CTX.DE,2011-10-27,5,streak_5plus,0.0,-0.013301,0.013301,0.0,-0.066505,0.066505,0.0,-0.163241,0.163241,0.0,-0.070133,0.070133
CTX.DE,2012-01-25,6,streak_5plus,0.0,0.007148,-0.007148,0.0,0.024042,-0.024042,0.0,0.08707,-0.08707,0.0,0.044185,-0.044185
GIB.DE,2012-03-30,2,streak_2,0.001066,0.014881,-0.013815,0.003198,-0.057143,0.060341,-0.004797,-0.027381,0.022584,0.104478,-0.124405,0.228882
CTX.DE,2012-04-25,7,streak_5plus,0.0,0.011201,-0.011201,0.0,0.003111,-0.003111,0.0,-0.110765,0.110765,0.0,-0.121344,0.121344
GIB.DE,2012-06-29,3,streak_3,0.023166,0.008158,0.015008,0.037645,-0.028552,0.066197,0.110039,0.020394,0.089644,0.069498,0.139361,-0.069863
CTX.DE,2012-07-25,8,streak_5plus,0.0,0.035411,-0.035411,0.0,0.056657,-0.056657,0.0,0.115439,-0.115439,0.0,0.194051,-0.194051
CTX.DE,2012-10-24,9,streak_5plus,0.0,0.00536,-0.00536,0.0,0.011912,-0.011912,0.0,0.020846,-0.020846,0.0,0.141751,-0.141751
CTX.DE,2013-01-30,10,streak_5plus,0.0,-0.002611,0.002611,0.0,-0.028721,0.028721,0.0,-0.050131,0.050131,None,None,None
GIB.DE,2013-03-30,2,streak_2,-0.005063,0.01604,-0.021103,-0.048523,0.002765,-0.051289,-0.012658,0.04646,-0.059118,-0.006329,0.032633,-0.038962
GIB.DE,2013-06-29,3,streak_3,0.013484,-0.015442,0.028926,0.060026,-0.006922,0.066948,0.048717,0.059105,-0.010389,0.119182,0.119276,-9.4e-05
GIB.DE,2013-09-29,4,streak_4,-0.00583,0.011418,-0.017247,-0.024096,0.001427,-0.025524,0.047804,0.066603,-0.018799,-0.133696,0.138915,-0.272611
CTX.DE,2013-10-23,2,streak_2,0.0,0.007197,-0.007197,0.0,0.004498,-0.004498,0.0,0.010346,-0.010346,0.0,0.037787,-0.037787
