symbol,event_date,streak_length,category,stock_ret_1d,bench_ret_1d,abnormal_ret_1d,stock_ret_5d,bench_ret_5d,abnormal_ret_5d,stock_ret_21d,bench_ret_21d,abnormal_ret_21d,stock_ret_63d,bench_ret_63d,abnormal_ret_63d
EZTC3.SA,2014-11-10,2,streak_2,-0.027083,-0.014068,-0.013016,0.039583,-0.027263,0.066846,0.09375,-0.056921,0.150671,-0.16875,-0.083253,-0.085497
COGN3.SA,2014-11-14,2,streak_2,0.001958,-8e-06,0.001966,None,None,None,-0.013055,-0.072826,0.059772,-0.35248,-0.021951,-0.330529
B3SA3.SA,2014-11-14,2,streak_2,0.0,-8e-06,8e-06,None,None,None,-0.103586,-0.072826,-0.030759,-0.055777,-0.021951,-0.033825
ITUB4.SA,2015-02-02,2,streak_2,0.013468,0.043823,-0.030355,0.068462,0.040164,0.028299,0.113356,0.075894,0.037461,0.185185,0.237563,-0.052378
SANB11.SA,2015-02-03,2,streak_2,0.029178,0.006891,0.022287,0.062334,-0.00926,0.071594,0.115385,0.028624,0.086761,0.362069,0.166235,0.195834
ABCB4.SA,2015-02-04,2,streak_2,0.019704,-0.001363,0.021067,0.044335,-0.021529,0.065864,0.054187,0.013796,0.040392,0.1133,0.154567,-0.041267
CVCB3.SA,2015-02-06,2,streak_2,0.047445,-6e-06,0.047451,0.062044,0.037786,0.024258,-0.00146,-0.010224,0.008765,0.294625,0.171272,0.123354
BBSE3.SA,2015-02-10,2,streak_2,-0.023926,-0.005578,-0.018347,None,None,None,-0.018166,0.00763,-0.025795,0.189189,0.162064,0.027125
BBAS3.SA,2015-02-11,2,streak_2,0.012121,0.026805,-0.014683,0.104242,0.063316,0.040926,0.006061,0.007383,-0.001322,0.219394,0.174481,0.044913
RADL3.SA,2015-02-26,2,streak_2,0.009281,-0.003428,0.012709,0.0,-0.026958,0.026958,0.00464,-0.032184,0.036825,0.331787,0.042808,0.288979
BRFS3.SA,2015-02-26,2,streak_2,0.00923,-0.003428,0.012658,-0.055733,-0.026958,-0.028775,-0.053071,-0.032184,-0.020886,-0.023429,0.042808,-0.066237
