symbol,event_date,streak_length,category,stock_ret_1d,bench_ret_1d,abnormal_ret_1d,stock_ret_5d,bench_ret_5d,abnormal_ret_5d,stock_ret_21d,bench_ret_21d,abnormal_ret_21d,stock_ret_63d,bench_ret_63d,abnormal_ret_63d
CSMG3.SA,2014-10-31,2,streak_2,0.0,7e-06,-7e-06,-0.087591,-0.025733,-0.061858,-0.135037,0.000648,-0.135685,-0.394161,-0.141335,-0.252826
YDUQ3.SA,2014-11-07,2,streak_2,-0.018859,3e-06,-0.018862,-0.067698,-0.027252,-0.040446,-0.108317,-0.023126,-0.085191,-0.394584,-0.083246,-0.311338
HBOR3.SA,2014-11-12,2,streak_2,-0.02456,-0.021383,-0.003176,-0.07795,0.008002,-0.085951,-0.086492,-0.058836,-0.027656,-0.274426,-0.089455,-0.184971
GOLL4.SA,2014-11-12,2,streak_2,0.062298,-0.021383,0.083681,-0.003236,0.008002,-0.011238,0.192557,-0.058836,0.251393,-0.124595,-0.089455,-0.035141
MEAL3.SA,2014-11-12,2,streak_2,0.005202,-0.021383,0.026586,-0.16185,0.008002,-0.169851,-0.292485,-0.058836,-0.233649,-0.543353,-0.089455,-0.453898
AMER3.SA,2014-11-12,2,streak_2,-0.003068,-0.021383,0.018315,-0.115031,0.008002,-0.123033,-0.236198,-0.058836,-0.177361,-0.355827,-0.089455,-0.266372
CPLE6.SA,2014-11-14,2,streak_2,0.0,-8e-06,8e-06,None,None,None,0.077626,-0.072826,0.150452,0.022831,-0.021951,0.044783
ELET6.SA,2014-11-14,2,streak_2,-0.073504,-8e-06,-0.073497,None,None,None,-0.249573,-0.072826,-0.176746,-0.307692,-0.021951,-0.285741
AXIA6.SA,2014-11-14,2,streak_2,-0.072438,-8e-06,-0.07243,None,None,None,-0.249117,-0.072826,-0.17629,-0.30742,-0.021951,-0.285469
LPSB3.SA,2014-11-14,2,streak_2,0.011842,-8e-06,0.01185,None,None,None,-0.176316,-0.072826,-0.103489,-0.25,-0.021951,-0.228049
SBSP3.SA,2014-11-14,2,streak_2,0.020562,-8e-06,0.02057,None,None,None,-0.087046,-0.072826,-0.014219,-0.213845,-0.021951,-0.191894
TOTS3.SA,2015-01-28,2,streak_2,0.029004,0.001419,0.027584,0.066835,0.033683,0.033151,0.088272,0.08153,0.006742,0.145019,0.159992,-0.014973
PETR3.SA,2015-01-28,2,streak_2,-0.105263,0.001419,-0.106683,0.014035,0.033683,-0.019648,-0.045614,0.08153,-0.127144,0.410526,0.159992,0.250534
DXCO3.SA,2015-02-05,2,streak_2,0.015625,-0.008969,0.024594,-0.0125,0.00607,-0.01857,0.034375,0.015176,0.019199,0.14375,0.160773,-0.017023
HYPE3.SA,2015-02-09,2,streak_2,-0.011905,-0.005774,-0.006131,0.039683,0.037793,0.001889,0.068254,0.002328,0.065926,0.230159,0.163962,0.066196
RENT3.SA,2015-02-09,2,streak_2,-0.005814,-0.005774,-4e-05,-0.034884,0.037793,-0.072677,-0.066279,0.002328,-0.068607,-0.031395,0.163962,-0.195358
NTCO3.SA,2015-02-11,2,streak_2,-0.033613,0.026805,-0.060418,-0.046218,0.063316,-0.109535,-0.121849,0.007383,-0.129231,0.059664,0.174481,-0.114817
NATU3.SA,2015-02-11,2,streak_2,-0.033613,0.026805,-0.060418,-0.046218,0.063316,-0.109535,-0.121849,0.007383,-0.129231,0.059664,0.174481,-0.114817
AMAR3.SA,2015-02-12,2,streak_2,0.0,0.022272,-0.022272,0.041319,0.034421,0.006898,-0.013078,-0.018911,0.005833,-0.120925,0.155774,-0.276699
MRFG3.SA,2015-03-02,2,streak_2,0.006826,-0.005407,0.012233,-0.105802,-0.031057,-0.074745,-0.16041,-0.008391,-0.152018,-0.153584,0.022818,-0.176401
MBRF3.SA,2015-03-02,2,streak_2,0.006757,-0.005407,0.012164,-0.10473,-0.031057,-0.073673,-0.158784,-0.008391,-0.150393,-0.152027,0.022818,-0.174845
ARZZ3.SA,2015-03-03,2,streak_2,0.030197,-0.016296,0.046493,0.030197,-0.058683,0.088881,-0.05633,0.019836,-0.076166,-0.022067,0.057156,-0.079223
MILS3.SA,2015-03-11,2,streak_2,0.064777,-0.000515,0.065292,0.172065,0.053585,0.11848,0.125506,0.108547,0.01696,0.228745,0.101642,0.127103
JBSS3.SA,2015-03-12,2,streak_2,-0.015258,-0.005822,-0.009436,0.017606,0.042412,-0.024807,0.254695,0.109115,0.14558,0.25,0.098365,0.151635
AMER3.SA,2015-03-12,3,streak_3,0.076963,-0.005822,0.082785,-0.036939,0.042412,-0.079351,0.171372,0.109115,0.062256,0.194458,0.098365,0.096093
DIRR3.SA,2015-03-16,2,streak_2,0.044075,0.034758,0.009317,0.038994,0.069368,-0.030374,0.110188,0.130108,-0.01992,-0.145089,0.097786,-0.242875
CSAN3.SA,2015-03-18,2,streak_2,0.057613,-0.011114,0.068727,0.059671,0.006445,0.053225,0.104938,0.047133,0.057805,-0.039095,0.033427,-0.072521
CSMG3.SA,2015-03-19,3,streak_3,-0.044199,0.019882,-0.064081,0.005525,-0.007334,0.012859,-0.01105,0.058906,-0.069956,-0.220994,0.064472,-0.285466
YDUQ3.SA,2015-03-19,3,streak_3,-0.052811,0.019882,-0.072693,0.08092,-0.007334,0.088254,0.149915,0.058906,0.091009,0.259796,0.064472,0.195324
CPLE6.SA,2015-03-21,3,streak_3,0.0,-0.00887,0.00887,-0.041667,-0.036023,-0.005644,None,None,None,-0.041667,0.034291,-0.075958
SBSP3.SA,2015-03-25,3,streak_3,-0.015917,-0.024653,0.008736,-0.056747,0.008937,-0.065684,-0.024221,0.091324,-0.115546,-0.129412,0.038263,-0.167674
QUAL3.SA,2015-03-26,2,streak_2,-0.017881,-0.009593,-0.008288,-0.056291,0.05028,-0.106572,-0.009272,0.118904,-0.128176,-0.195364,0.051321,-0.246685
OIBR4.SA,2015-03-27,2,streak_2,0.049911,7e-06,0.049904,0.067736,0.060452,0.007284,0.062389,0.114131,-0.051743,0.103387,0.078298,0.025089
AXIA6.SA,2015-03-28,3,streak_3,-0.010684,0.021063,-0.031747,0.055556,0.072545,-0.01699,0.260684,0.104407,0.156276,0.230769,0.078291,0.152478
ELET6.SA,2015-03-28,3,streak_3,-0.012397,0.021063,-0.03346,0.055785,0.072545,-0.01676,0.260331,0.104407,0.155923,0.229339,0.078291,0.151048
RAIL3.SA,2015-03-31,2,streak_2,-0.03209,0.022905,-0.054995,0.119403,0.04909,0.070313,-0.1,0.0993,-0.1993,-0.1,0.037746,-0.137746
USIM5.SA,2015-04-23,3,streak_3,0.066975,0.016331,0.050644,0.064665,0.009779,0.054886,-0.050808,-0.023487,-0.027322,-0.311778,-0.085644,-0.226135
HYPE3.SA,2015-04-24,3,streak_3,0.0,-4e-06,4e-06,-0.009736,-0.006453,-0.003282,0.082754,-0.052381,0.135134,0.059805,-0.119934,0.17974
DXCO3.SA,2015-04-28,3,streak_3,-0.002703,-0.008721,0.006018,0.018919,0.023133,-0.004214,-0.078378,-0.032892,-0.045487,-0.202703,-0.117645,-0.085057
BEEF3.SA,2015-04-29,2,streak_2,0.038397,0.016341,0.022056,0.196995,0.028849,0.168146,0.310518,-0.046359,0.356876,0.30384,-0.103455,0.407295
AMAR3.SA,2015-05-04,3,streak_3,0.005611,0.032414,-0.026803,-0.093697,0.016362,-0.110059,-0.198242,-0.035437,-0.162805,-0.390499,-0.112604,-0.277896
ARZZ3.SA,2015-05-06,3,streak_3,-0.013691,-0.003183,-0.010508,-0.045636,-0.012803,-0.032833,-0.019966,-0.062696,0.04273,-0.15174,-0.109243,-0.042496
MGLU3.SA,2015-05-07,2,streak_2,0.0,0.004004,-0.004004,-0.104294,-0.004652,-0.099642,None,None,None,-0.391896,-0.120568,-0.271328
YDUQ3.SA,2015-05-07,4,streak_4,-0.005364,0.004004,-0.009368,-0.049042,-0.004652,-0.04439,None,None,None,-0.278161,-0.120568,-0.157593
