symbol,event_date,streak_length,category,stock_ret_1d,bench_ret_1d,abnormal_ret_1d,stock_ret_5d,bench_ret_5d,abnormal_ret_5d,stock_ret_21d,bench_ret_21d,abnormal_ret_21d,stock_ret_63d,bench_ret_63d,abnormal_ret_63d
AGF-B.TO,2000-03-28,2,streak_2,0.07489,-0.011959,0.086848,0.063877,-0.066544,0.13042,0.143172,-0.066215,0.209387,0.222467,0.004789,0.217678
FTT.TO,2000-04-11,2,streak_2,-0.002778,-0.010876,0.008099,-0.008333,-0.073069,0.064736,-0.063889,-0.038453,-0.025436,0.027778,0.097179,-0.069401
CLS.TO,2000-04-20,2,streak_2,0.011765,-0.008224,0.019989,0.083737,0.031957,0.05178,-0.110727,0.028681,-0.139407,0.249135,0.188344,0.060791
CNR.TO,2000-04-25,2,streak_2,0.032189,0.032406,-0.000217,-0.032189,0.079887,-0.112075,-0.023605,0.0186,-0.042205,0.040773,0.217433,-0.17666
WFG.TO,2000-04-26,2,streak_2,-0.007882,0.029599,-0.037481,0.074877,0.044124,0.030753,-0.056158,0.00393,-0.060088,-0.078818,0.190341,-0.269158
ACO-X.TO,2000-04-27,2,streak_2,0.02,-0.005897,0.025897,-0.0075,-0.009245,0.001745,-0.01,-0.035647,0.025647,0.0975,0.149872,-0.052372
ACO-Y.TO,2000-04-27,2,streak_2,0.0,-0.005897,0.005897,-0.017544,-0.009245,-0.008299,-0.017544,-0.035647,0.018103,0.08396,0.149872,-0.065912
EMA.TO,2000-05-03,2,streak_2,-0.00365,-0.023028,0.019378,0.00365,-0.022702,0.026351,0.069343,-0.02716,0.096503,0.072993,0.087558,-0.014565
T.TO,2000-05-03,2,streak_2,-0.006135,-0.023028,0.016893,0.046012,-0.022702,0.068714,-0.027607,-0.02716,-0.000447,0.202454,0.087558,0.114896
LNR.TO,2000-05-04,2,streak_2,-0.03159,0.013217,-0.044807,0.042484,-0.020901,0.063385,0.084967,0.02808,0.056887,0.014161,0.120005,-0.105844
TD.TO,2000-05-18,2,streak_2,0.002743,-0.000304,0.003047,-0.016461,-0.042773,0.026312,-0.001372,0.058391,-0.059763,0.02332,0.151401,-0.128081
RY.TO,2000-05-18,2,streak_2,0.012048,-0.000304,0.012352,0.034806,-0.042773,0.077579,0.009371,0.058391,-0.04902,0.137885,0.151401,-0.013516
POW.TO,2000-05-19,2,streak_2,0.008671,-0.02689,0.035561,0.020231,-0.053006,0.073237,0.138728,0.05087,0.087859,0.153179,0.155227,-0.002047
ESI.TO,2000-05-25,2,streak_2,0.040816,-0.010991,0.051807,0.062245,0.011789,0.050456,0.040816,0.100643,-0.059827,0.076107,0.210964,-0.134857
NA.TO,2000-05-25,2,streak_2,-0.00277,-0.010991,0.00822,-0.01385,0.011789,-0.025639,0.019391,0.100643,-0.081252,0.047091,0.210964,-0.163873
