symbol,event_date,streak_length,category,stock_ret_1d,bench_ret_1d,abnormal_ret_1d,stock_ret_5d,bench_ret_5d,abnormal_ret_5d,stock_ret_21d,bench_ret_21d,abnormal_ret_21d,stock_ret_63d,bench_ret_63d,abnormal_ret_63d
CCA.TO,2000-04-17,2,streak_2,0.0,0.034944,-0.034944,-0.077636,0.041187,-0.118823,-0.03176,0.13082,-0.16258,-0.037053,0.260317,-0.297371
RCI-B.TO,2000-04-24,2,streak_2,-0.033882,-0.015313,-0.018569,-0.03485,0.043294,-0.078144,0.162633,0.037211,0.125422,0.051307,0.186781,-0.135474
GWO.TO,2000-05-01,2,streak_2,0.038961,0.019224,0.019737,0.020779,0.026713,-0.005934,None,None,None,0.192208,0.167797,0.024411
K.TO,2000-05-03,2,streak_2,0.0,-0.023028,0.023028,-0.029821,-0.022702,-0.007119,-0.256461,-0.02716,-0.229301,-0.471173,0.087558,-0.558731
CAS.TO,2000-05-08,2,streak_2,-0.014085,-0.02707,0.012986,0.112676,-0.040168,0.152844,0.037559,0.008586,0.028973,-0.021127,0.080356,-0.101483
REI-UN.TO,2000-05-15,2,streak_2,0.00885,0.00761,0.00124,0.044248,0.008826,0.035422,0.097345,0.065981,0.031365,0.159292,0.179248,-0.019956
OBE.TO,2000-05-17,2,streak_2,-0.002493,-0.003047,0.000554,-0.021197,-0.062137,0.04094,-0.0399,0.040712,-0.080612,-0.120947,0.125944,-0.246892
DSG.TO,2000-05-24,2,streak_2,0.039909,0.017537,0.022371,-0.055872,0.039781,-0.095654,0.003421,0.134723,-0.131302,0.295325,0.238934,0.056391
POU.TO,2000-05-31,2,streak_2,-0.02576,-0.009856,-0.015903,-0.148613,0.028446,-0.177059,-0.153236,0.094948,-0.248184,-0.346103,0.20354,-0.549643
REKO.V,2000-06-01,2,streak_2,0.0,0.032447,-0.032447,-0.075472,0.033042,-0.108514,0.264151,0.092845,0.171306,0.056604,0.213197,-0.156593
RET-A.V,2000-06-15,2,streak_2,-0.023622,0.013889,-0.037511,-0.015748,0.022583,-0.038331,-0.055118,0.070918,-0.126036,None,None,None
CCA.TO,2000-06-29,3,streak_3,-0.064378,-0.011758,-0.05262,-0.074249,0.009041,-0.08329,0.014163,0.045439,-0.031276,0.078541,0.024171,0.05437
IMO.TO,2000-07-20,2,streak_2,-0.02372,0.010119,-0.03384,-0.032459,0.026605,-0.059065,-0.051186,0.043731,-0.094917,0.052434,-0.047079,0.099513
RCI-B.TO,2000-07-21,3,streak_3,-0.007333,0.009431,-0.016764,-0.07791,-0.004152,-0.073758,-0.11824,0.036589,-0.15483,-0.298808,-0.075786,-0.223023
MFI.TO,2000-07-26,2,streak_2,-0.01505,0.004509,-0.019559,-0.053512,-0.047317,-0.006195,-0.063545,0.022149,-0.085695,-0.140468,-0.036265,-0.104203
GIB-A.TO,2000-07-26,2,streak_2,0.020101,0.004509,0.015591,-0.040201,-0.047317,0.007116,0.2,0.022149,0.177851,-0.01005,-0.036265,0.026215
K.TO,2000-07-31,3,streak_3,-0.018797,0.00612,-0.024917,-0.018797,0.021705,-0.040502,-0.041353,0.085227,-0.12658,-0.398496,-0.088398,-0.310098
QBR-B.TO,2000-07-31,2,streak_2,-0.002865,0.00612,-0.008985,-0.012894,0.021705,-0.034599,0.004298,0.085227,-0.080929,-0.19341,-0.088398,-0.105012
REI-UN.TO,2000-08-15,3,streak_3,0.0,0.003018,-0.003018,0.007692,0.006746,0.000946,0.061538,-0.022684,0.084222,0.069231,-0.16365,0.232881
OBE.TO,2000-08-16,3,streak_3,-0.014286,-0.000118,-0.014168,-0.03,0.009508,-0.039508,0.082857,0.004151,0.078706,-0.071428,-0.173781,0.102352
POU.TO,2000-08-24,3,streak_3,-0.035879,0.00641,-0.042288,-0.095676,0.005924,-0.1016,-0.070837,-0.048777,-0.022061,0.117755,-0.188507,0.306262
REKO.V,2000-09-21,3,streak_3,0.045833,-0.019615,0.065448,-0.0625,-0.052076,-0.010424,0.145833,-0.053777,0.199611,-0.375,-0.166881,-0.208119
