symbol,event_date,streak_length,category,stock_ret_1d,bench_ret_1d,abnormal_ret_1d,stock_ret_5d,bench_ret_5d,abnormal_ret_5d,stock_ret_21d,bench_ret_21d,abnormal_ret_21d,stock_ret_63d,bench_ret_63d,abnormal_ret_63d
600664.SS,2014-10-16,2,streak_2,-0.033294,-0.007234,-0.02606,-0.105826,-0.01985,-0.085977,-0.032105,0.047606,-0.07971,0.032105,0.357576,-0.325471
300224.SZ,2014-10-16,2,streak_2,0.0,-0.007234,0.007234,0.13342,-0.01985,0.15327,0.093264,0.047606,0.045659,0.032383,0.357576,-0.325192
002271.SZ,2014-10-21,2,streak_2,0.009877,-0.007244,0.01712,-0.012346,-0.028128,0.015783,0.012346,0.042772,-0.030426,0.266667,0.322321,-0.055654
002697.SZ,2014-10-22,2,streak_2,-0.005917,-0.005601,-0.000316,-0.014793,-0.000763,-0.01403,0.005917,0.047661,-0.041744,-0.008876,0.356204,-0.36508
000333.SZ,2014-10-23,2,streak_2,-0.006356,-0.010374,0.004018,0.001059,0.019977,-0.018917,0.045551,0.054185,-0.008634,0.526483,0.428556,0.097927
000100.SZ,2014-10-24,2,streak_2,-0.013636,-6e-05,-0.013576,0.05,0.038506,0.011494,0.063636,0.080217,-0.016581,0.295455,0.452101,-0.156647
002390.SZ,2014-10-24,2,streak_2,0.049942,-6e-05,0.050002,0.010453,0.038506,-0.028053,-0.097561,0.080217,-0.177778,-0.031359,0.452101,-0.48346
600535.SS,2014-10-24,2,streak_2,0.000434,-6e-05,0.000494,0.021286,0.038506,-0.017221,-0.003475,0.080217,-0.083692,0.085578,0.452101,-0.366523
600369.SS,2014-10-24,2,streak_2,0.0,-6e-05,6e-05,0.0,0.038506,-0.038506,0.0,0.080217,-0.080217,0.737307,0.452101,0.285206
002550.SZ,2014-10-24,2,streak_2,0.0,-6e-05,6e-05,0.082474,0.038506,0.043968,-0.002062,0.080217,-0.082279,-0.02268,0.452101,-0.474782
601899.SS,2014-10-25,2,streak_2,-0.00995,-0.005144,-0.004806,0.074627,0.051209,0.023418,0.084577,0.100599,-0.016022,0.572139,0.455845,0.116294
000768.SZ,2014-10-27,2,streak_2,0.013268,-0.005144,0.018412,0.061453,0.051209,0.010243,-0.002095,0.100599,-0.102694,0.733939,0.455845,0.278093
000919.SZ,2014-10-27,2,streak_2,0.036885,-0.005144,0.042029,0.081148,0.051209,0.029938,0.001639,0.100599,-0.09896,-0.036885,0.455845,-0.492731
002267.SZ,2014-10-27,2,streak_2,-0.022021,-0.005144,-0.016877,0.036269,0.051209,-0.01494,0.072539,0.100599,-0.028061,0.03886,0.455845,-0.416985
600038.SS,2014-10-28,2,streak_2,0.039352,0.02071,0.018643,0.019258,0.061357,-0.042099,-0.068378,0.121007,-0.189386,0.168853,0.47709,-0.308237
000027.SZ,2014-10-29,2,streak_2,0.035714,0.015039,0.020675,0.090909,0.039722,0.051187,0.256494,0.114213,0.14228,0.584416,0.434194,0.150222
600741.SS,2014-10-29,2,streak_2,0.032581,0.015039,0.017543,0.050125,0.039722,0.010403,0.181704,0.114213,0.067491,0.407268,0.434194,-0.026926
600837.SS,2014-10-29,2,streak_2,0.022086,0.015039,0.007047,0.067485,0.039722,0.027762,0.423313,0.114213,0.3091,1.117791,0.434194,0.683598
000883.SZ,2014-10-29,2,streak_2,0.035806,0.015039,0.020767,0.199488,0.039722,0.159766,None,None,None,None,None,None
000966.SZ,2014-10-29,2,streak_2,0.047091,0.015039,0.032053,0.177285,0.039722,0.137563,0.265928,0.114213,0.151715,0.468144,0.434194,0.03395
