symbol,event_date,streak_length,category,stock_ret_1d,bench_ret_1d,abnormal_ret_1d,stock_ret_5d,bench_ret_5d,abnormal_ret_5d,stock_ret_21d,bench_ret_21d,abnormal_ret_21d,stock_ret_63d,bench_ret_63d,abnormal_ret_63d
600439.SS,2014-10-19,2,streak_2,0.011429,0.006639,0.004789,-0.028571,-0.016617,-0.011954,0.06,0.057209,0.002791,0.062857,0.442217,-0.37936
000423.SZ,2014-10-20,2,streak_2,0.025262,0.006639,0.018622,-0.071093,-0.016617,-0.054476,0.004331,0.057209,-0.052878,0.122339,0.442217,-0.319878
603008.SS,2014-10-21,2,streak_2,-0.023211,-0.007244,-0.015967,-0.056093,-0.028128,-0.027964,0.262089,0.042772,0.219317,0.262089,0.322321,-0.060232
002063.SZ,2014-10-21,2,streak_2,-0.01548,-0.007244,-0.008236,0.055728,-0.028128,0.083856,0.086687,0.042772,0.043916,0.133127,0.322321,-0.189194
000568.SZ,2014-10-21,2,streak_2,-0.008521,-0.007244,-0.001277,-0.034857,-0.028128,-0.006728,0.001549,0.042772,-0.041222,0.087529,0.322321,-0.234792
600422.SS,2014-10-21,2,streak_2,0.007895,-0.007244,0.015138,-0.038596,-0.028128,-0.010468,-0.030702,0.042772,-0.073473,0.004386,0.322321,-0.317935
600151.SS,2014-10-21,2,streak_2,-0.039024,-0.007244,-0.031781,-0.051707,-0.028128,-0.023579,-0.032195,0.042772,-0.074967,-0.134634,0.322321,-0.456955
300228.SZ,2014-10-22,2,streak_2,-0.002378,-0.005601,0.003223,-0.021998,-0.000763,-0.021234,-0.117717,0.047661,-0.165378,-0.068966,0.356204,-0.425169
300027.SZ,2014-10-22,2,streak_2,0.0,-0.005601,0.005601,0.0,-0.000763,0.000763,0.100524,0.047661,0.052864,0.176573,0.356204,-0.179631
300223.SZ,2014-10-22,2,streak_2,0.006329,-0.005601,0.01193,-0.020253,-0.000763,-0.01949,0.125316,0.047661,0.077656,0.13481,0.356204,-0.221394
300088.SZ,2014-10-23,2,streak_2,-0.05641,-0.010374,-0.046037,-0.012821,0.019977,-0.032797,0.046154,0.054185,-0.008031,-0.064103,0.428556,-0.492659
000759.SZ,2014-10-24,2,streak_2,0.002436,-6e-05,0.002496,0.007308,0.038506,-0.031198,0.010962,0.080217,-0.069255,0.077954,0.452101,-0.374148
600418.SS,2014-10-24,2,streak_2,-0.015582,-6e-05,-0.015522,0.013749,0.038506,-0.024758,-0.028414,0.080217,-0.108631,0.056829,0.452101,-0.395273
000937.SZ,2014-10-24,2,streak_2,0.0,-6e-05,6e-05,0.034351,0.038506,-0.004155,0.053435,0.080217,-0.026782,0.221374,0.452101,-0.230727
