symbol,event_date,streak_length,category,stock_ret_1d,bench_ret_1d,abnormal_ret_1d,stock_ret_5d,bench_ret_5d,abnormal_ret_5d,stock_ret_21d,bench_ret_21d,abnormal_ret_21d,stock_ret_63d,bench_ret_63d,abnormal_ret_63d
0967.HK,2013-12-30,2,streak_2,0.0,7e-05,-7e-05,0.10984,-0.024054,0.133894,0.789474,-0.055182,0.844655,0.757437,-0.046989,0.804426
1070.HK,2014-10-23,2,streak_2,-0.005464,-0.003025,-0.00244,0.027322,0.01777,0.009552,0.120219,-0.002321,0.12254,0.26776,0.047798,0.219962
1177.HK,2014-11-10,2,streak_2,-0.010101,0.008257,-0.018358,0.09596,0.022808,0.073151,-0.045455,0.021122,-0.066577,-0.055556,0.041221,-0.096776
0551.HK,2014-11-13,2,streak_2,-0.015261,0.003415,-0.018677,0.034538,-0.023597,0.058135,0.053012,-0.026136,0.079148,0.129317,0.020217,0.1091
0386.HK,2014-11-28,2,streak_2,-0.013661,-0.000701,-0.01296,0.010929,-0.007154,0.018083,-0.035519,-0.020962,-0.014557,0.0,0.029099,-0.029099
0347.HK,2015-03-31,2,streak_2,0.010619,0.001841,0.008778,0.130974,0.084058,0.046916,0.161062,0.13151,0.029552,-0.09794,0.048641,-0.146582
2600.HK,2015-04-28,2,streak_2,0.008214,0.000322,0.007891,-0.045175,-0.023847,-0.021328,-0.13347,-0.034441,-0.099029,-0.486653,-0.138205,-0.348448
0551.HK,2015-05-14,3,streak_3,0.024463,0.001368,0.023095,-0.019274,0.012322,-0.031596,-0.057821,0.001147,-0.058968,-0.010378,-0.122325,0.111947
0778.HK,2015-07-27,2,streak_2,0.0,-0.030903,0.030903,0.036058,-0.019589,0.055646,-0.064904,-0.154285,0.089381,0.021635,-0.079025,0.10066
1070.HK,2015-08-12,3,streak_3,-0.028571,-0.023765,-0.004807,0.003571,-0.041768,0.045339,-0.085714,-0.119834,0.034119,-0.060714,-0.06569,0.004976
0700.HK,2015-08-12,2,streak_2,-0.041841,-0.023765,-0.018076,-0.009897,-0.041768,0.031871,-0.086659,-0.119834,0.033175,0.100901,-0.06569,0.166591
0762.HK,2015-08-21,2,streak_2,0.031792,-0.015285,0.047077,-0.011561,-0.040379,0.028819,-0.040462,-0.043965,0.003503,-0.052023,-0.004024,-0.047999
1177.HK,2015-08-25,3,streak_3,0.044554,0.007218,0.037337,0.193069,0.019717,0.173353,0.237624,0.002416,0.235208,0.455446,0.058651,0.396794
0388.HK,2015-11-11,2,streak_2,-0.010382,-0.002211,-0.008171,-0.016024,-0.006136,-0.009888,-0.064634,-0.026692,-0.037942,-0.231171,-0.182224,-0.048947
1177.HK,2015-11-20,4,streak_4,0.011407,0.011311,9.6e-05,0.095057,-0.000501,0.095558,0.038023,-0.033096,0.071118,-0.098859,-0.137129,0.03827
2196.HK,2016-03-30,2,streak_2,0.009709,0.021461,-0.011753,0.055397,-0.007838,0.063235,0.070246,0.050168,0.020078,-0.058252,0.003428,-0.061681
0388.HK,2016-08-10,2,streak_2,-0.009772,0.001194,-0.010966,0.034037,0.019818,0.014219,0.032594,0.056807,-0.024212,0.055548,-0.002244,0.057793
0762.HK,2016-08-17,3,streak_3,0.001767,-0.004847,0.006614,0.083039,0.003845,0.079194,0.081272,0.012213,0.06906,0.015901,-0.027511,0.043412
2196.HK,2016-08-23,3,streak_3,-0.00989,4.4e-05,-0.009934,0.100549,-0.007678,0.108227,0.176923,0.02922,0.147703,0.210989,-0.013907,0.224896
6886.HK,2016-10-31,2,streak_2,0.006076,-0.000883,0.006959,0.0,-0.0136,0.0136,0.100694,-0.005412,0.106107,-0.079861,0.015839,-0.0957
0551.HK,2016-11-11,2,streak_2,-0.024064,-0.013487,-0.010578,-0.048128,-0.02523,-0.022898,0.020722,-0.003421,0.024143,-0.056818,0.037825,-0.094644
0945.HK,2017-02-10,2,streak_2,0.004887,0.002119,0.002769,0.038283,0.024763,0.013519,-0.021178,0.00185,-0.023028,-0.040144,0.076973,-0.117117
0386.HK,2017-03-27,2,streak_2,0.002688,-0.006756,0.009444,0.016129,-0.010127,0.026256,0.021505,0.013967,0.007538,-0.010753,0.06598,-0.076732
0347.HK,2017-04-20,3,streak_3,-0.016854,0.0097,-0.026554,-0.039326,0.031585,-0.070911,0.001872,0.065704,-0.063832,0.15191,0.122318,0.029592
2600.HK,2017-04-26,3,streak_3,-0.002786,0.005009,-0.007794,-0.077994,0.00932,-0.087315,-0.072423,0.048386,-0.12081,0.233983,0.101615,0.132369
0874.HK,2017-04-27,2,streak_2,-0.028201,0.004884,-0.033085,-0.095883,-0.004153,-0.091729,-0.087422,0.045699,-0.133121,-0.103779,0.103861,-0.20764
0386.HK,2017-04-27,3,streak_3,-0.015544,0.004884,-0.020428,-0.064767,-0.004153,-0.060614,-0.010363,0.045699,-0.056061,-0.069948,0.103861,-0.173809
1513.HK,2017-04-28,2,streak_2,0.029146,-0.003375,0.032521,0.026371,-0.004882,0.031252,0.095767,0.038957,0.05681,0.207495,0.09235,0.115145
0347.HK,2017-04-28,4,streak_4,0.039761,-0.003375,0.043136,-0.031809,-0.004882,-0.026927,0.033798,0.038957,-0.005159,0.212812,0.09235,0.120462
0945.HK,2017-05-04,3,streak_3,0.019034,-0.000496,0.01953,0.018302,0.012929,0.005373,0.017692,0.049721,-0.03203,0.194119,0.115164,0.078955
1128.HK,2017-05-05,2,streak_2,-0.024229,-0.008408,-0.015822,-0.038913,0.017893,-0.056806,0.054332,0.047768,0.006563,0.007342,0.118438,-0.111095
0551.HK,2017-05-12,3,streak_3,-0.006459,0.001225,-0.007685,-0.048738,0.000437,-0.049174,-0.009982,0.023183,-0.033166,0.009982,0.104736,-0.094753
0522.HK,2017-07-26,2,streak_2,-0.127031,0.003313,-0.130345,-0.198725,0.025629,-0.224353,-0.208496,0.024823,-0.233319,-0.047521,0.054031,-0.101552
0388.HK,2017-08-09,2,streak_2,-0.012141,-0.003512,-0.008629,-0.084125,-0.02441,-0.059714,-0.078945,-0.011919,-0.067026,-0.003453,0.037792,-0.041245
0945.HK,2017-08-10,4,streak_4,-0.012614,-0.01128,-0.001334,-0.03019,-0.012538,-0.017652,-0.039806,-0.003193,-0.036613,0.01799,0.049698,-0.031708
0700.HK,2017-08-16,2,streak_2,0.01378,0.008615,0.005166,0.016289,0.008343,0.007947,0.0571,0.022162,0.034939,0.201371,0.061701,0.13967
