symbol,event_date,streak_length,category,stock_ret_1d,bench_ret_1d,abnormal_ret_1d,stock_ret_5d,bench_ret_5d,abnormal_ret_5d,stock_ret_21d,bench_ret_21d,abnormal_ret_21d,stock_ret_63d,bench_ret_63d,abnormal_ret_63d
0967.HK,2010-12-30,2,streak_2,-0.006024,0.001308,-0.007332,0.014056,0.034329,-0.020273,-0.096386,0.035278,-0.131664,-0.096386,0.02099,-0.117376
0967.HK,2011-03-30,3,streak_3,-0.002218,0.016959,-0.019176,-0.022173,0.053108,-0.075281,0.019955,0.024843,-0.004888,-0.055556,-0.013547,-0.042008
0967.HK,2011-12-30,2,streak_2,0.0,0.001982,-0.001982,0.039474,0.010607,0.028867,0.230263,0.127271,0.102992,0.243421,0.115466,0.127955
0967.HK,2012-09-29,2,streak_2,0.00303,0.002298,0.000732,0.009091,0.00465,0.004441,-0.018182,0.047096,-0.065277,0.181818,0.122753,0.059065
0967.HK,2013-06-29,2,streak_2,0.063361,-0.006953,0.070314,0.099174,-0.010628,0.109802,0.082645,0.055312,0.027333,0.170799,0.098858,0.071941
0861.HK,2014-08-25,2,streak_2,-0.014778,0.002177,-0.016956,0.007389,-0.014741,0.02213,-0.007389,-0.050778,0.043389,-0.064039,-0.048546,-0.015494
0861.HK,2014-10-27,3,streak_3,-0.020779,-0.006822,-0.013957,0.020779,0.029862,-0.009083,-0.012987,0.02536,-0.038347,0.046753,0.068993,-0.02224
3888.HK,2014-11-09,2,streak_2,0.01331,0.008257,0.005053,0.082755,0.022808,0.059946,-0.053819,0.021122,-0.074942,0.019676,0.041221,-0.021545
0388.HK,2015-03-05,2,streak_2,-0.007877,-0.011132,0.003255,-0.011232,-0.03055,0.019318,0.105463,0.033119,0.072344,0.65597,0.116528,0.539442
0700.HK,2015-03-18,2,streak_2,0.015705,0.009145,0.006559,0.068846,0.02084,0.048005,0.144312,0.133608,0.010704,0.155433,0.119618,0.035815
3888.HK,2015-03-20,3,streak_3,0.056811,-0.003827,0.060639,0.211973,0.001152,0.210821,0.689676,0.141607,0.548069,0.670128,0.11707,0.553058
0857.HK,2015-03-26,2,streak_2,0.008811,-0.00127,0.010081,0.04185,0.022607,0.019243,0.22467,0.159592,0.065077,0.048458,0.058657,-0.010199
0857.HK,2015-04-27,3,streak_3,0.065814,0.013279,0.052535,0.005484,0.002239,0.003245,-0.038391,0.000721,-0.039112,-0.241316,-0.132177,-0.109139
0861.HK,2015-04-27,4,streak_4,0.103853,0.013279,0.090574,0.060302,0.002239,0.058062,0.329983,0.000721,0.329262,-0.261307,-0.132177,-0.129129
0388.HK,2015-05-13,3,streak_3,-0.018304,-0.005761,-0.012542,0.016892,0.010448,0.006444,0.00774,-0.018219,0.025959,-0.239448,-0.106139,-0.133309
2280.HK,2015-05-15,2,streak_2,-0.024691,0.019633,-0.044325,-0.060185,0.008692,-0.068877,-0.35108,-0.015566,-0.335514,-0.665895,-0.119757,-0.546138
3888.HK,2015-05-19,4,streak_4,-0.012056,0.003707,-0.015763,-0.041561,0.02387,-0.065431,-0.147843,-0.030352,-0.11749,-0.410533,-0.136877,-0.273656
1093.HK,2015-05-26,2,streak_2,0.006192,0.009182,-0.00299,0.034056,-0.014135,0.04819,0.003096,-0.023555,0.026651,-0.130031,-0.199451,0.06942
3888.HK,2015-08-18,5,streak_5plus,-0.040366,-0.014263,-0.026103,-0.256728,-0.107626,-0.149101,-0.162002,-0.077599,-0.084403,-0.043595,-0.068294,0.024698
2280.HK,2015-08-25,3,streak_3,0.018518,0.007218,0.011301,0.027778,0.019717,0.008061,0.509259,0.002416,0.506843,0.598765,0.058651,0.540114
2280.HK,2015-11-03,4,streak_4,0.023419,0.008869,0.014551,0.103044,0.015947,0.087098,0.084309,0.000506,0.083803,-0.138173,-0.124029,-0.014144
0551.HK,2015-11-12,2,streak_2,0.009582,0.024013,-0.014431,-0.084873,-0.007333,-0.07754,-0.101985,-0.028971,-0.073014,-0.099932,-0.153633,0.053701
3888.HK,2015-11-17,6,streak_5plus,0.004101,0.011514,-0.007413,0.172232,0.029762,0.14247,0.051552,-0.033459,0.085011,-0.099004,-0.120293,0.021289
0945.HK,2016-02-11,2,streak_2,-0.041993,-0.038488,-0.003505,-0.093484,-0.018851,-0.074633,0.018997,0.036097,-0.0171,0.056824,0.022352,0.034472
0700.HK,2016-03-17,2,streak_2,0.009234,0.012149,-0.002915,0.058258,0.017649,0.040609,0.098048,0.058176,0.039872,0.13476,0.012464,0.122295
0902.HK,2016-03-22,2,streak_2,-0.025974,-0.000841,-0.025133,-0.032468,0.005765,-0.038232,-0.101732,0.03785,-0.139581,-0.227273,0.008905,-0.236178
0857.HK,2016-03-23,2,streak_2,0.010033,-0.002493,0.012526,-0.0301,0.00532,-0.03542,0.056856,0.030856,0.026,-0.020067,-0.019723,-0.000343
0857.HK,2016-04-28,3,streak_3,0.018349,0.001237,0.017111,-0.045872,-0.042683,-0.003188,-0.079511,-0.03674,-0.04277,-0.073395,0.038047,-0.111441
0551.HK,2016-05-12,3,streak_3,0.02641,-0.006972,0.033382,0.037116,-0.011412,0.048529,0.12848,0.049231,0.079248,0.154176,0.125915,0.028261
0700.HK,2016-05-18,3,streak_3,-0.011058,-0.014533,0.003475,-0.011614,-0.014333,0.002719,0.039502,-0.003995,0.043497,0.188539,0.133257,0.055281
0874.HK,2016-08-17,2,streak_2,-0.008737,-0.004847,-0.003889,-0.052419,0.003845,-0.056264,-0.010753,0.012213,-0.022965,-0.060484,-0.027511,-0.032972
0874.HK,2016-10-26,3,streak_3,-0.029093,-0.010171,-0.018922,-0.020974,-0.01774,-0.003234,-0.036536,-0.037701,0.001165,-0.018945,-0.021896,0.002952
0857.HK,2016-10-28,4,streak_4,-0.006494,-0.007675,0.001181,-0.029221,-0.019403,-0.009818,-0.00974,-0.017677,0.007936,0.149351,0.009875,0.139476
0700.HK,2017-03-22,2,streak_2,-0.015745,-0.011089,-0.004656,-0.012241,-0.010054,-0.002187,0.040178,-0.018446,0.058624,0.244423,0.051997,0.192425
0857.HK,2017-03-30,5,streak_5plus,0.003058,-0.003729,0.006787,-0.018349,-0.004851,-0.013497,-0.067278,0.011964,-0.079242,-0.140673,0.040872,-0.181545
0762.HK,2017-04-21,2,streak_2,-0.017118,-0.000622,-0.016497,-0.021398,0.026666,-0.048064,0.035663,0.055958,-0.020294,0.099857,0.110118,-0.010261
1988.HK,2017-04-26,2,streak_2,-0.019391,0.005009,-0.024399,-0.077562,0.00932,-0.086883,0.00554,0.048386,-0.042846,0.01662,0.101615,-0.084994
