symbol,event_date,streak_length,category,stock_ret_1d,bench_ret_1d,abnormal_ret_1d,stock_ret_5d,bench_ret_5d,abnormal_ret_5d,stock_ret_21d,bench_ret_21d,abnormal_ret_21d,stock_ret_63d,bench_ret_63d,abnormal_ret_63d
M&M.NS,2000-05-10,2,streak_2,-0.119575,-0.026229,-0.093346,-0.186448,-0.076086,-0.110362,-0.175376,0.005755,-0.181132,-0.351196,-0.08569,-0.265506
M&M.NS,2000-08-09,3,streak_3,-0.008312,-4.2e-05,-0.00827,0.110614,0.001957,0.108657,0.109335,0.081314,0.028021,-0.19821,-0.066828,-0.131382
M&M.NS,2000-11-08,4,streak_4,0.002398,0.018681,-0.016283,-0.026379,-0.002855,-0.023524,0.079137,0.038839,0.040298,0.171863,0.106316,0.065547
M&M.NS,2001-02-27,5,streak_5plus,0.04812,-0.010458,0.058578,0.007519,-0.027858,0.035376,-0.183459,-0.078897,-0.104561,-0.167669,-0.109575,-0.058094
M&M.NS,2001-05-16,6,streak_5plus,0.023652,0.004221,0.01943,0.054872,0.017792,0.037081,-0.105014,-0.021065,-0.083949,-0.386944,-0.072897,-0.314047
M&M.NS,2001-08-15,7,streak_5plus,0.027231,0.001807,0.025425,0.009077,-0.006933,0.01601,-0.2118,-0.150596,-0.061204,0.251135,-0.045518,0.296652
M&M.NS,2001-11-14,8,streak_5plus,0.062982,0.01165,0.051332,0.098972,0.054238,0.044734,0.109255,0.089825,0.019429,0.508997,0.155944,0.353053
M&M.NS,2002-02-26,9,streak_5plus,-0.020591,0.027461,-0.048052,-0.008953,0.008045,-0.016997,-0.078782,-0.042737,-0.036046,-0.269472,-0.129149,-0.140323
M&M.NS,2002-05-15,10,streak_5plus,-0.017932,-0.007233,-0.010699,-0.182489,-0.068356,-0.114133,0.012658,-0.022197,0.034855,-0.098101,-0.129809,0.031708
M&M.NS,2002-08-14,11,streak_5plus,0.0,-0.005171,0.005171,-0.011751,0.015802,-0.027552,-0.028202,0.020597,-0.048799,0.025852,-0.00082,0.026672
M&M.NS,2003-08-13,2,streak_2,-0.022649,0.009426,-0.032075,0.019695,0.042986,-0.023291,0.019695,0.129511,-0.109816,0.637617,0.29342,0.344197
M&M.NS,2003-11-12,3,streak_3,-0.015033,-0.004944,-0.010089,-0.070054,-0.027732,-0.042322,0.038184,0.053536,-0.015352,0.365604,0.18016,0.185444
M&M.NS,2004-02-24,4,streak_4,-0.029467,0.006388,-0.035856,-0.021048,0.02196,-0.043008,-0.091349,-0.053134,-0.038215,-0.066933,-0.108123,0.04119
M&M.NS,2004-05-12,5,streak_5plus,0.013113,0.006093,0.00702,-0.069647,-0.084282,0.014635,-0.051376,-0.067998,0.016622,-0.066423,-0.024204,-0.042219
M&M.NS,2006-02-21,2,streak_2,-0.013541,0.008811,-0.022352,-0.007317,0.020119,-0.027437,0.047519,0.075605,-0.028087,-0.002103,0.05824,-0.060343
J&KBANK.NS,2006-04-24,2,streak_2,0.004151,-0.009564,0.013715,-0.049815,-0.014827,-0.034989,-0.217251,-0.100373,-0.116878,-0.294742,-0.139428,-0.155314
J&KBANK.NS,2006-07-24,3,streak_3,-0.021424,0.012836,-0.034259,0.195577,0.058926,0.136651,0.260539,0.140464,0.120075,0.512094,0.260114,0.25198
M&M.NS,2006-08-09,3,streak_3,-0.000638,0.011821,-0.012459,0.049095,0.039341,0.009754,0.04774,0.076158,-0.028418,0.346378,0.192694,0.153684
J&KBANK.NS,2006-11-01,4,streak_4,-0.001912,0.005488,-0.0074,0.051147,0.015026,0.036122,0.169216,0.05052,0.118696,0.446463,0.100701,0.345761
J&KBANK.NS,2007-01-22,5,streak_5plus,0.017915,0.001871,0.016044,0.102114,0.002062,0.100052,0.04407,-0.01138,0.05545,0.112146,0.002472,0.109674
J&KBANK.NS,2007-04-23,6,streak_5plus,0.000997,0.002225,-0.001228,0.053191,0.000804,0.052388,0.020612,0.033521,-0.012909,0.018617,0.120032,-0.101415
J&KBANK.NS,2007-07-23,7,streak_5plus,0.016971,0.010706,0.006265,0.001632,-0.021264,0.022895,-0.016645,-0.101278,0.084633,0.055157,0.128131,-0.072974
J&KBANK.NS,2007-11-05,8,streak_5plus,0.005944,-0.019295,0.025239,-0.008321,-0.04592,0.037599,-0.003863,-0.018663,0.0148,0.021694,-0.086786,0.10848
M&M.NS,2007-11-14,2,streak_2,0.010971,0.046943,-0.035972,0.033731,0.012888,0.020843,0.11632,0.070415,0.045905,-0.18167,-0.127523,-0.054146
