symbol,event_date,streak_length,category,stock_ret_1d,bench_ret_1d,abnormal_ret_1d,stock_ret_5d,bench_ret_5d,abnormal_ret_5d,stock_ret_21d,bench_ret_21d,abnormal_ret_21d,stock_ret_63d,bench_ret_63d,abnormal_ret_63d
ARE&M.NS,2002-02-07,2,streak_2,-0.023454,0.002786,-0.026241,0.012793,0.026983,-0.014189,-0.01919,0.0767,-0.09589,0.083156,0.010101,0.073055
ARE&M.NS,2003-02-21,3,streak_3,-0.008746,0.001205,-0.009951,-0.008746,-0.007835,-0.000912,-0.102041,-0.049285,-0.052756,0.172012,-0.066989,0.239001
ARE&M.NS,2003-05-15,4,streak_4,0.009852,0.006356,0.003496,-0.019704,0.021093,-0.040797,0.049261,0.114685,-0.065424,0.03202,0.30043,-0.26841
J&KBANK.NS,2011-01-24,2,streak_2,-0.005894,0.007563,-0.013457,-0.024167,-0.035763,0.011596,-0.019452,-0.037426,0.017974,0.088123,0.02321,0.064913
L&TFH.NS,2011-10-31,3,streak_3,-0.012536,-0.005605,-0.006931,-0.001929,-0.013603,0.011674,-0.125361,-0.094432,-0.03093,-0.054002,-0.034331,-0.019671
L&TFH.NS,2012-02-06,4,streak_4,-0.001031,0.005814,-0.006845,-0.001031,0.008164,-0.009195,-0.027835,-0.02452,-0.003315,-0.128866,-0.063924,-0.064942
ARE&M.NS,2012-05-01,5,streak_5plus,-0.01113,-0.000976,-0.010154,-0.053186,-0.044612,-0.008574,0.02988,-0.058125,0.088005,-0.00127,-0.027694,0.026424
ARE&M.NS,2012-07-30,6,streak_5plus,0.008901,0.018082,-0.009182,0.042708,0.021304,0.021404,0.277188,0.038697,0.238491,0.543381,0.098947,0.444434
L&TFH.NS,2013-07-29,2,streak_2,-0.044643,-0.007844,-0.036799,-0.106399,-0.029581,-0.076818,-0.175595,-0.088719,-0.086876,0.191964,0.065109,0.126855
J&KBANK.NS,2013-07-29,2,streak_2,-0.017699,-0.007844,-0.009855,-0.029302,-0.029581,0.000279,-0.061947,-0.088719,0.026772,0.083972,0.065109,0.018864
L&TFH.NS,2013-10-28,3,streak_3,-0.007185,-0.005475,-0.00171,0.082299,0.024816,0.057483,-0.041149,-0.012728,-0.028421,-0.1032,0.001157,-0.104357
J&KBANK.NS,2013-11-18,3,streak_3,-0.003252,0.022124,-0.025376,-0.03252,-0.008923,-0.023597,0.0,0.01275,-0.01275,0.112556,-0.010102,0.122658
L&TFH.NS,2014-08-04,2,streak_2,0.0059,0.00951,-0.00361,-0.029499,-0.005953,-0.023545,-0.014749,0.065112,-0.079861,0.064159,0.095335,-0.031176
ARE&M.NS,2014-11-03,2,streak_2,-0.017273,-0.000196,-0.017077,0.074765,0.001587,0.073178,0.155723,0.020702,0.135021,0.40151,0.040706,0.360804
L&TFH.NS,2014-11-03,3,streak_3,0.037518,-0.000196,0.037714,0.041125,0.001587,0.039538,0.020202,0.020702,-0.0005,-0.004329,0.040706,-0.045035
J&KBANK.NS,2015-04-28,2,streak_2,0.004535,0.008073,-0.003537,-0.004762,0.009683,-0.014445,0.104535,0.014265,0.090271,0.063265,0.034416,0.028849
HEXAWARE.NS,2015-04-29,2,streak_2,-0.014666,-0.006222,-0.008444,-0.167481,-0.024785,-0.142696,-0.090732,0.004027,-0.094759,-0.127019,0.006023,-0.133042
L&TFH.NS,2015-08-03,2,streak_2,-0.001381,0.002579,-0.00396,-0.004834,0.004333,-0.009168,-0.099448,-0.065143,-0.034304,-0.080801,-0.054206,-0.026595
HEXAWARE.NS,2015-08-04,3,streak_3,0.032895,-0.004084,0.036979,0.000355,-0.003028,0.003383,-0.161413,-0.08836,-0.073053,-0.120935,-0.057975,-0.06296
M&MFIN.NS,2015-08-12,2,streak_2,-0.029424,-0.012698,-0.016727,-0.007199,-0.00124,-0.005959,-0.059687,-0.077029,0.017343,-0.126782,-0.080943,-0.045839
M&M.NS,2015-08-12,2,streak_2,-0.029973,-0.012698,-0.017276,0.018968,-0.00124,0.020208,-0.126138,-0.077029,-0.049109,-0.065816,-0.080943,0.015126
ARE&M.NS,2015-11-02,2,streak_2,-0.012782,-0.003664,-0.009118,-0.017269,-0.01469,-0.002579,-0.028111,-0.020219,-0.007892,-0.045599,-0.079448,0.033849
