symbol,event_date,streak_length,category,stock_ret_1d,bench_ret_1d,abnormal_ret_1d,stock_ret_5d,bench_ret_5d,abnormal_ret_5d,stock_ret_21d,bench_ret_21d,abnormal_ret_21d,stock_ret_63d,bench_ret_63d,abnormal_ret_63d
9433.T,2014-04-30,2,streak_2,0.003885,0.001111,0.002774,0.038939,-0.00871,0.047649,0.116578,0.024086,0.092492,0.136504,0.095043,0.04146
4704.T,2014-05-14,2,streak_2,-0.035086,-0.001364,-0.033722,-0.074561,-0.024276,-0.050285,-0.030698,0.044646,-0.075345,0.055559,0.048878,0.006682
9433.T,2014-07-29,3,streak_3,0.010111,0.00571,0.004401,-0.01161,-0.003535,-0.008075,-0.00965,-0.000527,-0.009123,0.138903,-0.012846,0.151749
9433.T,2014-10-31,4,streak_4,0.047096,0.048253,-0.001157,0.059706,0.078054,-0.018347,0.109414,0.128049,-0.018635,0.111577,0.11792,-0.006343
6592.T,2014-11-04,2,streak_2,-0.001052,0.027337,-0.02839,-0.013714,0.022345,-0.036059,0.042194,0.079608,-0.037414,0.031368,0.075226,-0.043858
9435.T,2014-11-10,2,streak_2,-0.013888,-0.005915,-0.007973,0.094445,0.036163,0.058282,0.059722,0.055271,0.004451,0.015191,0.061194,-0.046003
4704.T,2014-11-12,3,streak_3,0.001339,0.004259,-0.00292,-0.034806,0.012844,-0.04765,-0.053548,0.007784,-0.061332,-0.062579,0.050396,-0.112975
8725.T,2014-11-19,2,streak_2,0.010635,-0.003189,0.013824,0.071268,0.002279,0.06899,0.107288,-0.007727,0.115015,0.252358,0.072614,0.179744
9678.T,2014-12-10,2,streak_2,-0.006482,-0.0225,0.016018,-0.219194,-0.059397,-0.159797,-0.185473,-0.057115,-0.128358,-0.083008,0.080427,-0.163435
9843.T,2014-12-22,2,streak_2,-0.005845,0.00078,-0.006624,-0.04094,0.006154,-0.047093,-0.062868,-0.008676,-0.054192,0.236548,0.10497,0.131578
9948.T,2015-01-07,2,streak_2,-0.017614,0.000127,-0.01774,-0.06325,-0.005167,-0.058084,-0.005205,0.036808,-0.042012,0.112415,0.163319,-0.050905
6506.T,2015-01-22,2,streak_2,0.009522,0.002809,0.006713,0.055067,0.029817,0.02525,0.087017,0.060868,0.026149,0.145929,0.152114,-0.006185
4185.T,2015-01-26,2,streak_2,0.121069,-0.002469,0.123538,0.09696,0.009287,0.087673,0.128407,0.062343,0.066064,0.074423,0.152806,-0.078382
4684.T,2015-01-27,2,streak_2,0.026517,0.017161,0.009356,0.084879,0.005125,0.079754,0.169758,0.063925,0.105833,0.383646,0.146064,0.237582
2413.T,2015-01-27,2,streak_2,0.008259,0.017161,-0.008902,0.090908,0.005125,0.085784,0.186865,0.063925,0.122939,0.121566,0.146064,-0.024498
8316.T,2015-01-27,2,streak_2,0.030004,0.017161,0.012843,-0.025078,0.005125,-0.030203,0.139907,0.063925,0.075981,0.360897,0.146064,0.214833
9507.T,2015-01-28,2,streak_2,0.003559,0.001544,0.002015,0.049081,-0.024338,0.073419,0.108113,0.057264,0.050849,0.18428,0.124661,0.059618
6954.T,2015-01-28,2,streak_2,-0.005016,0.001544,-0.00656,-0.059218,-0.024338,-0.034879,0.095032,0.057264,0.037767,0.303629,0.124661,0.178967
7974.T,2015-01-28,2,streak_2,-0.001227,0.001544,-0.00277,-0.08851,-0.024338,-0.064172,0.008932,0.057264,-0.048333,0.687085,0.124661,0.562423
4901.T,2015-01-28,2,streak_2,0.002614,0.001544,0.00107,0.011758,-0.024338,0.036096,0.077754,0.057264,0.02049,0.222029,0.124661,0.097367
