symbol,event_date,streak_length,category,stock_ret_1d,bench_ret_1d,abnormal_ret_1d,stock_ret_5d,bench_ret_5d,abnormal_ret_5d,stock_ret_21d,bench_ret_21d,abnormal_ret_21d,stock_ret_63d,bench_ret_63d,abnormal_ret_63d
4523.T,2014-05-13,2,streak_2,0.013907,0.0195,-0.005593,0.023769,-0.010112,0.033881,0.04526,0.059739,-0.01448,0.071681,0.044443,0.027238
4523.T,2014-07-31,3,streak_3,-0.001702,-0.001627,-7.4e-05,-0.018382,-0.03109,0.012708,-0.016225,-0.011912,-0.004314,-0.025319,0.000765,-0.026084
4151.T,2014-10-28,2,streak_2,-0.010729,-0.003822,-0.006907,0.062764,0.095768,-0.033004,0.054503,0.120853,-0.066351,0.128565,0.140968,-0.012403
4507.T,2014-10-29,2,streak_2,0.009115,0.014612,-0.005497,0.123055,0.104855,0.0182,0.121529,0.13894,-0.017411,0.291298,0.130851,0.160446
4523.T,2014-10-30,4,streak_4,-0.011689,0.006705,-0.018394,0.009116,0.079631,-0.070515,0.000935,0.130912,-0.129977,0.401355,0.136611,0.264744
5333.T,2014-10-30,2,streak_2,-0.003653,0.006705,-0.010359,0.02639,0.079631,-0.05324,0.071053,0.130912,-0.059858,-0.142101,0.136611,-0.278712
6502.T,2014-10-30,2,streak_2,0.018258,0.006705,0.011553,0.091509,0.079631,0.011878,0.16806,0.130912,0.037148,0.046635,0.136611,-0.089976
3291.T,2014-11-11,2,streak_2,0.013587,0.020475,-0.006888,0.115901,0.011518,0.104384,0.065538,0.037666,0.027872,0.316534,0.072956,0.243578
4324.T,2014-11-12,2,streak_2,0.017691,0.004259,0.013431,0.044811,0.012844,0.031966,0.101416,0.007784,0.093632,0.147408,0.050396,0.097012
8309.T,2014-11-13,2,streak_2,-0.000421,0.011382,-0.011803,-0.003371,0.005332,-0.008703,-0.015394,0.010149,-0.025543,0.022776,0.058273,-0.035496
1928.T,2014-12-05,2,streak_2,-0.01007,0.001858,-0.011929,-0.052806,-0.03521,-0.017596,-0.041208,-0.040258,-0.00095,0.033555,0.046755,-0.0132
3086.T,2014-12-25,2,streak_2,-0.009526,-0.002547,-0.006978,-0.042856,-0.024953,-0.017903,0.023126,-0.003277,0.026402,0.324752,0.087216,0.237536
3382.T,2015-01-09,2,streak_2,0.007267,0.001784,0.005483,-0.042559,-0.017647,-0.024913,0.011773,0.031737,-0.019964,0.235308,0.161391,0.073917
8905.T,2015-01-09,2,streak_2,0.004348,0.001784,0.002564,0.005313,-0.017647,0.02296,-0.023214,0.031737,-0.054951,0.207859,0.161391,0.046468
6594.T,2015-01-22,2,streak_2,-0.007936,0.002809,-0.010745,0.009923,0.029817,-0.019894,0.015382,0.060868,-0.045485,0.030154,0.152114,-0.12196
6807.T,2015-01-28,2,streak_2,-0.029268,0.001544,-0.030812,-0.13886,-0.024338,-0.114522,-0.097886,0.057264,-0.155151,-0.098398,0.124661,-0.223059
6588.T,2015-01-28,2,streak_2,-0.006127,0.001544,-0.007671,-0.113971,-0.024338,-0.089633,-0.10907,0.057264,-0.166334,-0.135727,0.124661,-0.260388
6305.T,2015-01-28,2,streak_2,-0.004003,0.001544,-0.005546,-0.127701,-0.024338,-0.103363,-0.112891,0.057264,-0.170156,-0.074887,0.124661,-0.199548
4967.T,2015-01-29,2,streak_2,0.01087,-0.010649,0.021519,0.082879,-0.006574,0.089453,0.114131,0.056317,0.057814,0.173461,0.127178,0.046283
4661.T,2015-01-29,2,streak_2,-0.000165,-0.010649,0.010485,-0.114541,-0.006574,-0.107967,0.02545,0.056317,-0.030868,0.090586,0.127178,-0.036592
3231.T,2015-01-30,2,streak_2,-0.011403,0.003872,-0.015274,-0.02081,-0.005771,-0.015039,0.03068,0.069331,-0.038651,0.223204,0.1087,0.114504
9101.T,2015-01-30,2,streak_2,-0.005642,0.003872,-0.009513,-0.064979,-0.005771,-0.059208,0.014127,0.069331,-0.055204,0.082074,0.1087,-0.026625
9502.T,2015-01-30,2,streak_2,0.037192,0.003872,0.03332,-0.031201,-0.005771,-0.025431,-0.044819,0.069331,-0.11415,0.060749,0.1087,-0.04795
7752.T,2015-01-31,2,streak_2,-0.032407,-0.006583,-0.025824,-0.041916,-0.001465,-0.040451,0.024202,0.064544,-0.040342,0.101569,0.105081,-0.003512
7267.T,2015-01-31,2,streak_2,0.033095,-0.006583,0.039678,0.05668,-0.001465,0.058145,0.117006,0.064544,0.052463,0.150959,0.105081,0.045879
2871.T,2015-02-03,2,streak_2,-0.03941,-0.012655,-0.026756,-0.049268,0.008765,-0.058033,0.003293,0.065244,-0.061951,0.030712,0.098755,-0.068043
6902.T,2015-02-03,2,streak_2,0.0,-0.012655,0.012655,0.038092,0.008765,0.029327,0.058471,0.065244,-0.006773,0.149899,0.098755,0.051143
6752.T,2015-02-03,2,streak_2,0.007421,-0.012655,0.020075,-0.021517,0.008765,-0.030282,0.11985,0.065244,0.054606,0.240683,0.098755,0.141928
6753.T,2015-02-03,2,streak_2,0.056033,-0.012655,0.068687,0.025861,0.008765,0.017096,0.0,0.065244,-0.065244,0.107759,0.098755,0.009003
9613.T,2015-02-03,2,streak_2,0.017044,-0.012655,0.029699,0.061361,0.008765,0.052597,0.118175,0.065244,0.052931,0.209193,0.098755,0.110438
8053.T,2015-02-03,2,streak_2,0.008929,-0.012655,0.021584,0.042548,0.008765,0.033784,0.122125,0.065244,0.056881,0.207533,0.098755,0.108778
7259.T,2015-02-03,2,streak_2,0.009659,-0.012655,0.022313,0.02295,0.008765,0.014186,0.048315,0.065244,-0.016929,0.311908,0.098755,0.213153
5020.T,2015-02-04,2,streak_2,0.011489,0.019779,-0.008291,0.042003,0.018276,0.023727,0.082478,0.08168,0.000798,0.157187,0.117868,0.039319
8354.T,2015-02-04,2,streak_2,0.012088,0.019779,-0.007691,-0.001728,0.018276,-0.020004,0.070812,0.08168,-0.010868,0.192175,0.117868,0.074307
4452.T,2015-02-04,2,streak_2,-0.021592,0.019779,-0.041372,0.003565,0.018276,-0.014711,0.068937,0.08168,-0.012743,0.108952,0.117868,-0.008915
3632.T,2015-02-04,2,streak_2,0.021018,0.019779,0.001238,0.007508,0.018276,-0.010768,0.072084,0.08168,-0.009596,0.14114,0.117868,0.023272
2579.T,2015-02-04,2,streak_2,0.011907,0.019779,-0.007872,0.017267,0.018276,-0.001009,0.094049,0.08168,0.012369,0.166072,0.117868,0.048204
7458.T,2015-02-06,2,streak_2,-0.00143,0.00822,-0.009649,0.044283,0.02335,0.020933,0.061432,0.073462,-0.01203,0.1959,0.121123,0.074777
4118.T,2015-02-09,2,streak_2,0.009617,0.003594,0.006023,0.071427,0.020187,0.05124,0.129119,0.057603,0.071516,0.175572,0.119909,0.055663
5463.T,2015-02-09,2,streak_2,-0.04278,0.003594,-0.046374,-0.026222,0.020187,-0.046409,0.026202,0.057603,-0.031401,0.137366,0.119909,0.017457
3774.T,2015-02-10,2,streak_2,-0.025084,-0.003345,-0.021738,-0.08874,0.015535,-0.104276,-0.006772,0.057113,-0.063885,-0.182736,0.104919,-0.287654
2502.T,2015-02-12,2,streak_2,0.025034,0.018526,0.006507,0.006225,0.030958,-0.024732,-0.007442,0.07582,-0.083262,0.094437,0.117843,-0.023406
6460.T,2015-02-12,2,streak_2,0.014541,0.018526,-0.003985,0.083639,0.030958,0.052681,0.09212,0.07582,0.0163,0.063503,0.117843,-0.054339
