symbol,event_date,streak_length,category,stock_ret_1d,bench_ret_1d,abnormal_ret_1d,stock_ret_5d,bench_ret_5d,abnormal_ret_5d,stock_ret_21d,bench_ret_21d,abnormal_ret_21d,stock_ret_63d,bench_ret_63d,abnormal_ret_63d
114090.KS,2013-05-03,2,streak_2,-0.013177,0.004343,-0.01752,0.045388,0.011363,0.034025,0.057101,0.016534,0.040567,-0.08121,-0.018634,-0.062576
005930.KS,2014-04-28,2,streak_2,-0.007862,-0.001217,-0.006645,-0.039314,-0.016118,-0.023195,0.043603,0.020592,0.023011,-0.002483,0.056272,-0.058755
000100.KS,2014-10-28,2,streak_2,-0.054974,-0.003256,-0.051718,-0.078534,0.01087,-0.089404,-0.10733,0.024969,-0.132299,-0.108759,0.010575,-0.119334
000660.KS,2015-01-28,2,streak_2,0.001017,0.004702,-0.003685,-0.049848,-0.000225,-0.049622,-0.046796,0.022746,-0.069542,-0.045778,0.097434,-0.143212
017670.KS,2015-01-29,2,streak_2,-0.005254,-0.005383,0.000129,-0.019265,0.000617,-0.019881,-0.007005,0.02029,-0.027295,0.005254,0.084417,-0.079163
029780.KS,2015-01-29,2,streak_2,0.024064,-0.005383,0.029448,0.033422,0.000617,0.032806,0.00401,0.02029,-0.016279,0.09893,0.084417,0.014513
138930.KS,2015-02-04,2,streak_2,0.006921,0.005548,0.001373,-0.041521,-0.008248,-0.033273,0.013842,0.020933,-0.007091,0.107267,0.068424,0.038844
181710.KS,2015-02-04,2,streak_2,0.018893,0.005548,0.013345,-0.05803,-0.008248,-0.049782,-0.053981,0.020933,-0.074914,-0.163293,0.068424,-0.231716
039490.KS,2015-02-05,2,streak_2,0.001706,-0.005069,0.006776,-0.018771,-0.008707,-0.010064,0.127986,0.011198,0.116788,0.266212,0.068571,0.197641
071320.KS,2015-02-06,2,streak_2,-0.013257,0.001372,-0.01463,-0.041667,-0.00574,-0.035926,0.045455,0.014333,0.031122,0.276515,0.073703,0.202812
036570.KS,2015-02-10,2,streak_2,-0.018307,-0.005722,-0.012585,-0.114416,0.005768,-0.120184,-0.162471,0.019923,-0.182394,-0.002288,0.089024,-0.091312
051600.KS,2015-02-11,2,streak_2,-0.02181,0.005083,-0.026893,-0.007634,0.013219,-0.020852,-0.031625,0.026588,-0.058212,0.039258,0.088147,-0.048888
051900.KS,2015-04-21,2,streak_2,0.043624,-0.000894,0.044519,-0.006711,0.005045,-0.011756,-0.011186,-0.011133,-5.2e-05,-0.175615,-0.029389,-0.146226
000660.KS,2015-04-23,3,streak_3,0.012155,0.013769,-0.001615,0.036464,-0.000588,0.037052,0.060773,-0.000182,0.060955,-0.138122,-0.036765,-0.101357
000270.KS,2015-04-24,2,streak_2,0.024242,-0.006262,0.030504,0.00202,-0.021275,0.023296,-0.040404,-0.030326,-0.010078,-0.155555,-0.058641,-0.096915
029780.KS,2015-04-24,3,streak_3,-0.018265,-0.006262,-0.012003,-0.061644,-0.021275,-0.040369,-0.041096,-0.030326,-0.010771,-0.158676,-0.058641,-0.100036
047810.KS,2015-04-27,2,streak_2,0.011686,-0.001046,0.012733,0.075125,-0.012765,0.08789,0.141903,-0.022646,0.164549,0.460768,-0.056019,0.516787
138930.KS,2015-04-27,3,streak_3,-0.015625,-0.001046,-0.014578,0.021875,-0.012765,0.03464,-0.006251,-0.022646,0.016395,-0.18125,-0.056019,-0.125231
