symbol,event_date,streak_length,category,stock_ret_1d,bench_ret_1d,abnormal_ret_1d,stock_ret_5d,bench_ret_5d,abnormal_ret_5d,stock_ret_21d,bench_ret_21d,abnormal_ret_21d,stock_ret_63d,bench_ret_63d,abnormal_ret_63d
011780.KS,2014-10-20,2,streak_2,0.013755,0.015468,-0.001713,-0.02751,0.013169,-0.040679,0.100413,0.022608,0.077805,0.211855,0.001031,0.210824
161390.KS,2014-10-29,2,streak_2,0.047427,0.01843,0.028997,0.083754,0.004939,0.078815,0.099899,0.028644,0.071255,0.077699,0.018643,0.059057
005930.KS,2014-10-30,2,streak_2,0.045133,-0.001142,0.046275,0.063716,-0.015164,0.078881,0.118584,0.010667,0.107917,0.203539,-0.005175,0.208715
042660.KS,2014-11-04,2,streak_2,-0.00266,-0.009104,0.006445,0.093085,0.002693,0.090392,0.015957,0.006585,0.009373,0.064121,-0.000517,0.064639
114090.KS,2014-11-12,2,streak_2,0.03877,0.002175,0.036595,0.080214,0.002043,0.078171,-0.058823,-0.008884,-0.049939,0.042508,-0.008813,0.051321
111770.KS,2014-11-14,2,streak_2,0.02069,-0.00784,0.028529,-0.017241,-0.00126,-0.015981,-0.138793,-0.019791,-0.119002,-0.086194,-0.001535,-0.084658
000210.KS,2015-01-22,2,streak_2,0.030909,-0.000213,0.031122,0.036364,0.021002,0.015361,0.001818,0.02857,-0.026752,0.56,0.13126,0.42874
005380.KS,2015-01-22,2,streak_2,-0.020408,-0.000213,-0.020195,-0.034985,0.021002,-0.055988,-0.052478,0.02857,-0.081048,0.023324,0.13126,-0.107936
032640.KS,2015-01-23,2,streak_2,0.040816,0.00795,0.032867,-0.020408,0.015722,-0.036131,-0.024489,0.036261,-0.060749,-0.130612,0.124416,-0.255027
012330.KS,2015-01-23,2,streak_2,0.017964,0.00795,0.010014,-0.001996,0.015722,-0.017718,0.001996,0.036261,-0.034265,0.007984,0.124416,-0.116432
011210.KS,2015-01-23,2,streak_2,-0.021605,0.00795,-0.029555,-0.046296,0.015722,-0.062019,-0.101852,0.036261,-0.138112,-0.070988,0.124416,-0.195403
051910.KS,2015-01-26,2,streak_2,-0.041026,-0.000212,-0.040814,0.017949,0.006802,0.011146,0.189744,0.029436,0.160308,0.384615,0.11438,0.270235
011070.KS,2015-01-26,2,streak_2,-0.009346,-0.000212,-0.009134,-0.085047,0.006802,-0.091849,-0.014019,0.029436,-0.043454,-0.028037,0.11438,-0.142417
006400.KS,2015-01-26,2,streak_2,0.012,-0.000212,0.012212,0.032,0.006802,0.025198,0.1,0.029436,0.070564,0.036,0.11438,-0.07838
016360.KS,2015-01-27,2,streak_2,0.007527,0.008638,-0.001111,0.036559,0.008782,0.027776,0.025806,0.025893,-8.6e-05,0.419355,0.109517,0.309838
006360.KS,2015-01-27,2,streak_2,0.08076,0.008638,0.072122,0.239905,0.008782,0.231122,0.43943,0.025893,0.413538,0.655582,0.109517,0.546065
139480.KS,2015-01-28,2,streak_2,-0.015837,0.004702,-0.020539,-0.079186,-0.000225,-0.07896,-0.045249,0.022746,-0.067995,0.022624,0.097434,-0.074809
012450.KS,2015-01-28,2,streak_2,0.084091,0.004702,0.079389,0.088637,-0.000225,0.088862,0.172728,0.022746,0.149981,0.306818,0.097434,0.209384
004170.KS,2015-01-28,2,streak_2,-0.018405,0.004702,-0.023107,0.006135,-0.000225,0.00636,0.039877,0.022746,0.017131,0.226994,0.097434,0.12956
066570.KS,2015-01-28,2,streak_2,-0.012442,0.004702,-0.017144,-0.062208,-0.000225,-0.061983,-0.059098,0.022746,-0.081844,-0.048211,0.097434,-0.145645
005490.KS,2015-01-29,2,streak_2,0.005515,-0.005383,0.010898,-0.044118,0.000617,-0.044735,0.022059,0.02029,0.001769,-0.073529,0.084417,-0.157946
004020.KS,2015-01-29,2,streak_2,0.0,-0.005383,0.005383,0.039816,0.000617,0.039199,0.102603,0.02029,0.082314,0.205207,0.084417,0.12079
008770.KS,2015-01-29,2,streak_2,-0.014286,-0.005383,-0.008902,-0.014286,0.000617,-0.014903,-0.097143,0.02029,-0.117433,0.019048,0.084417,-0.065369
009150.KS,2015-01-29,2,streak_2,0.007825,-0.005383,0.013208,0.061033,0.000617,0.060416,0.123631,0.02029,0.103341,0.056338,0.084417,-0.028079
010140.KS,2015-01-29,2,streak_2,-0.015707,-0.005383,-0.010323,-0.015707,0.000617,-0.016324,0.062827,0.02029,0.042537,-0.049738,0.084417,-0.134155
028050.KS,2015-01-29,2,streak_2,0.01,-0.005383,0.015383,0.121429,0.000617,0.120812,0.207143,0.02029,0.186853,0.11,0.084417,0.025584
010950.KS,2015-01-30,2,streak_2,0.039519,-0.000902,0.040421,0.06701,0.000933,0.066077,0.11512,0.024228,0.090892,0.254296,0.09288,0.161416
086280.KS,2015-01-30,2,streak_2,0.008247,-0.000902,0.00915,-0.02268,0.000933,-0.023613,-0.057732,0.024228,-0.08196,-0.020619,0.09288,-0.113498
030200.KS,2015-01-30,2,streak_2,0.0,-0.000902,0.000902,-0.023373,0.000933,-0.024306,0.015025,0.024228,-0.009203,0.076794,0.09288,-0.016085
039130.KS,2015-02-02,2,streak_2,0.016393,0.001755,0.014639,0.108899,0.003211,0.105688,0.133489,0.025199,0.10829,0.446136,0.079682,0.366454
003550.KS,2015-02-02,2,streak_2,0.01454,0.001755,0.012785,0.021002,0.003211,0.01779,0.008077,0.025199,-0.017122,0.061389,0.079682,-0.018292
012630.KS,2015-02-03,2,streak_2,0.001185,-0.000369,0.001553,0.010663,-0.002909,0.013572,0.189573,0.03086,0.158713,0.350711,0.070836,0.279875
090430.KS,2015-02-03,2,streak_2,0.009738,-0.000369,0.010107,0.067416,-0.002909,0.070325,0.058052,0.03086,0.027192,0.454682,0.070836,0.383846
071840.KS,2015-02-03,2,streak_2,0.009671,-0.000369,0.01004,0.01354,-0.002909,0.016449,0.162476,0.03086,0.131616,0.394584,0.070836,0.323748
139130.KS,2015-02-04,2,streak_2,0.004652,0.005548,-0.000897,0.018605,-0.008248,0.026853,0.093023,0.020933,0.07209,0.116279,0.068424,0.047855
007070.KS,2015-02-05,2,streak_2,-0.018018,-0.005069,-0.012949,0.057658,-0.008707,0.066365,0.039639,0.011198,0.028441,0.4,0.068571,0.33143
096770.KS,2015-02-05,2,streak_2,-0.031697,-0.005069,-0.026628,0.027607,-0.008707,0.036314,0.001022,0.011198,-0.010176,0.175869,0.068571,0.107298
024110.KS,2015-02-06,2,streak_2,0.012049,0.001372,0.010676,0.084338,-0.00574,0.090079,0.016064,0.014333,0.001731,0.204819,0.073703,0.131116
011170.KS,2015-02-06,2,streak_2,0.025937,0.001372,0.024564,0.008645,-0.00574,0.014386,0.138329,0.014333,0.123996,0.45245,0.073703,0.378747
015760.KS,2015-02-09,2,streak_2,0.00358,-0.004357,0.007937,0.095465,0.001013,0.094453,0.00716,0.007706,-0.000547,0.126492,0.081124,0.045367
009540.KS,2015-02-12,2,streak_2,0.020325,-0.002092,0.022417,-0.036585,0.011662,-0.048247,0.0,0.04328,-0.04328,0.04878,0.086355,-0.037574
078930.KS,2015-02-12,2,streak_2,-0.004728,-0.002092,-0.002636,0.018912,0.011662,0.007251,-0.010638,0.04328,-0.053918,0.173759,0.086355,0.087404
035250.KS,2015-02-13,2,streak_2,-0.010542,0.008174,-0.018716,0.016566,0.017763,-0.001197,0.018073,0.044715,-0.026642,0.204819,0.092304,0.112516
018880.KS,2015-02-26,2,streak_2,0.013777,0.001311,0.012466,-0.02985,0.003929,-0.033779,-0.111367,0.016122,-0.127489,-0.154994,0.060498,-0.215492
161390.KS,2015-03-02,3,streak_3,0.020833,0.005544,0.015289,0.033333,0.013667,0.019666,-0.063542,0.022278,-0.08582,-0.086458,0.058702,-0.14516
042660.KS,2015-03-09,3,streak_3,-0.043269,-0.009995,-0.033274,-0.084135,-0.013488,-0.070647,-0.125,0.016637,-0.141637,-0.235577,0.025957,-0.261534
051910.KS,2015-04-17,3,streak_3,-0.00947,0.001682,-0.011152,0.075758,0.01566,0.060098,0.011364,-0.008902,0.020266,-0.015152,-0.029492,0.014341
005490.KS,2015-04-21,3,streak_3,-0.007843,-0.000894,-0.006949,0.0,0.005045,-0.005045,-0.029412,-0.011133,-0.018278,-0.223529,-0.029389,-0.19414
005380.KS,2015-04-23,3,streak_3,0.032353,0.013769,0.018584,0.005882,-0.000588,0.00647,-0.058824,-0.000182,-0.058642,-0.182174,-0.036765,-0.145409
086280.KS,2015-04-24,3,streak_3,-0.004057,-0.006262,0.002205,-0.042596,-0.021275,-0.021321,-0.068966,-0.030326,-0.03864,-0.239351,-0.058641,-0.18071
012330.KS,2015-04-24,3,streak_3,0.026423,-0.006262,0.032685,-0.038618,-0.021275,-0.017343,-0.083333,-0.030326,-0.053008,-0.180894,-0.058641,-0.122254
064350.KS,2015-04-24,2,streak_2,0.0225,-0.006262,0.028762,-0.0475,-0.021275,-0.026225,-0.005,-0.030326,0.025326,-0.1475,-0.058641,-0.088859
011210.KS,2015-04-24,3,streak_3,0.003333,-0.006262,0.009595,0.016667,-0.021275,0.037942,-0.046667,-0.030326,-0.016341,-0.313333,-0.058641,-0.254693
009150.KS,2015-04-24,3,streak_3,-0.033241,-0.006262,-0.026979,-0.065097,-0.021275,-0.043822,-0.149584,-0.030326,-0.119259,-0.306094,-0.058641,-0.247454
028050.KS,2015-04-27,3,streak_3,0.021609,-0.001046,0.022655,-0.039616,-0.012765,-0.026851,-0.097239,-0.022646,-0.074593,-0.303721,-0.056019,-0.247702
008770.KS,2015-04-27,3,streak_3,-0.031496,-0.001046,-0.03045,-0.153543,-0.012765,-0.140778,-0.027559,-0.022646,-0.004913,0.035433,-0.056019,0.091452
006400.KS,2015-04-28,3,streak_3,-0.027027,-0.004575,-0.022452,-0.096525,-0.024546,-0.071979,-0.054054,-0.01981,-0.034244,-0.266409,-0.054896,-0.211513
010140.KS,2015-04-28,3,streak_3,0.010283,-0.004575,0.014857,-0.043702,-0.024546,-0.019155,-0.079692,-0.01981,-0.059882,-0.277635,-0.054896,-0.222739
011070.KS,2015-04-28,3,streak_3,0.009615,-0.004575,0.01419,-0.094231,-0.024546,-0.069684,-0.085577,-0.01981,-0.065767,-0.200962,-0.054896,-0.146066
010060.KS,2015-04-29,2,streak_2,-0.037209,-0.002347,-0.034863,-0.086512,-0.026387,-0.060125,-0.102326,-0.021093,-0.081233,-0.106977,-0.051242,-0.055735
