symbol,event_date,streak_length,category,stock_ret_1d,bench_ret_1d,abnormal_ret_1d,stock_ret_5d,bench_ret_5d,abnormal_ret_5d,stock_ret_21d,bench_ret_21d,abnormal_ret_21d,stock_ret_63d,bench_ret_63d,abnormal_ret_63d
8107.TWO,2012-11-01,2,streak_2,0.010169,0.001896,0.008273,0.010169,0.016903,-0.006734,0.099435,0.047097,0.052338,0.294915,0.093068,0.201847
2724.TWO,2012-11-14,2,streak_2,-0.01508,0.003321,-0.018401,-0.053534,0.001362,-0.054897,-0.130443,0.077654,-0.208097,0.085203,0.115107,-0.029904
3026.TW,2014-08-08,2,streak_2,-0.026606,-0.004981,-0.021625,0.004542,0.01086,-0.006318,0.020766,0.03028,-0.009514,-0.052888,-0.026329,-0.026559
3211.TWO,2014-10-29,2,streak_2,0.013835,0.014832,-0.000997,0.02352,0.024577,-0.001058,0.026287,0.03976,-0.013474,0.0,0.085261,-0.085261
5371.TWO,2014-10-30,2,streak_2,0.033251,-0.001753,0.035004,0.075345,0.006617,0.068727,0.004599,0.029384,-0.024786,0.042448,0.068201,-0.025753
4966.TWO,2014-10-30,2,streak_2,0.005198,-0.001753,0.006951,0.008605,0.006617,0.001987,0.060234,0.029384,0.03085,0.117061,0.068201,0.04886
6261.TWO,2014-11-06,2,streak_2,-0.005,-0.007987,0.002987,0.001429,-0.00487,0.006299,0.031786,0.02929,0.002496,0.05,0.061513,-0.011513
8086.TWO,2014-11-06,2,streak_2,-0.002847,-0.007987,0.00514,0.05002,-0.00487,0.054891,0.172834,0.02929,0.143545,0.485157,0.061513,0.423643
5287.TWO,2014-11-10,2,streak_2,0.026536,0.015412,0.011124,0.001446,0.007883,-0.006438,0.149923,0.030818,0.119104,-0.034486,0.060988,-0.095474
6609.TWO,2014-11-11,2,streak_2,-0.027964,-0.00175,-0.026213,-0.06026,-0.018297,-0.041963,0.04293,0.00872,0.03421,0.010634,0.041052,-0.030418
8044.TWO,2014-11-11,2,streak_2,-0.023102,-0.00175,-0.021352,0.014852,-0.018297,0.033149,0.127063,0.00872,0.118342,0.252475,0.041052,0.211423
2542.TW,2014-11-11,2,streak_2,0.011601,-0.00175,0.013351,0.028616,-0.018297,0.046913,0.187162,0.00872,0.178441,0.230472,0.041052,0.18942
2207.TW,2014-11-11,2,streak_2,0.008355,-0.00175,0.010105,-0.081593,-0.018297,-0.063295,0.018813,0.00872,0.010093,-0.012533,0.041052,-0.053584
4107.TWO,2014-11-11,2,streak_2,0.00852,-0.00175,0.010271,-0.032935,-0.018297,-0.014637,0.001475,0.00872,-0.007246,-0.075864,0.041052,-0.116916
8046.TW,2014-11-12,2,streak_2,-0.021461,-0.01275,-0.00871,-0.058616,-0.019379,-0.039238,-0.033632,-0.000219,-0.033413,0.024984,0.0398,-0.014816
1909.TW,2014-11-12,2,streak_2,-0.016611,-0.01275,-0.003861,-0.033223,-0.019379,-0.013844,-0.039867,-0.000219,-0.039648,-0.136213,0.0398,-0.176013
4971.TWO,2014-11-12,2,streak_2,0.00167,-0.01275,0.014421,-0.047191,-0.019379,-0.027813,0.035916,-0.000219,0.036135,0.192316,0.0398,0.152516
2357.TW,2014-11-12,2,streak_2,-0.001598,-0.01275,0.011152,0.015597,-0.019379,0.034976,0.054654,-0.000219,0.054873,0.020263,0.0398,-0.019537
2354.TW,2014-11-13,2,streak_2,0.022012,0.00692,0.015092,0.036747,0.004966,0.031781,0.063489,0.010553,0.052936,-0.024377,0.060912,-0.085289
2606.TW,2014-11-13,2,streak_2,-0.00418,0.00692,-0.0111,-0.014791,0.004966,-0.019757,-0.00418,0.010553,-0.014733,0.014791,0.060912,-0.046121
2317.TW,2014-11-13,2,streak_2,0.020799,0.00692,0.013879,0.0,0.004966,-0.004966,-0.063594,0.010553,-0.074147,-0.116714,0.060912,-0.177626
2609.TW,2014-11-13,2,streak_2,0.007644,0.00692,0.000724,-0.04656,0.004966,-0.051526,-0.006949,0.010553,-0.017502,0.151494,0.060912,0.090582
3022.TW,2014-11-14,2,streak_2,-0.029515,0.000246,-0.029761,-0.050821,0.010935,-0.061756,-0.020328,0.005196,-0.025524,0.019547,0.057417,-0.03787
2615.TW,2014-11-14,2,streak_2,0.032649,0.000246,0.032403,0.127799,0.010935,0.116864,0.20056,0.005196,0.195364,0.481343,0.057417,0.423927
4162.TWO,2014-11-14,2,streak_2,-0.010383,0.000246,-0.010629,0.006214,0.010935,-0.00472,0.230769,0.005196,0.225574,0.041607,0.057417,-0.01581
1402.TW,2014-11-14,2,streak_2,-0.014077,0.000246,-0.014323,-0.012513,0.010935,-0.023448,-0.047445,0.005196,-0.052641,0.014077,0.057417,-0.043339
3484.TWO,2014-11-25,2,streak_2,0.030377,-0.000668,0.031045,0.086722,-0.000506,0.087229,0.142087,-0.002699,0.144786,0.407643,0.054745,0.352898
