symbol,event_date,streak_length,category,stock_ret_1d,bench_ret_1d,abnormal_ret_1d,stock_ret_5d,bench_ret_5d,abnormal_ret_5d,stock_ret_21d,bench_ret_21d,abnormal_ret_21d,stock_ret_63d,bench_ret_63d,abnormal_ret_63d
3511.TWO,2013-07-31,2,streak_2,-0.015416,-0.006812,-0.008604,-0.015416,-0.015268,-0.000148,-0.099866,-0.03012,-0.069746,-0.063003,0.035096,-0.098099
8176.TWO,2013-11-12,2,streak_2,0.0,0.001552,-0.001552,0.018987,0.001088,0.0179,0.21097,0.031876,0.179094,0.151899,0.041184,0.110715
1795.TW,2014-05-14,2,streak_2,0.019731,0.006489,0.013242,0.059276,0.007921,0.051355,0.201572,0.043855,0.157717,0.047404,0.040255,0.007149
5531.TW,2014-08-13,2,streak_2,-0.002304,0.007442,-0.009746,-0.013825,0.008803,-0.022628,-0.023041,0.017443,-0.040484,-0.142857,-0.014076,-0.128781
1301.TW,2014-10-13,2,streak_2,-0.021177,-0.028445,0.007268,-0.078912,-0.050584,-0.028328,-0.014044,0.009317,-0.023361,0.011369,0.027786,-0.016417
6244.TWO,2014-11-04,2,streak_2,-0.010292,-0.001741,-0.008551,-0.057822,0.005011,-0.062832,-0.113398,0.003324,-0.116722,0.133421,0.042436,0.090985
2707.TW,2014-11-05,2,streak_2,0.019385,-0.002957,0.022342,0.025806,0.005002,0.020804,0.027473,0.0207,0.006772,0.035498,0.051123,-0.015624
3576.TW,2014-11-05,2,streak_2,-0.024475,-0.002957,-0.021519,0.001748,0.005002,-0.003253,-0.043706,0.0207,-0.064407,-0.043706,0.051123,-0.094829
1565.TWO,2014-11-06,2,streak_2,-0.027229,-0.007987,-0.019242,-0.0428,-0.00487,-0.03793,-0.046686,0.02929,-0.075975,-0.065179,0.061513,-0.126692
8422.TW,2014-11-07,2,streak_2,0.018156,0.002429,0.015727,0.0,0.010083,-0.010083,0.060056,0.035491,0.024565,0.22486,0.069849,0.155011
3454.TW,2014-11-07,2,streak_2,0.035341,0.002429,0.032912,-0.001045,0.010083,-0.011128,0.100975,0.035491,0.065484,-0.011142,0.069849,-0.080991
4745.TWO,2014-11-07,2,streak_2,0.0021,0.002429,-0.00033,-0.075583,0.010083,-0.085666,-0.049759,0.035491,-0.08525,-0.032123,0.069849,-0.101972
2548.TW,2014-11-07,2,streak_2,0.011605,0.002429,0.009176,0.026596,0.010083,0.016512,0.299807,0.035491,0.264316,0.136847,0.069849,0.066998
2723.TW,2014-11-10,2,streak_2,0.008769,0.015412,-0.006643,-0.017446,0.007883,-0.025329,0.058458,0.030818,0.02764,-0.005846,0.060988,-0.066833
2227.TW,2014-11-10,2,streak_2,0.025332,0.015412,0.00992,0.108653,0.007883,0.100769,0.21555,0.030818,0.184732,0.057912,0.060988,-0.003075
2912.TW,2014-11-10,2,streak_2,0.004466,0.015412,-0.010946,-0.022135,0.007883,-0.030018,0.039803,0.030818,0.008985,0.10844,0.060988,0.047452
3689.TWO,2014-11-10,2,streak_2,0.018788,0.015412,0.003376,0.016255,0.007883,0.008372,0.021322,0.030818,-0.009497,-0.041799,0.060988,-0.102786
