symbol,event_date,streak_length,category,stock_ret_1d,bench_ret_1d,abnormal_ret_1d,stock_ret_5d,bench_ret_5d,abnormal_ret_5d,stock_ret_21d,bench_ret_21d,abnormal_ret_21d,stock_ret_63d,bench_ret_63d,abnormal_ret_63d
F&D.BK,2000-04-17,2,streak_2,0.0,-0.052045,0.052045,-0.076319,-0.046785,-0.029534,-0.076319,-0.154976,0.078658,-0.076319,-0.226807,0.150488
F&D.BK,2000-07-19,3,streak_3,0.0,0.00367,-0.00367,0.091512,-0.056798,0.14831,0.091512,0.044896,0.046616,0.091512,-0.188679,0.280191
F&D.BK,2000-10-18,4,streak_4,0.0,0.03166,-0.03166,0.0,0.059742,-0.059742,-0.042527,0.110791,-0.153318,0.020656,0.197346,-0.17669
F&D.BK,2001-07-18,2,streak_2,-0.088025,-0.000159,-0.087866,-0.052201,-0.020145,-0.032055,0.26305,0.008122,0.254929,0.157625,-0.095936,0.253561
F&D.BK,2002-04-17,2,streak_2,0.081205,0.0,0.081205,0.040793,-0.023802,0.064595,-0.243233,-0.038134,-0.205099,-0.189096,0.025414,-0.21451
F&D.BK,2002-07-17,3,streak_3,-0.034533,0.004509,-0.039042,-0.017023,-0.011693,-0.005331,-0.034533,-0.054413,0.01988,-0.008755,-0.158298,0.149543
F&D.BK,2002-10-16,4,streak_4,0.008832,0.013738,-0.004906,0.0,0.054586,-0.054586,-0.026006,0.046849,-0.072855,0.008832,0.137196,-0.128364
F&D.BK,2003-01-21,5,streak_5plus,0.0,0.012007,-0.012007,0.138132,-0.00175,0.139882,0.0,-0.002692,0.002692,0.113813,0.035133,0.078681
F&D.BK,2003-04-16,6,streak_5plus,0.036229,0.008295,0.027933,0.036229,-0.011451,0.04768,0.190896,0.004852,0.186045,0.227125,0.263538,-0.036413
F&D.BK,2003-07-16,7,streak_5plus,0.029301,0.018191,0.01111,0.029301,-0.011372,0.040673,0.154395,0.062626,0.091769,0.176559,0.177964,-0.001405
F&D.BK,2003-10-16,8,streak_5plus,-0.006386,0.013036,-0.019422,0.0,0.049766,-0.049766,0.018838,0.142423,-0.123585,0.0,0.372748,-0.372748
F&D.BK,2004-01-22,9,streak_5plus,0.0,-0.008543,0.008543,0.0,-0.058144,0.058144,-0.058514,-0.044019,-0.014495,-0.056347,-0.098811,0.042464
F&D.BK,2004-04-21,10,streak_5plus,0.0,-0.010225,0.010225,0.067913,-0.046306,0.114219,-0.060696,-0.138609,0.077914,-0.040354,-0.095021,0.054666
F&D.BK,2004-07-20,11,streak_5plus,0.0,0.005388,-0.005388,0.029744,-0.013549,0.043292,0.0,-0.061313,0.061313,-0.014017,-0.001277,-0.01274
F&D.BK,2004-10-19,12,streak_5plus,0.0,0.022413,-0.022413,0.029473,0.002892,0.02658,0.0,-0.005971,0.005971,None,None,None
F&D.BK,2009-11-02,3,streak_3,-0.030191,-0.011704,-0.018487,None,None,None,0.040665,0.005589,0.035076,0.192853,0.016505,0.176348
F&D.BK,2010-01-28,4,streak_4,0.0,-0.001072,0.001072,None,None,None,0.029959,0.038583,-0.008624,0.055269,0.085494,-0.030225
F&D.BK,2010-04-27,5,streak_5plus,0.0,-0.003061,0.003061,None,None,None,None,None,None,None,None,None
F&D.BK,2010-07-23,6,streak_5plus,0.08841,0.008679,0.079731,None,None,None,None,None,None,-0.06688,0.187021,-0.253901
