symbol,event_date,streak_length,category,stock_ret_1d,bench_ret_1d,abnormal_ret_1d,stock_ret_5d,bench_ret_5d,abnormal_ret_5d,stock_ret_21d,bench_ret_21d,abnormal_ret_21d,stock_ret_63d,bench_ret_63d,abnormal_ret_63d
TCAP.BK,2015-01-19,2,streak_2,-0.007079,0.011616,-0.018694,0.023166,0.053099,-0.029933,0.099099,0.059496,0.039603,0.053411,0.032357,0.021053
BAY.BK,2015-01-20,2,streak_2,0.012151,-0.000182,0.012333,0.258154,0.03448,0.223674,0.064592,0.034116,0.030476,-0.294394,0.01625,-0.310644
KTB.BK,2015-01-21,2,streak_2,-0.004243,0.001479,-0.005722,0.040311,0.035646,0.004665,0.040311,0.04433,-0.004018,0.067892,0.022318,0.045575
VGI.BK,2015-01-28,2,streak_2,0.024164,0.001887,0.022277,-0.01487,0.008007,-0.022877,-0.055762,-0.000302,-0.05546,-0.282528,-0.036658,-0.245869
PTTEP.BK,2015-01-29,2,streak_2,0.018013,-0.004024,0.022037,0.090063,0.004395,0.085668,0.053732,0.000465,0.053268,0.049153,-0.044161,0.093314
SCCC.BK,2015-02-03,2,streak_2,0.0,0.012536,-0.012536,-0.004766,0.012049,-0.016815,-0.028596,-0.012548,-0.016048,-0.145831,-0.039692,-0.106139
ADVANC.BK,2015-02-05,2,streak_2,0.004077,0.005069,-0.000992,-0.016178,0.003313,-0.019491,-0.048534,-0.029053,-0.019481,-0.012166,-0.055819,0.043653
LPN.BK,2015-02-12,2,streak_2,0.004449,0.005165,-0.000715,0.0,-0.001227,0.001227,-0.077864,-0.03786,-0.040004,-0.191324,-0.05789,-0.133434
PTTGC.BK,2015-02-16,2,streak_2,0.017268,-0.004858,0.022126,-0.008505,-0.007699,-0.000807,-0.077835,-0.062083,-0.015752,0.130928,-0.055654,0.186581
CPALL.BK,2015-02-17,2,streak_2,-0.006137,-0.012618,0.006481,-0.012274,-0.0088,-0.003474,-0.067212,-0.059203,-0.00801,0.161894,-0.054681,0.216575
PTT.BK,2015-02-20,2,streak_2,0.0,0.002181,-0.002181,0.0,-0.004006,0.004006,-0.05314,-0.043751,-0.009389,0.061836,-0.057376,0.119212
CPF.BK,2015-02-27,2,streak_2,-0.024642,-0.004104,-0.020538,-0.093983,-0.025239,-0.068744,-0.122636,-0.061705,-0.060931,None,None,None
KKP.BK,2015-04-17,2,streak_2,0.019282,-0.002006,0.021289,0.0,-0.016025,0.016025,-0.003749,-0.028051,0.024302,-0.097483,-0.056522,-0.04096
KBANK.BK,2015-04-20,2,streak_2,-0.004246,-0.004168,-7.9e-05,-0.046996,-0.007269,-0.039727,-0.141045,-0.029831,-0.111215,-0.192288,-0.05587,-0.136418
KTB.BK,2015-04-21,3,streak_3,-0.025806,0.005787,-0.031594,-0.145161,-0.007364,-0.137797,-0.208387,-0.021835,-0.186552,-0.276774,-0.059994,-0.21678
BAY.BK,2015-04-21,3,streak_3,-0.01148,0.005787,-0.017268,-0.0571,-0.007364,-0.049736,-0.116918,-0.021835,-0.095083,-0.249849,-0.059994,-0.189855
LPN.BK,2015-05-07,3,streak_3,-0.028025,-0.014192,-0.013834,-0.084076,-0.015745,-0.068332,-0.06242,-0.019067,-0.043353,-0.005096,-0.051215,0.046119
SCCC.BK,2015-05-07,3,streak_3,-0.010921,-0.014192,0.003271,-0.002718,-0.015745,0.013026,0.087415,-0.019067,0.106482,-0.002718,-0.051215,0.048496
MAJOR.BK,2015-05-08,2,streak_2,0.0,0.008143,-0.008143,0.007281,-0.000607,0.007888,-0.007281,0.006047,-0.013327,-0.051392,-0.04415,-0.007242
PTTGC.BK,2015-05-08,3,streak_3,-0.011759,0.008143,-0.019902,-0.031128,-0.000607,-0.03052,0.046807,0.006047,0.04076,-0.046576,-0.04415,-0.002426
ADVANC.BK,2015-05-08,3,streak_3,0.004276,0.008143,-0.003866,0.0,-0.000607,0.000607,-0.004211,0.006047,-0.010257,0.029539,-0.04415,0.073689
QH.BK,2015-05-11,2,streak_2,-0.033333,-0.006097,-0.027236,-0.033333,0.001112,-0.034446,-0.046667,-0.001476,-0.04519,-0.2,-0.049089,-0.150911
IVL.BK,2015-05-11,2,streak_2,0.0,-0.006097,0.006097,0.074462,0.001112,0.07335,0.135544,-0.001476,0.13702,0.168121,-0.049089,0.21721
RS.BK,2015-05-13,2,streak_2,0.021739,0.006886,0.014854,0.067029,0.027085,0.039944,-0.028986,0.012331,-0.041316,-0.137681,-0.038318,-0.099363
