symbol,event_date,streak_length,category,stock_ret_1d,bench_ret_1d,abnormal_ret_1d,stock_ret_5d,bench_ret_5d,abnormal_ret_5d,stock_ret_21d,bench_ret_21d,abnormal_ret_21d,stock_ret_63d,bench_ret_63d,abnormal_ret_63d
KBH,2000-03-20,2,streak_2,0.018031,-0.00505,0.02308,0.061026,0.045127,0.015899,-0.051318,-0.042119,-0.009199,-0.033287,0.0,-0.033287
THC,2000-03-31,2,streak_2,0.0,0.011361,-0.011361,0.108696,0.012104,0.096591,0.057065,-0.010937,0.068002,0.209239,-0.028031,0.237271
HWM,2000-04-06,2,streak_2,0.025354,0.008677,0.016676,0.016351,-0.019471,0.035822,-0.033254,-0.037989,0.004736,-0.160206,-0.020741,-0.139465
MSI,2000-04-10,2,streak_2,-0.013065,-0.003857,-0.009208,-0.287592,-0.10196,-0.185632,-0.321879,-0.066827,-0.255052,-0.364474,-0.021372,-0.343102
ADTN,2000-04-10,2,streak_2,-0.090138,-0.003857,-0.086281,-0.272646,-0.10196,-0.170686,-0.00357,-0.066827,0.063257,-0.053548,-0.021372,-0.032176
IP,2000-04-11,2,streak_2,0.012995,-0.00293,0.015925,-0.061881,-0.066981,0.005099,-0.136757,-0.084354,-0.052404,-0.172649,-0.015594,-0.157055
MTG,2000-04-11,2,streak_2,-0.035101,-0.00293,-0.032171,-0.068921,-0.066981,-0.001941,-0.059698,-0.084354,0.024656,0.000769,-0.015594,0.016363
HOG,2000-04-11,2,streak_2,0.035382,-0.00293,0.038312,-0.093482,-0.066981,-0.026502,-0.045065,-0.084354,0.039289,-0.053259,-0.015594,-0.037665
TFX,2000-04-12,2,streak_2,0.0,-0.027396,0.027396,0.014415,-0.039467,0.053882,-0.005354,-0.06067,0.055315,0.147858,-0.006193,0.154051
CHKP,2000-04-12,2,streak_2,-0.011431,-0.027396,0.015965,0.026457,-0.039467,0.065923,-0.02618,-0.06067,0.03449,0.366888,-0.006193,0.373081
GT,2000-04-12,2,streak_2,-0.002151,-0.027396,0.025245,-0.010753,-0.039467,0.028714,-0.030107,-0.06067,0.030562,-0.252257,-0.006193,-0.246064
RMBS,2000-04-12,2,streak_2,-0.130844,-0.027396,-0.103448,-0.382114,-0.039467,-0.342647,-0.252033,-0.06067,-0.191363,0.487805,-0.006193,0.493998
KMB,2000-04-13,2,streak_2,0.01577,-0.013922,0.029692,-0.026284,-0.021584,-0.0047,0.011322,-0.023743,0.035065,-0.006874,0.026333,-0.033207
HBAN,2000-04-13,2,streak_2,-0.060859,-0.013922,-0.046937,-0.170644,-0.021584,-0.14906,-0.247017,-0.023743,-0.223274,-0.227924,0.026333,-0.254256
ROK,2000-04-13,2,streak_2,-0.004562,-0.013922,0.00936,-0.125912,-0.021584,-0.104328,-0.125912,-0.023743,-0.10217,-0.213504,0.026333,-0.239836
AEIS,2000-04-13,2,streak_2,0.063976,-0.013922,0.077898,0.169983,-0.021584,0.191568,-0.045564,-0.023743,-0.021822,0.108425,0.026333,0.082092
GE,2000-04-13,2,streak_2,-0.041501,-0.013922,-0.02758,-0.008006,-0.021584,0.013578,0.0,-0.023743,0.023743,0.004995,0.026333,-0.021338
NYT,2000-04-13,2,streak_2,-0.033611,-0.013922,-0.019689,-0.023367,-0.021584,-0.001783,-0.058259,-0.023743,-0.034516,-0.022087,0.026333,-0.04842
HSC,2000-04-13,2,streak_2,0.004329,-0.013922,0.018251,0.002165,-0.021584,0.023749,0.008658,-0.023743,0.032401,0.017234,0.026333,-0.009099
UIS,2000-04-13,2,streak_2,-0.047619,-0.013922,-0.033697,0.005291,-0.021584,0.026875,0.018519,-0.023743,0.042261,-0.436508,0.026333,-0.462841
HON,2000-04-13,2,streak_2,0.048319,-0.013922,0.062241,0.026961,-0.021584,0.048545,0.006303,-0.023743,0.030045,-0.320728,0.026333,-0.347061
HVT-A,2000-04-14,2,streak_2,0.0,-0.05724,0.05724,-0.080306,-0.003064,-0.077241,-0.095602,0.007114,-0.102716,-0.133843,0.051001,-0.184845
DOV,2000-04-17,2,streak_2,-0.010763,0.034943,-0.045706,0.037904,0.045972,-0.008068,0.026673,0.078593,-0.05192,-0.097333,0.112956,-0.210288
SANM,2000-04-17,2,streak_2,0.032953,0.034943,-0.00199,0.114068,0.045972,0.068097,0.204056,0.078593,0.125463,0.967047,0.112956,0.854091
F,2000-04-17,2,streak_2,0.111014,0.034943,0.076071,0.076923,0.045972,0.030951,0.045455,0.078593,-0.033138,-0.052448,0.112956,-0.165403
POWI,2000-04-17,2,streak_2,0.092025,0.034943,0.057081,0.33589,0.045972,0.289918,0.72546,0.078593,0.646867,0.734663,0.112956,0.621707
TXN,2000-04-17,2,streak_2,0.157597,0.034943,0.122654,0.073135,0.045972,0.027163,0.123861,0.078593,0.045268,0.119921,0.112956,0.006966
NTRS,2000-04-17,2,streak_2,0.017195,0.034943,-0.017749,0.118854,0.045972,0.072882,0.208446,0.078593,0.129853,0.308296,0.112956,0.19534
AUDC,2000-04-17,2,streak_2,0.033373,0.034943,-0.001571,0.043973,0.045972,-0.001998,0.0585,0.078593,-0.020093,1.385944,0.112956,1.272989
ETN,2000-04-17,2,streak_2,0.030435,0.034943,-0.004508,0.071014,0.045972,0.025043,0.104348,0.078593,0.025755,-0.047826,0.112956,-0.160782
BK,2000-04-17,2,streak_2,0.003032,0.034943,-0.031912,0.098744,0.045972,0.052772,0.1767,0.078593,0.098107,0.232135,0.112956,0.119179
BAC,2000-04-17,2,streak_2,0.00768,0.034943,-0.027263,0.03149,0.045972,-0.014482,-0.005376,0.078593,-0.083969,-0.047619,0.112956,-0.160575
CSL,2000-04-18,2,streak_2,0.024242,0.026472,-0.00223,0.032576,0.052608,-0.020032,0.136364,0.031296,0.105068,0.211364,0.066629,0.144734
PEG,2000-04-18,2,streak_2,-0.003306,0.026472,-0.029778,0.077686,0.052608,0.025078,0.059504,0.031296,0.028209,0.056198,0.066629,-0.010431
CAT,2000-04-18,2,streak_2,-0.016886,0.026472,-0.043358,-0.013133,0.052608,-0.065741,-0.015947,0.031296,-0.047243,-0.061914,0.066629,-0.128543
PBI,2000-04-18,2,streak_2,-0.096927,0.026472,-0.123399,-0.01576,0.052608,-0.068368,-0.05595,0.031296,-0.087245,-0.156028,0.066629,-0.222658
MLM,2000-04-18,2,streak_2,0.055362,0.026472,0.02889,0.143478,0.052608,0.09087,0.131884,0.031296,0.100588,-0.075362,0.066629,-0.141992
IBM,2000-04-18,2,streak_2,0.001073,0.026472,-0.025399,0.007691,0.052608,-0.044917,-0.03452,0.031296,-0.065815,-0.078877,0.066629,-0.145506
DOX,2000-04-18,2,streak_2,0.102252,0.026472,0.07578,0.138928,0.052608,0.08632,0.024915,0.031296,-0.00638,0.349213,0.066629,0.282583
TER,2000-04-18,2,streak_2,0.053718,0.026472,0.027246,0.184904,0.052608,0.132296,0.048744,0.031296,0.017449,-0.164636,0.066629,-0.231265
QCOM,2000-04-18,2,streak_2,-0.039857,0.026472,-0.066329,-0.101979,0.052608,-0.154587,-0.117372,0.031296,-0.148668,-0.442826,0.066629,-0.509455
INTC,2000-04-18,2,streak_2,0.048627,0.026472,0.022155,0.016018,0.052608,-0.03659,0.001716,0.031296,-0.029579,0.162757,0.066629,0.096128
INGR,2000-04-18,2,streak_2,-0.012228,0.026472,-0.0387,0.029891,0.052608,-0.022717,0.039402,0.031296,0.008107,0.055707,0.066629,-0.010923
PFE,2000-04-18,2,streak_2,0.040906,0.026472,0.014434,0.14317,0.052608,0.090562,0.184806,0.031296,0.153511,0.183346,0.066629,0.116716
RHI,2000-04-18,2,streak_2,-0.003817,0.026472,-0.030289,0.189567,0.052608,0.136959,0.237913,0.031296,0.206618,0.401399,0.066629,0.33477
SPGI,2000-04-18,2,streak_2,0.143586,0.026472,0.117114,0.271866,0.052608,0.219258,0.175656,0.031296,0.14436,0.384111,0.066629,0.317482
PLXS,2000-04-18,2,streak_2,0.040667,0.026472,0.014195,0.251303,0.052608,0.198695,0.449426,0.031296,0.418131,1.335766,0.066629,1.269137
MAN,2000-04-18,2,streak_2,0.039507,0.026472,0.013035,0.147768,0.052608,0.09516,0.181119,0.031296,0.149823,0.213956,0.066629,0.147327
MHK,2000-04-18,2,streak_2,-0.014124,0.026472,-0.040597,0.110169,0.052608,0.057562,0.076271,0.031296,0.044976,0.09322,0.066629,0.026591
CHRW,2000-04-18,2,streak_2,0.090484,0.026472,0.064011,0.198128,0.052608,0.14552,0.106084,0.031296,0.074789,0.349454,0.066629,0.282825
STM,2000-04-18,2,streak_2,0.097651,0.026472,0.071179,0.091845,0.052608,0.039237,0.117973,0.031296,0.086678,0.096595,0.066629,0.029966
CAR,2000-04-18,2,streak_2,0.075455,0.026472,0.048982,-0.003636,0.052608,-0.056244,-0.039545,0.031296,-0.070841,-0.130455,0.066629,-0.197084
LRCX,2000-04-18,2,streak_2,0.138965,0.026472,0.112492,-0.032698,0.052608,-0.085306,-0.201635,0.031296,-0.23293,-0.174387,0.066629,-0.241016
CR,2000-04-18,2,streak_2,0.029672,0.026472,0.003199,0.073232,0.052608,0.020624,0.100379,0.031296,0.069083,-0.07702,0.066629,-0.143649
GEN,2000-04-19,2,streak_2,0.05614,-0.009289,0.065429,-0.129825,0.013878,-0.143703,-0.007018,-0.007649,0.000632,-0.25614,0.030707,-0.286847
SWK,2000-04-19,2,streak_2,-0.011034,-0.009289,-0.001746,0.057931,0.013878,0.044053,-0.004138,-0.007649,0.003512,-0.118621,0.030707,-0.149328
RDN,2000-04-19,2,streak_2,-0.014941,-0.009289,-0.005653,0.102988,0.013878,0.08911,0.144077,-0.007649,0.151726,0.376734,0.030707,0.346027
INCY,2000-04-19,2,streak_2,0.005848,-0.009289,0.015137,-0.163743,0.013878,-0.177621,-0.28655,-0.007649,-0.2789,0.092105,0.030707,0.061398
APH,2000-04-19,2,streak_2,0.026144,-0.009289,0.035432,0.03268,0.013878,0.018801,-0.084967,-0.007649,-0.077318,0.202614,0.030707,0.171907
