symbol,event_date,streak_length,category,stock_ret_1d,bench_ret_1d,abnormal_ret_1d,stock_ret_5d,bench_ret_5d,abnormal_ret_5d,stock_ret_21d,bench_ret_21d,abnormal_ret_21d,stock_ret_63d,bench_ret_63d,abnormal_ret_63d
HWM,2000-07-10,2,streak_2,0.08593,-0.001595,0.087526,0.192255,0.021378,0.170876,0.176444,0.000213,0.176231,-0.014207,-0.023931,0.009724
AEIS,2000-07-17,2,streak_2,0.016512,-0.001666,0.018178,-0.247852,-0.023534,-0.224317,-0.301601,-0.013017,-0.288584,-0.571188,-0.117672,-0.453516
BAC,2000-07-17,2,streak_2,-0.004016,-0.001666,-0.00235,0.004016,-0.023534,0.02755,0.160643,-0.013017,0.173659,-0.048996,-0.117672,0.068676
HON,2000-07-18,2,streak_2,-0.009911,-0.008136,-0.001775,-0.053518,-0.027537,-0.025981,-0.056987,-0.012204,-0.044783,-0.065907,-0.08668,0.020773
INGR,2000-07-18,2,streak_2,-0.012706,-0.008136,-0.00457,-0.022872,-0.027537,0.004666,-0.017789,-0.012204,-0.005585,-0.102922,-0.08668,-0.016243
MLM,2000-07-18,2,streak_2,-0.010239,-0.008136,-0.002103,-0.049643,-0.027537,-0.022106,0.019547,-0.012204,0.031751,-0.247285,-0.08668,-0.160605
UIS,2000-07-18,2,streak_2,-0.221239,-0.008136,-0.213103,-0.300885,-0.027537,-0.273348,-0.207965,-0.012204,-0.195761,-0.252212,-0.08668,-0.165533
PEG,2000-07-18,2,streak_2,0.00314,-0.008136,0.011276,-0.025118,-0.027537,0.00242,0.037677,-0.012204,0.049881,0.266876,-0.08668,0.353556
SWK,2000-07-19,2,streak_2,-0.007764,-0.008098,0.000334,0.032609,-0.016406,0.049014,0.115683,-0.007677,0.12336,-0.184006,-0.074982,-0.109025
HLIT,2000-07-19,2,streak_2,-0.026477,-0.008098,-0.018379,-0.071283,-0.016406,-0.054878,-0.246436,-0.007677,-0.238759,-0.625255,-0.074982,-0.550273
CLS,2000-07-19,2,streak_2,-0.013361,-0.008098,-0.005263,0.035971,-0.016406,0.052377,0.136691,-0.007677,0.144368,0.154162,-0.074982,0.229144
QCOM,2000-07-19,2,streak_2,-0.03256,-0.008098,-0.024463,0.050321,-0.016406,0.066726,-0.071041,-0.007677,-0.063364,0.182536,-0.074982,0.257517
GEN,2000-07-19,2,streak_2,-0.070175,-0.008098,-0.062078,0.179825,-0.016406,0.19623,-0.048246,-0.007677,-0.040569,-0.153509,-0.074982,-0.078527
TDW,2000-07-20,2,streak_2,-0.007055,0.013889,-0.020944,-0.125221,-0.018024,-0.107197,0.082512,0.01092,0.071592,0.296889,-0.090649,0.387538
POWI,2000-07-20,2,streak_2,0.065911,0.013889,0.052023,-0.039135,-0.018024,-0.021111,-0.108136,0.01092,-0.119056,-0.548919,-0.090649,-0.45827
UPS,2000-07-20,2,streak_2,-0.0276,0.013889,-0.041489,-0.051161,-0.018024,-0.033137,-0.073713,0.01092,-0.084633,-0.097274,-0.090649,-0.006625
BOH,2000-07-20,2,streak_2,0.025559,0.013889,0.01167,-0.033546,-0.018024,-0.015523,-0.083067,0.01092,-0.093987,-0.00639,-0.090649,0.084259
BC,2000-07-20,2,streak_2,-0.006982,0.013889,-0.020871,-0.003103,-0.018024,0.014921,0.065943,0.01092,0.055022,-0.096974,-0.090649,-0.006326
T,2000-07-20,2,streak_2,-0.0134,0.013889,-0.027289,-0.0134,-0.018024,0.004623,-0.100503,0.01092,-0.111423,0.20938,-0.090649,0.300029
PPG,2000-07-20,2,streak_2,-0.013877,0.013889,-0.027766,-0.029488,-0.018024,-0.011465,0.015611,0.01092,0.004691,-0.110147,-0.090649,-0.019499
CR,2000-07-20,2,streak_2,-0.01828,0.013889,-0.032169,-0.068382,-0.018024,-0.050358,0.002708,0.01092,-0.008212,-0.032498,-0.090649,0.058151
ERIC,2000-07-21,2,streak_2,-0.121895,-0.01945,-0.102445,-0.180065,-0.034822,-0.145244,-0.119118,-0.00617,-0.112948,-0.40719,-0.106452,-0.300738
DGX,2000-07-24,2,streak_2,0.014452,-0.005759,0.020211,0.00945,-0.037859,0.047308,0.113396,0.018983,0.094414,0.365203,-0.054388,0.419591
BKNG,2000-07-24,2,streak_2,-0.223076,-0.005759,-0.217317,-0.388462,-0.037859,-0.350604,-0.363521,0.018983,-0.382504,-0.872088,-0.054388,-0.8177
GT,2000-07-24,2,streak_2,0.020528,-0.005759,0.026287,-0.032258,-0.037859,0.0056,0.149814,0.018983,0.130831,-0.191862,-0.054388,-0.137473
TROW,2000-07-25,2,streak_2,-0.02467,0.003218,-0.027887,-0.096035,-0.026172,-0.069863,-0.015859,0.023169,-0.039028,-0.049339,-0.044835,-0.004504
BALL,2000-07-25,2,streak_2,0.011628,0.003218,0.00841,-0.011628,-0.026172,0.014544,-0.069767,0.023169,-0.092936,-0.127907,-0.044835,-0.083072
CAH,2000-07-25,2,streak_2,-0.015295,0.003218,-0.018513,-0.003149,-0.026172,0.023023,0.071975,0.023169,0.048806,0.269906,-0.044835,0.314741
ES,2000-07-25,2,streak_2,0.0,0.003218,-0.003218,-0.005192,-0.026172,0.02098,0.033229,0.023169,0.010061,-0.040498,-0.044835,0.004337
MT,2000-07-26,2,streak_2,0.0,-0.00973,0.00973,-0.027834,-0.023308,-0.004526,-0.045485,0.02395,-0.069435,-0.482009,-0.043622,-0.438387
BEN,2000-07-27,2,streak_2,0.036765,-0.003455,0.04022,0.075368,-0.008853,0.084221,0.090074,0.037249,0.052825,0.21875,-0.040704,0.259454
SRE,2000-07-27,2,streak_2,0.024631,-0.003455,0.028086,0.046798,-0.008853,0.055651,0.051724,0.037249,0.014475,0.128079,-0.040704,0.168783
UNP,2000-07-27,2,streak_2,0.049587,-0.003455,0.053042,0.127273,-0.008853,0.136126,0.047934,0.037249,0.010685,0.077686,-0.040704,0.11839
CAPS,2000-07-27,2,streak_2,-0.216216,-0.003455,-0.212761,-0.297297,-0.008853,-0.288444,-0.256757,0.037249,-0.294006,-0.459459,-0.040704,-0.418756
CHD,2000-07-28,2,streak_2,0.0,-0.022535,0.022535,0.036036,0.001517,0.034519,-0.009009,0.040412,-0.049421,0.0,-0.060022,0.060022
CVS,2000-08-01,2,streak_2,-0.016588,0.006168,-0.022756,-0.090047,0.035797,-0.125844,-0.012638,0.061571,-0.074209,0.180885,-0.023571,0.204456
MBI,2000-08-03,2,streak_2,0.054431,0.006972,0.04746,0.157711,0.019717,0.137994,0.170272,0.053595,0.116677,0.297976,-0.008824,0.3068
SHEL,2000-08-07,2,streak_2,0.015982,0.011944,0.004037,0.02226,0.007102,0.015158,0.062215,0.033574,0.028641,-0.019406,-0.022598,0.003191
AMT,2000-08-08,2,streak_2,-0.015263,0.003828,-0.019091,-0.03663,0.007869,-0.044499,-0.148046,0.009783,-0.157829,-0.056166,-0.033603,-0.022563
EAT,2000-08-08,2,streak_2,-0.004296,0.003828,-0.008125,0.040816,0.007869,0.032947,0.032223,0.009783,0.02244,0.26101,-0.033603,0.294612
CCI,2000-08-09,2,streak_2,-0.014053,-0.008369,-0.005684,0.069356,0.003178,0.066178,-0.076156,0.014513,-0.090669,-0.123753,-0.030508,-0.093245
TGT,2000-08-15,2,streak_2,-0.106061,-0.000844,-0.105217,-0.127385,0.008124,-0.135509,-0.077441,-0.002638,-0.074803,-0.137486,-0.082507,-0.054979
BIG,2000-08-16,2,streak_2,0.009524,-0.00359,0.013114,0.114286,0.007286,0.107,0.161905,0.003273,0.158631,-0.180953,-0.088912,-0.09204
HRL,2000-08-17,2,streak_2,-0.012448,0.010492,-0.02294,-0.062241,0.014943,-0.077183,-0.016598,-0.015155,-0.001443,0.120332,-0.061573,0.181905
MYGN,2000-08-22,2,streak_2,-0.007487,-0.001675,-0.005812,-0.039714,0.008477,-0.048191,-0.166992,-0.034851,-0.132141,0.259115,-0.089796,0.348911
BMO,2000-08-22,2,streak_2,-0.038462,-0.001675,-0.036787,-0.059066,0.008477,-0.067543,0.013736,-0.034851,0.048587,0.01511,-0.089796,0.104906
BNS,2000-08-29,2,streak_2,0.0,0.000208,-0.000208,0.033333,-0.003217,0.03655,0.146667,-0.054379,0.201046,-0.026667,-0.101494,0.074828
KR,2000-09-12,2,streak_2,-0.006075,-0.00737,0.001295,-0.061968,-0.030638,-0.03133,-0.080194,-0.077279,-0.002915,0.053463,-0.102232,0.155695
MKC,2000-09-19,2,streak_2,0.085511,0.009123,0.076387,0.071259,-0.002824,0.074083,0.097387,-0.068426,0.165813,0.251781,-0.091778,0.343559
