start_date,end_date,n_stocks,return,spy_return,msg
2000-07-01,2001-07-01,0,0.0,0.0,cash (< 10 stocks)
2001-07-01,2002-07-01,0,0.0,0.0,cash (< 10 stocks)
2002-07-01,2003-07-01,0,0.0,0.0,cash (< 10 stocks)
2003-07-01,2004-07-01,0,0.0,0.0,cash (< 10 stocks)
2004-07-01,2005-07-01,10,0.5358281336646723,0.49413622196945756,invested
2005-07-01,2006-07-01,11,0.4221147249022479,0.46513203367727896,invested
2006-07-01,2007-07-01,16,0.28574954282009285,0.38868922231955455,invested
2007-07-01,2008-07-01,13,-0.20368201865865657,-0.07712080699638196,invested
2008-07-01,2009-07-01,16,0.3567327891776189,0.07273308734527553,invested
2009-07-01,2010-07-01,13,0.6938540334183153,0.19118340292895114,invested
2010-07-01,2011-07-01,24,0.17742747182499183,0.07751754629616366,invested
2011-07-01,2012-07-01,25,0.04638229344581644,-0.07523460653709271,invested
2012-07-01,2013-07-01,19,0.09749214996685014,0.11867592238165686,invested
2013-07-01,2014-07-01,20,0.4230088962991765,0.32765356440821997,invested
2014-07-01,2015-07-01,18,0.36122432003133653,0.08144316771544367,invested
2015-07-01,2016-07-01,19,0.0864086859467643,-0.023869060824882483,invested
2016-07-01,2017-07-01,21,0.2745021571340859,0.14453956118239983,invested
2017-07-01,2018-07-01,22,0.1533371073720193,0.12948687480021873,invested
2018-07-01,2019-07-01,26,-0.11000785186637835,0.12908396879460055,invested
2019-07-01,2020-07-01,24,-0.0070509378830515826,-0.09977727815216227,invested
2020-07-01,2021-07-01,24,0.636422080691421,0.4642648498899389,invested
2021-07-01,2022-07-01,21,-0.041651087320133784,0.0142917922509563,invested
2022-07-01,2023-07-01,25,0.3206203442154886,0.22485830219610242,invested
2023-07-01,2024-07-01,26,0.3953700113279103,0.2183328285155826,invested
2024-07-01,2025-07-01,25,0.07714029695600362,0.04995171727284505,invested
