start_date,end_date,n_stocks,return,spy_return,avg_roic,msg
2000-07-01,2001-07-01,2,0.13139229463712743,-0.12206708555198231,0.2728285758854935,invested
2001-07-01,2002-07-01,4,-0.25852357550803623,-0.3132089049349374,0.22670681720669023,invested
2002-07-01,2003-07-01,9,-0.07646797547971175,-0.2275790015976885,0.23833347046377687,invested
2003-07-01,2004-07-01,11,0.1051658257667467,0.23379223066013508,0.373541176342378,invested
2004-07-01,2005-07-01,16,0.0916448707009463,0.15620806739420923,0.2950525593851821,invested
2005-07-01,2006-07-01,14,0.2757749367424035,0.23560094138290427,0.2498586948921391,invested
2006-07-01,2007-07-01,15,0.05730326951407567,0.3930810731957364,0.24946512836105397,invested
2007-07-01,2008-07-01,18,-0.18469551766308273,-0.2076866573285359,0.259628859564759,invested
2008-07-01,2009-07-01,28,-0.12079128609015947,-0.2516770821223614,0.27088061625754706,invested
2009-07-01,2010-07-01,23,0.19993342289864832,0.2364442040732264,0.28428444848839635,invested
2010-07-01,2011-07-01,24,0.2624067370481189,0.27575740862704917,0.2584555506789214,invested
2011-07-01,2012-07-01,21,0.14890360140888576,-0.12721818843232144,0.27868698603846653,invested
2012-07-01,2013-07-01,22,0.09092715167275699,0.21777593939602025,0.27612666077006903,invested
2013-07-01,2014-07-01,20,0.3016690376735922,0.25288303246950433,0.27722884591480756,invested
2014-07-01,2015-07-01,23,0.24933217221748394,0.11987163445207555,0.26952271941601447,invested
2015-07-01,2016-07-01,25,0.04031138149990381,-0.12525596674805103,0.3001464660048694,invested
2016-07-01,2017-07-01,26,0.11833773683276752,0.2849103027166283,0.29742028338551135,invested
2017-07-01,2018-07-01,28,0.06864489519022988,-0.01900871854631637,0.36597378457675894,invested
2018-07-01,2019-07-01,29,0.15711207701410196,0.02357785572037573,0.3280619485519467,invested
2019-07-01,2020-07-01,22,0.1441152583562849,0.006525270468567061,0.424769726400323,invested
2020-07-01,2021-07-01,27,0.3612151517531985,0.24123722423931046,0.28403839858500585,invested
2021-07-01,2022-07-01,28,-0.015704287713533747,-0.18381427772695177,0.36498453309806217,invested
2022-07-01,2023-07-01,28,0.30431782789404993,0.25894948303024573,0.44882153079627163,invested
2023-07-01,2024-07-01,27,0.17635686352632918,0.14262070736718505,0.3563375335752089,invested
2024-07-01,2025-07-01,22,0.08822220533425973,0.29473303024965125,0.37290842265968666,invested
