symbol,event_date,surprise_raw,category,quintile,stock_ret_1d,bench_ret_1d,abnormal_ret_1d,stock_ret_5d,bench_ret_5d,abnormal_ret_5d,stock_ret_21d,bench_ret_21d,abnormal_ret_21d,stock_ret_63d,bench_ret_63d,abnormal_ret_63d
J&KBANK.NS,2000-01-18,0.0,negative,Q3,0.009952,-0.007785,0.017737,-0.014524,-0.026384,0.01186,-0.003228,-0.08564,0.082413,0.092792,-0.161332,0.254124
M&M.NS,2000-02-23,3.03,positive,Q4,-0.000855,-0.007785,0.00693,-0.027086,-0.026384,-0.000702,-0.04169,-0.08564,0.04395,-0.033422,-0.161332,0.12791
M&MFIN.NS,2000-02-23,3.03,positive,Q4,0.003874,-0.007785,0.01166,0.014944,-0.026384,0.041328,-0.02034,-0.08564,0.0653,-0.045109,-0.161332,0.116224
L&TFH.NS,2000-03-02,-24.32,negative,Q1,-0.001031,-0.007785,0.006755,-0.001031,-0.026384,0.025353,-0.027835,-0.08564,0.057805,-0.115464,-0.161332,0.045868
J&KBANK.NS,2000-04-25,0.0,negative,Q3,0.009952,-0.007785,0.017737,-0.014524,-0.026384,0.01186,-0.003228,-0.08564,0.082413,0.092792,-0.161332,0.254124
M&M.NS,2000-05-10,10.53,positive,Q4,-0.000855,-0.007785,0.00693,-0.027086,-0.026384,-0.000702,-0.04169,-0.08564,0.04395,-0.033422,-0.161332,0.12791
M&MFIN.NS,2000-05-10,10.53,positive,Q4,0.003874,-0.007785,0.01166,0.014944,-0.026384,0.041328,-0.02034,-0.08564,0.0653,-0.045109,-0.161332,0.116224
L&TFH.NS,2000-05-11,17.14,positive,Q4,-0.001031,-0.007785,0.006755,-0.001031,-0.026384,0.025353,-0.027835,-0.08564,0.057805,-0.115464,-0.161332,0.045868
J&KBANK.NS,2000-07-18,0.0,negative,Q3,0.009952,-0.007785,0.017737,-0.014524,-0.026384,0.01186,-0.003228,-0.08564,0.082413,0.092792,-0.161332,0.254124
L&TFH.NS,2000-08-07,17.07,positive,Q4,-0.001031,-0.007785,0.006755,-0.001031,-0.026384,0.025353,-0.027835,-0.08564,0.057805,-0.115464,-0.161332,0.045868
M&M.NS,2000-08-09,15.38,positive,Q4,-0.000855,-0.007785,0.00693,-0.027086,-0.026384,-0.000702,-0.04169,-0.08564,0.04395,-0.033422,-0.161332,0.12791
