symbol,event_date,surprise_raw,category,quintile,stock_ret_1d,bench_ret_1d,abnormal_ret_1d,stock_ret_5d,bench_ret_5d,abnormal_ret_5d,stock_ret_21d,bench_ret_21d,abnormal_ret_21d,stock_ret_63d,bench_ret_63d,abnormal_ret_63d
0967.HK,2010-09-29,-14.16,negative,Q2,-0.00956,0.011651,-0.021211,-0.063097,0.02621,-0.089308,0.005736,0.05791,-0.052174,-0.053537,0.028677,-0.082214
0967.HK,2010-12-30,-29.74,negative,Q2,-0.009804,0.017391,-0.027194,-0.015686,0.028269,-0.043955,-0.098039,0.017881,-0.11592,-0.135294,0.033273,-0.168567
0967.HK,2011-03-30,-7.17,negative,Q3,0.011468,0.011662,-0.000194,0.084862,0.036916,0.047946,0.038991,-0.011302,0.050293,-0.016167,-0.04239,0.026223
0967.HK,2011-09-29,-9.13,negative,Q2,-0.037736,-0.033996,-0.00374,0.086793,0.078435,0.008358,0.294339,0.173079,0.12126,0.192453,0.113253,0.0792
0967.HK,2011-12-30,-7.59,negative,Q3,0.0,-0.007951,0.007951,0.025316,0.006721,0.018596,0.297468,0.097075,0.200393,0.189873,0.090881,0.098993
0967.HK,2012-03-30,5.91,positive,Q4,0.0,0.013094,-0.013094,-0.060846,-0.009499,-0.051347,-0.103174,0.000701,-0.103876,-0.041474,-0.034749,-0.006725
0967.HK,2012-09-29,-22.57,negative,Q2,-0.011976,0.004995,-0.016971,0.01497,0.004357,0.010613,-0.035928,0.052537,-0.088466,0.227545,0.115832,0.111713
0967.HK,2012-12-30,41.03,positive,Q5,0.04,0.003716,0.036284,0.093333,-0.004011,0.097345,0.133333,0.017911,0.115422,-0.056,-0.061841,0.005841
0967.HK,2013-03-30,-12.4,negative,Q2,-0.013889,-0.027335,0.013446,0.0,-0.010575,0.010575,0.022222,0.025858,-0.003636,0.108333,-0.078581,0.186914
0967.HK,2013-09-29,76.15,positive,Q5,0.0,0.010003,-0.010003,0.023474,0.002153,0.021321,0.037559,0.011543,0.026016,0.030516,-0.007274,0.037791
0967.HK,2013-12-30,42.15,positive,Q5,0.0,0.001444,-0.001444,0.116173,-0.013292,0.129466,0.817768,-0.054533,0.872301,0.738041,-0.033572,0.771613
