symbol,event_date,surprise_raw,category,quintile,stock_ret_1d,bench_ret_1d,abnormal_ret_1d,stock_ret_5d,bench_ret_5d,abnormal_ret_5d,stock_ret_21d,bench_ret_21d,abnormal_ret_21d,stock_ret_63d,bench_ret_63d,abnormal_ret_63d
8309.T,2014-01-29,12.52,positive,Q4,-0.034002,0.001301,-0.035302,-0.032,-0.042144,0.010144,-0.046001,-0.00078,-0.04522,-0.148518,-0.046306,-0.102212
4568.T,2014-01-30,110.0,positive,Q5,0.027414,-0.026241,0.053655,-0.035795,-0.032216,-0.003579,0.029204,-0.025201,0.054405,0.048105,-0.035594,0.083699
4523.T,2014-02-03,-87.16,negative,Q1,-0.031853,0.001089,-0.032942,-0.030055,0.026144,-0.056198,0.023634,0.03622,-0.012586,None,None,None
4507.T,2014-02-03,123.81,positive,Q5,-0.024547,0.001089,-0.025636,-0.021184,0.026144,-0.047327,0.023578,0.03622,-0.012642,None,None,None
9433.T,2014-02-05,17.29,positive,Q4,0.009945,0.011678,-0.001733,-0.012622,0.036122,-0.048744,0.113556,0.045899,0.067657,0.015582,-0.003531,0.019113
4704.T,2014-02-18,17.25,positive,Q4,0.0,-0.012214,0.012214,0.050305,-0.002599,0.052904,-0.010671,-0.046518,0.035847,-0.028963,-0.039761,0.010798
4151.T,2014-04-23,250.61,positive,Q5,0.000867,-0.003531,0.004398,0.008673,-0.004345,0.013019,0.068457,0.01358,0.054878,0.165526,0.099131,0.066395
7732.T,2014-04-25,51.63,positive,Q5,0.055458,0.005485,0.049972,0.132159,0.016182,0.115977,0.1298,0.04169,0.08811,0.398237,0.108338,0.289899
9433.T,2014-04-30,8.91,positive,Q3,0.031416,0.012548,0.018868,0.008994,0.000818,0.008176,0.112257,0.045008,0.067249,0.132105,0.106656,0.025449
8604.T,2014-05-01,103.46,positive,Q5,0.006391,-0.001886,0.008277,-0.02399,-0.015086,-0.008903,0.0832,0.04445,0.03875,0.056468,0.076778,-0.02031
4507.T,2014-05-08,-38.75,negative,Q1,0.020412,0.007932,0.01248,0.038626,0.007112,0.031514,0.163359,0.067834,0.095525,0.283109,0.067834,0.215276
4523.T,2014-05-13,-77.88,negative,Q1,0.001747,-0.005083,0.00683,0.018703,-0.023007,0.04171,0.026436,0.041734,-0.015298,0.071198,0.054307,0.016891
8309.T,2014-05-13,-31.72,negative,Q1,-0.015839,-0.005083,-0.010756,-0.065611,-0.023007,-0.042604,0.031672,0.041734,-0.010062,-0.038916,0.054307,-0.093223
4528.T,2014-05-13,157.28,positive,Q5,0.012287,-0.005083,0.01737,-0.042997,-0.023007,-0.01999,-0.031938,0.041734,-0.073672,0.072478,0.054307,0.018171
5333.T,2014-05-14,-6.2,negative,Q2,-0.006138,-0.009949,0.00381,0.031719,-0.006453,0.038172,0.125835,0.052433,0.073401,0.340161,0.068567,0.271594
4704.T,2014-05-14,27.89,positive,Q4,0.001516,-0.009949,0.011465,-0.034846,-0.006453,-0.028393,0.015154,0.052433,-0.03728,0.080304,0.068567,0.011737
4568.T,2014-05-16,-333.53,negative,Q1,-0.010015,0.001626,-0.011642,0.023595,0.021415,0.00218,0.059602,0.059095,0.000508,0.105901,0.080781,0.02512
8604.T,2014-07-28,-46.33,negative,Q1,-0.006557,-0.002461,-0.004097,-0.02654,-0.015502,-0.011038,-0.005979,-0.024606,0.018627,-0.092647,-0.077018,-0.015629
9433.T,2014-07-29,0.49,positive,Q3,-0.003559,0.00074,-0.004299,-0.03121,-0.02886,-0.002349,-0.025063,-0.026394,0.001331,0.122536,-0.073261,0.195797
4151.T,2014-07-30,-32.34,negative,Q1,0.050332,-0.014789,0.065121,0.051075,-0.034755,0.08583,0.047377,-0.029579,0.076956,-0.113245,-0.069017,-0.044229
