symbol,event_date,surprise_raw,category,quintile,stock_ret_1d,bench_ret_1d,abnormal_ret_1d,stock_ret_5d,bench_ret_5d,abnormal_ret_5d,stock_ret_21d,bench_ret_21d,abnormal_ret_21d,stock_ret_63d,bench_ret_63d,abnormal_ret_63d
114090.KS,2012-11-05,-27.28,negative,Q2,-0.016129,0.004865,-0.020994,0.032258,-0.019952,0.052209,0.004838,0.009786,-0.004948,-0.034123,0.001867,-0.03599
114090.KS,2013-02-13,4.39,positive,Q4,0.010526,0.000793,0.009733,-0.040351,0.017988,-0.058339,0.105263,-0.005774,0.111037,0.333333,0.003637,0.329696
114090.KS,2013-05-03,10.57,positive,Q4,0.011396,-0.003635,0.015031,0.049857,-0.006515,0.056373,0.031339,-0.001167,0.032506,-0.108938,-0.023074,-0.085864
114090.KS,2013-08-12,-10.09,negative,Q3,0.017628,0.005687,0.011941,0.019231,-0.023821,0.043052,0.107372,0.047584,0.059788,0.176282,0.051113,0.125169
114090.KS,2013-11-04,10.34,positive,Q4,-0.029832,-0.000129,-0.029702,-0.032425,-0.009161,-0.023264,0.006485,-0.013471,0.019956,0.148851,-0.045399,0.194249
005930.KS,2014-01-23,1.76,positive,Q3,-0.011477,-0.015573,0.004096,-0.044377,-0.027678,-0.016699,0.026779,0.015568,0.011211,0.07039,0.016026,0.054363
114090.KS,2014-02-12,-31.55,negative,Q2,-0.003788,0.006912,-0.0107,0.00505,0.001873,0.003177,0.09596,-0.003664,0.099623,0.068182,0.044879,0.023303
005930.KS,2014-04-28,7.95,positive,Q4,-0.0125,-0.001517,-0.010983,-0.018382,-0.004184,-0.014199,0.069853,0.018949,0.050904,-0.049642,0.055136,-0.104778
005930.KS,2014-07-07,-9.77,negative,Q3,0.010039,-0.00307,0.013109,0.019305,0.00302,0.016285,0.003861,0.026945,-0.023084,-0.144401,-0.039593,-0.104808
011780.KS,2014-07-17,-4.79,negative,Q3,-0.007769,-0.000456,-0.007314,-0.012209,0.007146,-0.019354,-0.061043,0.025611,-0.086655,-0.198668,-0.043463,-0.155205
161390.KS,2014-07-29,-22.42,negative,Q2,-0.018966,-0.003116,-0.015849,-0.039655,-0.010506,-0.029149,-0.093104,-0.006756,-0.086348,-0.074138,-0.070786,-0.003352
000100.KS,2014-07-29,95.52,positive,Q5,0.005682,-0.003116,0.008798,0.0,-0.010506,0.010506,-0.017045,-0.006756,-0.010289,-0.022727,-0.070786,0.048059
060980.KS,2014-07-29,-70.64,negative,Q1,0.003953,-0.003116,0.007069,0.003953,-0.010506,0.014459,-0.576772,-0.006756,-0.570016,-0.459288,-0.070786,-0.388502
069620.KS,2014-07-30,2.87,positive,Q4,0.04886,-0.001455,0.050315,-0.003257,-0.010409,0.007152,0.086319,-0.003979,0.090298,0.125407,-0.069693,0.1951
003490.KS,2014-07-31,289.03,positive,Q5,-0.012987,0.003531,-0.016518,-0.049062,-0.02026,-0.028803,0.049062,-0.010381,0.059443,0.067821,-0.065901,0.133722
