symbol,event_date,surprise_raw,category,quintile,stock_ret_1d,bench_ret_1d,abnormal_ret_1d,stock_ret_5d,bench_ret_5d,abnormal_ret_5d,stock_ret_21d,bench_ret_21d,abnormal_ret_21d,stock_ret_63d,bench_ret_63d,abnormal_ret_63d
0ABX.L,2000-02-04,-9.5,negative,Q3,-0.03139,0.027523,-0.058913,-0.011771,-0.008172,-0.003599,-0.035314,0.057366,-0.09268,0.056054,-3.3e-05,0.056086
0ABX.L,2000-04-26,0.0,negative,Q3,-0.012055,0.027311,-0.039366,0.06372,0.011631,0.052089,0.115959,0.030178,0.08578,-0.045924,0.028963,-0.074888
0ABX.L,2000-07-21,49.98,positive,Q5,-0.004194,0.001473,-0.005667,-0.01438,-0.002507,-0.011873,0.008388,0.03189,-0.023502,-0.172558,-0.025465,-0.147093
0ABX.L,2000-10-19,0.0,negative,Q3,0.0,0.006309,-0.006309,0.047448,0.016889,0.030559,0.045291,0.011233,0.034058,0.228613,-0.007058,0.235671
0ABX.L,2001-02-01,8.33,positive,Q4,-0.018541,0.002046,-0.020587,-0.05377,-0.014721,-0.039049,0.090853,-0.051963,0.142816,0.077874,-0.061713,0.139587
0ABX.L,2001-04-26,0.0,negative,Q3,-0.027594,0.002604,-0.030198,-0.037528,-0.013627,-0.023901,0.009382,-0.02596,0.035342,-0.087748,-0.09213,0.004381
0ABX.L,2001-07-27,-5.54,negative,Q3,-0.012955,0.014644,-0.027599,None,None,None,0.085133,-0.005817,0.09095,0.082665,-0.047841,0.130506
0ABX.L,2001-10-25,0.0,negative,Q3,-0.001709,-0.019793,0.018084,0.02735,-0.01139,0.038741,-0.088319,0.021952,-0.110271,0.082621,0.006746,0.075876
0ABX.L,2002-02-15,-15.42,negative,Q2,-0.030814,-0.01199,-0.018824,-0.020221,-0.010399,-0.009822,-0.024073,0.031391,-0.055464,0.193548,0.008323,0.185225
0ABX.L,2002-05-01,-30.74,negative,Q2,0.004723,0.005605,-0.000882,0.030485,-0.00056,0.031046,0.004723,-0.035755,0.040478,-0.234435,-0.212327,-0.022109
0ABX.L,2002-07-25,0.0,negative,Q3,0.034722,0.046333,-0.01161,0.125631,0.014664,0.110967,0.09596,0.107828,-0.011868,0.042298,0.021685,0.020613
0ABX.L,2002-10-24,0.0,negative,Q3,0.014689,0.009726,0.004963,0.014689,-0.013354,0.028043,-0.029377,0.017551,-0.046928,0.054054,-0.140777,0.194831
0ABX.L,2003-02-13,11.16,positive,Q4,0.008696,0.022287,-0.013592,-0.004638,0.031895,-0.036532,-0.101449,0.030566,-0.132015,None,None,None
0ABX.L,2003-04-28,-16.67,negative,Q2,0.014249,-0.000458,0.014707,0.044041,0.016574,0.027467,0.119819,0.030628,0.089191,0.137953,0.053261,0.084692
0ABX.L,2003-07-28,0.0,negative,Q3,-0.018213,0.001015,-0.019228,-0.001707,-0.003868,0.00216,0.158793,0.014745,0.144048,0.04667,0.027629,0.019042
0ABX.L,2003-10-27,33.28,positive,Q5,0.012527,-0.001685,0.014212,-0.003268,0.013433,-0.016701,0.154139,0.022795,0.131345,0.03976,0.045683,-0.005923
0ABX.L,2004-02-12,-24.97,negative,Q2,0.002988,-0.000884,0.003872,-0.02988,0.023345,-0.053226,0.012948,0.000204,0.012744,-0.043825,-0.00204,-0.041785
0ABX.L,2004-04-22,-28.57,negative,Q2,-0.010654,0.000394,-0.011048,-0.079903,-0.017571,-0.062332,-0.008232,-0.03326,0.025028,-0.087651,-0.053326,-0.034325
0ABX.L,2004-07-27,-83.34,negative,Q1,0.012188,0.014347,-0.002159,0.01385,0.011914,0.001936,0.038781,0.022428,0.016353,0.116343,0.052156,0.064188
0ABX.L,2004-10-27,63.62,positive,Q5,0.018173,-0.004006,0.022179,-0.008582,0.018416,-0.026997,0.11156,0.021259,0.090301,0.020697,0.040924,-0.020227
0ABX.L,2005-02-17,-14.29,negative,Q2,-0.00046,0.000712,-0.001172,0.043698,-0.009966,0.053664,0.00368,-0.02446,0.02814,None,None,None
0ABX.L,2005-04-28,33.33,positive,Q5,0.011106,0.012391,-0.001286,0.012554,0.022617,-0.010063,0.034766,0.043589,-0.008823,0.069049,0.10009,-0.031041
0ABX.L,2005-10-27,46.2,positive,Q5,-0.068936,0.019929,-0.088866,-0.058298,0.040319,-0.098617,0.002979,0.050639,-0.04766,0.095319,0.108643,-0.013324
0ABX.L,2006-02-22,-8.32,negative,Q3,0.020103,0.004198,0.015905,0.011121,-0.000514,0.011635,-0.030368,0.034321,-0.064689,0.088965,-0.007711,0.096676
0ABX.L,2006-05-03,11.57,positive,Q4,0.036545,0.009078,0.027467,0.039129,0.000845,0.038284,-0.089701,-0.04552,-0.044181,-0.006275,-0.01736,0.011085
0ABX.L,2006-08-02,-1.92,negative,Q3,0.0,0.008735,-0.008735,0.000374,-0.002569,0.002943,None,None,None,-0.020584,0.053302,-0.073886
0ABX.L,2006-11-02,41.66,positive,Q5,-0.029344,0.012427,-0.04177,-0.044788,0.009808,-0.054596,0.034363,-0.015891,0.050254,0.037066,0.027618,0.009447
0ABX.L,2007-02-22,24.29,positive,Q5,0.010424,0.005186,0.005238,-0.065897,-0.044568,-0.02133,-0.062174,-0.017121,-0.045053,-0.144825,0.032024,-0.176849
0ABX.L,2007-05-01,28.57,positive,Q5,0.026628,0.00822,0.018409,0.017616,0.006107,0.011509,-0.048341,0.027697,-0.076038,0.06227,-0.036071,0.09834
0ABX.L,2007-08-01,38.45,positive,Q5,0.000765,-0.012063,0.012828,0.026779,-0.004619,0.031398,None,None,None,0.205432,0.06687,0.138562
0ABX.L,2007-10-31,-11.37,negative,Q2,0.054785,-0.008427,0.063212,0.068317,-0.031005,0.099322,0.00198,-0.023322,0.025302,0.258416,-0.084557,0.342973
0ABX.L,2008-02-21,12.77,positive,Q4,-0.025971,0.01885,-0.044821,0.01128,-0.000713,0.011993,-0.085519,-0.038737,-0.046783,-0.204355,0.02887,-0.233225
0ABX.L,2008-05-06,-3.31,negative,Q3,0.046086,0.001565,0.044521,-0.031515,-0.007187,-0.024327,0.099966,-0.056572,0.156539,-0.015588,-0.128813,0.113225
GAZ.L,2008-09-29,-20.48,negative,Q2,0.048781,0.011655,0.037125,-0.404878,-0.060629,-0.344249,-0.404878,-0.134608,-0.27027,-0.404878,-0.103983,-0.300895
0ABX.L,2008-10-30,-14.84,negative,Q2,-0.045084,0.015064,-0.060148,0.022062,-0.002828,0.024891,0.193285,-0.071242,0.264527,0.63693,-0.068434,0.705365
GAZ.L,2008-12-30,7.47,positive,Q4,0.0,0.028781,-0.028781,0.0,0.016057,-0.016057,0.0,-0.064168,0.064168,0.0,-0.114572,0.114572
0ABX.L,2009-02-20,-3.04,negative,Q3,-0.121586,-0.008905,-0.112681,-0.187665,-0.058405,-0.129261,-0.115418,0.015771,-0.13119,-0.096035,0.146855,-0.242891
GAZ.L,2009-03-30,60.75,positive,Q5,0.0,0.007506,-0.007506,0.0,0.001116,-0.001116,0.0,0.080761,-0.080761,0.0,0.078482,-0.078482
0ABX.L,2009-04-29,25.93,positive,Q5,-0.004178,-0.000115,-0.004062,0.132548,0.05146,0.081089,0.195974,0.054978,0.140996,0.071401,0.091406,-0.020004
GAZ.L,2009-06-29,13.74,positive,Q4,0.0,0.021533,-0.021533,0.0,-0.01464,0.01464,0.0,0.070206,-0.070206,0.428689,0.215685,0.213004
GAZ.L,2009-09-29,92.9,positive,Q5,0.0,-0.016769,0.016769,0.385542,-0.00487,0.390412,0.549053,0.000744,0.548309,0.553643,0.051415,0.502228
0ABX.L,2009-10-29,17.42,positive,Q4,0.011055,0.011884,-0.000829,0.150754,0.019461,0.131293,0.156784,0.028968,0.127816,0.00067,0.040214,-0.039544
GAZ.L,2009-12-30,14.96,positive,Q4,0.011314,0.016158,-0.004844,0.027372,0.022421,0.004952,-0.10219,-0.03057,-0.07162,-0.04343,0.049282,-0.092713
0ABX.L,2010-02-18,8.9,positive,Q4,-0.022814,-0.001138,-0.021675,-0.032953,-0.000681,-0.032272,-0.02218,0.053445,-0.075625,None,None,None
GAZ.L,2010-03-30,-21.66,negative,Q2,0.032048,0.011488,0.02056,0.101869,0.016082,0.085787,-0.010683,-0.047279,0.036596,-0.291845,-0.14817,-0.143676
0ABX.L,2010-04-28,19.12,positive,Q5,0.029589,-0.01149,0.04108,0.038949,-0.08808,0.127029,0.048611,-0.08091,0.129521,-0.019324,-0.054094,0.03477
GAZ.L,2010-06-29,-12.61,negative,Q2,-0.057672,-0.0226,-0.035073,0.04127,0.019921,0.021349,0.094709,0.080759,0.01395,0.002646,0.134551,-0.131905
GAZ.L,2010-09-29,13.11,positive,Q4,0.004725,0.00798,-0.003256,0.049869,0.020457,0.029412,0.021522,0.022806,-0.001283,0.101313,0.076125,0.025187
BLBD.L,2010-09-29,-14.79,negative,Q2,-0.005263,0.00798,-0.013244,0.0,0.020457,-0.020457,-0.031579,0.022806,-0.054385,0.094737,0.076125,0.018612
0ABX.L,2010-10-28,5.07,positive,Q4,-0.006038,0.003429,-0.009467,0.000525,0.035275,-0.03475,0.044631,-0.021887,0.066518,-0.031242,0.033088,-0.06433
GAZ.L,2010-12-30,50.15,positive,Q5,0.012019,0.01931,-0.007291,0.004808,0.009553,-0.004745,0.09375,0.00981,0.08394,0.204327,0.001495,0.202832
GAZ.L,2011-03-30,-2.05,negative,Q3,0.0,0.01712,-0.01712,0.0,0.016689,-0.016689,0.07681,0.001899,0.074911,-0.030253,0.019508,-0.049761
