symbol,event_date,surprise_raw,category,quintile,stock_ret_1d,bench_ret_1d,abnormal_ret_1d,stock_ret_5d,bench_ret_5d,abnormal_ret_5d,stock_ret_21d,bench_ret_21d,abnormal_ret_21d,stock_ret_63d,bench_ret_63d,abnormal_ret_63d
AKAST.OL,2014-02-13,8.12,positive,Q4,-0.003207,0.002215,-0.005422,0.008704,0.011356,-0.002652,-0.084288,0.002099,-0.086387,0.178653,0.09101,0.087643
AKAST.OL,2014-04-30,-28.66,negative,Q1,-0.011811,-0.001495,-0.010316,0.066929,0.012268,0.054661,0.107087,0.052727,0.05436,-0.065354,0.041891,-0.107246
AKAST.OL,2014-07-17,81.56,positive,Q5,-0.001657,0.003702,-0.005359,-0.013256,0.006329,-0.019585,-0.018641,-0.029394,0.010753,-0.18227,-0.120277,-0.061993
KOG.OL,2014-08-14,-9.87,negative,Q2,-0.00378,0.001138,-0.004918,-0.010259,0.007306,-0.017566,0.031317,0.017368,0.01395,-0.049136,-0.03231,-0.016826
AUSS.OL,2014-08-21,-43.59,negative,Q1,0.031088,0.006079,0.025009,0.015544,0.006912,0.008632,0.08247,0.017836,0.064633,0.105786,-0.026205,0.131991
OLT.OL,2014-08-21,60.49,positive,Q5,0.004397,0.006079,-0.001682,0.013418,0.006912,0.006506,0.062465,0.017836,0.044628,0.12493,-0.026205,0.151134
LSG.OL,2014-08-21,-47.6,negative,Q1,0.036511,0.006079,0.030432,0.031778,0.006912,0.024867,0.060852,0.017836,0.043015,0.13117,-0.026205,0.157374
AFG.OL,2014-08-22,-4.62,negative,Q3,0.006851,0.008155,-0.001304,0.006851,0.008347,-0.001496,-0.006615,-0.00164,-0.004975,0.006851,-0.035738,0.042589
BAKKA.OL,2014-08-26,-16.67,negative,Q2,-0.003598,-0.002765,-0.000833,0.007386,0.005253,0.002134,0.022064,-0.017353,0.039418,0.345644,-0.03257,0.378214
SALM.OL,2014-08-26,20.53,positive,Q4,-0.00855,-0.002765,-0.005784,-0.004275,0.005253,-0.009527,-0.025943,-0.017353,-0.00859,0.116893,-0.03257,0.149463
GJF.OL,2014-10-21,-5.21,negative,Q3,0.00488,-0.003,0.00788,0.021653,0.018523,0.00313,0.055352,0.03065,0.024702,0.091644,0.019802,0.071842
ATEA.OL,2014-10-22,0.0,negative,Q3,0.029232,0.001932,0.027299,0.080444,0.012101,0.068343,0.084296,0.044665,0.039632,0.26014,0.011182,0.248958
NHY.OL,2014-10-22,16.22,positive,Q4,-0.002641,0.001932,-0.004573,0.010563,0.012101,-0.001537,0.117518,0.044665,0.072853,0.198944,0.011182,0.187762
YAR.OL,2014-10-22,-6.62,negative,Q2,-0.004912,0.001932,-0.006845,0.015507,0.012101,0.003406,0.05303,0.044665,0.008366,0.327415,0.011182,0.316233
DNB.OL,2014-10-23,20.39,positive,Q4,0.014917,-0.005359,0.020276,0.022303,0.01546,0.006842,0.034613,0.045211,-0.010598,-0.114699,0.011303,-0.126002
NAS.OL,2014-10-23,-22.14,negative,Q2,0.013763,-0.005359,0.019121,-0.001835,0.01546,-0.017295,0.103212,0.045211,0.058001,0.412844,0.011303,0.401542
BAKKA.OL,2014-10-28,34.57,positive,Q5,0.009669,-0.009287,0.018956,0.106777,-0.005845,0.112622,0.122947,-0.018496,0.141444,0.022672,-0.00031,0.022982
STB.OL,2014-10-29,2.86,positive,Q3,0.015323,0.005258,0.010064,0.025403,0.001299,0.024104,-0.040726,-0.041408,0.000682,-0.287903,0.031924,-0.319828
EQNR.OL,2014-10-29,0.0,negative,Q3,-0.007749,0.005258,-0.013007,-0.02849,0.001299,-0.029789,-0.140741,-0.041408,-0.099333,-0.082393,0.031924,-0.114317
TEL.OL,2014-10-29,-25.31,negative,Q2,0.010592,0.005258,0.005334,0.002648,0.001299,0.001349,-0.01271,-0.041408,0.028698,0.1226,0.031924,0.090676
SRBNK.OL,2014-10-30,-1.6,negative,Q3,-0.00431,-0.000701,-0.00361,-0.025862,0.001557,-0.027419,-0.073276,-0.049629,-0.023647,-0.153287,0.009372,-0.162658
SCHA.OL,2014-10-30,-62.5,negative,Q1,0.001976,-0.000701,0.002677,0.004766,0.001557,0.003209,0.305707,-0.049629,0.355336,0.407997,0.009372,0.398626
KOG.OL,2014-10-31,22.04,positive,Q4,-0.003946,-0.013756,0.00981,-0.021984,0.009581,-0.031565,-0.069335,-0.039725,-0.02961,-0.03664,0.021685,-0.058325
MING.OL,2014-10-31,12.89,positive,Q4,-0.008534,-0.013756,0.005222,-0.024992,0.009581,-0.034573,-0.046023,-0.039725,-0.006298,-0.05029,0.021685,-0.071975
VEI.OL,2014-11-06,-1.79,negative,Q3,-0.01538,0.007305,-0.022685,-0.007847,0.013942,-0.021789,0.053672,-0.062204,0.115876,0.249843,0.006186,0.243657
AKSO.OL,2014-11-07,-1.74,negative,Q3,-0.002016,0.002345,-0.004362,0.002688,0.004799,-0.002111,-0.172043,-0.083525,-0.088518,-0.163306,0.011696,-0.175003
LSG.OL,2014-11-12,-60.13,negative,Q1,0.003503,0.016423,-0.01292,-0.04495,0.016952,-0.061903,-0.023351,-0.089981,0.06663,0.023351,0.034201,-0.01085
AUSS.OL,2014-11-12,-69.14,negative,Q1,0.002289,0.016423,-0.014133,-0.032049,0.016952,-0.049001,-0.034338,-0.089981,0.055643,0.029378,0.034201,-0.004823
OLT.OL,2014-11-12,-50.0,negative,Q1,0.029152,0.016423,0.012729,0.045885,0.016952,0.028933,-0.037466,-0.089981,0.052516,0.31667,0.034201,0.282469
