symbol,event_date,surprise_raw,category,quintile,stock_ret_1d,bench_ret_1d,abnormal_ret_1d,stock_ret_5d,bench_ret_5d,abnormal_ret_5d,stock_ret_21d,bench_ret_21d,abnormal_ret_21d,stock_ret_63d,bench_ret_63d,abnormal_ret_63d
EZTC3.SA,2014-05-08,-24.68,negative,Q2,-0.034596,-0.004574,-0.030022,-0.023064,0.004926,-0.02799,-0.067545,0.010204,-0.077749,-0.136738,0.006685,-0.143423
CPFE3.SA,2014-05-12,32.14,positive,Q4,-0.014014,-0.003135,-0.010879,-0.057057,-0.008011,-0.049046,0.076076,0.009753,0.066323,0.063063,0.014977,0.048086
BRAP4.SA,2014-07-01,-19.44,negative,Q2,0.019802,-0.011942,0.031744,None,None,None,0.118812,0.012645,0.106167,-0.128713,-0.092729,-0.035984
TRPL4.SA,2014-07-30,18.0,positive,Q4,-0.011662,-0.028639,0.016977,-0.005831,-0.023585,0.017754,0.125364,0.056941,0.068424,0.244898,-0.172844,0.417742
VALE3.SA,2014-07-31,-17.39,negative,Q2,-0.023742,0.005203,-0.028945,-0.02944,-0.007631,-0.021809,-0.105413,0.107527,-0.21294,-0.243115,-0.152272,-0.090843
CSMG3.SA,2014-08-01,-19.05,negative,Q2,0.03352,0.007591,0.025928,0.0,-0.015528,0.015528,0.027933,0.105935,-0.078002,-0.234637,-0.122843,-0.111794
CSNA3.SA,2014-08-05,-88.89,negative,Q1,-0.012158,0.006949,-0.019107,-0.06383,0.008687,-0.072516,-0.145897,0.096942,-0.242839,-0.306991,-0.128909,-0.178082
TCSA3.SA,2014-08-05,7.32,positive,Q4,-0.025797,0.006949,-0.032746,-0.057663,0.008687,-0.06635,-0.045524,0.096942,-0.142466,-0.259484,-0.128909,-0.130575
B3SA3.SA,2014-08-07,17.65,positive,Q4,-0.006515,-0.002796,-0.003718,0.003257,0.005942,-0.002685,0.143322,0.068508,0.074815,-0.143322,-0.126529,-0.016793
ALUP11.SA,2014-08-07,-16.22,negative,Q2,-0.002286,-0.002796,0.000511,0.012571,0.005942,0.006629,0.108571,0.068508,0.040064,0.178286,-0.126529,0.304815
YDUQ3.SA,2014-08-07,-6.45,negative,Q3,-0.069015,-0.002796,-0.066219,-0.047297,0.005942,-0.053239,-0.061776,0.068508,-0.130284,-0.016892,-0.126529,0.109637
GFSA3.SA,2014-08-08,-140.0,negative,Q1,0.046159,0.021381,0.024778,0.052754,0.029793,0.02296,0.029674,0.04802,-0.018346,-0.221173,-0.15843,-0.062743
PETR4.SA,2014-08-08,-38.71,negative,Q2,0.042514,0.021381,0.021133,0.038817,0.029793,0.009024,0.110906,0.04802,0.062886,-0.271719,-0.15843,-0.113289
MEAL3.SA,2014-08-11,-140.04,negative,Q1,-0.012474,-0.003775,-0.008699,0.010915,0.022306,-0.011391,-0.024428,0.016129,-0.040557,-0.108628,-0.164036,0.055408
MOTV3.SA,2014-08-11,-5.56,negative,Q3,0.033626,-0.003775,0.037401,0.048246,0.022306,0.02594,0.077485,0.016129,0.061356,0.100877,-0.164036,0.264913
CCRO3.SA,2014-08-11,-5.56,negative,Q3,0.032815,-0.003775,0.03659,0.047496,0.022306,0.02519,0.076857,0.016129,0.060728,0.032815,-0.164036,0.196851
EZTC3.SA,2014-08-11,5.71,positive,Q3,0.0,-0.003775,0.003775,0.0,0.022306,-0.022306,0.104563,0.016129,0.088434,-0.087452,-0.164036,0.076583
ELET3.SA,2014-08-12,-484.8,negative,Q1,-0.021812,-0.014468,-0.007344,0.036913,0.044092,-0.00718,0.112416,0.02308,0.089337,-0.092282,-0.169135,0.076854
AXIA3.SA,2014-08-12,-484.8,negative,Q1,-0.020761,-0.014468,-0.006293,0.038062,0.044092,-0.00603,0.114187,0.02308,0.091107,-0.091695,-0.169135,0.07744
EVEN3.SA,2014-08-12,-22.22,negative,Q2,-0.015873,-0.014468,-0.001405,0.02381,0.044092,-0.020283,0.063492,0.02308,0.040412,-0.194444,-0.169135,-0.025309
ELET6.SA,2014-08-12,-484.8,negative,Q1,-0.01626,-0.014468,-0.001792,0.017615,0.044092,-0.026477,0.01084,0.02308,-0.012239,-0.177507,-0.169135,-0.008371
