symbol,event_date,surprise_raw,category,quintile,stock_ret_1d,bench_ret_1d,abnormal_ret_1d,stock_ret_5d,bench_ret_5d,abnormal_ret_5d,stock_ret_21d,bench_ret_21d,abnormal_ret_21d,stock_ret_63d,bench_ret_63d,abnormal_ret_63d
F&D.BK,2000-01-26,1.38,positive,Q3,0.0,0.005348,-0.005348,0.120187,-0.019225,0.139411,0.039673,-0.143711,0.183385,-0.039673,-0.165147,0.125474
F&D.BK,2000-04-17,8.28,positive,Q4,0.0,0.015496,-0.015496,-0.076319,0.02915,-0.105469,-0.076319,-0.108657,0.032338,-0.15376,-0.184296,0.030536
F&D.BK,2000-07-19,3.5,positive,Q4,0.091512,-0.007114,0.098626,0.091512,-0.044275,0.135787,0.091512,0.036934,0.054578,0.091512,-0.155595,0.247107
F&D.BK,2000-10-18,2.04,positive,Q3,0.0,0.0,0.0,-0.063183,-0.002897,-0.060287,-0.042527,0.067055,-0.109583,0.020656,0.116695,-0.096039
F&D.BK,2001-01-18,0.0,negative,Q3,0.0,0.007038,-0.007038,0.0,0.048192,-0.048192,-0.142857,-0.022786,-0.120071,-0.142857,-0.061636,-0.081221
F&D.BK,2001-04-19,13.21,positive,Q4,0.0,-0.006972,0.006972,0.0,0.015825,-0.015825,-0.023611,0.040844,-0.064455,0.261111,0.080115,0.180996
F&D.BK,2001-07-18,11.76,positive,Q4,0.019824,-0.011866,0.03169,0.019824,-0.033827,0.053651,0.435022,0.022878,0.412144,0.302863,-0.103158,0.406021
F&D.BK,2001-10-17,-3.7,negative,Q2,0.0,-0.004997,0.004997,0.0124,-0.019326,0.031725,0.150255,-0.037078,0.187334,0.500365,0.116792,0.383573
F&D.BK,2002-01-17,4.0,positive,Q4,0.035417,-0.009889,0.045306,0.053646,0.067618,-0.013972,0.392708,0.183012,0.209696,0.477083,0.220333,0.256751
F&D.BK,2002-04-17,60.0,positive,Q5,-0.025035,-0.002503,-0.022532,-0.037377,-0.037266,-0.00011,-0.162553,-0.023872,-0.138681,-0.275035,0.013085,-0.28812
F&D.BK,2002-07-17,19.23,positive,Q5,0.0,-0.009148,0.009148,0.0,-0.079013,0.079013,0.0,-0.067151,0.067151,0.0267,-0.174964,0.201664
F&D.BK,2002-10-16,236.89,positive,Q5,-0.008755,0.027853,-0.036608,-0.008755,0.040249,-0.049003,0.0,0.069212,-0.069212,0.0,0.111951,-0.111951
F&D.BK,2003-01-21,33.33,positive,Q5,0.138132,0.009084,0.129048,0.138132,-0.009326,0.147458,0.0,-0.023448,0.023448,0.085117,0.015543,0.069574
F&D.BK,2003-04-16,104.55,positive,Q5,0.008366,-0.000338,0.008704,0.008366,-0.038791,0.047157,0.034346,-0.004238,0.038584,0.172171,0.284871,-0.1127
F&D.BK,2003-07-16,22.22,positive,Q5,0.0,-0.004121,0.004121,0.0,-0.032682,0.032682,0.028832,0.048396,-0.019564,0.143066,0.148239,-0.005173
F&D.BK,2003-10-16,236.36,positive,Q5,0.0,0.007102,-0.007102,-0.053528,0.035083,-0.088611,-0.047445,0.088753,-0.136198,-0.047445,0.322528,-0.369973
F&D.BK,2004-01-22,10.71,positive,Q4,0.0,-0.03828,0.03828,0.0,-0.073618,0.073618,-0.058514,-0.039208,-0.019306,0.011146,-0.115092,0.126238
F&D.BK,2004-04-21,118.18,positive,Q5,0.040682,-0.013141,0.053824,-0.026903,-0.050046,0.023143,-0.060696,-0.109341,0.048645,-0.040354,-0.065677,0.025322
F&D.BK,2004-07-20,22.0,positive,Q5,0.014216,-0.008691,0.022908,0.0,-0.032158,0.032158,-0.014563,-0.081242,0.066679,0.0,-0.014196,0.014196
F&D.BK,2004-10-19,100.0,positive,Q5,0.0,-0.004889,0.004889,0.0,-0.039251,0.039251,0.0,-0.008476,0.008476,None,None,None
F&D.BK,2005-01-20,3.7,positive,Q4,0.0,-0.001335,0.001335,None,None,None,None,None,None,None,None,None
F&D.BK,2009-04-24,39.02,positive,Q5,0.0,-0.004779,0.004779,None,None,None,None,None,None,None,None,None
F&D.BK,2010-01-28,65.38,positive,Q5,0.0,0.001522,-0.001522,0.008264,-0.007379,0.015644,None,None,None,0.055269,0.096131,-0.040862
F&D.BK,2010-04-27,48.39,positive,Q5,0.0,0.00495,-0.00495,None,None,None,None,None,None,None,None,None
F&D.BK,2010-10-26,26.32,positive,Q5,-0.016618,0.003323,-0.019941,None,None,None,0.024927,0.012663,0.012264,None,None,None
F&D.BK,2011-04-26,24.0,positive,Q5,-0.009083,-0.008208,-0.000875,None,None,None,-0.004758,-0.031189,0.026431,-0.024221,0.02999,-0.054212
F&D.BK,2011-07-26,8.33,positive,Q4,0.009848,0.003246,0.006602,0.039839,0.002432,0.037407,None,None,None,None,None,None
F&D.BK,2012-07-25,7.14,positive,Q4,0.0,0.00434,-0.00434,None,None,None,0.303365,0.054795,0.24857,None,None,None
F&D.BK,2012-10-30,33.33,positive,Q5,0.0,-0.000678,0.000678,-0.036082,0.00067,-0.036752,0.108247,0.008238,0.100009,0.589884,0.138505,0.451379
F&D.BK,2013-01-29,24.0,positive,Q5,-0.008876,-0.011148,0.002272,-0.017954,0.006392,-0.024347,-0.107928,0.034048,-0.141977,-0.134961,0.071799,-0.20676
S&J.BK,2013-07-30,-3.33,negative,Q3,0.005988,0.010097,-0.004109,None,None,None,-0.113772,-0.091776,-0.021997,None,None,None
F&D.BK,2014-07-24,11.11,positive,Q4,0.0,-0.003705,0.003705,0.005126,-0.028273,0.033399,0.090401,0.010571,0.07983,None,None,None
PTT.BK,2014-08-13,6.76,positive,Q4,0.009036,0.003016,0.006021,0.012048,0.006122,0.005926,0.066265,0.025545,0.04072,0.144578,0.018956,0.125622
AMATA.BK,2014-08-13,125.94,positive,Q5,0.042609,0.003016,0.039593,0.06087,0.006122,0.054748,0.0,0.025545,-0.025545,0.0,0.018956,-0.018956
STEC.BK,2014-08-13,4.0,positive,Q4,0.007851,0.003016,0.004835,0.012267,0.006122,0.006145,0.068204,0.025545,0.042659,0.078508,0.018956,0.059552
CK.BK,2014-08-14,125.0,positive,Q5,-0.02774,-0.002754,-0.024985,0.0,0.006692,-0.006692,0.044566,0.021014,0.023552,-0.030014,0.009964,-0.039977
BDMS.BK,2014-08-14,-9.09,negative,Q2,-0.010974,-0.002754,-0.00822,0.010974,0.006692,0.004282,0.021948,0.021014,0.000934,0.0,0.009964,-0.009964
ITD.BK,2014-08-14,-39.99,negative,Q1,-0.009709,-0.002754,-0.006954,0.019418,0.006692,0.012726,0.184466,0.021014,0.163452,0.135922,0.009964,0.125959
BCH.BK,2014-08-15,-33.33,negative,Q1,0.0,0.000318,-0.000318,0.01108,0.013466,-0.002386,0.103878,0.014945,0.088933,-0.037396,0.022595,-0.059991
KSL.BK,2014-09-15,-20.0,negative,Q2,0.00716,0.003341,0.003819,0.00716,0.015791,-0.008631,0.01432,-0.011499,0.025818,-0.105012,-0.055525,-0.049487
TISCO.BK,2014-10-13,-2.16,negative,Q3,-0.011313,0.000407,-0.011721,-0.011313,-0.013344,0.002031,0.011313,0.009859,0.001454,0.028529,-0.015128,0.043657
TTB.BK,2014-10-14,-16.67,negative,Q2,-0.010929,-0.013739,0.00281,0.0,-0.009493,0.009493,0.005464,0.019258,-0.013794,-0.027322,-0.019174,-0.008148
JAS.BK,2014-10-16,0.0,negative,Q3,-0.006173,-0.001334,-0.004838,0.061728,0.007326,0.054402,0.160494,0.026401,0.134092,0.148148,0.004173,0.143975
KBANK.BK,2014-10-17,7.84,positive,Q4,0.004367,-0.000347,0.004714,0.025966,0.0139,0.012067,0.034641,0.035764,-0.001123,-0.03895,0.007002,-0.045952
KKP.BK,2014-10-17,20.48,positive,Q5,0.0,-0.000347,0.000347,0.012301,0.0139,-0.001598,0.037417,0.035764,0.001653,-0.024603,0.007002,-0.031605
BAY.BK,2014-10-18,-7.94,negative,Q2,0.011223,0.004312,0.006911,0.028057,0.019913,0.008144,0.100413,0.033686,0.066727,0.558771,0.022409,0.536362
TCAP.BK,2014-10-20,-13.79,negative,Q2,-0.014154,0.004312,-0.018465,-0.007385,0.019913,-0.027298,-0.028923,0.033686,-0.062609,-0.021538,0.022409,-0.043948
F&D.BK,2014-10-24,26.32,positive,Q5,0.0,0.005582,-0.005582,0.008762,0.020215,-0.011453,-0.043429,0.031598,-0.075026,-0.113143,0.02902,-0.142163
HMPRO.BK,2014-10-27,0.0,negative,Q3,0.0,0.003945,-0.003945,0.027287,0.018387,0.0089,-0.032103,0.022145,-0.054248,-0.097913,0.01919,-0.117103
SCCC.BK,2014-10-28,-29.37,negative,Q1,-0.009578,0.001715,-0.011293,0.014366,0.009426,0.00494,0.009578,0.023773,-0.014196,0.023903,0.01189,0.012013
SCC.BK,2014-10-29,0.15,positive,Q3,0.018099,0.012016,0.006083,0.004508,0.009851,-0.005342,0.067856,0.018245,0.049611,0.099546,0.011084,0.088462
PTTEP.BK,2014-10-30,-4.35,negative,Q2,-0.006824,-0.003144,-0.00368,0.003354,-0.003655,0.007009,-0.112653,0.006098,-0.118751,-0.177539,0.011602,-0.189141
TOP.BK,2014-10-31,-5.94,negative,Q2,0.0,0.00378,-0.00378,-0.016625,-0.007498,-0.009127,-0.060354,0.009385,-0.069739,0.119986,0.013064,0.106922
VGI.BK,2014-10-31,-9.09,negative,Q2,-0.017045,0.00378,-0.020826,-0.064394,-0.007498,-0.056896,0.047348,0.009385,0.037964,0.003788,0.013064,-0.009276
ADVANC.BK,2014-11-03,-2.27,negative,Q3,0.0,-0.004889,0.004889,-0.012573,-0.0088,-0.003772,0.020932,0.005949,0.014983,0.037651,0.014365,0.023287
S&J.BK,2014-11-03,-216.67,negative,Q1,-0.011197,-0.004889,-0.006308,-0.023256,-0.0088,-0.014455,None,None,None,0.016365,0.014365,0.002001
