symbol,event_date,surprise_raw,category,quintile,stock_ret_1d,bench_ret_1d,abnormal_ret_1d,stock_ret_5d,bench_ret_5d,abnormal_ret_5d,stock_ret_21d,bench_ret_21d,abnormal_ret_21d,stock_ret_63d,bench_ret_63d,abnormal_ret_63d
000550.SZ,2014-07-20,65.0,positive,Q5,-0.008237,0.022618,-0.030855,-0.031301,0.074366,-0.105667,0.066447,0.084304,-0.017857,-0.054915,0.000685,-0.0556
002672.SZ,2014-07-22,-25.0,negative,Q2,-0.007278,0.013405,-0.020683,0.062227,0.047922,0.014305,0.128093,0.054625,0.073469,0.21179,-0.020777,0.232568
002022.SZ,2014-07-25,0.0,negative,Q4,0.000428,0.021505,-0.021078,0.074818,0.013359,0.061459,0.129543,0.026393,0.10315,0.070971,-0.042033,0.113004
300144.SZ,2014-07-28,12.5,positive,Q4,0.016917,-0.002552,0.019469,0.011278,0.000638,0.01064,0.043233,0.00638,0.036853,0.031955,-0.058692,0.090647
600763.SS,2014-07-28,-11.11,negative,Q3,0.014545,-0.002552,0.017097,0.022545,0.000638,0.021907,0.177455,0.00638,0.171075,0.170909,-0.058692,0.229601
600660.SS,2014-07-28,-6.67,negative,Q3,0.0,-0.002552,0.002552,0.072727,0.000638,0.072089,0.028788,0.00638,0.022408,0.090909,-0.058692,0.149601
002582.SZ,2014-07-29,-28.57,negative,Q2,-0.006441,-0.005756,-0.000685,0.028986,-0.011513,0.040498,0.019324,0.001919,0.017405,0.114332,-0.069396,0.183727
002033.SZ,2014-07-30,-40.91,negative,Q2,0.00369,-0.00579,0.00948,-0.00369,-0.012223,0.008533,0.046125,-0.004503,0.050629,0.055351,-0.035381,0.090732
002100.SZ,2014-07-30,-20.0,negative,Q2,0.0,-0.00579,0.00579,0.0,-0.012223,0.012223,0.335749,-0.004503,0.340252,0.422705,-0.035381,0.458086
002251.SZ,2014-07-30,-56.67,negative,Q1,0.004006,-0.00579,0.009796,0.083333,-0.012223,0.095556,0.007211,-0.004503,0.011714,0.339743,-0.035381,0.375125
002405.SZ,2014-07-30,-50.0,negative,Q2,0.008881,-0.00579,0.014671,0.01717,-0.012223,0.029393,0.193013,-0.004503,0.197517,0.401421,-0.035381,0.436802
000528.SZ,2014-07-31,-90.91,negative,Q1,-0.017812,0.006147,-0.023959,0.0,-0.015205,0.015205,-0.012723,0.0,-0.012723,0.129771,-0.026205,0.155976
600703.SS,2014-07-31,240.0,positive,Q5,-0.009963,0.006147,-0.01611,None,None,None,0.048568,0.0,0.048568,0.098381,-0.026205,0.124586
002254.SZ,2014-07-31,-22.22,negative,Q2,0.049924,0.006147,0.043777,0.139183,-0.015205,0.154388,0.130106,0.0,0.130106,0.298033,-0.026205,0.324238
300267.SZ,2014-07-31,25.0,positive,Q5,-0.011872,0.006147,-0.018019,-0.029266,-0.015205,-0.01406,-0.071783,0.0,-0.071783,0.128658,-0.026205,0.154863
002429.SZ,2014-07-31,-71.43,negative,Q1,-0.014085,0.006147,-0.020231,-0.010563,-0.015205,0.004642,0.042254,0.0,0.042254,0.105634,-0.026205,0.131839
002069.SZ,2014-07-31,-50.0,negative,Q1,-0.012731,0.006147,-0.018878,-0.05156,-0.015205,-0.036354,-0.045194,0.0,-0.045194,-0.015913,-0.026205,0.010292
002650.SZ,2014-07-31,-5.87,negative,Q3,0.0,0.006147,-0.006147,0.003086,-0.015205,0.018292,0.203704,0.0,0.203704,0.478395,-0.026205,0.5046
000012.SZ,2014-08-04,22.22,positive,Q5,-0.002469,-0.014664,0.012195,0.004938,-0.000956,0.005895,0.022222,0.023908,-0.001686,0.049383,-0.027734,0.077116
600054.SS,2014-08-06,7.69,positive,Q4,0.001242,-0.008792,0.010034,0.042236,0.03126,0.010976,0.055901,0.05731,-0.00141,0.052174,-0.011071,0.063245
601717.SS,2014-08-07,166.67,positive,Q5,0.0,0.015769,-0.015769,-0.002375,0.029238,-0.031613,None,None,None,0.204276,-0.009855,0.214131
000568.SZ,2014-08-07,-35.29,negative,Q2,-0.001474,0.015769,-0.017243,0.020634,0.029238,-0.008604,None,None,None,-0.075166,-0.009855,-0.06531
600587.SS,2014-08-08,66.67,positive,Q5,0.000421,0.013583,-0.013162,-0.015579,0.014554,-0.030133,0.025684,0.037193,-0.011509,0.057684,-0.028137,0.085821
600741.SS,2014-08-08,9.76,positive,Q4,0.037657,0.013583,0.024073,0.078103,0.014554,0.06355,0.117155,0.037193,0.079962,0.170153,-0.028137,0.198291
002244.SZ,2014-08-08,-85.71,negative,Q1,0.0,0.013583,-0.013583,-0.012048,0.014554,-0.026602,0.024096,0.037193,-0.013096,0.10241,-0.028137,0.130547
600050.SS,2014-08-08,0.0,negative,Q4,0.010417,0.013583,-0.003167,0.020833,0.014554,0.00628,0.024306,0.037193,-0.012887,0.034722,-0.028137,0.062859
600008.SS,2014-08-08,4.99,positive,Q4,0.013514,0.013583,-7e-05,0.022523,0.014554,0.007969,0.13964,0.037193,0.102447,0.193694,-0.028137,0.221831
002340.SZ,2014-08-08,-3.13,negative,Q3,0.011236,0.013583,-0.002347,-0.022472,0.014554,-0.037026,0.019663,0.037193,-0.01753,0.078652,-0.028137,0.106789
600535.SS,2014-08-08,12.5,positive,Q4,0.022697,0.013583,0.009113,0.011126,0.014554,-0.003428,-0.00267,0.037193,-0.039863,0.012016,-0.028137,0.040153
002006.SZ,2014-08-08,-60.0,negative,Q1,-0.012802,0.013583,-0.026386,0.015647,0.014554,0.001094,0.211949,0.037193,0.174756,0.200569,-0.028137,0.228706
000669.SZ,2014-08-08,-14.81,negative,Q3,0.000501,0.013583,-0.013083,0.009013,0.014554,-0.00554,0.025538,0.037193,-0.011654,0.08663,-0.028137,0.114767
002063.SZ,2014-08-09,-6.25,negative,Q3,-0.003279,-0.001595,-0.001683,0.003279,0.008934,-0.005656,0.0,0.005105,-0.005105,0.137705,-0.042757,0.180462
002595.SZ,2014-08-09,-10.53,negative,Q3,-0.015253,-0.001595,-0.013657,-0.011439,0.008934,-0.020374,0.171592,0.005105,0.166487,0.127741,-0.042757,0.170498
000895.SZ,2014-08-11,-2.86,negative,Q3,-0.018141,-0.001595,-0.016545,-0.036281,0.008934,-0.045215,-0.014361,0.005105,-0.019467,-0.232048,-0.042757,-0.189292
300298.SZ,2014-08-11,-56.52,negative,Q1,0.018377,-0.001595,0.019972,0.057427,0.008934,0.048493,0.158499,0.005105,0.153394,0.071975,-0.042757,0.114732
600151.SS,2014-08-11,-66.0,negative,Q1,0.01285,-0.001595,0.014446,0.008178,0.008934,-0.000757,0.158879,0.005105,0.153773,0.181075,-0.042757,0.223832
000596.SZ,2014-08-11,-30.0,negative,Q2,0.039895,-0.001595,0.04149,0.115486,0.008934,0.106551,0.244619,0.005105,0.239514,0.045144,-0.042757,0.087901
000729.SZ,2014-08-11,5.56,positive,Q4,0.00159,-0.001595,0.003185,-0.006359,0.008934,-0.015294,-0.007949,0.005105,-0.013054,0.00159,-0.042757,0.044347
600123.SS,2014-08-12,-91.67,negative,Q1,0.024887,0.012144,0.012742,0.036199,0.011186,0.025013,0.022624,0.003515,0.019109,0.088235,-0.040908,0.129143
603001.SS,2014-08-12,27.27,positive,Q5,0.000981,0.012144,-0.011163,-0.000981,0.011186,-0.012167,0.022571,0.003515,0.019056,0.078508,-0.040908,0.119416
601222.SS,2014-08-12,-41.18,negative,Q2,-0.024955,0.012144,-0.0371,-0.028521,0.011186,-0.039706,0.092692,0.003515,0.089176,0.030303,-0.040908,0.071211
600376.SS,2014-08-12,-28.57,negative,Q2,0.003787,0.012144,-0.008357,-0.013258,0.011186,-0.024443,-0.020834,0.003515,-0.024349,0.119318,-0.040908,0.160225
000726.SZ,2014-08-12,-6.67,negative,Q3,0.007082,0.012144,-0.005062,0.008499,0.011186,-0.002687,0.026912,0.003515,0.023397,0.033994,-0.040908,0.074902
002697.SZ,2014-08-12,6.81,positive,Q4,0.068,0.012144,0.055856,0.052,0.011186,0.040814,0.236,0.003515,0.232485,0.384,-0.040908,0.424908
000001.SZ,2014-08-13,-14.29,negative,Q3,-0.010563,-0.010736,0.000172,-0.017606,-0.006315,-0.011291,-0.026408,-0.01263,-0.013778,0.058099,-0.047679,0.105778
600104.SS,2014-08-13,13.21,positive,Q4,0.039767,-0.010736,0.050503,0.036857,-0.006315,0.043173,0.134821,-0.01263,0.147451,0.095053,-0.047679,0.142733
000898.SZ,2014-08-13,-6.98,negative,Q3,-0.022536,-0.010736,-0.0118,0.0,-0.006315,0.006315,-0.019719,-0.01263,-0.007088,0.180281,-0.047679,0.227961
002313.SZ,2014-08-14,0.0,negative,Q4,-0.001509,0.001277,-0.002786,0.022642,-0.008618,0.031259,0.086792,-0.015959,0.102752,0.035472,-0.038302,0.073774
600329.SS,2014-08-14,-13.33,negative,Q3,0.004296,0.001277,0.003019,0.002577,-0.008618,0.011195,0.036082,-0.015959,0.052042,0.026632,-0.038302,0.064934
002474.SZ,2014-08-14,-54.0,negative,Q1,0.028436,0.001277,0.027159,0.099526,-0.008618,0.108144,0.131517,-0.015959,0.147476,0.388625,-0.038302,0.426927
300015.SZ,2014-08-14,-37.5,negative,Q2,-0.005051,0.001277,-0.006327,0.0,-0.008618,0.008618,0.0,-0.015959,0.015959,-0.020202,-0.038302,0.0181
002448.SZ,2014-08-14,0.0,negative,Q4,0.015837,0.001277,0.01456,0.072398,-0.008618,0.081016,0.19457,-0.015959,0.210529,0.29638,-0.038302,0.334682
000848.SZ,2014-08-14,23.81,positive,Q5,-0.009511,0.001277,-0.010788,-0.038043,-0.008618,-0.029426,0.047554,-0.015959,0.063513,-0.029891,-0.038302,0.008411
000963.SZ,2014-08-14,4.88,positive,Q4,0.038636,0.001277,0.03736,0.030303,-0.008618,0.038921,0.036364,-0.015959,0.052323,0.013636,-0.038302,0.051938
600674.SS,2014-08-14,-7.69,negative,Q3,-0.004246,0.001277,-0.005523,0.0,-0.008618,0.008618,0.205945,-0.015959,0.221904,0.282378,-0.038302,0.32068
002367.SZ,2014-08-14,30.0,positive,Q5,-0.011673,0.001277,-0.01295,-0.011673,-0.008618,-0.003055,-0.023346,-0.015959,-0.007387,0.268482,-0.038302,0.306784
300261.SZ,2014-08-14,-34.15,negative,Q2,0.057816,0.001277,0.056539,0.094218,-0.008618,0.102836,0.130621,-0.015959,0.14658,0.226981,-0.038302,0.265283
600551.SS,2014-08-14,-4.35,negative,Q3,0.053571,0.001277,0.052295,0.15021,-0.008618,0.158828,0.118697,-0.015959,0.134657,0.039916,-0.038302,0.078218
600079.SS,2014-08-15,8.33,positive,Q4,0.012893,0.007969,0.004923,0.016116,-0.004463,0.020579,0.016116,-0.010838,0.026954,-0.053989,-0.034109,-0.01988
601928.SS,2014-08-15,0.0,negative,Q4,0.025678,0.007969,0.017708,0.168331,-0.004463,0.172794,0.10699,-0.010838,0.117828,0.14408,-0.034109,0.178189
000028.SZ,2014-08-15,-2.0,negative,Q3,0.034652,0.007969,0.026683,0.043545,-0.004463,0.048008,0.045692,-0.010838,0.05653,-0.068691,-0.034109,-0.034582
601898.SS,2014-08-15,-60.0,negative,Q1,0.002874,0.007969,-0.005096,-0.005747,-0.004463,-0.001284,0.037356,-0.010838,0.048195,0.126437,-0.034109,0.160546
000100.SZ,2014-08-15,33.33,positive,Q5,0.020513,0.007969,0.012543,-0.015385,-0.004463,-0.010922,0.015385,-0.010838,0.026223,0.189744,-0.034109,0.223853
002699.SZ,2014-08-16,-66.67,negative,Q1,0.043478,0.000633,0.042846,0.01087,-0.003795,0.014665,0.110507,-0.025617,0.136124,0.594203,-0.023087,0.61729
300303.SZ,2014-08-16,146.65,positive,Q5,0.00339,0.000633,0.002757,0.047458,-0.003795,0.051253,0.037288,-0.025617,0.062905,-0.016949,-0.023087,0.006137
600276.SS,2014-08-16,6.67,positive,Q4,-0.003597,0.000633,-0.00423,-0.01259,-0.003795,-0.008795,0.02518,-0.025617,0.050797,0.098921,-0.023087,0.122008
600594.SS,2014-08-16,-22.22,negative,Q2,0.000584,0.000633,-4.8e-05,-0.02979,-0.003795,-0.025995,-0.070093,-0.025617,-0.044477,-0.140771,-0.023087,-0.117684
603699.SS,2014-08-16,-20.0,negative,Q2,-0.011822,0.000633,-0.012454,0.00765,-0.003795,0.011445,-0.015299,-0.025617,0.010318,0.062587,-0.023087,0.085674
300223.SZ,2014-08-16,-98.64,negative,Q1,-0.008777,0.000633,-0.00941,-0.023824,-0.003795,-0.020029,0.007524,-0.025617,0.03314,0.019436,-0.023087,0.042522
000027.SZ,2014-08-16,60.0,positive,Q5,0.0,0.000633,-0.000633,-0.016722,-0.003795,-0.012927,0.006689,-0.025617,0.032306,0.187291,-0.023087,0.210378
601899.SS,2014-08-16,3.84,positive,Q4,0.005155,0.000633,0.004522,-0.015464,-0.003795,-0.011669,0.061856,-0.025617,0.087472,0.123711,-0.023087,0.146798
