symbol,event_date,surprise_raw,category,quintile,stock_ret_1d,bench_ret_1d,abnormal_ret_1d,stock_ret_5d,bench_ret_5d,abnormal_ret_5d,stock_ret_21d,bench_ret_21d,abnormal_ret_21d,stock_ret_63d,bench_ret_63d,abnormal_ret_63d
UIS.SW,2000-01-18,1.55,positive,Q3,0.054737,-0.011667,0.066404,0.113684,-0.050867,0.164551,0.147368,-0.041898,0.189267,-0.242105,-0.000981,-0.241124
UIS.SW,2000-04-13,1.49,positive,Q3,-0.012346,-0.02199,0.009644,0.091907,-0.008166,0.100073,0.18107,0.04019,0.14088,-0.502058,0.05859,-0.560648
UIS.SW,2000-07-18,-3.23,negative,Q3,-0.052342,0.001664,-0.054005,-0.090909,0.009063,-0.099972,0.063361,0.040134,0.023227,0.118457,-0.04055,0.159007
UIS.SW,2000-10-12,10.24,positive,Q4,0.111111,-0.005662,0.116773,0.166667,0.012229,0.154438,0.238889,0.048772,0.190117,0.5,0.03206,0.46794
UIS.SW,2001-01-18,0.99,positive,Q3,-0.028226,0.001666,-0.029892,-0.008065,0.022767,-0.030831,0.25,-0.011892,0.261892,-0.153226,-0.079251,-0.073975
UIS.SW,2001-04-16,0.92,positive,Q3,0.037736,-0.00714,0.044876,-0.044811,-0.017579,-0.027233,-0.033019,0.043565,-0.076584,0.033019,-0.047176,0.080195
UIS.SW,2001-07-16,-2.17,negative,Q3,0.018519,-0.006433,0.024951,-0.037037,-0.018734,-0.018303,-0.143519,-0.018516,-0.125002,-0.305556,-0.131498,-0.174057
UIS.SW,2001-10-15,32.08,positive,Q5,0.006944,0.00544,0.001505,0.076389,0.047355,0.029034,None,None,None,0.472222,0.050259,0.421964
UIS.SW,2002-01-17,-3.51,negative,Q3,0.016509,-0.010025,0.026535,0.0,0.012376,-0.012376,-0.044811,0.013393,-0.058205,-0.009434,0.06077,-0.070204
UIS.SW,2002-04-15,31.58,positive,Q5,0.062016,0.001782,0.060234,0.103359,-0.000659,0.104018,0.105943,0.001886,0.104057,-0.426357,-0.197832,-0.228524
