symbol,event_date,surprise_raw,category,quintile,stock_ret_1d,bench_ret_1d,abnormal_ret_1d,stock_ret_5d,bench_ret_5d,abnormal_ret_5d,stock_ret_21d,bench_ret_21d,abnormal_ret_21d,stock_ret_63d,bench_ret_63d,abnormal_ret_63d
EKTA-B.ST,2013-12-04,-112.11,negative,Q1,0.020322,-0.004503,0.024825,0.025684,-0.000795,0.026479,None,None,None,-0.08538,0.076821,-0.162201
TELIA.ST,2014-01-30,-22.69,negative,Q1,-0.003417,-0.014026,0.010609,-0.00598,0.00026,-0.00624,-0.016232,0.031169,-0.047401,None,None,None
AXFO.ST,2014-02-04,0.0,negative,Q3,0.009696,0.003457,0.00624,0.021771,0.050518,-0.028748,0.075741,0.088274,-0.012533,0.072448,0.101037,-0.028589
ALFA.ST,2014-02-05,5.7,positive,Q4,0.029499,0.020403,0.009096,0.034415,0.04849,-0.014074,0.073747,0.077107,-0.003359,0.053925,0.100424,-0.046499
HUSQ-B.ST,2014-02-06,-33.33,negative,Q1,-0.008686,0.012724,-0.02141,0.017372,0.034277,-0.016904,0.082519,0.048039,0.03448,0.390518,0.0792,0.311317
VOLV-B.ST,2014-02-06,-52.94,negative,Q1,0.009996,0.012724,-0.002728,0.013464,0.034277,-0.020813,0.116891,0.048039,0.068852,0.161975,0.0792,0.082775
HEXA-B.ST,2014-02-11,0.0,negative,Q3,-0.005006,0.001519,-0.006525,-0.006258,0.012655,-0.018913,-0.030038,-0.008352,-0.021685,0.126408,0.054164,0.072245
TREL-B.ST,2014-02-13,-3.93,negative,Q3,0.024644,0.004519,0.020125,0.024644,0.011549,0.013095,0.028681,-0.001757,0.030438,0.185362,0.03992,0.145443
EKTA-B.ST,2014-02-20,-53.85,negative,Q1,-0.098563,0.000497,-0.099059,-0.147844,0.007698,-0.155542,-0.169276,-0.021356,-0.14792,-0.060703,0.031537,-0.09224
TREL-B.ST,2014-04-23,13.59,positive,Q4,0.015157,0.001222,0.013935,0.025543,0.01564,0.009902,0.066991,0.01393,0.053061,0.0189,0.00782,0.01108
TELIA.ST,2014-04-23,-2.11,negative,Q3,0.008493,0.001222,0.007271,0.024204,0.01564,0.008564,0.076008,0.01393,0.062079,0.126115,0.00782,0.118295
AXFO.ST,2014-04-24,-8.33,negative,Q2,-0.008677,-0.004393,-0.004284,None,None,None,0.09297,0.012936,0.080033,0.06074,0.01074,0.050001
