symbol,event_date,surprise_raw,category,quintile,stock_ret_1d,bench_ret_1d,abnormal_ret_1d,stock_ret_5d,bench_ret_5d,abnormal_ret_5d,stock_ret_21d,bench_ret_21d,abnormal_ret_21d,stock_ret_63d,bench_ret_63d,abnormal_ret_63d
6173.TWO,2010-08-23,30.19,positive,Q5,-0.02861,-0.025648,-0.002963,-0.168937,-0.040848,-0.128089,-0.097411,0.032982,-0.130394,-0.353202,0.05469,-0.407891
6173.TWO,2010-11-10,-41.38,negative,Q1,-0.025616,-0.01433,-0.011286,-0.060416,-0.018194,-0.042222,0.012083,0.03341,-0.021327,-0.050749,0.032714,-0.083464
8423.TWO,2012-05-14,-63.16,negative,Q1,-0.011782,-0.021779,0.009997,-0.086892,-0.016327,-0.070565,-0.148012,-0.041485,-0.106527,-0.070692,0.005498,-0.07619
1591.TWO,2012-08-29,4.08,positive,Q4,0.027261,0.003476,0.023786,0.024164,-0.006067,0.03023,0.068773,0.046629,0.022145,0.074969,0.008613,0.066356
8107.TWO,2012-08-30,7.35,positive,Q4,0.002217,0.007229,-0.005011,0.067627,0.003765,0.063862,0.017738,0.037672,-0.019933,0.078714,0.014396,0.064318
8423.TWO,2012-09-11,35.48,positive,Q5,0.029931,0.001103,0.028828,-0.039908,0.027932,-0.06784,0.009977,-0.017622,0.027599,-0.036838,0.005712,-0.04255
2724.TWO,2012-09-13,126.03,positive,Q5,-0.007287,0.003124,-0.010411,0.0,0.002137,-0.002137,-0.198426,-0.034509,-0.163917,-0.338046,0.002461,-0.340506
2724.TWO,2012-11-14,35.61,positive,Q5,-0.001722,-0.001928,0.000205,-0.049282,-0.00533,-0.043952,-0.130718,0.07768,-0.208397,0.033971,0.112522,-0.078551
4168.TWO,2013-03-28,-2.86,negative,Q3,-0.047091,-0.002446,-0.044645,-0.072469,-0.024003,-0.048466,-0.101421,0.026507,-0.127928,-0.350728,0.012281,-0.363009
3511.TWO,2013-05-09,-17.14,negative,Q2,0.004499,-0.003857,0.008357,0.042745,0.010619,0.032125,-0.012373,-0.014457,0.002084,-0.213723,-0.044997,-0.168726
3511.TWO,2013-07-31,-84.31,negative,Q1,0.007623,0.005419,0.002204,-0.031185,-0.018439,-0.012746,-0.012474,-0.002155,-0.010319,-0.072072,0.03698,-0.109052
8176.TWO,2013-08-13,-76.92,negative,Q1,0.0,-0.008058,0.008058,0.04161,-0.017224,0.058833,-0.121419,0.027275,-0.148694,-0.344475,0.028397,-0.372871
8176.TWO,2013-11-12,-174.07,negative,Q1,0.0,0.003782,-0.003782,0.02363,0.012364,0.011267,0.28464,0.03172,0.25292,0.290011,0.058334,0.231677
3556.TWO,2014-03-20,-30.86,negative,Q2,-0.002231,0.003289,-0.00552,-0.017011,0.023023,-0.040033,-0.035973,0.046349,-0.082322,-0.133296,0.07592,-0.209216
3026.TW,2014-03-25,-15.71,negative,Q2,0.029123,0.004841,0.024281,0.023158,0.019249,0.003909,-0.054035,0.004218,-0.058253,0.073684,0.066802,0.006882
1795.TW,2014-03-27,-125.0,negative,Q1,0.030752,0.008506,0.022245,0.030752,0.011602,0.01915,-0.053856,0.011108,-0.064964,0.326879,0.070479,0.2564
3026.TW,2014-05-06,1.32,positive,Q3,-0.008686,0.004237,-0.012923,-0.008686,-0.002031,-0.006655,0.034745,0.027126,0.007619,0.142599,0.027911,0.114687
3438.TWO,2014-05-07,40.62,positive,Q5,-0.01408,-0.004614,-0.009466,-0.03104,-0.005627,-0.025413,0.02304,0.025959,-0.002919,-0.07456,0.023858,-0.098418
5531.TW,2014-05-14,-150.0,negative,Q1,0.00404,0.000878,0.003162,0.018182,0.010019,0.008162,0.016162,0.03629,-0.020128,0.137172,0.039486,0.097686
1795.TW,2014-05-14,-475.0,negative,Q1,0.026623,0.000878,0.025744,0.030483,0.010019,0.020464,0.19778,0.03629,0.16149,-0.026542,0.039486,-0.066028
5312.TWO,2014-05-14,7.28,positive,Q4,-0.009429,0.000878,-0.010307,-0.009429,0.010019,-0.019448,0.05232,0.03629,0.01603,-0.034942,0.039486,-0.074428
4175.TWO,2014-05-15,14.0,positive,Q4,0.0,0.001288,-0.001288,-0.008655,0.013475,-0.02213,0.032932,0.039619,-0.006687,-0.126451,0.038495,-0.164946
1301.TW,2014-07-10,-24.36,negative,Q2,-0.001228,0.002576,-0.003804,-0.009009,-0.009991,0.000982,-0.023137,-0.034007,0.010871,-0.081491,-0.055751,-0.02574
3576.TW,2014-07-24,-4.17,negative,Q3,-0.06882,-0.002025,-0.066796,-0.206461,-0.018304,-0.188156,-0.186798,-0.005156,-0.181642,-0.172368,-0.08404,-0.088328
8299.TWO,2014-07-29,7.25,positive,Q4,-0.002261,-0.013885,0.011624,-0.031383,-0.032079,0.000696,-0.015691,0.003319,-0.01901,-0.091956,-0.057514,-0.034441
4153.TWO,2014-07-31,-16.22,negative,Q2,-0.00474,0.006872,-0.011613,-0.068623,-0.019484,-0.049139,0.083521,0.026607,0.056915,0.053273,-0.031484,0.084757
1909.TW,2014-07-31,50.0,positive,Q5,0.0,0.006872,-0.006872,-0.066246,-0.019484,-0.046762,0.009464,0.026607,-0.017143,-0.041009,-0.031484,-0.009525
4966.TWO,2014-07-31,17.95,positive,Q4,0.011087,0.006872,0.004215,-0.128999,-0.019484,-0.109515,-0.020802,0.026607,-0.047408,-0.201119,-0.031484,-0.169635
3211.TWO,2014-07-31,26.09,positive,Q5,0.002353,0.006872,-0.004519,-0.003529,-0.019484,0.015955,0.044941,0.026607,0.018335,-0.127294,-0.031484,-0.09581
1565.TWO,2014-08-02,-14.7,negative,Q2,-0.022026,0.000277,-0.022302,-0.040888,0.002372,-0.043259,0.019718,0.033792,-0.014074,-0.149969,-0.016656,-0.133313
2227.TW,2014-08-05,-27.5,negative,Q2,-0.064643,-0.00137,-0.063272,0.006311,0.009552,-0.00324,0.056803,0.031159,0.025644,-0.102511,-0.019835,-0.082676
6244.TWO,2014-08-06,-84.21,negative,Q1,0.024946,-0.004981,0.029927,0.045767,0.01086,0.034907,0.123159,0.03028,0.092879,-0.031821,-0.026329,-0.005492
6257.TW,2014-08-07,15.28,positive,Q4,0.014706,0.00957,0.005136,0.014706,0.013301,0.001405,0.013575,0.03839,-0.024815,-0.138009,-0.019078,-0.118931
8255.TWO,2014-08-07,-7.92,negative,Q3,0.026952,0.00957,0.017382,0.013476,0.013301,0.000175,0.013476,0.03839,-0.024914,-0.013476,-0.019078,0.005602
2201.TW,2014-08-07,-37.1,negative,Q1,0.007677,0.00957,-0.001893,0.012978,0.013301,-0.000323,0.041126,0.03839,0.002736,-0.054286,-0.019078,-0.035208
8436.TWO,2014-08-08,-36.54,negative,Q1,-0.051751,-0.001067,-0.050684,-0.114232,-0.003445,-0.110787,-0.070054,0.020135,-0.090189,-0.032502,-0.013401,-0.019101
1313.TW,2014-08-08,-85.19,negative,Q1,-0.011392,-0.001067,-0.010325,-0.024051,-0.003445,-0.020606,0.0,0.020135,-0.020135,-0.137975,-0.013401,-0.124573
2066.TWO,2014-08-08,1.3,positive,Q3,-0.0821,-0.001067,-0.081033,-0.104181,-0.003445,-0.100736,-0.023373,0.020135,-0.043509,-0.214353,-0.013401,-0.200951
8422.TW,2014-08-08,-15.42,negative,Q2,-0.020697,-0.001067,-0.01963,-0.027233,-0.003445,-0.023788,-0.091503,0.020135,-0.111639,-0.216776,-0.013401,-0.203374
6285.TW,2014-08-08,2.86,positive,Q4,-0.013072,-0.001067,-0.012005,-0.027271,-0.003445,-0.023826,-0.024792,0.020135,-0.044927,-0.172865,-0.013401,-0.159463
6279.TWO,2014-08-08,0.0,negative,Q3,-0.008311,-0.001067,-0.007244,-0.02523,-0.003445,-0.021785,0.042001,0.020135,0.021865,-0.012615,-0.013401,0.000786
3026.TW,2014-08-08,23.91,positive,Q5,-0.012552,-0.001067,-0.011485,-0.002253,-0.003445,0.001192,0.0,0.020135,-0.020135,-0.065014,-0.013401,-0.051613
4745.TWO,2014-08-08,-20.13,negative,Q2,-0.025013,-0.001067,-0.023945,-0.058307,-0.003445,-0.054862,-0.041744,0.020135,-0.06188,-0.216664,-0.013401,-0.203262
8086.TWO,2014-08-08,15.38,positive,Q4,-0.031799,-0.001067,-0.030731,0.0,-0.003445,0.003445,0.028002,0.020135,0.007867,0.219269,-0.013401,0.23267
5489.TWO,2014-08-09,-19.29,negative,Q2,-0.011142,0.007442,-0.018584,-0.049633,0.008803,-0.058436,-0.033426,0.017443,-0.050869,-0.054191,-0.014076,-0.040115
3088.TWO,2014-08-09,-4.03,negative,Q3,-0.007201,0.007442,-0.014642,0.008401,0.008803,-0.000402,0.110411,0.017443,0.092968,-0.009901,-0.014076,0.004175
4137.TW,2014-08-11,-9.05,negative,Q3,-0.01761,0.007442,-0.025051,-0.060427,0.008803,-0.06923,-0.06293,0.017443,-0.080373,-0.221686,-0.014076,-0.20761
1216.TW,2014-08-11,11.54,positive,Q4,0.011728,0.007442,0.004287,0.01358,0.008803,0.004778,0.042593,0.017443,0.02515,0.005864,-0.014076,0.01994
3260.TWO,2014-08-11,19.08,positive,Q4,0.011285,0.007442,0.003843,0.012897,0.008803,0.004095,-0.057117,0.017443,-0.074559,-0.245739,-0.014076,-0.231663
8050.TWO,2014-08-11,0.0,negative,Q3,0.015024,0.007442,0.007583,-0.016771,0.008803,-0.025574,0.042278,0.017443,0.024835,-0.080713,-0.014076,-0.066637
1614.TW,2014-08-11,45.45,positive,Q5,-0.001073,0.007442,-0.008514,-0.016446,0.008803,-0.025249,-0.019306,0.017443,-0.036749,-0.128709,-0.014076,-0.114633
2707.TW,2014-08-11,-23.29,negative,Q2,0.003034,0.007442,-0.004408,0.003034,0.008803,-0.005769,0.018262,0.017443,0.00082,-0.030515,-0.014076,-0.016439
1440.TW,2014-08-11,-61.9,negative,Q1,0.012857,0.007442,0.005415,-0.027143,0.008803,-0.035946,-0.013571,0.017443,-0.031014,-0.043571,-0.014076,-0.029495
2354.TW,2014-08-12,45.31,positive,Q5,0.006757,-7.6e-05,0.006833,0.021326,0.006147,0.01518,0.03484,-0.000881,0.03572,0.160684,-0.033837,0.194521
3706.TW,2014-08-12,20.0,positive,Q5,-0.008584,-7.6e-05,-0.008508,-0.011803,0.006147,-0.017949,-0.008584,-0.000881,-0.007703,-0.078326,-0.033837,-0.044489
3689.TWO,2014-08-12,-5.76,negative,Q3,-0.009685,-7.6e-05,-0.009609,-0.00476,0.006147,-0.010907,-0.042022,-0.000881,-0.041142,-0.221438,-0.033837,-0.187601
2923.TW,2014-08-12,-25.0,negative,Q2,0.001867,-7.6e-05,0.001943,-0.084765,0.006147,-0.090911,0.003361,-0.000881,0.004241,-0.210978,-0.033837,-0.177141
3705.TW,2014-08-12,-1.49,negative,Q3,-0.022531,-7.6e-05,-0.022456,-0.017246,0.006147,-0.023393,-0.003338,-0.000881,-0.002457,-0.055077,-0.033837,-0.02124
2723.TW,2014-08-12,-95.65,negative,Q1,0.0,-7.6e-05,7.6e-05,-0.018511,0.006147,-0.024658,-0.020568,-0.000881,-0.019688,-0.292197,-0.033837,-0.25836
4129.TWO,2014-08-12,-54.05,negative,Q1,-0.011535,-7.6e-05,-0.01146,-0.035155,0.006147,-0.041302,-0.04669,-0.000881,-0.04581,-0.145015,-0.033837,-0.111178
3265.TWO,2014-08-12,2.3,positive,Q3,0.015986,-7.6e-05,0.016062,0.041741,0.006147,0.035594,0.031083,-0.000881,0.031964,-0.138099,-0.033837,-0.104263
5534.TW,2014-08-12,-96.77,negative,Q1,-0.002572,-7.6e-05,-0.002497,-0.013826,0.006147,-0.019973,0.089389,-0.000881,0.09027,-0.081672,-0.033837,-0.047835
3577.TWO,2014-08-12,48.15,positive,Q5,-0.016201,-7.6e-05,-0.016125,0.015796,0.006147,0.009649,-0.068449,-0.000881,-0.067568,-0.222357,-0.033837,-0.18852
4971.TWO,2014-08-12,97.4,positive,Q5,-0.040373,-7.6e-05,-0.040297,-0.098344,0.006147,-0.10449,-0.044513,-0.000881,-0.043633,-0.17236,-0.033837,-0.138523
6261.TWO,2014-08-12,29.32,positive,Q5,0.001369,-7.6e-05,0.001445,-0.005818,0.006147,-0.011964,-0.008214,-0.000881,-0.007333,-0.040383,-0.033837,-0.006546
2912.TW,2014-08-12,-5.8,negative,Q3,-0.006799,-7.6e-05,-0.006723,0.013598,0.006147,0.007452,0.01582,-0.000881,0.0167,0.01582,-0.033837,0.049657
1736.TW,2014-08-13,372.73,positive,Q5,-0.006584,-0.002578,-0.004006,-0.044163,0.002467,-0.046629,0.041432,-0.001425,0.042857,-0.088164,-0.027077,-0.061087
8936.TWO,2014-08-13,32.67,positive,Q5,0.009271,-0.002578,0.011849,-0.007517,0.002467,-0.009984,-0.051115,-0.001425,-0.04969,-0.15109,-0.027077,-0.124013
2301.TW,2014-08-13,7.32,positive,Q4,-0.010093,-0.002578,-0.007515,-0.007103,0.002467,-0.00957,-0.035888,-0.001425,-0.034463,-0.213084,-0.027077,-0.186007
8044.TWO,2014-08-13,15.04,positive,Q4,-0.0067,-0.002578,-0.004122,-0.078727,0.002467,-0.081194,-0.023451,-0.001425,-0.022026,0.038526,-0.027077,0.065603
6160.TWO,2014-08-13,-143.48,negative,Q1,-0.02627,-0.002578,-0.023691,-0.028021,0.002467,-0.030488,0.02627,-0.001425,0.027694,-0.206655,-0.027077,-0.179578
