symbol,event_date,surprise_raw,category,quintile,stock_ret_1d,bench_ret_1d,abnormal_ret_1d,stock_ret_5d,bench_ret_5d,abnormal_ret_5d,stock_ret_21d,bench_ret_21d,abnormal_ret_21d,stock_ret_63d,bench_ret_63d,abnormal_ret_63d
CTX.DE,2008-01-23,13.95,positive,Q4,0.108173,-0.000635,0.108808,0.108173,0.004498,0.103675,0.108173,-0.002167,0.11034,-0.067308,3.7e-05,-0.067344
CTX.DE,2008-04-23,2.94,positive,Q3,0.0,0.011033,-0.011033,0.0,0.032532,-0.032532,0.109279,0.019427,0.089851,-0.079381,-0.041814,-0.037567
CTX.DE,2008-07-23,5.56,positive,Q4,0.0,-0.00062,0.00062,0.0,0.006033,-0.006033,0.0,-0.015259,0.015259,-0.084547,-0.25716,0.172613
CTX.DE,2008-10-22,16.22,positive,Q4,0.0,-0.049568,0.049568,0.110703,0.07735,0.033353,0.110703,-0.086796,0.197499,0.12477,-0.043428,0.168198
CTX.DE,2009-01-28,2.13,positive,Q3,0.0,-0.02027,0.02027,0.0,0.018604,-0.018604,0.0,-0.131968,0.131968,0.0,0.077085,-0.077085
CTX.DE,2009-04-29,3.23,positive,Q3,0.0,0.027886,-0.027886,0.0,0.030286,-0.030286,0.0,0.078229,-0.078229,0.0,0.105016,-0.105016
CTX.DE,2009-07-22,2.63,positive,Q3,0.0,-0.003415,0.003415,0.0,0.021607,-0.021607,0.0,0.041061,-0.041061,0.0,0.107578,-0.107578
CTX.DE,2009-10-21,4.88,positive,Q4,0.0,-0.003936,0.003936,0.0,-0.03045,0.03045,0.413812,-0.017314,0.431126,0.602501,-0.022829,0.62533
CTX.DE,2010-01-27,26.92,positive,Q5,0.0,0.012357,-0.012357,-0.025042,-0.00128,-0.023763,0.094247,0.010492,0.083755,0.231133,0.109123,0.12201
CTX.DE,2010-04-21,0.0,negative,Q3,0.0563,0.014721,0.041579,0.037058,-0.00386,0.040918,0.080388,-0.055031,0.135419,0.001996,-0.032621,0.034617
CTX.DE,2010-07-28,-8.89,negative,Q3,0.043528,0.002163,0.041365,0.195163,0.032419,0.162745,0.223329,-0.029917,0.253245,0.422475,0.078097,0.344378
CTX.DE,2010-10-21,26.53,positive,Q5,0.0,0.005052,-0.005052,0.0,-0.000677,0.000677,-0.0557,0.03273,-0.08843,-0.0436,0.069118,-0.112718
CTX.DE,2011-01-26,8.33,positive,Q4,0.0,-0.007376,0.007376,0.022585,0.005325,0.01726,0.020493,0.004135,0.016358,0.129235,0.04467,0.084565
CTX.DE,2011-04-27,19.05,positive,Q5,0.061111,0.005249,0.055862,0.066667,-0.013145,0.079811,0.11537,-0.041704,0.157075,0.11537,-0.016825,0.132195
GIB.DE,2011-06-29,7.71,positive,Q4,0.025117,0.005857,0.01926,0.005841,0.012906,-0.007065,0.033878,-0.029483,0.063361,-0.079439,-0.23695,0.157511
CTX.DE,2011-07-27,3.64,positive,Q4,0.0,-0.004352,0.004352,0.0,-0.107829,0.107829,0.0,-0.229842,0.229842,0.0,-0.16328,0.16328
GIB.DE,2011-09-29,-21.86,negative,Q2,-0.037711,-0.051856,0.014144,-0.014954,0.062753,-0.077708,0.082575,0.06043,0.022144,0.053966,0.072034,-0.018067
CTX.DE,2011-10-27,10.34,positive,Q4,0.0,-0.032279,0.032279,0.0,-0.059883,0.059883,0.0,-0.09468,0.09468,0.0,0.030516,-0.030516
CTX.DE,2012-01-25,2.63,positive,Q3,0.0,-0.004262,0.004262,0.0,0.017704,-0.017704,0.0,0.049631,-0.049631,0.0,0.030589,-0.030589
GIB.DE,2012-03-30,37.04,positive,Q5,-0.004792,-0.010539,0.005747,0.0,-0.054122,0.054122,0.010117,-0.070172,0.080289,0.124601,-0.0678,0.192401
CTX.DE,2012-04-25,15.69,positive,Q4,0.0,0.009113,-0.009113,0.0,-0.026474,0.026474,0.0,-0.061827,0.061827,0.0,-0.049464,0.049464
GIB.DE,2012-06-29,45.36,positive,Q5,-0.003774,0.012643,-0.016417,0.014151,-0.016704,0.030855,0.084906,0.042515,0.042391,0.04717,0.122218,-0.075049
CTX.DE,2012-07-25,20.34,positive,Q5,0.0,0.016169,-0.016169,0.0,0.003514,-0.003514,0.0,0.058957,-0.058957,0.0,0.092647,-0.092647
GIB.DE,2012-09-29,-7.72,negative,Q3,0.007052,-8.9e-05,0.007141,0.014544,-0.013774,0.028318,0.082415,0.00408,0.078335,0.042309,0.058419,-0.01611
CTX.DE,2012-10-24,4.62,positive,Q4,0.0,0.004392,-0.004392,0.0,0.018811,-0.018811,0.0,0.015125,-0.015125,0.0,0.090044,-0.090044
GIB.DE,2012-12-30,2.21,positive,Q3,0.009477,0.00257,0.006907,-0.025546,-0.006184,-0.019361,-0.006593,0.009921,-0.016513,-0.044499,0.007858,-0.052357
CTX.DE,2013-01-30,7.14,positive,Q4,0.0,0.007374,-0.007374,0.0,-0.023817,0.023817,0.0,-0.008731,0.008731,0.0,0.044526,-0.044526
GIB.DE,2013-03-30,38.36,positive,Q5,-0.009398,-0.007284,-0.002114,-0.026912,-0.008143,-0.018769,0.011106,0.031435,-0.020328,-0.004699,0.004574,-0.009273
CTX.DE,2013-04-24,-1.59,negative,Q3,0.0,-0.002311,0.002311,0.0,0.036951,-0.036951,0.0,0.070273,-0.070273,0.0,0.069738,-0.069738
GIB.DE,2013-06-29,35.97,positive,Q5,-0.019313,-0.010296,-0.009017,0.045923,0.01858,0.027343,0.034764,0.046165,-0.011401,0.101288,0.094901,0.006387
CTX.DE,2013-07-24,4.76,positive,Q4,0.0,-0.006515,0.006515,0.0,0.013466,-0.013466,0.0,0.01422,-0.01422,0.0,0.074814,-0.074814
GIB.DE,2013-09-29,13.24,positive,Q4,-0.004691,-0.006873,0.002182,-0.022674,-0.019847,-0.002827,0.05903,0.039679,0.019351,-0.135653,0.085033,-0.220685
CTX.DE,2013-10-23,1.45,positive,Q3,0.0,0.000569,-0.000569,0.0,0.005934,-0.005934,0.0,0.026547,-0.026547,0.0,0.047467,-0.047467
GIB.DE,2013-12-30,53.29,positive,Q5,-0.003592,0.003735,-0.007327,0.025595,0.002295,0.0233,0.057027,-0.009953,0.06698,0.229906,0.021667,0.208239
CTX.DE,2014-01-29,6.12,positive,Q4,0.0,-0.007148,0.007148,0.0,-0.012471,0.012471,0.0,0.033989,-0.033989,0.0,0.019474,-0.019474
CTX.DE,2014-04-23,10.34,positive,Q4,0.0,-0.015408,0.015408,0.0,0.000769,-0.000769,0.0,0.036041,-0.036041,0.0,0.021456,-0.021456
GIB.DE,2014-06-29,4.65,positive,Q4,0.006798,0.000895,0.005903,-0.017675,-0.013102,-0.004573,0.009177,-0.031177,0.040355,0.009177,-0.041592,0.050769
CTX.DE,2014-07-23,27.87,positive,Q5,0.0,-0.01532,0.01532,0.0,-0.039471,0.039471,0.0,-0.046445,0.046445,0.0,-0.087188,0.087188
CTX.DE,2014-10-22,2.74,positive,Q3,0.0,-0.006578,0.006578,0.0,0.007464,-0.007464,0.0,0.07574,-0.07574,0.0,0.174778,-0.174778
CTX.DE,2015-01-28,7.84,positive,Q4,0.0,-0.004056,0.004056,0.0,0.015603,-0.015603,0.0,0.061818,-0.061818,0.0,0.066727,-0.066727
CTX.DE,2015-04-22,0.0,negative,Q3,0.0,0.007444,-0.007444,0.0,-0.022962,0.022962,0.0,-0.008398,0.008398,0.0,-0.018038,0.018038
TUI1.DE,2015-05-13,79.79,positive,Q5,0.009375,-0.009757,0.019132,0.026136,0.026365,-0.000228,-0.024432,-0.049728,0.025297,-0.123011,-0.05495,-0.068062
GIB.DE,2015-06-29,-29.72,negative,Q2,0.0,0.02152,-0.02152,0.0,-0.024503,0.024503,0.0,0.024384,-0.024384,0.0,-0.114796,0.114796
CTX.DE,2015-07-28,21.95,positive,Q5,0.0,0.00404,-0.00404,0.0,0.037857,-0.037857,0.0,-0.079936,0.079936,0.0,-0.036614,0.036614
CTX.DE,2015-10-21,23.81,positive,Q5,0.0,0.028838,-0.028838,0.0,0.029439,-0.029439,0.0,0.059842,-0.059842,0.0,-0.072038,0.072038
CTX.DE,2016-01-27,39.5,positive,Q5,0.0,0.016445,-0.016445,0.0,-0.025544,0.025544,0.0,-0.013101,0.013101,0.0,0.070704,-0.070704
CTX.DE,2016-04-20,28.26,positive,Q5,0.0,-0.005964,0.005964,0.0,-0.01098,0.01098,0.0,-0.056866,0.056866,0.0,-0.028146,0.028146
STM.DE,2016-05-13,-21.21,negative,Q2,-0.032552,0.005363,-0.037915,0.03099,0.016897,0.014092,0.002604,-0.028663,0.031267,0.0625,0.083238,-0.020738
GIB.DE,2016-06-29,18.57,positive,Q5,0.0,0.00992,-0.00992,0.0,-0.026995,0.026995,0.043126,0.067914,-0.024788,0.043126,0.070391,-0.027265
CTX.DE,2016-07-26,5.26,positive,Q4,0.0,-0.004324,0.004324,0.0,-0.014472,0.014472,0.0,0.020354,-0.020354,0.0,0.04242,-0.04242
5FB.DE,2016-08-02,9.09,positive,Q4,0.053435,0.005669,0.047767,0.034351,0.047263,-0.012912,0.015267,0.035801,-0.020533,-0.091603,0.034999,-0.126602
TUI1.DE,2016-08-11,30.77,positive,Q5,-0.009377,0.002406,-0.011784,-0.009377,-0.015781,0.006404,0.001125,-0.02629,0.027416,0.0,-0.007776,0.007776
STM.DE,2016-08-12,42.19,positive,Q5,0.01102,-0.005825,0.016845,-0.056272,-0.022801,-0.033471,-0.070809,-0.032834,-0.037975,-0.127081,-0.006635,-0.120445
CTX.DE,2016-10-19,10.92,positive,Q4,0.0,0.000873,-0.000873,0.0,0.001466,-0.001466,0.0,-0.003442,0.003442,0.0,0.083914,-0.083914
5FB.DE,2016-11-02,0.0,negative,Q3,-0.022846,-0.006464,-0.016381,-0.001738,0.029464,-0.031202,-0.021604,0.018155,-0.03976,-0.31711,0.129153,-0.446263
TUI1.DE,2016-12-08,-21.83,negative,Q2,-0.020673,-0.001198,-0.019475,0.028031,0.017885,0.010146,0.064471,0.033888,0.030583,0.079187,0.069153,0.010035
CTX.DE,2017-01-25,8.05,positive,Q4,0.0,-0.0029,0.0029,0.0,-0.018625,0.018625,0.0,-0.003764,0.003764,0.0,0.05023,-0.05023
STM.DE,2017-02-13,71.08,positive,Q5,0.006485,0.001879,0.004606,0.02767,0.016623,0.011047,0.057501,0.020223,0.037278,0.186987,0.073039,0.113948
5FB.DE,2017-02-22,-12.0,negative,Q2,0.028727,-0.012036,0.040763,0.090909,0.009352,0.081557,-0.104727,0.009746,-0.114473,-0.121818,0.054767,-0.176585
CTX.DE,2017-04-26,2.11,positive,Q3,0.0,-0.000465,0.000465,0.0,0.021947,-0.021947,0.0,0.01488,-0.01488,0.0,-0.018624,0.018624
