symbol,event_date,t0_date,category,reason,p0,ret_T1,bench_T1,car_T1,ret_T5,bench_T5,car_T5,ret_T21,bench_T21,car_T21,ret_T63,bench_T63,car_T63
VRSN,2000-06-09,2000-06-09,addition,Annual Re-ranking,164.97,-11.7658,-2.7389,-9.0269,-16.0453,0.6563,-16.7017,-15.3058,-0.3913,-14.9145,-12.3113,1.401,-13.7123
JNPR,2000-09-07,2000-09-07,addition,Annual Re-ranking,164.4,-8.0292,-3.4375,-4.5917,-7.4453,-4.9639,-2.4813,-11.691,-15.5288,3.8378,-34.708,-30.7933,-3.9148
BIIB,2000-12-18,2000-12-18,addition,Annual Re-ranking,75.083336,-11.0433,-7.6199,-3.4234,-10.1554,-4.8893,-5.2661,-24.23,3.5978,-27.8278,-43.9789,-36.9557,-7.0232
DLTR,2000-12-18,2000-12-18,removal,Annual Re-ranking,12.125,-43.8144,-7.6199,-36.1945,-31.0997,-4.8893,-26.2104,-28.866,3.5978,-32.4638,-56.5292,-36.9557,-19.5735
FLEX,2000-12-18,2000-12-18,addition,Annual Re-ranking,28.88,-2.8393,-7.6199,4.7806,-9.5222,-4.8893,-4.6329,31.5789,3.5978,27.9812,-39.8199,-36.9557,-2.8642
SNPS,2000-12-18,2000-12-18,removal,Annual Re-ranking,22.375,-2.514,-7.6199,5.106,5.1676,-4.8893,10.0569,18.8547,3.5978,15.257,1.8156,-36.9557,38.7714
MLKN,2000-12-18,2000-12-18,removal,Annual Re-ranking,15.22,-0.8541,-7.6199,6.7658,20.0394,-4.8893,24.9287,16.5572,3.5978,12.9594,6.1104,-36.9557,43.0661
CHKP,2000-12-18,2000-12-18,addition,Annual Re-ranking,98.541664,-12.5159,-7.6199,-4.8959,-4.8203,-4.8893,0.069,1.3531,3.5978,-2.2447,-45.8985,-36.9557,-8.9428
NVDA,2001-05-31,2001-05-31,addition,Annual Re-ranking,0.32708,5.5369,2.9567,2.5802,16.0236,8.8701,7.1535,8.3405,2.1647,6.1757,-1.5531,-16.0243,14.4712
GILD,2001-10-05,2001-10-05,addition,Annual Re-ranking,2.49,0.0,0.3347,-0.3347,9.2369,8.8137,0.4233,14.8594,15.7679,-0.9085,8.0321,29.788,-21.7559
XOXO,2001-12-17,2001-12-17,removal,Annual Re-ranking,0.55,-9.0909,1.1288,-10.2197,-9.0909,-3.6179,-5.473,None,None,None,None,None,None
ESRX,2001-12-24,2001-12-24,addition,Annual Re-ranking,4.952641,0.169,0.9309,-0.7619,-2.0495,2.012,-4.0615,-3.4651,-1.2613,-2.2038,23.102,-9.4595,32.5615
STCN,2001-12-24,2001-12-24,removal,Annual Re-ranking,144.35,0.6373,0.9309,-0.2936,-1.2678,2.012,-3.2798,11.4721,-1.2613,12.7334,-12.7329,-9.4595,-3.2735
SNPS,2001-12-24,2001-12-24,addition,Annual Re-ranking,29.004999,1.1722,0.9309,0.2413,1.4653,2.012,-0.5467,-7.1367,-1.2613,-5.8754,-8.0848,-9.4595,1.3746
PTC,2001-12-24,2001-12-24,removal,Annual Re-ranking,18.25,-0.274,0.9309,-1.2049,6.9589,2.012,4.9469,-5.2055,-1.2613,-3.9442,-16.6027,-9.4595,-7.1433
DLTR,2002-06-03,2002-06-03,addition,Annual Re-ranking,13.086667,-0.6623,1.304,-1.9662,0.8406,-2.5265,3.367,-7.1065,-17.3594,10.2529,-37.3153,-18.9487,-18.3667
TEVA,2002-11-07,2002-11-07,addition,Annual Re-ranking,14.117177,0.0135,-1.8493,1.8628,1.1672,2.1729,-1.0057,4.7774,-1.2483,6.0257,-1.4838,-5.9639,4.4801
CMCSA,2002-11-19,2002-11-19,addition,Annual Re-ranking,5.73,-4.1885,4.2357,-8.4242,-3.4904,5.4788,-8.9692,-4.712,-2.302,-2.41,7.1553,-1.8877,9.043
PDCO,2002-12-16,2002-12-16,addition,Annual Re-ranking,13.79,0.5076,0.3198,0.1878,6.0189,-0.6852,6.7041,2.9007,2.2841,0.6165,7.3241,3.2892,4.035
EXPD,2002-12-23,2002-12-23,addition,Annual Re-ranking,13.32,-1.3514,-1.242,-0.1094,-4.5045,-5.0598,0.5553,-12.5375,-3.3119,-9.2257,8.7838,3.4499,5.3339
PTEN,2002-12-23,2002-12-23,addition,Annual Re-ranking,11.36,-0.8803,-1.242,0.3617,-7.4824,-5.0598,-2.4226,-11.6197,-3.3119,-8.3079,-2.2007,3.4499,-5.6506
