symbol,event_date,t0_date,category,reason,p0,ret_T1,bench_T1,car_T1,ret_T5,bench_T5,car_T5,ret_T21,bench_T21,car_T21,ret_T63,bench_T63,car_T63
NCR,2000-01-03,2000-01-03,addition,Annual Re-ranking,4.6,-2.6087,-3.9177,1.309,-3.6957,0.555,-4.2507,2.1739,-3.0145,5.1884,8.0435,4.2551,3.7884
HOG,2000-01-28,2000-01-28,addition,Annual Re-ranking,22.29,-1.1664,2.714,-3.8805,-0.0897,4.9388,-5.0286,-4.0825,1.1415,-5.2241,12.2028,7.0472,5.1556
ROK,2000-03-12,2000-03-13,addition,None,9.64,-0.3112,-1.4162,1.105,7.9876,5.7561,2.2315,15.8714,8.8054,7.066,0.5187,4.8081,-4.2895
SCI,2000-03-15,2000-03-15,removal,Annual Re-ranking,2.24,-1.7857,4.6756,-6.4614,-5.8036,7.6305,-13.434,49.1071,3.4416,45.6655,-4.0179,6.0229,-10.0407
A,2000-06-02,2000-06-02,addition,Annual Re-ranking,45.78,-5.4609,-0.4912,-4.9697,-11.9703,-0.8542,-11.116,-9.5893,-0.1495,-9.4398,-25.9939,3.2782,-29.272
NC,2000-06-02,2000-06-02,removal,Annual Re-ranking,1.49,-0.6711,-0.4912,-0.18,-0.6711,-0.8542,0.1831,-6.0403,-0.1495,-5.8908,25.5034,3.2782,22.2252
SBUX,2000-06-07,2000-06-07,addition,Siemens AG acquired Shared Medical Systems.,3.23,2.1672,-0.3961,2.5632,1.8576,0.2462,1.6114,21.0526,0.6423,20.4104,6.8111,1.6485,5.1627
CVG,2000-06-12,2000-06-12,addition,Tribune Co. acquired Times Mirror.,2.92,0.0,1.8743,-1.8743,-6.5068,2.7133,-9.2202,2.0548,3.171,-1.1162,2.0548,3.4979,-1.4431
CSR,2000-06-15,2000-06-15,removal,Annual Re-ranking,17.78,0.0,-0.8205,0.8205,0.3937,-1.4706,1.8643,0.0,2.1633,-2.1633,4.8931,1.2468,3.6463
SANM,2000-06-20,2000-06-20,addition,Annual Re-ranking,253.5,-3.5503,-0.0426,-3.5077,-2.4408,-1.8844,-0.5564,21.4497,1.8099,19.6398,21.1538,-1.0859,22.2398
VIAV,2000-07-26,2000-07-26,addition,Market Cap change.,618.600708,-5.3793,-0.3455,-5.0338,-17.1494,-0.8853,-16.2641,-7.954,3.7249,-11.6789,-30.069,-4.0704,-25.9986
RAD,2000-07-26,2000-07-26,removal,Market Cap change.,88.75,-4.2254,-0.3455,-3.8799,-4.2254,-0.8853,-3.34,-7.0423,3.7249,-10.7672,-35.2113,-4.0704,-31.1409
