year,portfolio_pct,spy_pct,excess_pct,quarters
2000,31.58,-10.5,42.08,4
2001,10.75,-9.17,19.92,4
2002,-5.2,-19.92,14.72,4
2003,32.76,24.12,8.64,4
2004,29.03,10.24,18.8,4
2005,34.4,7.17,27.23,4
2006,8.21,13.65,-5.44,4
2007,12.07,4.4,7.66,4
2008,-43.68,-34.31,-9.37,4
2009,27.57,24.73,2.84,4
2010,10.41,14.31,-3.89,4
2011,8.42,2.46,5.96,4
2012,11.17,17.09,-5.92,4
2013,32.67,27.77,4.9,4
2014,8.95,14.5,-5.55,4
2015,-14.78,-0.12,-14.66,4
2016,17.45,14.45,3.0,4
2017,25.02,21.64,3.38,4
2018,-11.36,-5.15,-6.21,4
2019,19.92,32.31,-12.39,4
2020,-16.52,15.64,-32.15,4
2021,34.33,31.26,3.07,4
2022,-14.51,-18.99,4.48,4
2023,19.95,26.0,-6.05,4
2024,7.78,25.28,-17.5,4
