rebalance_date,exit_date,portfolio_return,spy_return,stocks_held,top_holdings
2000-01-01,2000-04-01,0.026315,0.042551,28,BBWI,KODK,RRD,MO,HPQ,RIG,TGNA,ALL,CB,DUK,RTX,MTG,PHM,RVTY,GT,ETN,HIG,CI,APD,PPG,UNM,BC,M,VFC,EMN,NUE,DOV,ABT,SNV,AZO
2000-04-01,2000-07-01,0.000412,-0.023904,29,MO,KODK,NCR,LPX,DOV,ALL,NOC,HPQ,SO,ROK,DLX,CI,VFC,TRV,MRO,TJX,ABT,NEE,ED,M,SHW,CMI,CR,HES,RTX,AEE,GPC,BBWI,BAX,GD
2000-07-01,2000-10-01,0.110339,-0.020853,29,MO,KODK,NCR,LPX,DOV,ALL,NOC,HPQ,SO,ROK,MCK,DLX,CI,VFC,TRV,MRO,TJX,ABT,NEE,ED,M,SHW,CMI,CR,HES,RTX,AEE,GPC,BBWI,BAX
2000-10-01,2001-01-01,0.154193,-0.101791,29,MO,KODK,NCR,LPX,DOV,ALL,NOC,HPQ,SO,ROK,MCK,DLX,CI,VFC,TRV,MRO,TJX,PH,ABT,NEE,ED,M,DRI,SHW,CMI,CR,HES,RTX,AEE,GPC
2001-01-01,2001-04-01,-0.011869,-0.111017,29,MO,ROK,EOG,KODK,NCR,LPX,DOV,ALL,NOC,SO,MCK,DLX,CI,VFC,TRV,MRO,TJX,PH,ABT,NEE,AAPL,ED,M,DRI,HPQ,SHW,CMI,CR,HES,RTX
2001-04-01,2001-07-01,0.083333,0.090001,28,ROK,KODK,AMD,RRD,L,HES,MCK,NOC,SEE,DLX,PHM,SO,PH,NUE,DVN,DOV,AAPL,SNA,DRI,HPQ,APA,TRV,GPC,RTX,ABT,PPG,NCR,MTG,GL,AEE
2001-07-01,2001-10-01,-0.165408,-0.156858,28,ROK,KODK,AMD,RRD,L,HES,NOC,SEE,DLX,PHM,SO,PH,NUE,DVN,DOV,AAPL,SNA,DRI,HPQ,APA,TRV,GPC,RTX,ABT,PPG,NCR,MTG,GL,AEE,MBI
2001-10-01,2002-01-01,0.239671,0.111773,28,ROK,KODK,AMD,RRD,L,HES,NOC,SEE,DLX,PHM,SO,NUE,DVN,DOV,AAPL,SNA,HPQ,APA,TRV,GPC,RTX,ABT,PPG,NCR,MTG,GL,AEE,MBI,CR,SWK
2002-01-01,2002-04-01,0.08948,-0.005489,28,ASH,KODK,AMD,RRD,L,HES,ROK,NOC,SEE,DLX,PHM,SO,NUE,DVN,DOV,SNA,APA,TRV,GPC,RTX,ABT,PPG,NCR,MTG,GL,AEE,MBI,CR,SWK,CCL
2002-04-01,2002-07-01,-0.033543,-0.150087,20,ASH,HAL,PHM,ROK,COP,OXY,NCR,RTX,APA,MTG,TGNA,EOG,BBWI,GL,MBI,NBR,T,PH,UNP,CI
2002-07-01,2002-10-01,-0.167132,-0.112607,20,ASH,HAL,PHM,ROK,COP,OXY,NCR,RTX,APA,MTG,TGNA,EOG,BBWI,GL,MBI,NBR,T,PH,UNP,CI
2002-10-01,2003-01-01,0.08098,0.067642,20,ASH,HAL,PHM,ROK,COP,OXY,NCR,RTX,APA,MTG,TGNA,EOG,BBWI,GL,MBI,NBR,T,UNP,CI,ELV
2003-01-01,2003-04-01,-0.027299,-0.051488,20,HAL,PHM,COP,OXY,NCR,RTX,APA,MTG,TGNA,EOG,JCI,BBWI,GL,MBI,NBR,T,UNP,CI,BDX,ELV
2003-04-01,2003-07-01,0.166585,0.149454,24,M,PHM,MTG,CVG,KODK,RTX,MRO,TGNA,BBWI,ABT,OXY,TMO,UNP,GL,JCI,AON,T,HD,FLR,ELV,CVS,KMB,APA,ODP,BDX
2003-07-01,2003-10-01,0.042712,0.040018,28,M,PHM,MTG,CVG,KODK,RTX,MRO,TGNA,CSC,BBWI,ABT,OXY,TMO,UNP,GL,JCI,AON,T,BBBY,MCK,HD,FLR,ELV,CVS,FHI,KMB,HRB,APA,ODP,BDX
2003-10-01,2004-01-01,0.122029,0.094648,29,M,PHM,MTG,CVG,KODK,RTX,MRO,TGNA,CSC,BBWI,ABT,OXY,TMO,UNP,GL,JCI,AON,T,BBBY,MCK,HD,DRI,FLR,ELV,CVS,FHI,KMB,HRB,APA,ODP
2004-01-01,2004-04-01,0.069819,0.026532,29,M,PHM,MTG,CVG,KODK,RTX,MRO,TGNA,CSC,BBWI,ABT,OXY,TMO,UNP,GL,AON,T,BBBY,MCK,HD,COR,DRI,FLR,ELV,CVS,FHI,KMB,HRB,APA,JCI
2004-04-01,2004-07-01,0.051395,-0.003674,30,MO,MRO,AET,CVG,RRD,DVN,LPX,COP,HES,KBH,T,CB,PHM,HOT,CSC,BBWI,MET,OXY,TRV,TGNA,AN,VFC,UNP,ALL,MTG,APA,TAP,RTX,ABT,AON
2004-07-01,2004-10-01,0.047812,0.010403,30,MO,MRO,AET,CVG,RRD,DVN,LPX,COP,HES,KBH,T,CB,VLO,CSC,PHM,HOT,BBWI,MET,OXY,TRV,TGNA,AN,VFC,UNP,ALL,MTG,HRB,APA,TAP,RTX
2004-10-01,2005-01-01,0.094817,0.066727,30,MO,MRO,AET,CVG,RRD,DVN,LPX,COP,HES,KBH,T,CB,VLO,CSC,PHM,HOT,BBWI,MET,OXY,TRV,TGNA,ADM,AN,VFC,UNP,ALL,MTG,HRB,APA,TAP
2005-01-01,2005-04-01,0.135641,-0.020037,30,MO,ASH,MRO,AET,CVG,RRD,DVN,LPX,COP,HES,KBH,T,CB,VLO,CSC,PHM,HOT,BBWI,MET,OXY,TRV,TGNA,ADM,AN,VFC,UNP,ALL,MTG,HRB,APA
2005-04-01,2005-07-01,0.063876,0.021942,29,MO,ASH,AET,COP,VLO,LPX,KBH,NUE,HES,CI,MRO,PHM,TGNA,DVN,OXY,CSC,SRE,HIG,MET,APA,KODK,ADM,L,ABT,CB,RTX,T,PGR,NCR,ALL
2005-07-01,2005-10-01,0.089637,0.030133,29,MO,ASH,AET,COP,VLO,LPX,KBH,NUE,HES,CI,MRO,DHI,PHM,TGNA,DVN,OXY,SRE,HIG,MET,APA,KODK,ADM,L,ABT,CB,RTX,T,PGR,SVU,NCR
2005-10-01,2006-01-01,0.020888,0.038844,29,MO,ASH,AET,COP,VLO,LPX,KBH,NUE,HES,CI,MRO,DHI,PHM,TGNA,DVN,OXY,SRE,MUR,HIG,MET,APA,KODK,L,ADM,ABT,CB,RTX,T,PGR,SVU
2006-01-01,2006-04-01,0.073733,0.028044,29,ASH,MO,AET,COP,VLO,LPX,KBH,NUE,LEN,HES,DHI,CI,MRO,PHM,TGNA,DVN,OXY,SRE,MUR,HIG,MET,APA,KODK,L,ADM,ABT,CB,RTX,PGR,SVU
2006-04-01,2006-07-01,-0.034481,-0.010534,30,ASH,MRO,COP,MO,OXY,NCR,TGNA,LPX,LEN,PHM,KBH,MET,MSI,DUK,VLO,CMI,DHI,NUE,AET,APA,ABT,CI,HES,MTG,FCX,XOM,DVN,TT,M,MUR
2006-07-01,2006-10-01,-0.013857,0.045837,30,ASH,MRO,COP,MO,OXY,NCR,TGNA,LPX,LEN,PHM,KBH,MET,MSI,DUK,VLO,CMI,DHI,NUE,AET,APA,ABT,CI,HES,MTG,FCX,XOM,DVN,TT,M,MUR
2006-10-01,2007-01-01,0.05843,0.06826,30,ASH,MRO,COP,MO,OXY,NCR,TGNA,LPX,LEN,PHM,KBH,MET,MSI,DUK,VLO,CMI,DHI,NUE,AET,APA,ABT,CI,HES,MTG,FCX,XOM,DVN,TT,M,MUR
2007-01-01,2007-04-01,0.044008,0.00953,29,A,MRO,COP,MO,ASH,OXY,NCR,DHI,TGNA,LEN,PHM,KBH,MET,MSI,DUK,VLO,CMI,HPQ,NUE,AET,APA,ABT,CI,HES,MTG,FCX,XOM,DVN,TT,STR
2007-04-01,2007-07-01,0.137324,0.072337,28,A,MO,MRO,NE,VLO,ASH,COP,DHI,TGNA,MET,AET,SNV,HES,FCX,STR,MSI,CMI,HPQ,CVG,ALL,KBH,CINF,APA,CB,TRV,MTG,TT,OXY,NUE,RTX
2007-07-01,2007-10-01,-0.022977,0.021405,28,A,MO,MRO,NE,VLO,ASH,COP,DHI,TGNA,MET,AET,SNV,HES,FCX,STR,MSI,CMI,HPQ,CVG,ALL,KBH,CINF,APA,CB,TRV,MTG,TT,OXY,NUE,RTX
2007-10-01,2008-01-01,-0.033997,-0.055792,28,A,MO,MRO,NE,VLO,ASH,COP,DHI,TGNA,MET,AET,SNV,HES,FCX,STR,MSI,CMI,HPQ,CVG,ALL,KBH,CINF,APA,CB,TRV,MTG,TT,OXY,NUE,RTX
2008-01-01,2008-04-01,-0.071571,-0.052652,28,MO,MRO,NE,VLO,COP,TGNA,MET,AET,HES,FCX,STR,ROK,MSI,CMI,CVG,ALL,KBH,CINF,HPQ,APA,CB,TRV,MTG,TT,OXY,NUE,RTX,AIZ,TXN,CAH
2008-04-01,2008-07-01,-0.056643,-0.055578,28,TT,TGNA,MTW,CAM,MO,NE,MMC,ALL,MRO,VLO,ROK,TRV,CINF,CB,AET,NBR,KODK,HPQ,COP,HIG,DOV,MET,ODP,HAL,RTX,CAH,SEE,GL,LUMN,TEX
2008-07-01,2008-10-01,-0.14829,-0.090743,28,TGNA,MTW,MO,NE,MMC,ALL,MRO,VLO,CSC,ROK,TRV,CINF,CB,AET,NBR,KODK,HPQ,COP,HIG,DOV,MET,ODP,HAL,RTX,CAH,SEE,CAM,GL,LUMN,TEX
2008-10-01,2009-01-01,-0.245049,-0.192512,28,TGNA,MTW,MO,NE,MMC,ALL,MRO,VLO,CSC,ROK,TRV,CINF,AET,NBR,KODK,HPQ,COP,HIG,DOV,MET,CAG,ODP,HAL,CAH,RTX,SEE,CAM,GL,LUMN,TEX
2009-01-01,2009-04-01,-0.218634,-0.121837,28,TGNA,MTW,MO,HPQ,NE,MMC,ALL,MRO,VLO,CSC,TRV,CINF,ADI,AET,NBR,KODK,A,TEL,COP,HIG,DOV,MET,ROK,CAG,ODP,HAL,CAH,RTX,SEE,CAM
2009-04-01,2009-07-01,0.196445,0.14557,30,GLW,L,MRO,CF,MUR,EBAY,NOV,WMB,DFS,AET,HPQ,ANF,NBR,IPG,RTX,FLS,CCL,EOG,OXY,EMN,CMI,MET,DOV,HAL,BIG,CSC,HES,ETN,FHI,NUE
2009-07-01,2009-10-01,0.212754,0.120529,30,GLW,L,FTI,MRO,CF,MUR,EBAY,NOV,WMB,DFS,AET,CSC,HPQ,ANF,NBR,IPG,RTX,FLS,CCL,WDC,EOG,OXY,EMN,CMI,MET,DOV,HAL,BIG,HES,ETN
2009-10-01,2010-01-01,0.125226,0.106527,30,GLW,L,FTI,MRO,CF,MUR,EBAY,NOV,WMB,DFS,AET,CSC,HPQ,ANF,NBR,IPG,RTX,FLS,CCL,EOG,CAG,CAH,OXY,EMN,CMI,MET,DOV,HAL,BIG,HES
2010-01-01,2010-04-01,0.093554,0.043738,30,GLW,L,FTI,MRO,CF,MUR,EBAY,NOV,WMB,DFS,AET,CSC,CLF,ANF,NBR,IPG,RTX,FLS,CCL,HPQ,EOG,CAG,CAH,OXY,EMN,CMI,MET,DOV,HAL,BIG
2010-04-01,2010-07-01,-0.143387,-0.123582,29,GM,BMY,CSC,EBAY,AET,MRK,ELV,DFS,HPQ,CAG,CAH,ABT,HUM,PRU,CI,UNM,TRV,EXC,GME,MDLZ,BAX,ADM,GL,LLY,JEF,UNH,WDC,NOC,RTX,LDOS
2010-07-01,2010-10-01,0.103242,0.121395,29,GM,BMY,EBAY,AET,MRK,ELV,DFS,HPQ,CAG,CAH,ABT,HUM,PRU,CI,UNM,TRV,EXC,GME,MDLZ,BAX,ADM,GL,LLY,JEF,UNH,WDC,NOC,RTX,LDOS,CSC
2010-10-01,2011-01-01,0.06839,0.114312,29,GM,WDC,BMY,EBAY,AET,MRK,ELV,DFS,CB,HPQ,ABT,HUM,PRU,CI,UNM,TRV,ADM,EXC,GME,MDLZ,BAX,GL,LLY,JEF,UNH,LHX,NOC,RTX,LDOS,CSC
2011-01-01,2011-04-01,0.10358,0.052524,30,GM,MU,WDC,BMY,HPQ,EBAY,AET,MRK,ELV,DFS,CB,ABT,HUM,PRU,CI,UNM,TSN,TRV,ADM,EXC,GME,MDLZ,BAX,JCI,GL,LLY,JEF,UNH,LHX,NOC
2011-04-01,2011-07-01,0.008683,0.010819,29,JEF,MU,AET,WDC,HPQ,MRO,TER,LDOS,CB,COP,FTI,VRSN,ELV,DVN,LLY,EXC,TSN,ABT,CI,GME,RVTY,LXK,NE,ADM,TRV,HUM,EXPE,GLW,EBAY,NOC
2011-07-01,2011-10-01,-0.2307,-0.174911,29,JEF,MU,AET,WDC,HPQ,MRO,TER,LDOS,CB,COP,FTI,VRSN,ELV,DVN,LLY,EXC,TSN,ABT,CI,GME,RVTY,LXK,NE,ADM,TRV,HUM,EXPE,GLW,EBAY,NOC
2011-10-01,2012-01-01,0.266043,0.167232,28,JEF,MU,AET,HPQ,MRO,TER,LDOS,CB,COP,FTI,VRSN,ELV,DVN,LLY,EXC,TSN,ABT,CI,GME,RVTY,LXK,NE,TRV,HUM,EXPE,GLW,EBAY,NOC,KLAC,TE
2012-01-01,2012-04-01,0.075346,0.117341,28,JEF,HPQ,AET,MRO,TER,LDOS,CB,COP,FTI,VRSN,ELV,DVN,LLY,EXC,ABT,CI,GME,RVTY,LXK,NE,TRV,HUM,EXPE,AMAT,GLW,EBAY,NOC,KLAC,TE,MDLZ
2012-04-01,2012-07-01,-0.09403,-0.032616,30,AIG,GM,TGNA,HPQ,AET,MET,MPC,EBAY,VLO,CLF,DVN,COP,CF,PRU,BAX,FTI,MRO,GLW,TER,AIZ,APA,FCX,NOC,RTX,EMN,LXK,DOV,EXC,EXPE,AMAT
