symbol,deal_date,role,stock_ret_1d,bench_ret_1d,abnormal_ret_1d,stock_ret_5d,bench_ret_5d,abnormal_ret_5d,stock_ret_21d,bench_ret_21d,abnormal_ret_21d,stock_ret_63d,bench_ret_63d,abnormal_ret_63d
GE,2000-01-04,acquirer,0.015619,-0.016054,0.031673,0.059657,0.021933,0.037724,-0.013042,0.018542,-0.031584,0.071975,0.0684,0.003575
KMB,2000-01-06,acquirer,0.022802,0.003366,0.019436,-0.00662,0.008361,-0.014981,-0.059581,-0.009882,-0.049699,-0.140861,0.04159,-0.18245
JNJ,2000-01-10,acquirer,-0.009599,-0.009967,0.000368,-0.029215,0.017196,-0.046411,-0.173623,-0.020372,-0.15325,-0.16778,0.043483,-0.211263
ONB,2000-01-11,acquirer,0.0,0.013497,-0.013497,-0.025355,0.011727,-0.037082,-0.117647,-0.030645,-0.087002,0.098377,0.025113,0.073264
CNI,2000-01-11,acquirer,0.081181,0.013497,0.067684,0.02214,0.011727,0.010413,0.0,-0.030645,0.030645,0.184502,0.025113,0.159388
FLEX,2000-01-19,acquirer,0.173653,-0.002078,0.17573,0.109495,-0.031055,0.140551,0.132164,-0.065172,0.197336,0.408896,-0.008639,0.417535
STCN,2000-02-02,acquirer,-0.047691,-0.0042,-0.043491,-0.053715,-0.011385,-0.04233,0.180723,-0.024096,0.204819,-0.493474,-0.007074,-0.4864
INTT,2000-02-04,acquirer,0.10989,0.013674,0.096216,0.038461,-0.020122,0.058584,-0.159341,-0.038577,-0.120764,0.010989,0.003113,0.007876
VIAV,2000-02-11,acquirer,-0.012967,0.011232,-0.024199,0.060821,-0.032562,0.093383,0.173202,0.002156,0.171046,-0.112072,0.044021,-0.156092
MTCH,2000-02-14,acquirer,-0.029186,-0.014698,-0.014488,-0.039939,-0.031976,-0.007963,-0.092166,0.037361,-0.129527,-0.082949,0.04241,-0.125359
PRK,2000-02-22,acquirer,0.002615,-0.020167,0.022782,0.042171,0.013792,0.028378,0.034325,0.120654,-0.086329,-0.115724,0.013097,-0.128821
SCHW,2000-02-22,acquirer,-0.041253,-0.020167,-0.021086,0.162924,0.013792,0.149132,0.567102,0.120654,0.446448,0.022454,0.013097,0.009357
TFC,2000-03-01,acquirer,0.015801,0.018739,-0.002937,-0.003386,0.017025,-0.020411,0.218962,0.088323,0.130639,0.331828,0.051645,0.280183
IPG,2000-03-01,acquirer,0.019552,0.018739,0.000813,-0.090835,0.017025,-0.10786,0.141752,0.088323,0.053429,0.043177,0.051645,-0.008468
AKAM,2000-03-03,acquirer,0.033218,-0.019255,0.052473,0.121063,-0.008268,0.129331,-0.545399,0.077019,-0.622418,-0.625738,0.055499,-0.681237
PRK,2000-03-06,acquirer,-0.015806,-0.00127,-0.014536,0.033548,-0.003118,0.036667,-0.061935,0.09135,-0.153286,-0.094516,0.071371,-0.165887
STCN,2000-03-10,acquirer,-0.063327,-0.014162,-0.049165,-0.136106,0.057561,-0.193666,-0.401228,0.088054,-0.489282,-0.572779,0.048081,-0.62086
SWKH,2000-03-14,acquirer,-0.059594,0.046756,-0.10635,-0.269526,0.076305,-0.345831,-0.712867,0.034416,-0.747283,-0.63386,0.060229,-0.694089
GLW,2000-03-17,acquirer,-0.025432,0.020518,-0.04595,0.061129,0.039309,0.02182,-0.201587,-0.011771,-0.189815,0.281615,0.017927,0.263688
HLIT,2000-03-23,acquirer,-0.091019,-0.010589,-0.08043,-0.197107,-0.020767,-0.17634,-0.274262,-0.035263,-0.238999,-0.62387,-0.057675,-0.566195
TFC,2000-03-24,acquirer,0.001889,-0.005819,0.007707,0.065156,-0.004572,0.069728,-0.004721,-0.035952,0.03123,-0.04627,-0.035328,-0.010942
MS,2000-03-24,target,-0.022197,-0.005819,-0.016378,-0.051189,-0.004572,-0.046617,-0.101925,-0.035952,-0.065973,-0.081087,-0.035328,-0.045759
MSI,2000-03-24,acquirer,0.00311,-0.005819,0.008929,-0.154428,-0.004572,-0.149856,-0.278253,-0.035952,-0.242301,-0.452329,-0.035328,-0.417
WBS,2000-03-24,acquirer,0.0,-0.005819,0.005819,0.054688,-0.004572,0.059259,-0.005208,-0.035952,0.030743,-0.008681,-0.035328,0.026648
SNV,2000-04-05,target,-0.031751,0.006295,-0.038046,-0.012508,-0.041439,0.028931,-0.054201,-0.053399,-0.000802,-0.038807,-0.013638,-0.025169
VRSN,2000-04-12,acquirer,-0.147312,-0.05724,-0.090072,0.033254,-0.003064,0.036318,0.131876,0.007114,0.124762,0.674091,0.051001,0.62309
TMO,2000-05-01,acquirer,-0.037423,-0.023442,-0.013982,-0.056442,-0.019498,-0.036943,-0.040491,0.008216,-0.048706,0.065644,0.000657,0.064987
TMO,2000-05-08,acquirer,-0.042913,-0.022567,-0.020346,0.013654,0.037985,-0.02433,0.003251,0.039549,-0.036298,0.152146,0.054631,0.097515
NOV,2000-05-10,acquirer,-0.044188,0.010839,-0.055027,-0.065322,0.01475,-0.080072,-0.085495,0.025478,-0.110972,0.270893,0.040898,0.229995
CSCO,2000-05-10,acquirer,-0.005099,0.010839,-0.015939,-0.080826,0.01475,-0.095576,0.031107,0.025478,0.005629,0.052014,0.040898,0.011116
AVT,2000-05-12,acquirer,0.050817,0.009672,0.041145,-0.047187,-0.035862,-0.011325,-0.034846,0.017714,-0.052559,-0.26098,0.029993,-0.290974
EXC,2000-05-15,acquirer,-0.031796,-0.01044,-0.021356,0.012719,-0.059197,0.071916,-0.030207,0.01001,-0.040216,0.100159,0.019266,0.080893
TMO,2000-05-16,acquirer,0.009622,-0.012291,0.021912,-0.052598,-0.033718,-0.01888,-0.055805,0.012291,-0.068096,0.048749,0.026322,0.022428
IP,2000-05-19,acquirer,-0.035003,-0.014766,-0.020238,-0.088538,0.017358,-0.105896,-0.178449,0.058273,-0.236722,-0.13315,0.076984,-0.210134
SANM,2000-05-22,acquirer,0.031746,0.01636,0.015386,0.154195,0.034893,0.119302,0.501134,0.057774,0.44336,0.879819,0.091294,0.788525
DVN,2000-06-22,acquirer,-0.02636,0.012874,-0.039234,-0.042625,0.006328,-0.048953,-0.266966,0.020401,-0.287367,-0.037577,0.008837,-0.046414
GE,2000-06-23,target,-0.008838,-0.007324,-0.001514,0.037504,0.007217,0.030287,0.047725,-0.00237,0.050095,0.165693,-0.011094,0.176788
SYK,2000-06-28,acquirer,-0.005737,0.007647,-0.013384,0.082042,0.027092,0.05495,-0.024096,-0.008193,-0.015903,-0.030407,0.008193,-0.0386
MTB,2000-06-30,acquirer,0.002175,-0.018073,0.020248,0.046107,0.005882,0.040225,0.051327,-0.018287,0.069613,0.14963,-0.020853,0.170484
CAG,2000-06-30,acquirer,0.042763,-0.018073,0.060836,0.090461,0.005882,0.084579,0.118421,-0.018287,0.136708,0.059211,-0.020853,0.080064
TXN,2000-07-07,acquirer,-0.025831,0.002024,-0.027855,0.087778,0.021306,0.066472,-0.121263,0.005646,-0.126909,-0.307821,-0.043464,-0.264357
JCI,2000-07-12,acquirer,0.048801,0.009779,0.039022,0.037671,0.005573,0.032098,0.067209,-0.015878,0.083087,-0.008134,-0.086225,0.078091
GE,2000-07-25,acquirer,0.001247,-0.003455,0.004702,0.002421,-0.008853,0.011274,0.131739,0.037249,0.09449,0.023986,-0.040704,0.06469
AEIS,2000-08-14,acquirer,0.093289,-0.00359,0.096879,0.144072,0.007286,0.136785,-0.053468,0.003273,-0.056741,-0.617226,-0.088912,-0.528314
USB,2000-08-16,acquirer,-0.0059,-0.003251,-0.002649,0.023599,0.007551,0.016048,-0.039331,-0.0344,-0.004932,-0.213373,-0.06838,-0.144993
EQR,2000-08-25,acquirer,-0.031944,0.000208,-0.032152,-0.001389,-0.003217,0.001828,0.015278,-0.054379,0.069657,0.040278,-0.101494,0.141772
