symbol_a,symbol_b,correlation,sector,industry_a,industry_b,same_industry,mktcap_a_bn,mktcap_b_bn,mktcap_ratio,common_days
MTUS,TMST,1.0,Basic Materials,Steel,Steel,True,1.03,1.03,1.0,285
BODI,BODY,1.0,Communication Services,Internet Content & Information,Internet Content & Information,True,3.19,8.09,2.54,287
KIND,NXDR,1.0,Communication Services,Internet Content & Information,Internet Content & Information,True,1.15,1.15,1.0,698
PRKS,SEAS,1.0,Consumer Cyclical,Leisure,Leisure,True,3.35,3.07,1.09,275
BBBY,BYON,1.0,Consumer Cyclical,Specialty Retail,Specialty Retail,True,1.21,1.25,1.03,666
RDNW,RMBL,1.0,Consumer Cyclical,Auto - Dealerships,Auto - Dealerships,True,1.11,1.11,1.0,698
LANC,MZTI,1.0,Consumer Defensive,Packaged Foods,Packaged Foods,True,4.75,4.75,1.0,619
CHK,EXE,1.0,Energy,Oil & Gas Exploration & Production,Oil & Gas Exploration & Production,True,13.46,15.63,1.16,435
AAMI,BSIG,1.0,Financial Services,Asset Management,Asset Management,True,1.98,1.98,1.0,495
FLG,NYCB,1.0,Financial Services,Banks - Regional,Banks - Regional,True,5.23,4.29,1.22,453
BGNE,ONC,1.0,Healthcare,Biotechnology,Medical - Pharmaceuticals,False,19.35,19.45,1.0,479
IVF,NAYA,1.0,Healthcare,Medical - Devices,Medical - Devices,True,1.15,1.7,1.47,575
IKNA,IMA,1.0,Healthcare,Biotechnology,Biotechnology,True,1.16,1.16,1.0,618
BHG,NEUE,1.0,Healthcare,Medical - Healthcare Plans,Medical - Equipment & Services,False,1.35,2.16,1.6,260
AMEH,ASTH,1.0,Healthcare,Medical - Care Facilities,Medical - Care Facilities,True,1.89,1.5,1.25,283
HIND,RSLS,1.0,Healthcare,Biotechnology,Medical - Devices,False,1.0,1.0,1.0,632
CBIO,GLYC,1.0,Healthcare,Biotechnology,Biotechnology,True,1.61,1.61,1.0,602
JBT,JBTM,1.0,Industrials,Industrial - Machinery,Industrial - Machinery,True,4.07,4.07,1.0,496
CSW,CSWI,1.0,Industrials,Industrial - Machinery,Industrial - Machinery,True,4.73,4.73,1.0,586
FREY,TE,1.0,Industrials,Electrical Equipment & Parts,Electrical Equipment & Parts,True,1.03,1.03,1.0,537
CPAY,FLT,1.0,Technology,Software - Infrastructure,Software - Infrastructure,True,23.8,21.01,1.13,299
SQ,XYZ,1.0,Technology,Software - Infrastructure,Software - Infrastructure,True,52.44,52.44,1.0,527
CCC,CCCS,1.0,Technology,Software - Infrastructure,Software - Infrastructure,True,7.16,7.16,1.0,705
FI,FISV,1.0,Technology,Information Technology Services,Information Technology Services,True,118.88,118.88,1.0,708
BIGC,CMRC,1.0,Technology,Software - Application,Software - Application,True,2.51,2.51,1.0,640
GTM,ZI,1.0,Technology,Software - Application,Software - Application,True,3.8,3.8,1.0,586
GAP,GPS,0.9999,Consumer Cyclical,Apparel - Retail,Apparel - Retail,True,9.05,7.58,1.19,406
UCB,UCBI,0.9999,Financial Services,Banks - Regional,Banks - Regional,True,3.8,3.66,1.04,395
DOC,PEAK,0.9999,Real Estate,REIT - Healthcare Facilities,REIT - Healthcare Facilities,True,11.19,12.67,1.13,287
PRMB,PRMW,0.9997,Consumer Defensive,Beverages - Non-Alcoholic,Beverages - Non-Alcoholic,True,7.46,2.4,3.11,450
HMST,MCHB,0.9997,Financial Services,Banks - Regional,Banks - Regional,True,1.09,1.09,1.0,644
CEIX,CNR,0.9991,Energy,Coal,Coal,True,3.17,3.17,1.0,527
BBT,BHLB,0.9988,Financial Services,Asset Management,Banks - Regional,False,2.31,2.32,1.0,646
PNM,TXNM,0.9988,Utilities,Regulated Electric,Regulated Electric,True,3.69,4.46,1.21,391
HTO,SJW,0.9987,Utilities,Regulated Water,Regulated Water,True,1.65,1.61,1.03,581
GOOG,GOOGL,0.9978,Technology,Internet Content & Information,Internet Content & Information,True,2331.99,2331.99,1.0,749
CDAY,DAY,0.9977,Technology,Software - Application,Software - Application,True,11.21,11.46,1.02,265
ADAM,NYMT,0.9974,Real Estate,REIT - Mortgage,REIT - Mortgage,True,1.41,1.41,1.0,663
HDGCX,IHGIX,0.9968,Financial Services,Asset Management,Asset Management,True,16.15,17.25,1.07,749
IMAB,NBP,0.9959,Healthcare,Biotechnology,Biotechnology,True,1.12,1.12,1.0,712
Z,ZG,0.9952,Communication Services,Internet Content & Information,Internet Content & Information,True,17.33,16.58,1.05,749
JTSSX,SMTAX,0.9927,Financial Services,Asset Management,Asset Management,True,2.45,3.52,1.44,749
MODV,OTRK,0.9902,Healthcare,Medical - Care Facilities,Medical - Healthcare Information Services,False,1.26,1.76,1.39,672
CCL,CUK,0.9891,Consumer Cyclical,Leisure,Leisure,True,34.02,34.02,1.0,749
