symbol,event_date,surprise_pct,category,reaction_ret,abnormal_reaction,stock_ret_5d,bench_ret_5d,abnormal_ret_5d,stock_ret_10d,bench_ret_10d,abnormal_ret_10d,stock_ret_21d,bench_ret_21d,abnormal_ret_21d,stock_ret_63d,bench_ret_63d,abnormal_ret_63d
M&MFIN.NS,2016-02-23,10.58,dip_5,-0.064369,-0.035862,0.137866,0.065207,0.072658,0.140033,0.082441,0.057592,None,None,None,0.494493,0.092222,0.402271
J&KBANK.NS,2017-02-08,9.68,dip_5,-0.0634,-0.078778,0.009483,-0.007194,0.016678,None,None,None,0.040222,0.050738,-0.010516,0.220732,0.106778,0.113955
HEXAWARE.NS,2018-05-03,2.29,dip_10,-0.139816,-0.133434,0.141273,-0.002569,0.143842,0.100191,-0.038536,0.138726,0.070865,-0.026012,0.096876,0.230168,0.045279,0.184888
HEXAWARE.NS,2018-07-24,4.3,dip_5,-0.094345,-0.113966,0.020922,0.023344,-0.002422,0.053852,0.030599,0.023252,0.09405,0.015457,0.078593,-0.216742,-0.149527,-0.067215
HEXAWARE.NS,2018-10-24,9.62,dip_5,-0.067492,-0.064895,-0.032871,0.05132,-0.084191,None,None,None,-0.055059,0.093343,-0.148402,-0.020562,0.093715,-0.114277
J&KBANK.NS,2019-05-07,10.19,dip_5,-0.089558,-0.05725,-0.001633,-0.021509,0.019876,0.112245,0.031782,0.080463,0.09102,0.055538,0.035483,-0.177143,-0.056501,-0.120642
HEXAWARE.NS,2019-10-23,2.02,dip_5,-0.067214,-0.068173,-0.038989,0.024904,-0.063893,0.002564,0.034802,-0.032238,-0.033605,0.011814,-0.045419,0.009246,0.040868,-0.031623
J&KBANK.NS,2020-02-04,0.84,dip_10,-0.123077,-0.15602,-0.1423,0.015026,-0.157326,-0.124756,-0.008586,-0.11617,-0.212476,-0.127875,-0.084601,-0.421053,-0.268936,-0.152117
J&KBANK.NS,2020-05-06,6.92,dip_5,-0.064205,-0.067926,0.015437,0.014003,0.001434,-0.020583,0.000824,-0.021407,0.231561,0.118616,0.112945,0.238422,0.257825,-0.019403
HATHWAY.BO,2020-06-29,37.93,dip_5,-0.060651,-0.05991,-0.020472,0.058911,-0.079383,0.377953,0.059281,0.318672,0.256693,0.10967,0.147023,-0.044094,0.157466,-0.20156
J&KBANK.NS,2020-11-24,23.48,dip_5,-0.063348,-0.069811,0.034783,0.022475,0.012307,0.06087,0.049037,0.011833,0.01256,0.079101,-0.066541,0.258937,0.141856,0.117081
DEEPAKNI.BO,2022-01-24,1.71,dip_10,-0.111671,-0.092558,0.021429,0.018365,0.003064,0.047594,0.000672,0.046922,-0.162475,-0.052856,-0.109619,0.029525,-0.026652,0.056176
HINDALCO.NS,2022-03-30,11.97,dip_5,-0.097893,-0.080104,0.009227,0.021055,-0.011828,None,None,None,-0.149427,-0.015395,-0.134032,-0.400962,-0.114331,-0.286631
VINATIORGA.BO,2022-03-30,32.97,dip_5,-0.050493,-0.032703,-0.005354,0.021055,-0.026409,None,None,None,0.042932,-0.015395,0.058328,0.008785,-0.114331,0.123116
HINDALCO.BO,2022-03-30,11.97,dip_5,-0.097304,-0.079515,0.00896,0.021055,-0.012095,None,None,None,-0.149144,-0.015395,-0.133749,-0.400896,-0.114331,-0.286565
ASTEC.NS,2022-05-03,13.2,dip_5,-0.050368,-0.049678,-0.068074,-0.074091,0.006017,-0.032741,-0.076622,0.043881,-0.010608,-0.056834,0.046226,0.029352,-0.018408,0.047759
