symbol,event_date,surprise_pct,category,reaction_ret,abnormal_reaction,stock_ret_5d,bench_ret_5d,abnormal_ret_5d,stock_ret_10d,bench_ret_10d,abnormal_ret_10d,stock_ret_21d,bench_ret_21d,abnormal_ret_21d,stock_ret_63d,bench_ret_63d,abnormal_ret_63d
0992.HK,2016-02-03,28.59,dip_5,-0.074007,-0.060445,-0.038986,-0.00318,-0.035806,-0.021442,0.012078,-0.03352,-0.062378,0.04239,-0.104768,-0.245614,0.038178,-0.283792
0874.HK,2017-04-27,114.29,dip_5,-0.051325,-0.052819,-0.03151,0.011127,-0.042637,-0.046968,0.029283,-0.076251,-0.036266,0.04851,-0.084777,-0.060048,0.110049,-0.170096
0522.HK,2017-07-26,15.82,dip_10,-0.169615,-0.18001,-0.022792,0.014737,-0.037529,-0.017342,0.01153,-0.028872,-0.057228,0.026984,-0.084212,0.139106,0.048198,0.090907
0388.HK,2017-08-09,3.57,dip_5,-0.054662,-0.03991,-0.02934,-0.003636,-0.025704,-0.006165,0.014727,-0.020891,-0.008962,0.018624,-0.027586,0.066271,0.061103,0.005168
0945.HK,2017-08-10,5.56,dip_5,-0.057796,-0.026323,0.046088,0.006103,0.039985,0.041369,0.036445,0.004924,0.041369,0.040498,0.000871,0.1195,0.085505,0.033995
1980.HK,2017-08-27,14.29,dip_5,-0.070423,-0.067437,0.00303,-0.000852,0.003882,-0.015152,0.007464,-0.022615,0.093939,-0.004415,0.098354,0.169697,0.069002,0.100695
1157.HK,2017-08-30,180.0,dip_5,-0.06087,-0.068263,0.023148,-0.015995,0.039143,-0.00463,-0.006904,0.002274,-0.037037,-0.014873,-0.022164,-0.064815,0.043155,-0.10797
3968.HK,2017-10-28,32.75,dip_5,-0.056981,-0.050184,0.01845,0.02651,-0.00806,0.031827,0.032096,-0.00027,0.053506,0.048797,0.004709,0.288745,0.164335,0.12441
3888.HK,2018-03-21,70.75,dip_5,-0.092286,-0.077108,-0.064028,-0.031466,-0.032562,-0.024447,-0.011017,-0.01343,-0.103221,-0.02391,-0.079311,-0.159488,-0.087374,-0.072114
0700.HK,2018-03-21,24.57,dip_5,-0.058326,-0.043148,-0.06781,-0.031466,-0.036344,-0.050505,-0.011017,-0.039488,-0.1197,-0.02391,-0.09579,-0.139004,-0.087374,-0.051631
1128.HK,2018-08-02,82.5,dip_10,-0.12844,-0.104996,0.032164,0.024942,0.007222,-0.074854,-0.016726,-0.058128,0.054971,0.001309,0.053662,-0.054386,-0.062939,0.008553
0322.HK,2018-08-27,37.5,dip_5,-0.059055,-0.08362,-0.09728,-0.013342,-0.083938,-0.072176,-0.068041,-0.004135,-0.055439,-0.022431,-0.033009,-0.278243,-0.05887,-0.219373
0525.HK,2018-10-25,10.01,dip_5,-0.053435,-0.03236,0.032258,0.071557,-0.039299,0.012097,0.035776,-0.023679,0.03629,0.0671,-0.03081,0.112903,0.11568,-0.002777
3606.HK,2018-10-25,59.0,dip_5,-0.079665,-0.058589,0.126993,0.071557,0.055436,0.082574,0.035776,0.046798,0.018793,0.0671,-0.048307,0.182232,0.11568,0.066553
0322.HK,2018-11-26,12.0,dip_10,-0.154337,-0.169929,-0.024133,0.035261,-0.059393,-0.022624,-0.021278,-0.001346,-0.007541,-0.031436,0.023894,0.069382,0.099789,-0.030407
3618.HK,2019-03-26,9.05,dip_5,-0.067857,-0.075041,0.022989,0.043795,-0.020806,0.019157,0.03868,-0.019523,0.034483,0.033795,0.000688,-0.02682,0.004417,-0.031237
0388.HK,2019-05-08,9.42,dip_5,-0.064857,-0.029031,-0.013728,-0.012879,-0.000849,0.0,-0.033808,0.033808,0.067734,-0.018428,0.086163,-0.023404,-0.083775,0.060371
0322.HK,2019-08-26,8.5,dip_10,-0.11639,-0.096708,-0.02957,-0.005308,-0.024262,-0.018817,0.039729,-0.058546,0.001344,0.01096,-0.009616,0.072581,0.0487,0.02388
6886.HK,2019-10-29,18.18,dip_5,-0.050157,-0.041844,0.064906,0.038283,0.026623,0.040704,-0.003609,0.044313,0.025303,0.008475,0.016827,0.064906,-0.011652,0.076558
2552.HK,2020-03-16,20.37,dip_10,-0.116667,-0.084661,-0.009434,-0.025802,0.016368,-0.040881,0.014604,-0.055485,-0.059748,0.047983,-0.107732,0.72327,0.051634,0.671636
0968.HK,2020-03-16,0.61,dip_5,-0.050998,-0.018993,-0.170561,-0.025802,-0.144759,-0.123832,0.014604,-0.138436,-0.058411,0.047983,-0.106394,0.39486,0.051634,0.343225
3319.HK,2020-03-17,4.11,dip_5,-0.050742,-0.01728,0.245888,0.055418,0.19047,0.310033,0.035617,0.274416,0.39227,0.091433,0.300837,0.55551,0.105513,0.449997
1753.HK,2020-03-31,15.7,dip_10,-0.102767,-0.098913,0.07489,0.038317,0.036573,-0.008811,0.056061,-0.064871,-0.15859,0.045556,-0.204146,0.524229,0.12518,0.399049
2196.HK,2020-04-29,9.52,dip_5,-0.077978,-0.038828,-0.012529,0.041851,-0.05438,-0.025059,0.013592,-0.038651,-0.109632,0.016183,-0.125815,0.401331,0.035756,0.365575
6886.HK,2020-04-30,18.52,dip_5,-0.056886,-0.025441,0.025397,0.015796,0.009601,-0.004233,0.021764,-0.025996,0.022222,0.019145,0.003077,0.164021,0.045163,0.118859
3958.HK,2020-04-30,100.0,dip_5,-0.061856,-0.03041,0.051282,0.015796,0.035486,0.043956,0.021764,0.022192,0.106227,0.019145,0.087082,0.457875,0.045163,0.412713
0081.HK,2020-06-29,31.77,dip_5,-0.055249,-0.050247,0.195906,0.069676,0.12623,0.134503,0.043165,0.091338,0.061404,0.011602,0.049802,0.023392,-0.038938,0.06233
