symbol,event_date,surprise_pct,category,reaction_ret,abnormal_reaction,stock_ret_5d,bench_ret_5d,abnormal_ret_5d,stock_ret_10d,bench_ret_10d,abnormal_ret_10d,stock_ret_21d,bench_ret_21d,abnormal_ret_21d,stock_ret_63d,bench_ret_63d,abnormal_ret_63d
9435.T,2014-08-08,3.81,dip_10,-0.120893,-0.131908,0.005978,0.013681,-0.007703,-0.014949,0.009374,-0.024323,0.056801,0.001013,0.055787,0.081982,-0.023562,0.105544
2282.T,2014-11-01,44.68,dip_5,-0.059959,-0.040044,0.030633,-0.00762,0.038253,0.060845,-0.006604,0.06745,0.028954,-0.006604,0.035558,0.14981,0.0,0.14981
7606.T,2014-11-06,451.58,dip_10,-0.133496,-0.117412,0.028528,0.017385,0.011144,-0.067048,0.005708,-0.072757,-0.125538,0.004411,-0.129949,0.029955,0.016347,0.013608
7832.T,2014-11-06,18.76,dip_5,-0.075658,-0.059574,-0.05066,0.017385,-0.068044,-0.016747,0.005708,-0.022456,0.019872,0.004411,0.015461,-0.072864,0.016347,-0.089211
9684.T,2014-11-06,59.71,dip_5,-0.050991,-0.034907,-0.000443,0.017385,-0.017828,-0.00917,0.005708,-0.014878,0.099641,0.004411,0.09523,0.145552,0.016347,0.129205
6871.T,2014-11-18,119.06,dip_5,-0.084228,-0.092006,-0.14971,-0.000772,-0.148938,-0.208415,0.006174,-0.21459,-0.240704,-0.007718,-0.232986,-0.447165,0.056856,-0.504021
9678.T,2014-12-10,23.21,dip_10,-0.103761,-0.090844,-0.108537,0.004187,-0.112724,-0.072358,0.013871,-0.086229,-0.054993,-0.019628,-0.035365,0.023155,0.098927,-0.075772
7453.T,2015-01-06,4.8,dip_10,-0.104659,-0.102782,-0.058831,0.004566,-0.063397,0.026055,0.035187,-0.009131,-0.039477,0.048617,-0.088094,0.331907,0.162772,0.169135
9948.T,2015-01-07,25.47,dip_5,-0.07326,-0.100242,0.026348,-0.000265,0.026614,0.022896,0.019108,0.003788,0.064798,0.026274,0.038524,0.238707,0.150743,0.087964
7974.T,2015-01-28,141.19,dip_5,-0.087703,-0.094644,0.004895,0.005106,-0.000211,0.054744,0.00868,0.046063,0.154877,0.059229,0.095648,0.826358,0.100077,0.726282
2327.T,2015-01-29,28.21,dip_5,-0.071938,-0.063184,0.115747,0.014026,0.101721,0.136614,0.038442,0.098173,0.174847,0.072208,0.102639,0.381562,0.133247,0.248316
6645.T,2015-01-29,2.85,dip_5,-0.054671,-0.045917,0.002101,0.014026,-0.011925,0.036803,0.038442,-0.001639,0.097791,0.072208,0.025583,0.146003,0.133247,0.012756
6701.T,2015-01-29,95.57,dip_5,-0.079872,-0.071118,-0.011988,0.014026,-0.026014,-0.017982,0.038442,-0.056423,0.071847,0.072208,-0.000361,0.217254,0.133247,0.084007
5334.T,2015-01-30,16.28,dip_5,-0.057829,-0.050936,0.01497,-0.005913,0.020882,-0.050898,0.026735,-0.077633,-0.028441,0.056041,-0.084482,None,None,None
6806.T,2015-01-30,4.45,dip_5,-0.057869,-0.050976,0.029214,-0.005913,0.035126,0.110112,0.026735,0.083377,0.17603,0.056041,0.119989,None,None,None
5333.T,2015-01-30,50.96,dip_5,-0.091939,-0.085046,-0.011096,-0.005913,-0.005183,0.003237,0.026735,-0.023498,0.110959,0.056041,0.054917,None,None,None
8616.T,2015-01-30,19.31,dip_5,-0.065842,-0.058949,0.003991,-0.005913,0.009903,0.058511,0.026735,0.031775,0.154268,0.056041,0.098227,None,None,None
2802.T,2015-01-30,29.2,dip_5,-0.068652,-0.061759,-0.043104,-0.005913,-0.037191,-0.046765,0.026735,-0.073501,-0.000648,0.056041,-0.056689,None,None,None
2897.T,2015-01-30,0.48,dip_10,-0.112805,-0.105912,-0.022339,-0.005913,-0.016426,-0.010304,0.026735,-0.03704,0.037804,0.056041,-0.018237,None,None,None
8439.T,2015-02-02,2.98,dip_5,-0.057074,-0.065905,0.086268,0.008496,0.077771,0.17102,0.046601,0.124419,0.153989,0.063852,0.090137,None,None,None
4547.T,2015-02-02,72.11,dip_5,-0.084508,-0.093339,-0.009229,0.008496,-0.017725,0.029233,0.046601,-0.017369,0.078461,0.063852,0.01461,None,None,None
6501.T,2015-02-04,32.77,dip_5,-0.097004,-0.11065,0.011785,0.003556,0.008229,0.065043,0.04953,0.015513,0.02983,0.04445,-0.01462,0.051427,0.092964,-0.041537
6448.T,2015-02-04,6.57,dip_5,-0.06878,-0.082425,0.030818,0.003556,0.027262,0.072801,0.04953,0.023271,0.04676,0.04445,0.00231,0.028501,0.092964,-0.064463
4205.T,2015-02-05,3.4,dip_5,-0.070024,-0.070024,-0.011929,0.024078,-0.036007,0.067032,0.052254,0.014778,-0.01653,0.037654,-0.054183,0.050643,0.127818,-0.077175
6976.T,2015-02-05,43.04,dip_10,-0.108757,-0.108757,0.024559,0.024078,0.000481,0.077518,0.052254,0.025264,0.196478,0.037654,0.158824,0.36989,0.127818,0.242073
2432.T,2015-02-05,154.85,dip_5,-0.053552,-0.053552,-0.007778,0.024078,-0.031856,-0.028994,0.052254,-0.081248,-0.008481,0.037654,-0.046135,0.738098,0.127818,0.610281
9404.T,2015-02-05,6.24,dip_5,-0.087892,-0.087892,0.04847,0.024078,0.024392,0.109061,0.052254,0.056807,0.150603,0.037654,0.112949,0.209169,0.127818,0.081351
4751.T,2015-04-23,38.75,dip_5,-0.059808,-0.062731,-0.071778,-0.021749,-0.050029,-0.048949,-0.01278,-0.036169,-0.032633,-0.015022,-0.01761,-0.091357,-0.03722,-0.054138
4581.T,2015-05-13,7.26,dip_5,-0.061465,-0.07301,0.120906,0.017576,0.10333,0.084383,-0.001826,0.086209,0.039042,-0.005706,0.044748,0.143577,-0.006848,0.150425
