symbol,event_date,surprise_pct,category,reaction_ret,abnormal_reaction,stock_ret_5d,bench_ret_5d,abnormal_ret_5d,stock_ret_10d,bench_ret_10d,abnormal_ret_10d,stock_ret_21d,bench_ret_21d,abnormal_ret_21d,stock_ret_63d,bench_ret_63d,abnormal_ret_63d
000100.KS,2014-10-28,72.42,dip_5,-0.062827,-0.077941,-0.033519,-0.015164,-0.018355,-0.055866,0.00311,-0.058976,-0.033519,0.010667,-0.044187,-0.051833,-0.005175,-0.046658
181710.KS,2014-11-06,558.19,dip_10,-0.129458,-0.133828,0.003035,0.002717,0.000318,0.136571,0.012872,0.123699,0.204856,0.020146,0.18471,0.040971,0.003675,0.037296
036570.KS,2014-11-13,23.36,dip_5,-0.059524,-0.048275,0.047468,0.010128,0.037341,0.009494,0.018323,-0.008829,0.13924,-0.012739,0.15198,0.248541,0.00673,0.241812
000270.KS,2015-01-23,224.77,dip_5,-0.074701,-0.082438,0.002153,0.008782,-0.00663,-0.069968,0.005848,-0.075816,-0.020452,0.025893,-0.046345,0.078579,0.109517,-0.030938
000210.KS,2015-07-23,16.63,dip_10,-0.155012,-0.145921,0.026207,-0.007723,0.033929,-0.085517,-0.017464,-0.068054,-0.14069,-0.097426,-0.043264,-0.001379,-0.00064,-0.000739
096770.KS,2015-07-23,67.37,dip_5,-0.099539,-0.090448,0.018424,-0.007723,0.026146,-0.0174,-0.017464,6.3e-05,-0.054248,-0.097426,0.043178,0.177073,-0.00064,0.177713
005930.KS,2015-07-30,0.04,dip_5,-0.061758,-0.058097,-0.04135,-0.009817,-0.031533,-0.068355,-0.030362,-0.037992,-0.084388,-0.057104,-0.027284,0.140928,0.008985,0.131944
036570.KS,2015-07-31,9.88,dip_5,-0.095339,-0.090119,-0.007026,-0.002649,-0.004377,0.004684,-0.026005,0.030688,-0.056206,-0.046438,-0.009768,-0.016393,0.022046,-0.03844
037560.KS,2015-08-04,15.11,dip_5,-0.050584,-0.061174,-0.102459,-0.026747,-0.075712,-0.106557,-0.05676,-0.049796,-0.106557,-0.070806,-0.03575,-0.106557,0.005572,-0.112129
004170.KS,2015-08-07,586.15,dip_5,-0.05428,-0.049253,0.05298,-0.023418,0.076398,0.006623,-0.078146,0.084769,0.041943,-0.03443,0.076373,0.041943,-0.002945,0.044888
032640.KS,2015-10-28,29.7,dip_5,-0.077922,-0.072791,0.037558,0.007497,0.030061,0.014084,-0.020057,0.034141,-0.004695,-0.002542,-0.002154,-0.069231,-0.060025,-0.009206
011170.KS,2015-10-29,142440.0,dip_10,-0.144128,-0.137744,0.016632,0.005716,0.010916,-0.060291,-0.027682,-0.032609,0.0,-0.018478,0.018478,0.166174,-0.051565,0.217739
033780.KS,2016-01-21,2.78,dip_5,-0.051887,-0.0703,0.029851,0.017362,0.012489,0.049751,0.02041,0.029341,0.084577,0.020825,0.063752,0.263681,0.072346,0.191335
035420.KS,2016-01-28,2.57,dip_5,-0.068249,-0.075726,-0.046178,0.002997,-0.049175,-0.084395,-0.014707,-0.069688,-0.023885,0.022787,-0.046672,0.082802,0.033812,0.048991
027410.KS,2016-02-11,3.35,dip_10,-0.180593,-0.13757,0.125,0.044113,0.080887,0.075658,0.046249,0.029409,0.151316,0.073389,0.077927,0.444079,0.072349,0.37173
004800.KS,2016-04-26,1.37,dip_5,-0.092593,-0.093015,-0.04898,-0.019197,-0.029782,-0.053061,-0.02402,-0.029041,-0.036735,-0.023951,-0.012784,0.097959,0.002828,0.095131
006650.KS,2016-04-26,36.44,dip_5,-0.057087,-0.057509,-0.05428,-0.019197,-0.035083,-0.029228,-0.02402,-0.005207,-0.043841,-0.023951,-0.019891,-0.041754,0.002828,-0.044582
034220.KS,2016-04-27,104.15,dip_5,-0.079151,-0.069892,0.002097,-0.016552,0.018649,0.025157,-0.016502,0.04166,0.081761,-0.008761,0.090522,0.29979,0.007626,0.292164
010140.KS,2016-04-29,342.51,dip_5,-0.060465,-0.04908,-0.078218,0.000986,-0.079204,-0.09703,-0.010828,-0.086201,-0.079208,0.003518,-0.082726,-0.062376,0.020666,-0.083042
161390.KS,2016-04-29,83.36,dip_5,-0.051282,-0.039897,0.0,0.000986,-0.000986,0.011583,-0.010828,0.022411,-0.013513,0.003518,-0.017032,0.055985,0.020666,0.035319
042660.KS,2016-05-04,462.98,dip_10,-0.106481,-0.097118,0.02487,5.1e-05,0.02482,-0.065285,-0.006383,-0.058902,-0.001036,0.03012,-0.031156,-0.071503,0.025475,-0.096978
012750.KS,2016-07-21,14.59,dip_5,-0.052174,-0.049634,-0.068807,0.00291,-0.071717,-0.009174,0.00378,-0.012955,-0.077982,0.019693,-0.097675,-0.127523,0.001766,-0.129289
006650.KS,2016-07-27,12.32,dip_5,-0.063265,-0.060187,0.013072,-0.010425,0.023497,0.026144,0.013705,0.012438,-0.132898,0.005566,-0.138464,-0.089325,-0.006783,-0.082541
064350.KS,2016-07-29,216.67,dip_5,-0.05814,-0.06235,0.046913,0.000744,0.046169,0.138272,0.008943,0.129329,0.182716,0.002483,0.180233,-0.160494,-0.022571,-0.137923
005940.KS,2016-08-02,11.44,dip_5,-0.051644,-0.034488,0.059406,0.02499,0.034416,0.009902,0.030419,-0.020517,0.0,0.021817,-0.021817,0.019802,0.001399,0.018404
120110.KS,2016-08-10,0.31,dip_5,-0.052023,-0.054479,-0.017073,0.003631,-0.020705,0.043902,-0.005515,0.049418,-0.02439,-0.027977,0.003587,-0.110976,-0.039667,-0.071308
