symbol,event_date,surprise_pct,category,reaction_ret,abnormal_reaction,stock_ret_5d,bench_ret_5d,abnormal_ret_5d,stock_ret_10d,bench_ret_10d,abnormal_ret_10d,stock_ret_21d,bench_ret_21d,abnormal_ret_21d,stock_ret_63d,bench_ret_63d,abnormal_ret_63d
AHT.L,2014-06-17,20.99,dip_5,-0.064261,-0.067802,0.013859,-0.00663,0.020489,0.101814,0.005578,0.096236,0.092772,-0.005936,0.098708,0.244195,0.002018,0.242177
SSA.L,2014-08-28,5.8,dip_5,-0.092179,-0.090582,-0.081319,0.005183,-0.086502,-0.098901,-0.001875,-0.097026,-0.712088,-0.025389,-0.686698,-0.725275,-0.013282,-0.711993
BGEO.L,2015-08-20,1.1,dip_5,-0.087273,-0.053572,0.00403,0.009744,-0.005714,0.012089,-0.018283,0.030372,0.051263,-0.040696,0.091959,0.077758,0.022994,0.054764
BOE.L,2016-01-27,24.03,dip_5,-0.065938,-0.069375,0.065123,-0.005567,0.070689,-0.088665,-0.066558,-0.022106,0.00603,0.027686,-0.021657,0.174514,0.065852,0.108662
NWG.L,2016-02-26,810.71,dip_5,-0.082328,-0.096344,0.028581,0.013992,0.014589,0.032552,0.012708,0.019844,-0.005404,0.012762,-0.018165,0.070117,0.015555,0.054562
AHT.L,2016-03-01,3.21,dip_5,-0.079546,-0.087742,0.00235,-0.00012,0.00247,-0.018224,0.004625,-0.022849,-0.006462,0.002873,-0.009335,0.149331,0.010179,0.139152
IAG.L,2016-04-29,157.65,dip_5,-0.074397,-0.052759,0.016686,-0.004679,0.021364,0.016686,-0.002881,0.019567,0.043161,3e-06,0.043158,-0.19369,0.082185,-0.275875
AZN.L,2016-11-10,36.08,dip_5,-0.05453,-0.028284,-0.000576,0.006737,-0.007312,-0.005662,0.016391,-0.022054,-0.027738,0.023771,-0.05151,0.075014,0.081494,-0.00648
NWG.L,2017-02-24,143.77,dip_5,-0.064177,-0.06165,0.030854,0.01339,0.017463,0.033852,0.015729,0.018123,0.037724,0.012467,0.025257,0.113984,0.036805,0.077179
BARC.L,2017-04-28,43.71,dip_5,-0.062927,-0.064707,-0.021715,0.012712,-0.034427,0.008333,0.037514,-0.029181,0.005961,0.040513,-0.034552,-0.032664,0.016821,-0.049485
CEY.L,2017-05-03,66.67,dip_10,-0.110687,-0.110418,0.020075,0.019113,0.000962,0.068067,0.025982,0.042085,0.088796,0.038308,0.050488,0.082353,0.022534,0.059819
TUI.L,2017-05-15,47.17,dip_5,-0.059664,-0.071316,0.01966,-0.004884,0.024545,0.070599,-0.000277,0.070875,0.010724,-0.013649,0.024373,0.152815,-0.022353,0.175168
AZN.L,2017-07-27,8.75,dip_10,-0.123508,-0.112243,0.011714,0.019453,-0.00774,-0.0101,-0.007927,-0.002173,0.014173,-0.004199,0.018372,0.140282,0.016032,0.12425
CEY.L,2017-08-03,30.43,dip_5,-0.070738,-0.084269,0.007148,-0.026858,0.034006,-0.020609,-0.024992,0.004383,0.021909,-0.018476,0.040385,-0.104066,0.005806,-0.109872
GSK.L,2017-10-25,1.75,dip_5,-0.0876,-0.08228,-0.015583,0.009193,-0.024776,-0.007141,-0.000321,-0.006821,-0.043263,-0.010266,-0.032996,-0.000863,0.023915,-0.024778
IAG.L,2017-10-27,9.26,dip_5,-0.052245,-0.05242,-0.024415,0.009945,-0.03436,-0.074811,-0.0097,-0.065111,-0.038573,-0.003627,-0.034946,0.026188,0.013378,0.01281
AHT.L,2018-03-06,14.04,dip_5,-0.055694,-0.061577,0.036015,-0.003514,0.039529,0.021664,-0.016607,0.038271,0.032625,0.005157,0.027468,0.239563,0.073099,0.166464
