symbol,event_date,surprise_pct,category,reaction_ret,abnormal_reaction,stock_ret_5d,bench_ret_5d,abnormal_ret_5d,stock_ret_10d,bench_ret_10d,abnormal_ret_10d,stock_ret_21d,bench_ret_21d,abnormal_ret_21d,stock_ret_63d,bench_ret_63d,abnormal_ret_63d
M&M.NS,2000-05-10,10.53,dip_20,-0.218778,-0.147328,0.005102,-0.013859,0.018961,0.031179,-0.059353,0.090532,0.051587,0.112498,-0.060911,-0.113379,0.015492,-0.12887
M&M.NS,2002-02-26,2.15,dip_5,-0.083259,-0.10876,0.105469,-0.024616,0.130085,0.051758,-0.036711,0.088469,0.001953,-0.05545,0.057403,-0.217773,-0.153757,-0.064017
M&M.NS,2004-02-24,1.77,dip_5,-0.077036,-0.063016,0.103535,0.035193,0.068342,0.072064,0.005644,0.06642,0.03854,-0.015879,0.054419,-0.039453,-0.139327,0.099874
M&M.NS,2004-05-12,8.33,dip_5,-0.053095,-0.066909,-0.007946,-0.086557,0.078611,-0.043814,-0.06314,0.019326,-0.004767,-0.104966,0.100199,-0.004313,-0.027303,0.022989
M&M.NS,2007-02-27,5.06,dip_5,-0.051483,0.000638,-0.062066,-0.027697,-0.03437,-0.076798,-0.031571,-0.045227,-0.028497,0.010358,-0.038855,-0.051863,0.12619,-0.178053
J&KBANK.NS,2008-01-21,7.14,dip_10,-0.149795,-0.029684,0.1319,0.081411,0.050489,0.102375,0.115555,-0.01318,0.044608,0.053058,-0.00845,-0.063543,0.023673,-0.087216
M&M.NS,2008-11-12,57.89,dip_5,-0.06358,-0.017413,-0.07494,-0.0501,-0.02484,-0.184251,-0.058127,-0.126124,-0.080152,0.035147,-0.115299,-0.146077,-0.039448,-0.106628
M&MFIN.NS,2016-02-23,10.58,dip_5,-0.064369,-0.034949,0.137866,0.049983,0.087883,0.120621,0.066457,0.054165,0.146623,0.078459,0.068165,0.579451,0.155011,0.42444
J&KBANK.NS,2017-02-08,9.68,dip_5,-0.0634,-0.063207,0.009483,-0.001004,0.010487,0.138326,0.019883,0.118443,0.040222,0.039285,0.000937,0.308698,0.079524,0.229174
HEXAWARE.NS,2018-05-03,2.29,dip_10,-0.139816,-0.132395,0.141273,0.017769,0.123504,0.100191,-0.001921,0.102112,0.145924,0.002764,0.14316,0.20406,0.074644,0.129416
HEXAWARE.NS,2018-07-24,4.3,dip_5,-0.094345,-0.098148,0.020922,0.017998,0.002924,0.053852,0.027927,0.025925,-0.059144,0.049809,-0.108953,-0.284253,-0.0805,-0.203753
HEXAWARE.NS,2018-10-24,9.62,dip_5,-0.067492,-0.062849,-0.032871,0.022021,-0.054892,-0.027704,0.043587,-0.071291,-0.063721,0.054112,-0.117833,-0.015242,0.069322,-0.084564
J&KBANK.NS,2019-05-07,10.19,dip_5,-0.089558,-0.068542,-0.001633,-0.017842,0.01621,0.112245,0.034959,0.077286,0.09102,0.048341,0.042679,-0.312245,-0.021495,-0.29075
DELTACORP.NS,2019-09-30,10.1,dip_5,-0.093565,-0.080243,0.04853,-0.011095,0.059625,0.086211,0.019492,0.066719,0.17942,0.050719,0.1287,0.129349,0.061903,0.067446
HEXAWARE.NS,2019-10-23,2.02,dip_5,-0.067214,-0.068666,-0.016029,0.029334,-0.045363,-0.015738,0.033398,-0.049137,-0.017191,0.046153,-0.063344,-0.004554,0.066447,-0.071001
J&KBANK.NS,2020-02-04,0.84,dip_10,-0.123077,-0.154937,-0.1423,0.010287,-0.152587,-0.164717,0.004383,-0.169101,-0.212476,-0.086675,-0.125801,-0.440546,-0.222009,-0.218537
M&MFIN.NS,2021-08-19,578.95,dip_5,-0.058413,-0.057089,0.145585,0.024011,0.121574,0.206921,0.04934,0.157581,0.297327,0.060687,0.236639,0.204816,0.050133,0.154683
M&M.NS,2021-11-18,296.77,dip_5,-0.056158,-0.030454,-0.055564,-0.020616,-0.034948,-0.087367,-0.029397,-0.05797,-0.098413,-0.03672,-0.061693,-0.054229,-0.010825,-0.043404
